天津大学的研究生导师黄家学教授、博士介绍？,        黄家学，佳学基因医学技术(北京)有限公司创始人，免疫学博士，美国归国学者。著名生物学家，在造血干细胞、间充质干细胞、个体基因组学的前沿技术及产业模式的研究与应用上影响深远。曾任中源协和干细胞生物工程股份公司副总经理，国际细胞治疗协会(INTERNATIONAL SOCIETY FOR CELLULAR THERAPY，ISCT)副主席，天津大学药物科学与技术学院教授，华东理工大学教授。曾工作于武汉大学、中国医学科学院、北京协和医科大学药物研究所、美国俄克拉荷马医学研究中心、诺华制药基因组学研究中心。   黄家学博士1990毕业于湖北大学，获生物学学士学位;1997获武汉大学生物化学及生物物理学硕士学位;2000年至2005年师从国际著名名疫学家、美国免疫学家协会主席、美国实验生物医学联合会(FASEB)主席PAUL KINCADE教授，获免疫学博士学位。2005-2008：美国诺华制药公司基因组学研究中心，博士后研究员。致力于以人的基因信息的解读和校正技术、干细胞人造组织工程技术、肿瘤免疫细胞精准治疗技术为核心的个性化医学产品与服务的研发和推广事业。现任佳学基因技术(北京)有限公司、佳学基因医学技术(北京)有限公司董事长，创立基因解码技术体系。    人物经历   1986-1990：湖北大学生命科学系，获学士学位。  1990-1994：湖北省襄阳市重点高中南漳县第一中学教师。  1994-1997：武汉大学生命科学学院生物化学及生物物理学系，获硕士学位。  1997-2000：中国医学科学院、协和医科大学药物研究所国家药物筛选中心。  2000-2005：美国俄克拉荷马大学健康医学中心，免疫学，获博士学位。  2005-2008：美国诺华制药公司基因组学研究中心，博士后研究员。   2008-2014：中源协和干细胞生物工程股份公司，副总经理，质量技术总监。协和干细胞基因工程有限公司，副总裁。2008-今：天津大学药物科学与技术学院、华东理工大学教授。  2011-2013：国际细胞治疗协会(ISCT)副主席。  2014年：成立佳学基因技术(北京)有限公司，创立基因解码技术体系。   研究领域   同源异形盒基因对人体发育过程的调控。  化学药物的高通量筛选。  利用基因组学及转录组学发现和鉴定新型药物靶点，肿瘤干细胞生物学，治疗性抗体的研制。  造血干细胞、免疫细胞的体外扩增及定向分化。   获得的荣誉  1. 杰出博士学术成就奖，2005年于美国 （Ph.D Graduate with Academic Excellence Award， Oklahoma City， U.S.A ）。  2. 研究生学术交流奖，2005年于美国，GSA Travel Award， Oklahoma， U.S.A， 2005。  3.完成科技成果：XIAP修饰的脂肪间充质干细胞在心肌梗赛治疗中的作用    2014年天津。  4.  中华医学科技奖   ，获奖编号：200203253；获奖题目：高通量药物筛选技术体系研究和应用。获奖排序：杜冠华、 王晓良   、 胡娟娟   、 刘艾林   、黄家学、尚念勇、孙缅恩、 张莉   中国医学科学院药物研究所，2002年北京。  5. 北京市科学技术二等奖。获奖编号：2002药-2-005；获奖题目：高通量药物筛选技术体系研究和应用，2002年北京。 
天津医科大学护理学研究生好考不？,取决于你自己的学习状态与知识储备，他的考试是名词解释，其中五个英文五个中文，外加简答论述，要求对只是掌握全面透彻，要求比较高。
天津医科大学的宿舍条件怎么样？,谢邀，六（偶尔八）人间，没空调，电扇聊胜于无，楼道环境很差，卫生间浴室是楼层共用，同样条件恶劣，智能限电，任何吹风机/锅都不能用，除考试周以为12点熄灯断电，网速人少时还行人多时呵呵，十一点关门，桌子非常小（17寸电脑放不开），多数屋子没有柜子学校也不许自备衣柜（自备也没地放）。   其实这些并不可怕，可怕的是学校没有任何改善的欲望。
川大（华西），华中科技大（同济医学院）的五年临床与南方医科大八年制，天津医科大的5+3，如何选择?,还是八年制比较划算，有出国打算的话选五年
天津医科大学的校徽校训修改是什么样的现象？,其实我反而觉得校训修改之后我更喜欢了。 原校训：知行合一，德高医萃 现校训：求真至善  毕竟目前医德对于医生的道德绑架太重了。 医务工作者应当求真务实，在自己的能力范围内做到善，才是更符合现在环境的一种状态。  事物都是发展的，校训也没有必要非得一成不变，至于对母校的认同感和归属感，不是校训的变化就可以抹掉的。
天津医科大学在医学类院校地位如何？与其实力相近的学校有哪几所？,天津医科大学是一所实力较强的医学院校，是教育部、国家卫生计生委和天津市共建的一所医学院校。2015年，首都医科大学、中国医科大学、哈尔滨医科大学、南京医科大学、天津医科大学、重庆医科大学、安徽医科大学、温州医科大学和南方医科大学成为国家卫计委、教育部和学校所在省市共建的医学院校。
天津医科大学临床专业学生可以选修英语专业吗？,16年好像已经不可以了
泸州医学院更名四川医科大学事件中，泸医方面的某些言论在逻辑学上有何错误？,拿数据说话:泸医2015年高考，川内一本录取线574最高分621。可能川外的人不知道这是什么概念。大概解释一下1.西南大学在四川同年录取线与泸医相同，都超过重本线46分。2.再者，621可以读什么学校——川大、电子科大、天津大学等等。3.泸医内的600+可以读什么医学类学校——中国医科大、重庆医科大等等。  读了很多有关泸医的问题，真的很心痛。如果你不是四川人，请你不要BB。其次，如果你是四川人，你最好自己去看看省医院、华西医院里有多少泸医毕业的优秀医生，有多少骨干是从泸医毕业的。至少据我所知，华西也不缺泸医毕业的人。  大家请都把嘴巴擦干净。你们这样说泸医，重伤的到底是谁?是学校里面苦逼的医学狗，都是医学狗，相煎何太急!还是勤勤恳恳工作，在医院工作的，过年过节都要值班，还顶着各种医患关系压力的泸医人!  如果你是清华北大复旦的人，你可能觉得这个分数很悲惨。但看看同类收分的学校，试问哪个是college，不是university???  所有重伤泸医的人。我为你的教养感到悲哀。请你在医院看病的时候，如果医生是泸医人，建议你拿着病例单去找其他医生看病。请尊重每一个普普通通的泸医人
想问一下天津医科大学的法学和公共事务管理怎么样？,法学是学校分数要的最低的，英语稍微高点，公共卫生还要高点。你对比一下往年的分数线和自己的分数大概就知道了。
中国医科，天津医科，南京医科，郑州大学口腔考研难易程度哪位给分析一下？,帮你邀请了哪位 他估计快来了 哪位考了四次 可能比较有经验
在锦州医科大学（前辽宁医学院）读书是什么体验？,如果地狱在人间有分店的话那就是锦州医科大学 2017年08月16日更新 感谢  @亢奋小恶魔    @天黑路滑人心杂  专门开一个小号怼我 祝您全家阖家幸福 天黑路滑，您在别人的回答下评论的“为正能量代言”真的特别有锦医大老师的感觉，您辛苦了 你们怎么就知道我过得不好呢 我没有觉得大家都要将就我，所以我选择自己改变 这里还真的不是我自己选的 我为什么会来这里我自己心里当然有数。因为我高中没有好好学习，但是我并不后悔，我在高中学到了很多课本以外的东西，见识到了很多东西，认识了很多有趣而特别的人，我去了很多地方，增长了见识，我学了一些在别人看来没什么用的技能，过去大学一年里和同学出去旅游，他们都会感叹我所会的太有用了，我觉得很骄傲，参加了一些对学习没有用的活动和比赛，我看了很多的书，我整个高中过得很开心，我比较笨，不能兼得，现在这样就很好，如果我的大学可以重新选择，必须在辽宁，必须是学医，且在我高考成绩能力范围内的话，我选择沈阳医学院，锦州还是相对闭塞了，我觉得学校所学未来不一定会用得上，可能会忘记，但是人的见识和知识面是会陪伴我一辈子的。 至于换钱的事，我已经说了，我和他们说的是我先给他们打钱，钱到账了再给我，我愿意这么相信他们，他们为什么不愿意相信我，我在天津，广东，湖南都换过钱，只有在锦州没有换到 人总是要有点追求的，如果你能适应差劲的医疗环境，那你为什么还要学医呢？ 我选择匿名是因为我以为只有我这么想，但是当我发现我的回答引起了大多数人的共鸣，我知道，我是对的       2017年07月16日更新 在锦州医科大学度过了人生中最痛苦的一年。我只想告诉所有看到我这条回答的人千万不要来这个鬼地方。有人说我是不习惯，可是我一年过去了，我更讨厌这个地方了，因为你永远也不知道这个垃圾学校会有什么新办法折磨你。 暑假寒假加起来没有别人一个暑假长，热得要死，没有空调甚至没有风扇。 食堂里会看见虫子，超市里是过期的牛奶和面包。食堂的饭很咸，很油。 你走了十几分钟到澡堂洗澡，可能会发现今天又停水了。 你办一张学校里大多数人都会用的所谓校园特惠套餐的电话卡，你会发现，你的电话费一个月一百不够用，你不得已去办了学校的校园网，价格昂贵，信号还不算好，还会在你打王者荣耀的时候突然460。 有人说这里学风好，好的也就只有期末的那一个月，哪里都有人从早到晚不怕猝死地在背书，要知道，你在这里读着读着可能就会降级。 所有想报这个烂学校的学弟学妹们，你们打开地图，找找锦州，看看这到底是一个什么样的城市，你在这里找不到一个大一点的公园，你稍晚一点就会坐不上公交车，全锦州没有一个地方可以在我受伤的时候让我打破伤风疫苗。 我曾经在三院门口站了快一个小时，因为我没有现金，而医院只收现金，我不厌其烦地拉住每一个路过的人，问他们我可不可以先支付宝给他们打钱，他们再给我现金，却没有一个人愿意帮助我，最后是我第一个问的那个便利店的老板看我问了那么久之后还没换到现金才答应和我换。 这个城市冷得可怕。 劝各位大家别来，命要紧。    以下是原答案 第一次在知乎回答问题……我觉得我在这里活得很痛苦，没有一天不想回家，食堂菜咸，难吃，澡堂离宿舍远，宿舍没有阳台……活得累，真的很累，再给我选一次我绝对不要在这个学校待着
天津医科大学学生想学游泳，请问有学生愿意业余时间教吗？价格可议，有意愿的同学可以给我留言，谢谢？,我也正在学，可以一起学
河北医科大的临床医学和天津医科大的医学检验技术，选哪个？,谢不邀  利益相关：河北医科大学学生。 河北医科大学的检验技术专业本身还可以，实习是在河北医科大学第二医院，也就是河北省最好的医院。 题主可以掂量一下。 但是石家庄夏天很热，宿舍还没有空调，教室装了空调却不能用。 校园内和校门口整天在施工，扬尘天天有，一不小心踩泥坑。 如果题主能克服这些客观条件，就来吧。
南京大学医学院和天津医科大如果只是学医那个好一点。？, 医科专业不能光看985和211，有的985和211的医学院是近年来为了刷“综合性大学”的成就草创的，还有的是合并的水平一般的医科院校。南大医学院总体实力不如南京医科大学，南医大是一所很有底气的学校。天津医大的特色在肿瘤。 
考研想考天津医科大学，天津医科大学什么专业较好？,很多啊，内分泌啊。。神外啊
天津医科大学的硬件设施如何呢？,新校区应该住不到吧 夏天没空调宿舍大蒸笼 每晚都热哭 上铺吹不到空调每天铺瑜伽垫睡地上 只有教室能让我感受到一丝清凉  
我想问一下那个天津医科大学第二附属医院，天津肿瘤医院和天津医科大学第三中心医院哪个比较好啊？,二附属，三中心是一个你去了会后悔的地方
在天津城建大学就读是怎样一番体验？, 学校名称  毕业五年薪酬  1天津大学 9648元  2南开大学 9308元  3中国民航大学 8968元  4天津财经大学 8402元  5河北工业大学 8017元  6天津城建大学 7693元  7天津工业大学 7564元  8天津商业大学 7438元  9天津医科大学 7378元  10天津理工大学 7331元  注1：本榜单不包含独立院校、民办院校及部分样本不足的大学。  真的很少见到这么黑自己母校的 我在这所学校怎么就没觉得有谁说不好的 
天津医科大学的临床药学 考研接受跨专业学生吗？,具体不是特别了解，不过官网应该有考研要求的科目。  据学长学姐描述，我们学校应该还是考西综。  跨专业的话一方面是你本科专业和你要考专业的关联度，我知道有一个学长本科是二本的生物学，考到了我们学校的免疫。这还是有点关联的，如果差的太多尽管笔试过了，复试老师可能也会考虑一下吧。  另一方面就是得自学了，官网应该有各个科目的大纲要求，你可以去找下。  加油吧。  -补充-  刚问了一下药学的学长，学校考的不是西综。。  “咱们学校药学初试的话考分化和有机 但是考得比较细，有机会设计药化等知识 还有就是英语和政治”  “跨考的话我觉得学过五大基础化学的应该可以试试 没太大问题”  这是原话，你可以参考一下
河北医科大学临床学院（本三）能考上天津医科大学大学的研究生吗?,我记得我在读的时候，每年东校区都有考上北大这种级别的
如何评价天津大学强制安装“超级校园”app?,旁边的天津医科大学学生沫沫心疼的抱住自己，表示同样被强制，限期未装还被公示出来强制要求装。刚装完就开始显示检测到未在校内，值夜班的宝宝好害怕被辅导员问候啊-_-||
就学医而言，首都医科大学的实力如何，优势与不足分别在哪里？,谢邀，作为一个专注在首医系统里混了11年的临床医学狗来说，本科是在首医上的，工作单位是首医附属医院（不会告诉你们是哪家医院），3年规培在首医附属医院，研究生也在首医附属医院的。我来给题主一些建议。  先说比较现实的。 1、首医在北方地区的总体评价还是比较不错的，首医的硕士毕业生至少在天津，河北，山东，河南，山西还是比较吃的开的。我在这11年里接触过N多这五个地区来的研究生和进修医生，感觉通过他们的评论，首医的毕业生在这几个地区总体就业趋势还是不错的。 2、对于毕业后留京的问题，现在北京总的留京趋势是：外地生越来越难以留在三甲医院，危重症，急诊，儿科，辅助科室，社区这几门学科留京指标还多一点，像大家喜闻乐见的神内，肿瘤，心内，呼吸这些科室，还是比较难留下的。但是对于三级综合或二甲医院，留下来的可能性还是比较大的。这10年来，我所认识的想留在北京的外地同学大部分都可以留在诸如海淀医院，垂杨柳医院，复兴医院以及很多郊区县医院。 3、目前三甲医院难留的主要原因是政策的问题， 最近几年北京市的政策是倾向于尽量压缩大型综合医院的规模，大力发展社区医疗。政策如此，你能有什么办法？ 所以在北京，毕业生进入社区的可能性会越来越高，不过好在就我了解，北京的社区医生工作还是可以的，刚毕业的医生每个月4000左右的收入还是有的，而且这还是一般的社区水平，你要是有机会进入到全国最好的月坛社区，那月收入上8000也不是梦想。在全科医学领域，首医是要超过北医、协和的，因为人家不屑于搞。前面说的月坛社区就隶属于首医的复兴医院。  再说比较虚的。 就是大家关心的教学实力之类的问题。 其实临床医学的学习是一种非常依靠学生自身能力的学习类型，“师傅领进门，修行在个人”这句话在医生这一行绝对是颠扑不破的真理，上级医师管多了，反而会限制学生的能力，正所谓“花园里跑不出千里马，温室里长不出万年松”。 在理论教学、专科教学方面，北医协和的毕业生都非常有两把刷子，但是论起在病房干活来，首医的学生还是有优势的，举个例子： 我曾经在规培的时候和北医毕业的医生，协和毕业的医生在同一个病房共事过，三甲医院都比较忙，一天收好几个病人的情况很多，我发现首医的医生是收病人，开医嘱，写病历比较快的，相对来说，北医和协和的医生会慢一点，而且，医嘱和病历的质量，护士对住院医的满意度，也是首医的稍好一点。我曾经与他们聊过，发现北医协和的医生对疾病的诊断和治疗思考的比较多，按说这是个好习惯，但是在住院医这个阶段中却体现不出来，因为这个阶段的医生对疾病的认识还不够熟悉，思考太多会出现看一个症状觉得背后有好几种病的可能，在鉴别诊断和选择治疗上浪费了大量的时间，以至于效率不高，这就好比加减法还没学好，就教会正负数了，算起数来必然想的多。所以说临床经验的积累必须一步一步来，急不得。  要说首医确实劣势的——就是科研能力。 没办法，这是一个很难追上北医，协和的问题，就好比清华北大再牛也追不上牛津剑桥一样。不过医院之间比科研大部分都是在自HIGH，这可不是我阿Q，你多参加一些学术年会，多了解一下自己所在专科各个大牛之间的奇闻异事，你就会发现科研上分高下，那些什么科研能力排行就是一笔烂账——谁也不服谁。这一现象在协和医院内科查房时特别常见，各个大牛必须意见相左，除非实在太明确的诊断了，每每查房都是主治医的噩梦。而且我认为，当医生不能把主要精力用于科研，在一个领域发展到一定深度时，必须横向的掌握其他领域的知识，一条路走到黑的医生，在治病这件事上是没前途的。  以上是我个人的一定看法，不喜勿喷，不服不辩。
坐标天津，哪个医院的双眼皮手术做的比较好，眼科医院还是医科大学眼科医院，或者其他有推荐吗？,本人医学生，双眼皮在天津医科大学眼科医院做的，觉得大医院做手术比较正规，风险小。私立医院不知道，反正周围有个老师在美容机构做的，问题挺大。
(口腔医学)中南大学和天津医科大学？,选中南，天津医科大不是985，这一点就够了，以后找工作考研什么的用得上
从一所二本医学院计划考研到类似天津医科大这样的学校该怎么学习？,  谢邀 ，既然是有了目标，还是立刻开始向这个方向努力才是最重要的。可以多请教医学方向发展的比较好的学姐学长们，他们应该会给你很多意想不到的经验。同时，充分利用好学校的图书馆，多去研读医学方面的书籍。出了校门再想找这么好的资源库其实很难了。大学里的资源非常多，一定要好好的用起来。无论哪个学校，都会有优秀的学生和差的学生，其实就是看两方面。一个是个人的努力，另一个是把学校的资源最大化的利用起来。望能对你有所帮助。 
在天津医科大学就读的感受如何?, 这简直是医大在知乎的校友帖嘛~ 不妖自来 医大分两个院，本部和东院，感觉就是虽然是一个妈，但是东院一看就不是亲生的（我是东院的//////) 1.东院   我一直把医大叫做天津酱料大学，因为东院的医大牌子是繁体醫，写起来太像酱料了~ 东院很漂亮，但是很小。小到八点上课七点五十分起床洗把脸去教室老师点名还没点到你呢~ 在东院活了四年，每次去民航或者天大就跟农民工进城一样，整个过程一直是“哇你们学校好大”“哇你们还有这么多个食堂”“哇你们学校帅哥好多”（医大男生平均颜值。。手动再见。。）“哇你们这也有”“哇你们操场好大”等等一系列反应/(ㄒoㄒ)/~~一看就是小地方没见过世面的娃呀~ 2.本部   本部才是亲生的，相信我，待遇真的差太多了~ 不说别的，就食堂饭菜的质量。。。东院食堂一共三层楼，虽然三层，但是也是很小，最关键是难吃。。。我同学吐槽过东院食堂 一楼是就学过切菜都敢来做厨师，二楼是没学过做菜都敢来做厨师，三楼是就学了三天做菜都敢来做厨师。。。质量可见一斑。 本部条件还是ok的，虽然宿舍条件没有东院好，但是还有大学的样子。 3.地理位置  本部东院地理位置都很好，东院尤其，去哪都方便。 17年搬校区，据说要搬到团泊湖辣个鸟不拉屎的地方，我是要毕业了，不过心疼后来的学弟学妹们，要是想耍耍都不好找地方呀~ 4.氛围啊之类的  医大是老牌211，附属医院多，临床在天津绝对是最好的，东院影像很有名，在整个北部地区除了北京那些应该是最好的。不过嘛，换了新校长之后，新校长是搞基础的，嗯，不宜多说，自行百度，你懂得~ 学习氛围还是不错的，医大整体都是好好学习的乖孩纸~ 每次去天大南开耍都觉得那才是大学啊，我们医大就是一高中加长加厚型。。 5.杂七杂八   自从读书，医大食堂的菜平均每个学期涨5毛，一开学你就发现菜又贵了    校训是“知行合一，德高医粹”    医大现在上网都不要钱了（福利啊）   男女大概比例3:1，于是我这么一个看脸的人男神还是我高中同学，没办法大学真的没见过帅哥TAT 谁来拯救我的审美    同学过来玩非要吃东院食堂，吃完之后对我产生了深深的同情   医大留学生很多（黑哥们），会有国际文化交流节，很有意思的昂~   以前斯里兰卡总统的女儿在医大留学，最后毕业典礼总统夫人还来了~   刚读书的时候，有一个希波克拉底广场，入学宣誓的地方吧，可是新校长来了之后改成网球场了，心疼   医大有三宝，有个令人灰常出名的药学院大妈  不过大妈退休了╮(╯▽╰)╭    本部有个静怡湖，听名字挺好听，宣传册上也写了，但是你去了就知道到底是什么样了哈哈哈哈哈哈哈 静怡湖以前养了天鹅，后来天鹅不知道是不是嫌弃医大了飞走了，现在变成了一群鸭子。。。 医大数据库很丰富，1900的文献都能查到，问题是大多数人都不会用。。。。 图书馆的看门大爷其实是个神人，英文文献看的666 6. 医大的期末（题主一定要看这个）       每年考试前一个月，图书馆就会掀起占座狂潮，没有起的早的，只有起的更早的。大概七点开门之前就已经排起了长队。曾今有个学长大学五年基本没有早起过，某一天突发想感受下占座的魅力，六点起床去占座，还用手机拍下来视屏，结果开门后从图书馆门口到三楼自习室，一分三十秒座位就全没了。。。。。从此对天天早起占座人的勇猛心生敬畏，像我这种渣渣还是去教室自习好了。。     每年期末，医大都会爆出有大一大二的小屁孩们忍受不了考试周压力崩溃被救护车从学校抬出去的例子（真事，每年都有）对此我们老狗表示，too young too naive ~大一大二就崩溃了大三内外妇儿咋办呢~      有一年期末周的时候，图书馆的电梯坏了，一护理的妹子被困在了里面，电梯只留了一个小缝 ，图书馆大爷还有修电梯的都怕妹子吓到在安抚妹子，大爷温柔的问妹子有什么要求么，妹子说，想要内科书。。。（因为过两天就考试了/(ㄒoㄒ)/）     以前图书馆的门是一个单层的玻璃而已，现在换成了两道门，双层的。 原因是一年冬天的期末，可怜的玻璃门被焦急的等待占座的医学僧门生生的挤破了。。。。后来学校学乖了，两层门，不怕你挤~     越到高年级，期末考试周越来越可怕，除去选修课，一学期考十几门是有可能的，我的巅峰是14门~     进入医大的每个学期的基本状态：第一个月：耍耍 第二月：(#‵′)靠要准备考8周的考试 第三个月：(#‵′)靠要准备12周的考试  第四个月：纳尼一个学期就过了？纳尼考试周这么快就过了？不要拦我我要去学习不然要挂科了  基本你每个学期只有两个状态：准备考试和真的要考试    如果要学医，一定要去医学院的期末感受下啊！！！ 说是高三一点都不为过！！  7.要毕业了，虽然骂天医骂了这么多年，其实到毕业还是舍不得，毕竟是母校。    医大原先的校徽很漂亮，（ps很像酱料吧233）   上面蓝色为底，有海河，书本，海鸥权杖，蛇。寓意很丰富，感兴趣可以查查看，现在换了新标，只能哀叹，哎 。  医大的实力在所有医学院中不算最强，但是也不差，有自己的强项。在中国这个环境中，还是希望医大能越来越好。  令：如果想报考天津医科大， 慎重！！！            倒不是因为不好，而是因为 ：             学！医！毁！一！生！ ！！    ------------------------------------------------------------------------------------------------------------------------    更新昏戈线~   自己在读研，最近也在看文献，搜集资料，慢慢的摸索中，然后发现自己大学竟然一门科学思维或者哲思思辨类的课程都没有学到（马原毛概那些不算），相应的请大牛来做学术报告的机会也非常的少，其实这个对于学生学校来说很不好，算是个很大的欠缺吧~~  另外经常有人问，读研了好不好找工作，这个，嗯，找工作看运气，看能力，也看自己的目标是什么，拿着高分文章的硕士加上自身条件优秀进总医院也是有可能的，没文章没关系单凭一个硕士学历想进天津两家顶尖三甲（肿瘤、总医院，全国百佳）很靠运气~祝好~ 
首都医科大学、天津医科大学、华西医学院（川大）怎样选择？,哇塞，学弟好厉害， 我觉得首医很好， 我理想中的学府啊
山东考生 想问关于吉林大学临床医学系与天津医科大学的相关情况？,别学医
请问眼视光医学专业好吗？天津医科的。还有天医大二可以转专业吗？转到临床，麻醉或影像,对于目前的天津医科大学眼视光医学，没必要转专业。首先你无法转到临八，然后眼视光医学五年制学得是临床医学加眼科专业知识，而临床医学学得跟本院临床五年是一样的。
天津市的大学排名？,特邀，除了天大南开，应该河北工业，天津医科，天津工大，天津科技吧。反正在山东省天津工业的分数很高，估计天津工业应该不错
求问：天津医科大学的心理专业怎么样？,不知道题主是不是18考研的。 天津医科大学心理学我个人觉得不错！我是17第一志愿考西南大学专硕，提前调剂了天津师范大学和天津医科大学，都顺利录取，最后去了天津医科大学读三年制专硕。 天津医科大学应用心理三个导师都不错，天津医科大学是所211，研究生院位于市区，靠近天津大学和南开大学。 天津医科大学17年是第三年招生，心理学专业的学生一共2+4+5(也就是今年收五个)，三年来只有16年有一个学姐上线并顺利录取(可以理解为上线就录取，压不压分不清楚，但肯定比天师大公平……)，医科大17年有三个保送名额，但是没收到学生……所以原计划招生8人，最后只收了5个。 医科大心理学专硕初试考347综合，无指定书目(我之前查到的信息是这样)，学费1.3万，奖学金每人4000，会有各种退费补贴，据16的学长学姐说，研一课很多，课的质量和数量绝对值回学费，这点我很满意！！学长学姐都表示老师很好，课的质量很好。 在天津，南开大学和天津大学都是985，心理学也都不错(综合大学的心理学不会太差哈)，天津大学的心理学比南开弱点(天大的心理学学硕是2.5年制)，专硕的话，南开只收非全日制学生(所以想考专硕，南开可以放弃了~不知道18会不会有变化)。南开的乐国安教授很厉害哈，研究社会心理学的，感兴趣的可以报南开学硕。天津大学不收专硕，学硕学费8000，2.5年，是312统考，天津大学是偏理工科的大学，难度比起其他985大学，应该比较容易考。 天津师范大学应用心理(045400)全国排名前三(应用方向哈~基础方向应该可以排前15)。这个学校的心理学跟不好考……17年，天师大心理学所有方向，仅心理健康教育2人还是1人上线(是国家线！！)，其他学生最高分298！！！连二区线都过不了……压分情况可想而知。17年调剂时，调剂生里很多西南大学的哈哈，后来西南这边很多被录取了的，放弃了录取~ 天津其他大学也有招收心理研究生，天津理工大学(好像只有学硕)，天津体育学院(偏生理和康复那方面)，其他学校招生情况未知。
请问，从天津医科大学临床医学院毕业后好就业吗？(问得有点犀利了。。但超想知道)？,一点都不犀利，看是本科硕士还是博士，规培哪个医院
如何看待泸州医学院半年前改为四川医科大学，现又改为西南医科大学这件事？,  叹气，这就是泸医里的二本及过一本十几分的人的想法。     9吧里某个帖子说的没错：某些二本整天在找存在感，强行拉低别人给自己找所谓的“安慰”，毕竟真心是智力差距。（话说回来怪高考咯？_(:з」∠)_）     其实清北和所有本科都一样（都只是本科）（手动斜眼），23333333333333     城市旧事 此人 儿子2010年考进泸医，宣称自己儿子能上985，但却选了泸医，也没选重医，南方医科，天津医科这些学校。211吧几乎就没人信他，甚至还放出“全国统一卷后四川省秒全国别的省市”，让人觉得智力极其低下。自己儿子进泸医了，他还在网上“对比”，被2吧吧友教训“控制变量都不会还对比”，迷之自信。最可笑的是他一直YY我是山东的（哈哈哈哈哈 我至今都没戳破，耍着他_(:з」∠)_）看看我是怎么教他“对比”的。ps:当然他自己儿子都只能考二本泸医，他的智力也真不怎么样。也许越是LOW的越跳吧。他之前还跑到昆明医科大学去宣传泸医生源如何好，然而人家他跟不鸟他，泸医在四川省生源质量TOP10都进不去，不知道他哪来的自信。 ----------------------我是分割线--------(*^__^*)    典型网虚毛病：我同事我朋友*******etc，然而犯了一个最基本的错误~小概率&amp;小样本 去概括全部or主体，(⊙o⊙)…  难为他没学过概率统计了。(◑▽◐)  有其父必有其子，有其子必有其父，perfect，这智力遗传真是满分，也不奇怪他儿子进泸医了。   我觉得他应该加上一条：北大毕业也有卖猪肉的呢。（不要表扬我(/≧▽≦)/  ）   不过这样看来他也甚为矛盾，既然觉得名校学生“差”又何必总是宣称自己儿子当时可以考名校巴拉巴拉？ 泸医出来的学生能进大城市三甲医院吗？估计 贴吧ID：城市旧事 自己都没想过吧，别人至少是公务员呢，你儿子却只能去县医院待着。（摊手）看来他最后把自己诡辩进死胡同，心疼。     附2016年国家自然科学基金名单 重庆医科大学 653 127 5，313.100 （5313W） 昆明医科大学 560 69 2，515.000 （2515W） 广西医科大学 414 80 2，860.000 （2860W） 贵州医科大学 273 47 1，667.300 （1677.3W） 遵义医学院 335 61 2，209.100 （2209.1W） 成都中医药大学 312 38 1，541.150 (1541.15W) ---------------------------------------------- 云南中医学院 68 19 710.000 （710W） 西南医科大学 140 15 470.300 （470.3W）   泸医/西南医科大学的人 可是在贴吧口口声声说自己超过成都中医药大学呢，结果呢？0个博士点，生源质量全国飞榜，教师水平400多名，学科水平极差。西南医学类院校垫底毫无争议。     2015年泸医学子微博贴吧肆意谩骂给大家留下来“极其深刻的印象”，自作孽不可活。     985吧有个帖子说得好：你考了个二本，除了你的智力不够，你也真心不够努力。只有loser给自己找借口。     总在说自己省高考惨烈，录取率低，可四川可是5所211哦，你也可以出省。那河北，浙江，山东，甘肃，广西等等这些不更惨？一句话：你自己在本省竞争里就是loser。看看人家浙江的，江苏的，河南，安徽的；再看看泸医吧 西南医科大学吧里这些泸医人，不觉得惭愧吗？    
准备考天津医科大学药学方向的研究生，各位前辈有没有什么好的建议（第一次发好紧脏(=ﾟωﾟ)ﾉ）?,其实我们学校的药学不是很好。。。
天津医科大学校园是什么样的？,在校生。泻药回答。 整体来说校园环境尚可。实话说的话，天津最小的大学，几乎没有之一。（没有我的高中大） 以下为放图模式。流量党慎点。 同时照片均为本人拍摄。勿盗。需用麻烦先征得许可。  图片仅供参考。具体情况以实物为准。  校门。    校车       其余奇奇怪怪的地方。        
如何看待泰山医学院将与省立医院，山东省医科院合并成立齐鲁医科大学？,华东医科大学… …听名字仅次于中国医科大学了… …什么天津医科大学、河北医科大学、上海医科大学、福建医科大学、广西医科大学、新疆医科大学均表示俯首称臣！！！！！  山东又一特色……争名夺利…政绩工程…  滨州医学院之前争夺“鲁东医科大学”失败后， 现在已经拍胸脯表示说拿下“中国康复大学”犹如探囊取物！！ 尔等渣渣速速退下！！！
