上海交通大学120周年校庆喜饼选择蛋奶，木瓜，芒果三种口味有什么寓意吗？,求类似糕点链接！
男生有必要上交全部工资 或大学生上交银行卡给女友么？女生是基于什么心理才这么做？,谢邀 没有必要……  如果有很好的信赖关系，谁理财交给谁都是可以的……  不然还是各管各。特别是在恋爱时期，过多干涉对方的财务事宜都是有害于恋情的。  结了婚，如果男方不怎么靠谱，为了确保未来子女的成长，确实可以对此进行管束……  不过！我觉得如果老公是富二代或者官员，那就可以多看一眼……钱太多容易出事。
如何看待上海交通大学医学院女生宿舍不允许带外卖回宿舍的现象？,不让带饭菜却允许我们从楼下的店铺买关东煮，买蒸饺，买玉米，买泡面，买粽子，买烤肠。请问这些不属于饭菜吗？请问这些制造的厨房垃圾不是垃圾了吗？(微笑脸) 的确，也许正如学校解释的那样，为了整体的宿舍卫生好，说最近都是蟑螂，都是老鼠。但要想真正有效控制就把楼下店铺也关了啊。 而且，学生因此提出很多方案，最靠谱的就是安排特殊的饭菜垃圾桶，让学生把外卖也好，泡面也好，都倒到一个地方。但学校却不知什么原因不予以理会，这让我们如何静心接受这样的强制性决定。 反正这样的决定，治标不治本，总有一天还是会被逐渐忽视的。 文明，不匿，不撕。
未婚女孩工资上交父母，是道德绑架还是理所应当？,道德绑架! 道德绑架! 道德绑架! 父母养你多年你必须上交工资来回报? 说好的天下最无私的是父母呢?要什么回报! 又有多少父母生下孩子并不是夫妻之间的爱情，不是想创造一个生命并爱护他/她! 而是性，是荷尔蒙，是传宗接代，是绑架婚姻! 中国法律协定公民10岁具备民事责任能力，18岁成年，莫非等你八十了还得因为你爹妈一句你是我娃必须听我的，必须孝顺我而对父母言听计从?这是妖孽! 八岁可以不独立，十岁可以不独立，十八还不能独立?莫非等到八十岁行尸走肉才独立? 且不说身体，只说思想!
考研：北邮，成电，上交选哪个更适合我？,北邮吧，本科成绩差去上交会不会被歧视，本校北邮去成电没什么必要啊，除非要回四川。而且本校复试有优势啊
上海交通大学大二，成绩不好挂科很多。回去复读还是继续学？,我只是在一个普通一本，很喜欢玩游戏。。大一没挂科，勉强划过去。大二就疯玩，大二上，挂了3科没太在意。开学补考也不复习，，。然后大二下一个学期挂了七科，自己也偷偷掉过泪，就怕被留级。。。那个暑假，我花了一个月时间，看各种ppt课件。。然后交论文的课联系老师，问重点有没有变，，然后，七科都在开学时补考过了，当时觉得自己可以上天了，。这个学期，我又不小心挂了4科，其中2科是大二上的课重修的。本学期的课挂了两科，其中一科是因为平时分太低，最后57分挂的。。我相信我补考能过。。相信自己的努力吧。。努力不一定会成功，但是会比不努力成功。。别回高中，时间可贵，，而且，不一定还能上你现在的学校了。。。
怎样不把压岁钱上交父母？,唉。。  我妈不仅收我压岁钱，还收我奖学金，以及各种靠自己能力挣来的钱。  我气死也没办法。  唉。。
如何评价上海交通大学金婆婆家庭料理被创业加油站创业团队评价为不合格？,好歹也在争创一流大学，再怎么折腾，我们也得继承光荣传统（按基本法来吧）。考核具体标准如何，各项指标尤其是师生评价的确定方法，哪些情况被定义为项目不合格，想必，作为一个一流大学想长期运营甚至想打造成为品牌的创业扶持项目，回答上述问题，对师生质疑公开有所回应，应该不难。 我不知道各位对于好创业项目的定义是什么，但我想，能让大家在朋友圈自来水的，为没抢上年糕而郁郁寡欢一天的，应该不是差项目；在收摊时看到还有学生来，欣然再卖你份鸡爪的，应该不是差团队；随便立了个flag却很当真地去兑现，把不可能变为可能的，应该也不是差的创业者；当然，如果学校要的，是那种惊天地泣鬼神，恨不得从亭子门里明天就走出第二个扎克伯格或者特斯拉的创业，我想象力不够，我也无话可说。 和金婆婆的食物还有太多回忆没来得及写。 比如，记得在金婆婆还只有一个公众号的时候，有个晚上我订了份台州的一个特色粥（具体名字忘记了），因为送餐晚了，负责同学和我商量能不能用泰式鸡胸色拉代替，我说好（也算满足私心了哈哈）。可能我这个吃货和吃的真的缘份不浅，就在我打开餐盒还没吃几口的时候，粥就送来了。于是左手色拉右手粥，这个晚上我摄入的卡路里哭了，但是胃却表示满意。当时就觉得，尽管不算成熟，但这个团队的小伙伴真的很可爱。 再比如，这个学期的很多个晚上，我们都在校队的小房子度过。在和诸多个磨人远大命题抗争的间隙，看到二餐对面还亮着的那盏灯，阿姨说豆腐最好再热一会，我说好。看着亭子里，乳白色的汤一点一点地浸润进老豆腐，我在亭子外，寒风中哆嗦，却第一次觉得，我有多爱冬天。 食物，那是人间最可爱的时刻。 也是我在这个大学，最幸福的时刻。 请问，一个项目做到这样，还要怎么，才算更成功呢？
网上交易被骗了怎么办？,如果是58赶集这一类的，那么就最好面对面交易，不要了撑死了重新再挂上去就好了。 如果是走淘宝，那么一定要走支付宝并且和买家的一切交流都用旺旺，一定要用旺旺，一定要用旺旺，因为别的证据淘宝是不认的。 这样即使他不要了，你也有证据不退款，这方面淘宝做的还是相对公平的。 其他的平台我就不知道了。 我大都是用这两个渠道，最常用五八或者赶集，淘宝偶尔用，因为我嫌邮寄麻烦。 就有两次我一个用坏的破收音机一个烂二手自行车，编了个故事在豆瓣上高价卖出去了 豆瓣上的半佛仙人不是我的常用号╮(╯▽╰)╭
如何看待《上海交通大学生存手册》这本小册子？,如果你能通过这本册子开始思考你自身以及周围环境，那它的价值就是无上的了。至于说的内容，需要自己去评判。就像有的弯路需要自己走。
上海交通大学的动力机械及工程中内燃机的分量有多大？, 谢邀。  文科生连题目都看不懂啊。 
考研2所学校怎么选？同济中德出国机会和名校上交，哪个更有发展前景？（考虑知识、工作前途）,能考上交就上交，觉得风险太大去同济中德也未尝不是个好选择。三年的多文化教育和习得一门德语的优势可能需要经过时间的酝酿才得以体现，所以中德比较适合慢性子。我是个慢性子，而且觉得考上交风险太大，所以选了考中德。
保研汪的迷茫，厦大会计学硕or上交安泰工商管理学硕，求大牛谈谈看法，急！？,做老师，厦大；  找工作，上交；  老师不好做，要读博，还要读的不错；工作好找，不要继续读，个人感觉上交安泰牌子在，专业不是那么重要，都是经管大类。  所以，我觉得你还是去上交安泰吧。  最后说一句，我们校长是厦大会计毕业的……
上海交通大学闵行校区附近有哪些超级难吃的东西？,&gt;&lt; 我觉得吃了一次就不想再吃的有： 1. 吉姆利得的pizza 2. 蜀香村的某种红烧的鱼 3. 大学路的泡菜饼？就是一种饼啦 还有好多啊  忘记了。。。 食堂里的菜其实都挺难吃的~ 记得还有某个餐厅杏仁什么的  一股油漆味你懂的 可以去试下
在上海交通大学上海高级金融学院金融硕士（SAIF MF）就读是一种怎样的体验？, 不匿，说的都是真心话，看的都是自己人，我不在乎。答主MF在读，感同身受，有权发声。  这么说吧，我觉得现在让我没有后悔当初决定的只有身边的这群同学，就算debug到凌晨，就算DDL多到原地爆炸，就算找工作实习压力再大，总有其他49个朝夕相处的人和你一起相互扶持，并且，志同道合。  下面我来总结一下我方辩友的观点，矛盾的冲突主要是与ESO，主要三点：  第一，时间安排不合理。你从未见过一张课程表能在上面密密麻麻用7，8种颜色把一天天不停肢解以致于第一眼看到它你会觉得瞎了自己的卡姿兰大眼睛；你也从未见过一门难度堪比半个数学系的课企图让你在短短3-4周掌握并熟练运用，ESO请问你听说过艾宾浩斯记忆曲线吗？我觉得你有接受这个教育的权利。  第二，过于偏重量化。这个项目叫做Master of Finance，read after me: Master of Finance， not Master of Financial Engineering， OK? 大多数同学职业发展目标并不是做quant，请问金融数学金融计量蒙特卡洛除了让我们的生活更糟外还能带来什么？为什么不能变成选修课？  第三，考勤管理教条化。一个企图与国际接轨的项目为什么不多花点心思在招聘更优质的教师资源（公司金融课我全程关闭助听器）上，而要开发GPS二维码结合签到系统？一个企图让学生实现更优质就业的项目为什么还要一周五天天天课满偶尔翘个课去实习还要处分警告？我就不说我的同学去面试对方聊了两句问一周能来几天以后就直接再见的故事了。用马薇薇的话来说，这就好像那些渣男，一个个自己没本事还要求自己的女票一边貌美如花，一边赚钱养家。CDC的老师和班主任都很照顾我们理解我们的辛苦，为什么ESO就不能体谅一下我们的处境，一边实习一边上这些课一边做作业真的很有压力的OK？上次我的同学看了一眼我的作业问我：“你这特么写的是数学还是英语，远远看去像小语种。”  好了，希望ESO Head出来找我们面谈，不要每次都拿班主任当挡箭牌，她真的很辛苦我们也不想为难她。还有，如果真的这么注重规定，请一碗水端平，MBA翘课的人大有人在，如要处置请一视同仁，否则不能服众。  文采不佳只能写这么多了，初衷还是希望能把项目建设的更好，虽然有这么多不愉快但还是很珍惜能认识这么多超棒同学的机会。但愿有一天能学院能来打我脸让我心悦诚服删掉这个答案。 
上交ACM班还是清华CS(非姚班)?,acm班路过 绝对去清华 acm班现在只能跟北大信科比比了跟清华贵系非姚班的差距也挺大了
在上海交通大学密西根学院读研究生是怎样的体验？,密西根学院2010年才开始招收研究生，学院是比较新的，研究生和老师数量都不多，有一些制度还在不断完善，教育质量也在提高的阶段。 密院研究生都由导师直接管理，学院没有大老板和小老板的区别，所有科研的老师都可以带学生，这点和其他学院不太一样。 密院研究生待遇比较好，博士工资足够自己的生活开销，硕士工资也比其他学院高。 密院老师的研究方向比较散，机械，电子，光电等都有老师在做，具体研究方向可以在学院主页找到。这些老师基本都是美国名校毕业，一部分还相当年轻。 密院毕业的硕士研究生大部分直接在上海就业，一小部分选择出国读博。就近两年情况看，密院毕业的同学就业情况都很好，只要是平时好好表现的同学后来都找到了很满意的工作。申请方面，只要你够牛，也能申请到顶尖学校的offer. 另外，现在密院研究生有相当一部分的国际生，上课一般都是英文，相比电院，机动，国际化程度更高。
