你怎么看辽宁大学今年法律硕士突然就爆发了，报考就1400多人？,说明越来越强了 事实也是这样的 
在辽宁大学上学是什么体验？, 作为一个大四狗，一个大学四年混的还行的大四狗，自认为有资格回答这个问题。  本人经济学院金融学专业。  看了这个问题之前的所有答案，我笑了。  大家的答案大多是在描述边边角角的细节以及一些过于个人化的东西。  这也没什么错，都是很有用的信息嘛~ 但我觉得既然是在知乎，就应该说些有深度的东西。（毕竟不是百度知道和贴吧）  先吐几个槽。  一所大学，是不是综合性大学无所谓，麻省理工文科菜的不行，估计连辽大都不如，但不妨碍它牛逼。如果讲麻省显的装逼，那就问问辽宁省的广大群众，辽宁这片儿地挖掘机技术哪家..（呸） 辽宁这块儿地上各个大学的排名。 99%的大爷大妈，叔叔阿姨会告诉你，理工，东大，海事，东财。这几个都不是综合性大学。 1%会提到辽大，因为这1%人的孩纸在辽大。 我是辽大人，也挺喜欢辽大，但非常不喜欢辽大总给自己带的那顶高帽——综合性大学 特别不喜欢辽大宣传的时候总拿综合性大学说事儿，那种腔调我是烦透了。   一所大学应该为值得骄傲的东西而感到骄傲，而不是相反的   至于文化氛围、历史厚重感我可以很明确的告诉你，新校区没有，老校区我不知道。但我估计也没有，这个东西太高大上。谈谈可以，说有那就是真装逼了。  至于神马专业分布、男女比例、气候环境、餐饮娱乐，相信我，不会让你失望，但也不会有什么惊喜。而且这些跟你也没关系啊！ 专业分布跟你有什么关系？你是要把辽大所有专业都学一遍？专业少了你不服？ 男女比例更是扯淡，你找不找的到对象，关键是看自己牛逼的程度以及女孩瞎的程度。跟男女比例弱相关。 气候就是冬天下雪，夏天贼热，有什么不一样吗？这什么时候也算上大学的一种体验了？搞不懂为什么要说。（下雨天还打雷呢~）   一所大学里的吃喝拉撒睡不会因为在这所大学而变的与众不同。      排名和牛逼校友都是浮云，对于辽大至少是这样。有人会急的跳起来反驳，您先冷静下来。 注意我的限定性用词”对于辽大“。 我的想法是，中国排名在30-100之间的学校没多大差别。如果一个大学的排名在这个区间晃悠，升了几名，降了几名无伤大雅。不要悲伤，不要心急。 同样的道理，哪个大学没出过几个牛逼的人？而且我还想问一下，那些牛逼的人跟你有半毛钱关系？王健林会因为你是辽大毕业的而给你个工作吗？王恩哥会因为你是辽大毕业的就让你上北大的研究生吗？  排名和牛校友是有用，是在超过了一定量达到质的变化的时候才会发挥作用，说白点儿，北大清华的，你一出来人家会觉得你好牛逼，因为这里出来的大牛多，复旦上交能差点儿，大连理工还有点儿知名度。  辽大的，谈什么排名和知名校友不觉得搞笑吗？   我总对自己说一句话： 做人要清醒。       ---------------------------------------------无----------风----------带--------------------------------------------------------------      我不是在黑辽大，没有必要啊~我这儿毕业的，多大仇啊~就是有些话不吐不快。                       为什么，我总觉得辽大上下有一种不思进取的风气，或者说官僚主义吧。我不知道这是中国大学的通性还是辽大独有的。从一些小事儿上就能看出来，您见过不准自习的图书馆吗？ 辽大一个最奇葩的地方就是图书馆阅览室不准带书进去，说是怕丢书，但是每个阅览室是安了那种防偷书的门的，（一有图书馆的书穿过就响）  既然安了那种门为什么不让带书进去啊！！！而且那破书根本没几个人看谁又会去偷啊！   这种奇葩的逻辑居然被所有人默认！！我也是醉了！  这就导致你去阅览室，从来都是空空如也，基本没几个活人，反而大部分是拿电脑去蹭网的。而自习室却挤爆了。图书馆变网吧、自习室变蒸笼、这种事情在辽大实现了。 一个字，服。  讲讲金融学这个学科吧。我真是不知道辽大的金融是怎么排到14名的  2014中国大学经济学专业排行榜   。 我不知道别的学校金融学是个什么情况，但我想没有一个学校像辽大这样享受着上一辈人创造的名气的同时，却让人惊讶的毫无危机感。坐吃山空立地吃陷的道理就是不明白。别的不说，本科课程设计的就极其有问题，这么多年了居然没改过来。 国际金融学居然排在宏观经济学之前的一个学期，没有宏观经济学的基础，看is-lm-bp模型不就是扯淡吗！！  各种课程是学的挺多的，可跟金融沾边的没几个。 一般来说现代金融学始自马科维茨的那篇叫人无比抓狂的论文，第一次把数理统计的思维用于微观金融分析。金融学发展如今也是以微观金融、数理统计、计算机建模为主流。（以上我都不会） 你可以看看辽大有上面说的哪一种？  没错，辽大金融就是属于中世纪的宏观金融 。 这就导致金融学的课程无比杂乱，什么都学。打好基础也是好事，我只能这么安慰自己了。  辽大金融的老师大部分都是辽大毕业的。 真的大部分都是。 不知道大家是怎么想的，我觉得是很可怕的现象。  天天讲竞争会带来效率的这群老师恰恰不是靠这种良好机制上位的。  现在想想，我不知道辽大有没有真正意义上的好老师，因为那种看起来水平很高的老师，大部分时间都用在了讲故事和黑我们上。。你没看错，越是牛逼的老师越喜欢讲看见过的大牛以此来黑我们这群屌丝学生。反而是水平不怎么高的老师讲课的方面激情高涨，各种花样的作业和讲课模式，让人大开眼界，不过多半被我们冠以奇葩之名。 您见过上课只要做前两排就给加分的吗？这导致每节课上课前大家都如临大敌，恨不得拿着一把AK把前面的人突突了。但是等到冲进教室才蓦然发现，前两排确实没人，不过全被书占上了。我觉得这个课的这个环节教给我的东西比上课内容还多。什么是公平，什么算正义，我就是在这么讽刺的课堂上开始了一些思考。顺便再说两句，这个课叫《中国近代史纲要》。再多说一句，期末考试时，学霸们拿着手机查资料毫无羞耻、肆无忌惮，我觉得他们是真的学到了什么。呵呵。  辽大有牛逼的老师，有牛逼的研究，但是不能提高本科教学的水平有屁用。如果辽大仅仅是个研究所也就罢了。  不幸的是她是所大学。  宋则行先生已经去世11年了，白钦先先生还在撑着辽大金融这块牌子。只是我想，白钦先老师百年之后，本科教学又是这奶奶样，辽大金融靠谁呢？  ---------------------- 无--------------------风--------------------带--------------------------------------------------------------------      我都能想到有些人会用什么话来反驳我。 没错，中国整体的金融环境（不成熟的制度，不成熟的市场）极大的限制了大学金融学科的发展。辣么高大上的微观金融全国估计都没几个人用过。 中国高等教育的体系也容不得什么大刀阔斧的改革。 但这就是这帮孙子的借口啊。同学们。我们每个人不都是受到了种种的限制，在种种限制中发展自己的吗？我就问一句  不是北京户口难道高考你就不好好考了？  十几年前，东财号称青年疗养院。现在呢？人家牛了，咱们落后啦。咱别扯别的，你就问问当年来金融的有几个是报东财没上或者想报没敢报的。本人第一个举手！  辽大也在进步，说没进步的是看不起黄泰岩校长嘛。校长还是我心中的男神滴。 但是， 进步的比别人慢就是实打实的一种退步。      我估计还有一些人会说，大学只是一个平台，自己不牛逼，抱怨什么，sb。辽大生你养你..（呸）培养你还错了呗？ 我笑了。 我就问一句 清华和辽大你选哪个？ 按理来说这群奇葩应该对半分，一半儿去清华一半儿来辽大。 我说完了。   -----------------------------------------------伟-----大-----航-----路----------------------------------------------------------------      最后说说我在辽大读书的体验。 当年报金融，是因为读了宋鸿兵的那本《货币战争》，对金融很是向往。现在想想，现在流的泪都是当初脑额进的水。 最近在读吴晓波的《腾讯传》，我哭了，早点看到就去读计算机了。 但是，我从没后悔来辽大，因为后来想明白了，读计算机也是这奶奶样。 我对辽大这所学校没什么感情，我讨厌她的水课，她的恶心的老师，但是我对在这里经历的一切，以及与我经历这一切的人是永远也割舍不下的。 你不会因为一所学校而爱上一个人，而会因为爱一个人而爱上一所学校，大致就是这么个意思。   我在乎的，不是这所大学的大楼、食堂、吃的喝的、无聊的课程、闷热的自习室、花花草草、春夏秋冬、晴雨风雪、而是在大楼里遇见的你，陪我吃吃喝喝的你，陪我上水课的你，陪我一起自习的你，陪我压马路的你，陪我经历春夏秋冬、晴雨风雪的你，陪我一起看星星的你。      靠。不知不觉就感慨了。。  总之我在辽大过的还好，一般般。我对以前那么二的自己现在居然会用知乎了感到十分的心满意足。大学，就是一段不断尝试不断否定自己的过程。  加油吧，各位  ----2014.10.2更新------ 发到微信上之后引起了一些动静，一些同学说净整些没用的...还有人说我傻。。 好吧。其实我觉得也挺没用的，我把辽大捧上天还是黑出翔，辽大的好与坏就在那里，不增不减。 母校，就是别人黑一下就要挨揍，自己黑起来却理直气壮的嘛。  我想讲的是一个心态问题。 有些同学看我写这个肯定心里不得劲儿，我很理解。但是我还是要说，一个人的高度和境界，未来的发展和成功与否和在哪所大学毕业弱相关。  各位不必把自己自身的价值和辽宁大学这所大学进行绑定，也不要时时刻刻提醒自己“辽大毕业的”这个标签。更没有必要在有人黑她的时候急于跳起来反驳。  还是那句话，辽大的好与坏就在那里，别人说什么都改变不了。自己牛才是真的牛。   我不是认怂，我觉得自己讲的还是不错的。语言可能俗了一点，语气肯能尖锐了一点，但所有的矫枉过正都是因为我是辽大人，希望辽大能更好。爱之深，恨之切。希望大家能理解。   还有一种人根本不管你说的对不对，就是觉得你装逼，看你不顺眼。对于这种人，我也很理解，毕竟身边出了一个有思想的人肯定会感到不自在，所以我会尽量远离你。  最后，希望能有更多的辽大人上知乎。反驳我，骂我，赞我，我都接受，然后该干嘛还干嘛。  -----2014.10.6更新-------   1858年入学的亨利·亚当斯在自传中回忆自己的哈佛岁月：“哈佛教给学生的东西并不多（当然也没有教给学生太多坏的东西）……四年的哈佛学院的学习生涯，到最后你心中会留下一片空白，一个心灵的水印。”   否定。人们都是在不断否定自己的过程中成长的。不断地去相信，不断的去尝试，又不断的被现实惊醒，教育。渐渐的，我们变成了与之前不同的人，随后，又否定了这样的自己。 于是乎，当我们回首大学的四年，竟发现在心中留下的是一片空白  一个心灵的水印  也许这就是最后的答案吧，这也是我能给出的最好的答案。  -----2017.7.16更新-------  时隔三年再回头看这篇文章，没有感动或是悔恨，正像我三年前说的那样，那段时光留下的只是一个心灵的水印。当年只是把中二病发作后的情绪垃圾倾倒在知乎这么一个逼格很高（貌似）的网站上，初衷就是发泄一下然后装个逼。后来沉迷装逼无法自拔，居然开始回答一些和金融求职有关的问题，一个刚工作不到1年的菜鸟，回答这种问题，可以说是非常装逼了；后来与一大牛（貌似）撕逼失败，大彻大悟，退出知乎，直到最近闲来无事又把这个破站捡起。  我不是要以这么一段狗屁不通的话来破坏我回答的完整性，毕竟我依然觉得这篇回答的结尾非常经典，and已表达了我的所有。  只是，只是，工作2年，我深刻地意识到当初那种中二心态的危害，如果不是命运的垂青，我现在可能在大连的某家银行里做柜员，或是客户经理？anyway，有什么区别？看到评论区上百的评论和后来顺着我其他装逼问题找到我给我发私信的人， 我深感不安   我看到的是一群迷茫的人，然后我想到了这篇回答。我想，既然我没法拯救所有人（其实也说不上拯救，原谅我的词穷），那我可不可以给我的学弟学妹一些指点？给他们一些微小的人生经验？毕竟我们有着相同的母校，也许有着相同的背景， 甚至有着相同的心结    看到大家的很多评论，再一瞅发布时间，都是股灾前的事情了。。 这让我非常的惭愧    所以从今天开始，没事就上个知乎，解答大家的一些困惑。 私信优先，我一般不看评论，见谅   本人情况：辽大本科狗，魔都小公募后台FUND ACCOUNTANT，俗称基金会计，我自己把它叫“搬砖”。工作2年，年收入15w+  不知不觉又有点装逼了，不过我不说，你们可能以为我是一个柜员，这个逼我是必须要装的。  水平有限，只能指导准大学生（限211及211以下）、辽大学渣（GPA不得高于3）、辽大即将毕业的本科小白，任何高于此条件的咨询者请绕道，我又不靠这个吃饭，没必要被满级号虐，您说是吧？同行和校友不在此列，but纯撩闲也请绕道，除非你是一个有着迪丽热巴面孔的妹子  以上。 
渤海大学和辽宁工程技术大学那个好？,泻药。。。 首先我想说明一点，在知乎上提问是有套路的，你的问题里“哪个好”一下子拉低了问题的档次，问题改成“如何评价渤海大学和辽宁工程技术学院？”个人认为更能让人有回答的欲望你说呢？  然后关于这个问题，你可以从不同角度去百度去问别人， 校园环境、师资力量、科研设备、地理位置等等，从这里等别人来回答，到头来如果答案没帮到你，反而浪费了大家的时间，  个人很尊重知乎，不希望看到这样没有价值的问题  没有恶意，单纯发表自己想法     
沈阳农业大学如何能变为辽宁农业大学？,同问沈阳工业大学怎么变成辽宁工业大学
辽宁师范大学海华学院好吗？,我也录了
今年考研调剂到辽宁工业大学专硕结构研究生，不知道要不要去啊，好迷茫?,说实话我是土木学院本科生，对研究生不太了解，但是我觉得我们学校这个学院硕士导师还是很厉害的，能力出色就是学校不太受国家重视。
辽宁师范大学AIA国际课程学院学费多少？,2017年招生情况是国内3年每年学费6万，国外1年学费加生活开销预计20万左右，本硕连读下来5年总共的费用在70万左右
辽宁师范大学海华学院怎么样？,不好
辽宁大学新华国际商学院怎么样？,学费很贵，但后两年可以去英国读书。之后再申请读个英国的硕士，立马高大上！适合家里不差钱，省事想出国的同学。
辽宁考生，分数比一本线低6分，求推荐几所辽宁省内的二本大学？,谢谢邀请，我一个同学在大连交大，一个在大连海事大学。。。好像还可以 二本院校的江苏考生只能帮你到这儿了
2016辽宁省高考640分有哪些可供选择的大学？,位次多少？我是1337 我去年640，来的天大，可以有北理工，西北工大，大连理工，东北大学， 北航可以冲一下
辽宁大学和南通大学哪个好?,我辽211已沦落到和这什么二三本比了？
辽宁科技大学求评价?, 答案较长，请耐心阅读————Old Driver   ————————————2017.04.13 更新 分割线——————————————  考研的千万就别来了，科研真心不行的，不要耽误三年时间。讲道理，好好复习去哪个211都是可以的，再者即便调剂去不了好学校，去个好点的城市努努力也行，不要浪费自己三年的大好时光。这个时候一般人对自己未来规划想的应该是比较清楚了，如果实在没得选，还不如二战或者直接工作。答主从工科跨到了五院四系的法律硕士就是不希望以后就这么混日子下去了，努努力很多东西是可以解决的。如果实在想混个学历混混日子，科大的研究生可以自己考虑下。  ———————————————————原答案分割线——————————————————     套用杨洪泽老师一句话“科大是你能来的最好的学校”。前提是你来了，如果你没来，能去往更好的学校当然更好。总体来说在国内属于一般的院校，和同类大学相比不会有太大的差距。 主要看个人如何对待大学这四年的生活。工科就业率挺高，但是这些专业就业环境和发展不是很好，学校这个平台能提供的帮助不大。  ————————————————2016.09.13更新  分割线————————————————   本来问题过了一年半，人也毕业了。但是还是编辑以下更新作为对匿名用户更新的回应，希望同学们都能有个美好的前程吧：首先非常感谢你能认真的探讨这个问题。但是麻烦你把我的话看完，谢谢。   “套用杨洪泽老师一句话 '科大是你能来的最好的学校'。  前提是你来了，如果你没来，能去往更好的学校当然更好  。 ”你不能把我的前提给省略了啊（敲黑板），选择性的反对不够客观吧。再次，抖机灵的话我想你还是留起来吧，长者的经验还是少用来评价自己的好（个人意见，不喜可忽略）。  最后，对于高考完的考生来说，你所说的：    1、考察城市等级、经济发展状况；  鞍山属于东北第五大城市，经济发展势头不算好，但是离沈阳近，附近辽阳鞍山企业众多，京津地区和河北山东的就业也有部分覆盖。也算得上可圈可点，对于南方考生来说出省多半是折中之选，而北方考生的同类选择之中也不算差的。    2、专业的就业前景，考生大多先选专业再选学校；  即便先择校，科大的专业，也没有那么次，我不知道你对科大的专业水平有什么了解，作为典型的工科院校，冶金高镁就不说了，化工的煤化工专业之前周师庸教授是“应用煤岩学”的创始人，我毕业设计的导师也是院士带出来的博士后，课题组的导师都是复旦的博士具有留学经历，同时，随着学习的深入，越发能体验到学校好多东西到毕业都没有学习到，甚至实验室的好多设备都不熟悉（当然，这和自己的课题方向有关）；采矿和自动化以及土木的老乡不是考到了北科就是签了中建，这种程度如果还不能满足我感觉是不是不应该考虑科大这个层次的院校了。    3、住宿条件  我就不说啥了，你去中南财经政法大学看看，研究生是什么住宿条件，211院校经费没有科大多么？再看看中国地质大学8-10人寝，这么说吧，  全国高校的平均住宿条件还落后美国五十年以上。  相关资料： 为什么中国的大学宿舍环境比美国一百年前还要差？   对此文，我当时的论述是:不光物质条件，学生 的思考水平也是屌丝化的，那个更迫切。当年西南联大条件那么差也没少出人才。科大大部分宿舍在校外，附近有生活区，对比在郊区的高校校区算是比上不足比下有余了，有独卫，附近澡堂也不算少；校内没独卫的相对住宿空间也大点。而且毕业后我看学校也没少兴建建筑设施。    4、教风学风  ，这个学风建设活动你在校应该比较清楚了。当年飞信杯校赛我还正好打过“学风建设关键在于老师/学生”这个辩题，学校老师的师资水平我想教咱们是绰绰有余了，教风的话如果有心你是能看到教学质量管理处每年查课、座谈、不记名调查问卷收集意见的，还有毕业也会有问卷统计教学情况，至于认不认真反馈就是自己的事了，至少学校不是毫无所动。学风的话，我想要是都是自觉的话也就没有这个问题了，提到学风，一个是学校已经在抓，剩下的是不是学生自己该自觉点了。四六级认真学的有几个，不是考虑就业，学校会不严抓考试？会不卡毕业证来逼四六级通过率？    综上，我只是说科大只是个普通的学校，担不上你这么重的锅。每个学校都会有缺点，但不是说“千万别来”就能帮助学校有所改善的，学校的发展最主要的还是靠你们在校师生的努力。 此外，别老想着什么官方性质，一个贴吧还整出来官方来了，想太多很累的。而且新生外地占了绝大多数，多半还是在高考以前从没独立出过远门的，你让人家大老远的到处学校去考察，不知道考虑过现实性没有？以上，欢迎实名交流  ————————————2016.12.15 回 新の匿名用户 分割线——————————————  谢谢你认真看了我的回复。  关于学风教风等问题很多都存在，我并不否认。我想说的是，很多学校都存在这样那样的问题，但是还是要自己多发现学校给自己提供的学习和进步的机会，多在自己身上找问题，发挥自己的主观能动性。调查问卷水分多大其实大家都清楚，但是至少这个形式还是能在这个渠道上以某种方式反映出一定程度的问题的。毕业那个问卷的话其实公信力更高一点，必填而且网上个人填写，匿名统计，其实说这个本质上还是想提醒大家有机会行使自己的权利的时候自己要多珍惜。至于我评价的也不能说完全客观吧，毕业了总是会怀念母校的人和事，所以也是努力想给学校一个说的过去的理由吧，毕业之后进入社会会有更残酷的情形，对比其他学校来说科大真的是很普通的不上不下，而国内大多数高校基本都是这样。好在科大的发展没有跟着东北的经济走下坡路，至少还算是不上不下。  第二个领导的问题，其实在不同方面都是一个问题，如果你考研的话，对“官僚作风”、“形式主义”和“教条主义”一定不陌生，这个是社会大环境的问题，说实话没办法避免，你会经常在新闻中看到高校关于乱闯学生寝室以及一些颇为离谱的校规，好在科大没有。同时在211院校我也看到过在开学前自习室和教学楼就人来人往的场景，那种学习氛围科大可能一年之中也就不到一个月。科大的图书馆寒暑假早早的就闭馆，教学楼更是有机会就封楼。  我说个自己体验的事，我毕业之前，因为是外地的，特意提早订好了特价机票（比卧铺还便宜）准备答辩完就走。我特意咨询过往届毕业生和其他学院的毕业生，得到的答复都是办好委托领取毕业证的手续就可以带领。结果答辩前大半个月辅导员打电话说不能批，要求找书记松口。嗯，打电话书记人一口政策规定咬死（反正我不管），可以，我理解你们怕担责任，严格要求，我改了机票，扣了手续费。结果答完辩了迟迟不通知离校具体时间，我的班次赶上了离校的最后一天上午十点，而这个消息知道离校前三天才通知。这也都没什么，我多等了半个月，我认。最后通知下午发证，我没办法去找老师准备提前半天领证，辅导员告诉这事归主管教学的副院长管书记管不了，嗯，主管教学的副院长又告诉归分管行政的副院长也就是综办主任管（我：微笑脸），综办主任不在办公室，电话也打不通，白跑了三四趟后综办主任电话打通了，要求我理解学院工作，对，你理解学院工作就行了，至于理解学生，此处省略若干字。后来带着极度无语试图去找辅导员，辅导员是答应了，教务办的老师又不同意了，本来准备不要这个特么的证直接走了，好在这个时候主任回电话发证了。屁颠儿的跑去教务处等着第一批发证给老师然后找自己的，忙完这些之后十五分钟我就离开了科大，再也没有回去，没有回头。  第三个就业的话，我只想说除了绝大部分985/211，剩下的学校毕业生想找到满意的工作基本都靠自己出去找，这是一个普遍情况。另外科大真的在非重点专业行业内没什么知名度，而且即便是强势专业的行业就业形势也真的很差，这点无可否认。所以我一直和我的老乡以及学弟学妹强调多把握机会找准自己以后的路，多学点专业知识，只要能用得上。在就业上，科大真的帮不上太多，求人不如求己。  第四个考研我可能也算是有点点经验了。工管别的不清楚，去年考400+的珊姐我还是比较熟的，我们一起组过创业计划，一起上过考研课一起吃饭聊过，怎么说呢，事在人为吧。我们学院去年也考了七八个天大，我的老乡也有不少考上北科之类院校的，加加油，有这方面的考虑多努努力总会有收获的。  第四个教师质量。其实这个话题特别有意思，也是我没考虑到的一个角度。其实我在大学和老师接触的算是比一般同学多了，抛开负责行政管理工作的老师来说，工科专业的老师大多给我的印象是在专业方面比较精通和钻研。我毕设的老师其实不是我本专业的，我之前跟老师做过课题实验而已，老师在没有教学任务的时候一直忙着带学生做课题看论文，指导我们的项目进程。我专业课的几个老师多半也是专注于自己的研究领域，除此之外多的话基本从来不讲，无论是课堂要求严格还是松散，都是如此。我们几个还和英语老师保持了很好的私交，大三大四直到毕业还经常吃个饭聊聊，真的像个姐姐一样。至于思政课那边，我从头到尾一直都是课代表，除了马原讲外星人的那个老师，我觉得大多数老师工作也算得上是比较认真了。其中故去的周博文老师是个对学生很有心的一个人，可惜大一刚来接触不多，后来就没有交集了。其实，从史纲老师的朋友圈还发现，科大的年轻女教师对晒孩子倒是充满了热情，也算是另一个趣事了。至于那种三观不正的老师，我还真没怎么见过，说个实在话，尽量离远点吧。脑子是个好东西，但愿人人都有它。  第五个住宿没啥可说的，反正都在那儿摆着，见仁见智。  第六个早操晚自习。我们那地方以前上学没跑过早操，不清楚怎么评价。个人感受是有不到三成的好处（早起、吃早餐），剩下的就算了吧，天冷又雾霾，上午打瞌睡这种弊端太多了。晚自习对想学习的来说真心是个好东西，关键在于如何执行，保证平等对待（排除过多的社团活动出观众和学生会内部活动的影响）和坚持四年（保证自习室的长期稳定开放），不然问题不断还没效果。说到这里我又不得不说了，全国很多高校都开放通宵自习室或者在寝室楼层开设24小时自习室了，效果怎么样学校至少应该尝试下或者给个不学习借鉴这种举措的说法。  关于饮食，交通，鞍山这座城市，同略。  补充杨老师。“杨老师”是一个尊称，仅此。他是一个极富话题性和争议性的人物。和他接触不算太多，但是面对面小范围的交流也是有的，大概是得益于打了几年辩论的机会。个人感觉是语言和思维上有些大开大阖的形象，打破了传统教师刻板的形象，但实质上对于部分问题是避重就轻迎合观众的论述。在心理学方面和青年心理学、教育心理学没什么研究，他肯定比我们专业，但是也没有那么神。总的来说只不过是知识和阅历比我们丰富，口才不错，善于迎合学生心理。其实还有一个感觉就是杨老师特别自信，有时候会有点点自负的意味。关于课堂要求，个人觉得是教师自己的权利，没什么太大的问题，虽然我没上过他的课（报告不算）。如果对课堂要求有意见，要么不选，要么不去，要么能有机会对话说服他，我是这么理解的，自己做的事后果自己承担就行。  以上内容均以个人学习生活经历为基础，仅对事实判断的真实性提供保证，对价值判断的取向性在个人主观限度内负责。如有不妥，私信侵删。 
辽宁大学与首都经贸考研上哪个。？,辽大吧，首先211，其次企管专业课就一本复习起来简单，给分还高。复试也简单就是面试，经贸虽然专业课给分也不低。但是你要看好了初试专业课考几门。
辽宁大学校长潘一山有多腐败？,这个问题 不好正面回答 只知道 潘来辽大之前 毕业于辽宁工程技术大学 也就是当年的阜新矿业学院 关于对他的举报 网上可以轻易搜到 他担任辽工大校长时 与阜新社会几个名人 因为利益纠纷 就有很大的冲突 他的院士资格来源 也受到很大质疑  目前官方落实的 就是他涉及人大代表贿选
本人18考研的，跨考经济，以后想在天津就业，是选天津财经大学，还是辽宁大学，二本金融学院渣渣？,在天津就业为什么选辽大，天津的各大金融机构里基本上没有辽大毕业生，哪怕在北京也是天财认可度高啊，也就是说辽大没有校友优势
在辽宁师范大学就读是怎样一番体验？,我有一个处事圆滑，在此是褒义，性格很好，不太爱生气的同学，来了半年，她是15届的，被学校和学院逼得天天在微博里发泄。我也是这个学校的，对我个人而言，学校的弊远远大于她的利，我是一本b，但是是非师范的，垃圾筒里不能有垃圾，桌子上只能放书，床上不能有人！！！学校的被就是供着的，不能用还得花钱买，我也不知道是不是学校领导的被也都是叠成豆腐块的，学校真的真的真的很穷，或者是钱都用到别的地方了，反正我这半年并没有感受到学校很有钱的样子，每天晚上都要查寝，有的时候形式主义很严重，这个也许是每个学校都有的弊端吧。有的时候导员的人品也是很重要的！！！说实话，我很后悔。
2017辽宁高考文科449分能考什么大学，报辽宁传媒学院能录吗？,什么专业啊
说说你为什么来到辽宁大学。？,高考估分估低了40多分，一时糊涂
辽宁各大学如何排名？,理科 大连理工 东北大学 大连海事 文科 辽宁大学 东北财经 经管 东北财经 辽宁大学
山东考生，西北农林科技大学华中农业大学湘潭大学西北大学南昌安徽辽宁大学选哪个比较好？,学金融财经去西北大学和辽宁大学
想考资产评估研究生，东北财经大学跟辽宁大学哪个好？,东财。  本人，评估专业本科毕业。国内专业排名至少前五，财经院校类排名靠前，大连及全国知名度都远高于辽大。  另，请参考考研分数线，东财应该远高于辽大。
