南京航空航天大学高水平艺术团文化课考试难吗？,过两天南航见
考研二战，南京航空航天大学，控制工程专业，你愿不愿意在最后的70天的时间里和我并肩作战，实现愿望呢？,南航只要985毕业的，连自己学校的都不要，别想了
南京航天航空大学对外合作专业？,南航在湖北不招文科工商管理，至少2015年是这样，你可以考虑别的专业，
从南京航空航天大学将军路校区骑行到鸡鸣寺有没有好的路线推荐？,往南，黄龙岘，那有骑行车道，风景不错，我之前就在百家湖出发，黄龙岘，石塘竹海，往返80公里，江宁美丽乡村
南京航空航天大学飞行技术专业的出国学飞一般去哪个国家，淘汰率高么？,公司决定去哪就去哪，前边有人说过大概都去哪个航校了。  可是（敲黑板）有的公司和南航大签了合同，合约五年，这五年内的所有学员都全权交给南航大管理，包括出国。也就是说一面面南非（艾维），二面再由公司安排，或者还是南非，不出意外就是去南非。_(:з」∠)_  南非淘汰率很低，可是考试难啊 南非出国早，可是回国的晚啊 南非消费少，可是没地方花啊  匿了，不要被人发现我
南京航空航天大学？, 泻药！  啊？ 
南京航空航天大学动力工程及工程热物理学科下读研专业推荐?,传热，宣益民。发动机周正贵还是有些名气的。
沈阳航空航天大学在航空系统里地位如何？,不好意思不太了解沈阳航空航天大学啊，可以去百度了解一下吧。  看百度的介绍规模还是挺大的学校，应该是国家重点学校。尤其沈阳飞机制造厂是国家重点企业，战斗机歼11都是在这里生产的，所以沈阳航空航天大学也应该是一流大学。
世界上哪些大学的航空专业或航天专业是顶级的？,Stanford， Purdue， CalTech， Georgia Tech， Ohio University， Delft University， Cambridge University.
有一个南京航空航天大学的男朋友是怎么一种体验？,6 男友邀请↑  写在前面我想说的是希望南航的朋友们多去托乐嘉那个西尾抹茶坐坐我每次去都包场真怕下次去这家店倒闭了我就吃不到抹茶千层了 (｡•́︿•̀｡) ———————— 和男票高中同校，其实当初没有太多交集，普通到不能再普通的普通朋友关系。在一起是高考后的事了(｡･ω･｡)ﾉ♡ （具体怎么在一起的可以看他的回答  @木罹  ） 和男票都是弗兰人，同一届高考(･ิϖ･ิ)っ 后来填志愿，我说我想去江苏，想去南京（我高考后搬家到常州，想去南京是因为1离家近2是我很喜欢南京）然后他就填志愿时一共五个志愿填了四个江苏的学校，第一志愿就是南航。 然而出结果那天，很不幸我滑档了（事实证明不要相信手机上那些预测分数线投档线之类的垃圾app，垃圾！！！！） 与南京无缘，到了长沙。而他顺利录取到南航的民航专业，就酱紫，异地啦。 ↑以上是背景  我算了下，我已经去过八次南京了，当然相比日日夜夜都生活在这片土地的人们，我只是一个过客罢了。我喜欢南京，非常喜欢，南航大概算是我在南京唯一一个可以驻足休息，有依靠的地方吧。   南航很好，在我眼里它唯一的缺点就是不像隔壁的河海一样有一坨一坨的猫。 男票是理工男，总爱给我说些我不懂的东西，但是我又非常喜欢听他讲，虽然我依旧听不懂。他非常温柔，脾气很好，懂世故而又不世故。在我面前他就是个小孩子，偶尔也会呆萌犯蠢。 他嗜书如命，照他的话说从小就是这样的。热爱科幻，受他影响我有时也会捡起几本科幻小说读一读。身边的人都喜欢叫他小黑，因为肤色，其实我觉得还好啦，不过在我的强烈要求下他总算会擦防晒霜了，然并卵，暑假学了一个多月的车他是真的黑成非洲人了。 在学校他并不轻松，相比我这种不用学高数大物打代码的专业，他的任务比我重多啦，除了学习外他还要忙校科协的事，每次做推送都要两三个小时，我很担心他那双摘下眼镜十米开外人畜不分的眼睛马上就要失明了。最近他们要准备招新，又要忙一段时间啦。 平时有假期的时候他会来长沙看我，或者我去找他，一般见面都在开学前，因为我在常州离南京近，见面很方便(｡･ω･｡)ﾉ♡     有时候他会给我写信，买零食之类的，他也非常死板啦。我说我喜欢抹茶他就给我买一箱抹茶饼干，吃到快吐了ヽ(´･д･｀)ﾉ   我很喜欢猪，之前和他去宜家就给我买了个猪，他说把这头猪当成是他     附上他拍的照片(･ิϖ･ิ)っ  诶，关于这个问题，什么体验嘛。 和男票在一起一年多，能坚持这么久主要是因为他，期间也有吵架到不可开交的时候（主要是我吵），但是感情是越来越深的。我想三观性格相符是非常重要的一点。 顺便羡慕南航的食堂，小火锅酸菜鱼真便宜分量又足，反正每次去我就想吃食堂别的都排后边，还有什么时候引进几只猫呀这样就不用跑到河海撸猫啦ε=(´o｀) 放两张自己拍的南航     想到别的再更吧(๑•ั็ω•็ั๑) ———— 更一下吐槽 男票个萝莉控，天天背着我看小萝莉还说好喜欢，蓝过。   
各位师兄师姐前辈们，我该坚持理想还是考虑现实，考研华南理工大学or南京航空航天大学?,这个完全没有必要纠结，必须华南理工啊！优缺点你都摆明了，还犹豫什么！至于你以后想在航空航天领域发展，去了南航也不一定就能进航空航天系统，去了华南理工也一样有机会进去，静下心来，好好复习考研吧！
如何评价沈阳航空航天大学？, 刚入学不久，不建议来沈航。  厕所脏乱差，在厕所频繁出入感觉自己要得传染病。  寝室六人一间，上下床，铁床，上铺稍微一动，下铺就跟着晃，晚上睡觉连翻身都不行。  军训管理极其严格 ! ! !   
南京航天航空大学考研会计专业多少分能考上？推免生多少人？,南航还有会计？
南京航空航天大学的情报学专业的历年研究生招生人数是多少啊？,雾草竟然没有听说过我航有这个专业
请教南京航空航天大学可以由理科转专业到文科吗？,转过专业的来回答～不过我是一院院内转的～其实只要你成绩专业前几，想转那转那，成绩是最大的问题，没有成绩就没资本谈转专业的事情的（当然家里有钱也好说）。是不是满满的负能量……不过也是大实话
南京航空航天大学在其他大学招飞行员需要什么条件？,做过近视手术肯定不行了，散瞳的时候能查出来。
河师大的女生，本科数字媒体设计，跨专业考南京航天航空大学的计算机科学与技术专业，可行吗？,不知道为什么邀请我。。。 我是本科材料物理 想转数字媒体设计。。就我自己理科方面的和想转专业来给一些建议吧。 首先你要想好为什么你要转，你是因为实在厌学不喜欢这个专业还是听别人说的关于就业的问题。 其次 从文科（我理解的数字媒体设计是拿计算机软件进行设计，应该不难，零基础也可以学）转到理工科，个人不建议，理工科研究生是干嘛， 是搞研究啊，你如果没有基本的概念 你研究生过去怎么办。 而且光从你说的另外一个专业的名字来看，我觉得不像一般的文科那么好补的。  其次，其实不管你干什么，你一定要先去调查，切实地了解到另外一个专业和你的专业的交叉点，不同处，你可以去查查你们的本科科目都有哪些，不要理所当然的想象你想转，然后你就开始问可不可以。。真的像楼上说的，没有不可行，看你有多想！！  总的来说按我对自己本科的理解，太学术性的物理材料工程什么的还是别了，因为真的难度很大，如果你大学开始就没有学过什么理科知识了，不过我觉得大学其实没学太多实在的东西，但是确实四年积累的不仅仅是知识，也是一种对该专业的概念化，明朗化，对以后的一种发展的见解与经验，甚至是人脉。。   不过还是。看你有多想！  最后就是，考虑清楚你能付出多大的努力，你以后会不会后悔，你的家人会不会从经济和精神上给予你足够的支持。最后就是我觉得人生一切都要有plan B，要做最坏的打算，万一失败，你能否接受。  可不可以，其实真的是太多因素影响的，没那么简单的，看个人。（比如家庭是否有关系帮你过复试，你是否自己之前有自学过等）
在南京航空航天大学就读有什么有意思的小知识？, 也不知道现在大一晨练和下午跑操打不打卡了，，，  初春的花都很漂亮，，，  希望题主有幸分到和园宿舍，，，  欢迎就读南京航空航天大学！   
如何看待南京航空航天大学即将建设并于2019年招生的溧阳校区？,把飞行这颗老鼠屎踢出江宁校区，搬到新校区。  一点点小扩招，问航空公司拿的钱也变多了，校方岂不是美滋滋。
在北京航空航天大学就读是一种什么样的体验？,北航是一个你只有来过才懂得她的美的学校：1.校风很好，学术氛围比较浓厚;  2.校园面积大，保证你四年也有没看够的新鲜感；3.你会学到几门你未来可以作为谈资的课程，航空航天概论、模拟驾驶飞机、金工实习等等......（吹牛撩妹专用，哈哈）4.由于男女比例问题，搞基也是很受欢迎的脱单方式......（越说越不正经了）  总之呢，在北航读书确实给我留下了一段终身难忘的体验。作为一个老毕业生（04级，暴露年龄了)，没有体验过复兴音乐厅（更正：应该是晨兴音乐厅，还是暴露了年龄的赶脚）也不知道现在校机的故事是真是假，但就是觉得北航很好，恩，有人捧场的话我会再补充。        补充于9月15日:思考了三个月，终于在月圆之夜有了灵感。（哈哈，我不是吸血鬼）        相信北航的很多学生都有试过在考期到图六（图书馆的第六层）占座上自习，回想起来这个行动（请允许我这样称呼它）竟有些感动：那是人生中第一次感受到体育课的重要性，第一次感受到合作的必要，也是第一次意识到人与人之间最原始的竞争的存在。下面细讲一下：因为考期吧是特别需要突击复习的，所以你不能北京摊在宿舍，更不能到恋爱密集的自习室，因此大家把目光一致集中到了环境良好，离群书最近也是最庞大的自习室----图书馆六层。那么问题来了，2000个人看中了图六，图六只有200个座，肿么破……还用问吗，抢啊！一开门您就飙到那儿，挤不上电梯您就跑上去，这次明白TD线不是白跑的吧。您起个大早就占一个座，不值吧，那就多占几个呗，一个给舍友，一个给喜欢的女孩/男孩，搞不好还能升级一段爱情/基情。这就是我和考期和图六的故事。    未完待续。下次写TD线 接着补充:TD线的种种那般         我现在也没有很理解这个名词的中文翻译:体能锻炼？那为啥缩写不是TNDL……这真是个脑洞问题......不过“体能锻炼”这个说法还是得到了大家的一致认可，那就姑且认为这就是正解吧。      第一次跑（爬）TD线，恩，还是在大一小军训没有校园卡的阶段，是从后门/出口倒着进去的？！关键点就在于正着跑都有难度的TD线，倒着跑简直就是漫威......因为有一个上高台然后撸杆滑下的环节倒着进就意味着爬杆上高台……不过当时居然有同学做到了，还是女同学？！当时也算是火了一把，起码我毕业十几年了都忘不了这个梗。       之后正式体验TD线貌似是大二？好像大一不用跑，要么就是体育腾飞后就可以免TD次数，记得我大一没有腾飞原因是体重过轻？！后来努力了半学期，把体重搞上去了，就飞了（捂脸）…可惜体重再也没有机会退回原来的样子……记得每次跑TD都像挤上班时段的地铁一号线，争先恐后，你争我赶，至今也不明白为啥要搞的这么有竞争感.....想到再继续补充......
南京航空航天大学辅修学位。？,据我所知，南航没有第二专业和辅助，你可以根据自己的兴趣去学，旁听考证
如何评价南京航空航天大学（史上最客观，最全面）？, 本文通过分析 南京航空航天大学全国排名 、 南京航空航天大学优势专业排名 、 大学官方介绍 、 网友评价点评 等多维度分析南京航空航天大学好不好，希望给正在纠结大学选择的浏览者提供参考：    看大学官方介绍      南京航空航天大学座落在钟灵毓秀、虎踞龙蟠的历史文化名城南京。自1952年创建以来，已经成为一所具有航空、航天、民航特色，以工为主，工、管、理、经、文、法、哲等多学科协调发展，国家“211工程”建设的全国重点大学，是全国56所设立研究生院的大学之一，学校现隶属于国防科学技术工业委员会。   南京航空航天大学现有明故宫和将军路两个校区，占地面积近2600亩，建筑面积70余万平方米，图书馆馆藏文献296万余册。现设有航空宇航学院、能源与动力学院、自动化学院、信息科学与技术学院、机电学院等13个学院；设有无人机研究院、高新技术研究院、直升机研究所等68个研究机构；建有51个实验室，其中国家级重点实验室1个，部级重点实验室和部级开放实验室8个。现有本科专业44个、硕士学科点127个、博士学科点52个(其中一级学科博士学位授权点10个)、博士后流动站9个，涉及8个学科门类和37个一级学科。飞行器设计、机械制造及其自动化、工程力学3个学科为国家级重点学科，流体力学、通信与信息系统、微型飞行器设计与制造等8个学科为国防科工委重点学科，机械制造及其自动化、航空宇航推进理论与工程、导航制导与控制、电力电子与电力传动、计算机应用技术5个学科为江苏省重点学科。   南京航空航天大学现有教职工2800余人，其中高级职称教师850余人。教师中具有博士学位的比例达到35.1%，有博士生导师182人，中国科学院院士2人，双聘院士8人，国务院学位委员会学科评议组成员3人，“长江学者奖励计划”特聘教授3人，教育部首届高等学校教学名师奖获得者1人，国家级、省部级有突出贡献中青年专家22人，入选省部级以上各类人才工程近百人，包括入选国家“百千万人才工程”8人、教育部“跨世纪优秀人才计划”3人、教育部“新世纪优秀人才计划”6人、江苏省“333工程”33人、“青蓝工程”38人，享受政府特殊津贴专家133人。现有全日制在校生约24000人，其中本科生15390余人，研究生5700余人，有港澳台和国际交流学生120余人。    南京航空航天大学是高层次人才培养和科学研究的重要基地。学校始终坚持以人才培养为根本任务，以教学工作为中心，以教学质量为生命线，全面推进教育教学改革，逐步建立起符合教育规律和社会需求、与研究型大学建设目标相适应的具有南航特色的创新人才培养体系，取得了一批较高水平的教学成果。自1989年国家设立教学成果奖以来，共获部省级以上教学成果奖74项，其中国家级优秀教学成果奖17项。现有国家工科基础课程教学基地2个，国家级精品课程3门。共获得全国优秀博士学位论文3篇。在“周培源杯” 全国大学生力学竞赛中2000年、2004年连续两届获得全国高校团体第二名，在全国大学生数学建模竞赛、全国大学生电子设计竞赛中居于前列，在第八届、第九届“挑战杯”全国大学生课外学术科技作品竞赛中总成绩分别列全国高校第八位、第五位，荣获团体优胜杯，在“挑战杯”中国大学生创业计划大赛、全国首届无动力飞行大赛、江苏省大学生力学竞赛、江苏省大学生非数学专业高等数学竞赛等各类竞赛中，南航学生屡屡折桂。建校以来，学校已为国家培养了9万余名各类高级专门人才，其中包括20多位省部级党政军领导和院士，以及一大批科技专家和管理专家，他们已成为我国各条战线上的骨干力量，为国防现代化和国民经济建设作出了重大贡献。    学校历来十分重视科学研究，形成了基础研究、高新技术应用基础研究与国防型号研制任务并驾齐驱的科研工作格局。学校自行研制成功了21种型号的飞行器，创造了我国第一架无人驾驶大型靶机、第一架无人驾驶核试验取样机、第一架无人驾驶高原侦察机、第一架无人驾驶直升机、第一架通过适航认证的轻型飞机、第一架微型飞机、第一个三自由度飞行模拟转台、第一台超声电机等我国航空科技史上的若干个第一。“九五”以来，承担重大科技攻关、“863计划”、国防工程型号、国防预研项目等共900余项。自1978年国家设立科技奖项以来，学校共获得各类科技成果奖1316项，其中国家级奖54项，部省级奖1093项；1991年以来，获部省级以上科研成果奖数量有9年居全国高校前10位。   学校积极推进办学体制改革和对外开放，先后开拓了中央部委联办南航及部、省共建南航的新途径。学校不断加强与总参谋部、总装备部、各军兵种、各军工集团公司和民航企事业单位的联系与合作；积极开展广泛的国际合作与交流，与国外和港台地区的50多所高校及一批著名企业建立了长期稳定的合作关系，形成了“服务航空航天民航、服务江苏，面向全国、面向世界”的开放型办学新格局。   在半个多世纪的奋斗历程中，南航人践行“智周万物，道济天下”的校训，创造了独具特色的南航文化，形成了“团结、俭朴、唯实、创新”的优良校风，凝练了“负重奋进、献身国防，唯实创新、志在超越”的办学精神。   在实现中华民族伟大复兴的21世纪，南航进入了从教学科研型大学向研究型大学发展的新阶段。南航人正在实施“以人为本，注重内涵，强化特色，加速发展，创建一流”的发展战略，向具有国防科技特色的高水平研究型大学迈进。       看大学排名    2016南京航空航天大学排名 ：全国综合排名第64位   大学星级 ：4星级    看王牌专业      看校友评价    1、 生活条件怎么样 ：  　　现在2个校区发展得都可以了，周围的商业氛围都不错，尤其是江宁校区，出北门就有一个大超市，常用的东西都可以买到的。交通算是便利的，地铁、公交、的士都是有的，  2、 住宿条件怎么样 ：  　　大一大2在江宁，是四室一厅一卫一阳台，大厅里有电视（有几栋楼没有）热水器、洗衣机。部分学院大三要搬到本部（明故宫）去，那里就差了，没独立卫生间，六七人一寝室，洗澡要多远跑多远。  3、 学习氛围好吗 ：  　　学习氛围那是极好的！大一的的时候可能会管的比较严，要早读，还有课程安排比较多，作业比较多，毕竟大家都是刚刚开始独立生活，有人督促是件好事。但是要论学习氛围，还要去本部，绝对的学术氛围。       我生活工作在加拿大，为了方便大家交流  工作之余 ，我建立了    【南航校友会】     我现在供职于加拿大蒙特利尔庞巴迪宇航公司，已经移民加拿大，在蒙特利尔定居多年  无论你是哪届的，无论你身在何处，都欢迎你的加入  无论是生活还是学习，这里都是你的家，有你的一席之地  大家都知道，清华校友会很有名气，就是因为大家彼此分享信息，包括生活和工作的  同样的我们南航也一样牛B  +我的V信，拉你进群 
我是南京航空航天大学的，脑补一下如果南航和南理工合并那会怎样？求各位大神回答。?,并没有什么卵用。只不过可以用自己的炮打自己的飞机了。。。
如何看待南京航天航空大学的中外合作项目?,我也考虑这个项目了，但是专业跟我向往的差距太大 建议题主如果不是自己心仪的专业，学费还高就放下吧.985只是个牌子，你的分数应该可以上个好211了，也是不错的选择!
四川大学与南京航空航天大学该选哪个？,当然是中国地质大学（武汉）啦 不要多想，来吧
我是南京航空航天大学机械工程专业的大三学生，马上大四了，还在纠结要考研还是直接工作，求大神指导?,考研啊。当初报这个专业是因为高考发挥不理想，又不至于复读。选这个专业考研去向蛮多的。很多好大学都有这个专业。如果本科生就业，这个专业的待遇并不是很好。
如何看待南京航空航天大学五四评优？,虚的
北京科技大学 南京航天航空大学 两所学校求对比？,谢  @李钧泽 邀。  一、基本情况和学术建设。   1.基本资料    【知乎的排版我真是醉了，做好的表发出来都乱了，心灰意冷之下截图都没截到边框，逼死强迫症= =】  备注：  ①排名选用了中国校友会网的数据：   2015中国大学排行榜700强详细榜单     满意度排名来自学信网：   全国大学生满意度50强高校     ②各校各头衔人数均有龃龉，故只列人数不再计较。如果想了解细节并且喜欢撕的话欢迎前往百度“211吧”，看各大院校校友撕破脸皮深度互扒。  ③ESI论文指标、国家精品课程、国家级特色专业等其他资料不再多讲，感兴趣的同学自行整理吧。    2.教育部学科评估     北科     南航     通过上述比较可以看出，在一定程度上，学术建设方面北科优于南航。     二、生活方面     1.环境：   北科地处北京毗邻四环，位于高校云集的学院路，无本科分校区。占地约80.46万平方米，校舍建筑总面积84.49万平方米。  南航地处南京，学校建有明故宫和将军路两个校区，占地面积2448亩，建筑面积92.5万平方米。    从地理区位方面来讲北科优于南航。     2.宿舍：    北科   目前学校本科生公寓楼共有六栋，一般为六人间（七斋为四人间，部分拐角处寝室为五人间），  七斋住宿环境较好，其次为八斋九斋。  上床下桌，无独卫，有空调。全天有网，周日-周四晚上11：30熄灯，周五及周六、考试周及夏季较热时晚上不熄灯。   南航   本科新生大一大二全部在江宁校区就读，部分专业大三大四需要回本部（明故宫校区）。  江宁校区宿舍分为四大区域：怡园、博园、慧园和东区。  怡园/东区/博园是4人一小间，4小间（偶尔也有5小间）一个大套间的格局。大套间包括：1个卫生间，1个客厅，1-2个阳台，4-5个小寝室（包括4张整合式的桌床）  东区宿舍理论上说是现在条件最好的宿舍，以怡园为蓝本，大体结构和怡园一样，但是空间大，每个小宿舍都有个独立阳台，装修也比较新，柜子很多，而且为木质地板。  慧园的格局和其他宿舍区有所不同，慧园是若干个小间组成的，每层呈"回"字行，两间小宿舍连一个公用卫生间。慧园宿舍内是，一排书桌和书橱，床是上下铺。  【参考资料：北科： 【攻略】有关宿舍及上网   ；南航： 【2013新生服务】家在南航·四大宿舍区内部照片一览   】   住宿条件南航优于北科。     因为快要熄灯了，而且答主并没有在南航有生活学习过，所以生活啊娱乐啊什么的暂时只列举这一项，详细一点的资料可以去看一下两个高校的贴吧新生攻略帖：  北科： 【答疑汇总贴】新生所有问题在这提问     南航： 【心约南航】南京航空航天大学2014年高考招生相关信息导航贴     （请允许答主恬不知耻地自夸一句，所有高校的贴吧新生攻略帖，我壳的一定是最好的O(∩_∩)O~因为最早是答主编的哦~）   总的来说，生活方面各有优劣，关键看自己喜欢何种生活方式    完  完了吗？  当然没有！   最后的才是重点！   3.妹纸    身为理工科院校，妹纸一向是紧缺资源。所以男女比也是广大学弟学妹填报志愿时参照的重要指标之一。  目前答主能找到的资料里面，北科男女比大约在（1-2）：1左右；南航则在在（2-3）：1左右   至于质量：   北科妹纸长这样：    南航妹纸长这样：     妹纸才是永恒的~喵。  
