为什么高翎资本的张磊向耶鲁大学捐款 888 万美元，但是没有捐给另一所母校中国人民大学？,这得看赵家的孙子想在哪儿念书，他捐完了以后，某赵家的孙子就保送进了耶鲁。
刘强东 1992 年从江苏省宿迁中学考入中国人民大学，难度相当于现在的什么？,谢邀  先说结论，我个人认为，当年考人大，应该比现在稍难一些。  来看看反方的观点。  这位童鞋以参加高考的人数和录取人数相比较，得出一个3.1倍的数字，显然忽视了那个年代的基础教育远远落后于现在的事实。92年高考，大概是1974年出生，1974年全国的出生人口为2287万，而1997年（参加2015年高考）的出生人口只有1445万，也就是说 1992年获得参加高考资格的难度是2015年的5倍 。  为什么90年代的基础教育淘汰率这么高？因为1986年我国才开始实施9年制义务教育，而农村地区普遍实施义务教育则更晚。义务教育实施之前，小学是普遍采用留级制的——期末考试不及格，则留级。于是，一大批成绩不好的学生在小学就被淘汰了，因为要留级，许多农村家长会决定让学生辍学，而学习成绩好因家庭贫困而辍学的只有较小的比例。我小时候的玩伴，有一半以上在小学三年级之前就不念了，都是因为成绩不好，自己不想念，家长也无所谓。此后，初中又会淘汰一批，高中会考后又淘汰一批（90年代初有许多人读到高中是为了文凭的！那时候的初中毕业文凭去沿海地区打工都相当有用，高中则更吃香），这些人自觉高考无望，参加完会考拿到高中毕业证后就出去打工了，不参加高考。  然后再说说扩招，考人大的难度，并不只跟人大的招生人数相关，还是要看整体。以我目前所在的浙江省来看，我参加高考的96年，全省只有两所一本高 校，共招收本科生2500人左右，而现在全省一本招生起码是好几万了吧。江苏作为教育大省，本省高校的扩招，无疑会使本省考生获益，更多的高分考生可能会 优先选择南大、东大、南航，所以虽然人大在江苏的招生人数增加不多，但是考取人大的难度无疑会大大降低。   至于这位，典型的道听途说之辈。如果他没有说谎的话，那就是他叔叔太谦虚了，而上清华的人，谦虚是大概率事件。  92年我上初中，已经是每天晚上晚自习到9点半以后，周末补课、寒暑假补课，每周只能休息半天，高三党就更不用说了，真真正正的千军万马过独木桥，考上大学则一路坦途，考不上则回家种田或者工厂打工，比现在残酷得多，怎么可能不知道高考的重要。  最后以我个人的亲身经历来说一下考人大有多难。  我在小学的时候参加了全县的数学竞赛，当时100分的满分我考了61分，而全县第2名是43分，第10名30.5分，刚好是我一半，然后前十名获得参加全国奥数的资格。那时候的数学竞赛，大家基本上没参加过什么专业训练，可以说完全是凭智商。  初中高中我在县城的省重点中学读书，应该跟刘强东的宿迁中学类似，大考基本是年级前10名，年级第一也拿过好多回，另外参加各类全国竞赛也得了一些奖，算是同学中公认的学霸。  然而，我参加高考时的心态，清北也就是做做梦的，如果能考上人大，我会觉得很满足了！事实上我的高考成绩，没达到人大的录取线。换到现在，一个省重点高中里数一数二的学霸，考上人大会觉得非常满足吗？我不是很了解，但是应该不会吧。
高考志愿，是选择中国人民大学人文科学试验班还是南京大学中文系？,谢邀……这有什么可比性么。。。可自行参阅教育部学科评估，能和南大比的中文系也就是北大、复旦、北师，这几个就包了前四名，谁是哪名每次评估都不一样，但是前四是稳定的，人大中文再怎样怎么可能和这几个比("▔□▔) 正经一些，就我一个文学专业的学生来看，文史哲这三个专业看似很接近，但是如果要进行跨专业研究，首先必须要初步掌握这三门学科的基础意识，因为三门学科的方法、思维都是完全不同的，初学者追求“实验班”、“大类招生”的唯一结果就是思维乱套，学了半天搞不清学什么，这下问题就有点大了。 此外还有就是人文学科比较注重传承，说白了算是一种学术圈子，属于一种相对稳定的环境，从一开始占据优势的话很难用投入啊政策支持之类的东西打破，所以相对来说，真的要读中文还是要去学科传统强势的大学。  补充一点所谓实验班的问题：说是给实验班资源投入非实验班不能比，那是人大的政策，与南大毫无关系。而且以南大文院百年积淀（还有其他学校有很强传统的人文院系），本身资源基础和投入从体量上就不是其他学校能够望其项背的。南大文院本来就拒绝设置什么实验班，所以也就没有“普通班”一说——文史哲都能强到单独设置院系，也能照顾到所有学生，为啥要搞什么实验班弄得像个高人一等的噱头，踏踏实实做学术不好么。。。  再补充一下区位问题：如果追求更好的机会，请去北京，南京肯定比不上。南大文院是做学术的地方，升官发财请走他路。  继续补充：入门之后自己选史哲课或者旁听来跨专业研究啊，相信这个层次的高校都能随便听课，又没门槛啥的，不是非要搞个什么大类你才去上课。。。有了自主选择方向的意识基本也就到了可以跨专业的水平了  最后的补充：“人文科学”这个叫法本来就是非常外行的，文学根本就不是科学，只能够叫做“人文学科”，不知道这是题主转述有误还是人大本来就是如此命名的。  必须声明的利益相关：南京大学文学院。即使我再知道自己怎么客观，因为这个身份你们也要进行判断，换一个利益相关的可能又是完全不同的回答，所以相关信息题主也可以自己找来核实，相信这种很明显的问题应该也是没什么太大争议。。。
中国人民大学本科金融专业如何？与清华北大差距何在？学风如何？,本人虽然不是什么成功校友，但作为从事该领域的金融工程和双学位的一名早期学长还是忍不住想稍微说一点， 毕竟得票第一的那个真是有些看不下去。  1、金融工程这个学科是没有义务告诉你业界是怎么玩儿的，不光在国内。在这个行业居然还有人谈什么教科书，唉……  2、无论是测度论还是编程，你想在金融业靠技术吃饭，那就得玩儿命自学，在这儿喷的真的是连门都没入，还是那句，任何项目都没有义务手把手教你，无论你在哪个国家读。  3、金融工程这个项目诞生的最初目的是给那些有相关能力的人士科普一些金融概念，好让他们把东西像模像样做出来，而不是培养金融学专业的人去让他们有能力干金融工程的活。所以想从事相关工作的同学请给自己定好位，也对自己将要付出的努力有个差不多的概念。  P.S. 对于高考能考到这个分数段的人，得多low多不努力才会认为是学校限制了你。
和中国人民公安大学的男生异地恋是一种什么样的体验？,给你一张图，自行理解吧少年~ 
中国人民大学与武汉大学那个好？,事实上人大无论出国人数还是出国比例都排名前几～学工部统计，本科三分之一出国，三分之一国内研究生，三分之一就业～
从普通211跨地区考研到国内top10的名校有多难？（北京大学，中国人民大学）,首先，猜测题主是文科的。 第二，感谢题主这么看得起我大华师，但我大华师真不是top10，Orz。。。可能有些专业如教育学、地理学在国内排名非常靠前，但这些都不是传统意义上的热门专业。所以提到华东师范大学，大家的第一反应都不会觉得这是一所名校。 第三，题主如果十分想来华师大的话，可以关注下华师大的“专项推免”，即无视该生是否获得推免资格，直接点招录取。我就是当年这样被“特招”进来的。  还有疑问，请私信～
听中国人民大学四大名嘴的课是什么体验？,作为一个懒癌患者，胡邓的课对我有无比的吸引力，让我认认真真地蹭了一个学期，并且遇到了我现在的男票。老胡风趣幽默，上课基本满座，甚至有站着蹭课的同学。他的课我知道的有情感心理学和大学生自助旅行，连心理健康通识这种让大家拒绝的课只要是他上的都有人蹭。听老胡的情感心理学，可以随着他听他曾听过的故事，听老胡讲自助旅行，可以随着他一览他走过的路。有人说最智慧的人是看透了世界但仍然对生活抱有热情的人，老胡就是这样的人。大爱老胡  陈冠老师的课我这个学期选到了。很有思想的一个老师。  有一次去上课时和他目光相接，他对我点了一下头，然后作了一个“请”的姿势  当时还有点受宠若惊。传说中的商品广告学是一门上课只看广告的课，其实老师有时候也会给我们看他自己的作品，比如他从不同角度拍的乞丐。他告诉我们怎样表现才能震撼人心。他说传播的实质就是用客观表现主观。其实他上课不止是上课，还会有演出之类活动。他对人心有一种彻底的洞察力。很好的一个老师。
中国人民大学的校训“实事求是”源自哪里？,师弟说被邀请回答这个，表示很无奈。  各位初段辩手可以看看“不同方式反驳的比较”。  1.攻。武大校训中，自强，出自“天行健，君子以自强不息”，请问是抄袭清华还是抄袭《周易》？  2.守。实事求是，是一个成语，本身没有版权，而通知书设计，是有版权的。所以，前者都是引用无版权成语，无所谓抄袭，后者是抄袭。  3.走。不要转移话题，先讲清楚通知书是不是抄袭。  4.受。没错，我们抄袭了中央党校校训，所以我们被称为第二党校。你们要是承认武大是“第二人民大学”，随便抄～   完毕。  作业，按照攻的办法，把武大校训中剩下三个词语的反驳补齐。创建于 2015-07-28   update一下吧： 这些个答案完全是因为好玩，最初是辩论队一个师弟，前天在群里说人大和武大因为录取通知书的事撕起来了，然后我才搜了一下，发现果然很激烈。但当时并没有想参与（现在也没有），一方面最近工作太紧张了，天天被催，另一方面，稍微有点社会经验的就知道，这肯定不会是“武大校领导集体研究决定”，也不会是“武大全体学子讨论决定”，这显然就是一个具体的设计人员，在制作的时候参考了人大的通知书，并且在通知书内部都做了自己的设计，并没有任何抄袭，只是封面，可能因为一时疏忽，或者偷懒了，或者觉得改的已经够了，引起了这场争论。所以我觉得毫无必要，为了一个与自己没有任何关系的设计人员犯下的错误搭进去那么多时间精力。 然后昨天看到这个问题，觉得挺好玩的，正好可以示范老黄的“攻守走受”，所以就来答了一嘴。结果还被基友说，我对走的理解是不是有问题，当然我觉得是没有问题的～哈哈哈。 所以希望大家能把这事看得开一些，可能一年之后，都不会有几个人记得这件事了，何必做那么多无用功呢？ 当然我人微言轻，说了也没有什么卵用...
中国人民大学自主招生汉语言文学专业的考试范围是什么？,一般而言考试其实重在考察你平时的积累吧。出题老师虽然是大学教授但是也清楚你们还是高中学生，不会太为难你们的。而且汉语言文学这类的东西更多的是看你平时有没有自己的积累吧，考前抱佛脚也是目测也是来不及的。我建议你放平心态，这两天就好好回顾一下自己以前读的书，小学到高中学习的语文（文言文）知识，能把这两点踏实做好就已经赢了多数考生了。加油！
如何评价 2016 中国最好大学排名，武汉大学仅排全国第 16，人民大学仅排全国第 31？,我觉得这个排名在排名界排名倒数
怎样看待中国人民大学的校徽？,人大的校徽其实是篆体的“众”（眾）字，切合“人民”之意。   甲骨文的“众”字，象三个人在太阳下干活，所谓“三人成众”。    甲骨文的“众”字也可以这么写，省去“日”，只留下三个人。  从甲骨文到篆书，没有多大改变，上面是《说文》的写法。  当然也可以这么写，这是《六书通》里的一种写法，和人大的校徽已经完全一致了。  上面这些汉字，都是从一个叫chinese etymology的网站上截取的，该网站上有完整的字体谱系。原地址在这里： Etymology   
中国人民大学人力资源管理初试成绩已出，差不多能进复试了，复试攒人品，大家有问题可以问我 ？,       比较感兴趣的是数学的复习，已经有小伙伴问过了。        我本科学的是人力，普通二本。学校用的书籍和人大的专业书目区别大吗？       面试的时候老师要会更看重论文发表还是专业实习方面。        老师对英语六级的要求高吗？大概考到多少分比较好？
中国人民大学有什么隐藏的美食？,占坑，明年来答 
在中国人民大学商学院工商管理-法学实验班就读是一种什么感觉？,这是引自某位师兄的回答，因为没找到他人，但是仍然冒昧引用，还望见谅！ 不过对于学院安排的老师是评价最好给分最高的老师，表示不能同意。 —————————————————————— 以下为原文。  就是在你去Yale MBA 的BEIJING RECEPTION时，会发现Yale SOM 的讲演者ppt里MBA项目全球五大合作者中人大商学院是其中之一且是中国唯一。之后的新生自我介绍中你会发现，连续三个站起来，I graduated from RENMIN BUSINESS SCHOOL，全场哇，你满满的骄傲。 就是你在新生接待上可以自豪地看到唯一的学院在自己的高楼上挂横幅：中国人民大学商学院欢迎20XX届学生入学，貌似这个XX只到13。 你也可以感受到周围满满的高富帅和白富美。 你也可以感受全校最大院是一种怎样的体验。 你也可以感受上课在高大的明德楼而不是公共教学X楼是多么舒服。 你可以感受到在实习的时候你的上层领导全是人大商学毕业的，所以即使你面试出了错感觉挂掉了还是会被录进来当实习僧。 四年间，其实培养你的是一种气质，是到商业领域出众的气质。高贵不失冷艳，机敏不失沉稳，永远都是一副见过大世面的样子。 上段镇楼，下面重点说下在人大商学院商法实验班就读时一种怎样的体验。上文也说到人大工商管理及法学全国第一，你可以在商院顺便体验一把商法实验班，虽然会把你虐成狗（比如说一周三四个presentation随便玩，比如说一周三四篇期末paper随便抄，比如说考试周四天七门考试随便睡）但你会发现两个学院的老师和学生风格会如此不同，你会上午还在上着微积分财务管理，下午就在高仰光男神的带领下去故宫寻宝或者在某曙光或当年的全国辩论赛冠军某旭的教导下遨游在各种孟德斯鸠维特根斯坦德维金（根本搞不懂他们在说什么）；你会发现你的会计财务老师担任着无数个知名企业的独立董事，你的新生研讨课的导师会是国内最著名的管理学者（最字用得毫不夸张）。你会发现证券法研讨会，证监会、证交所中高层及著名法学教授们悉数到场；你会发现有的课上老师上可以整学期请来各个国际著名律所投行的大师们讲课，虽然他们的年薪都是七位数；你可以感受到哈佛JD的气场和难寻的先生情怀。还有很爽的是，当别人再抢/纠结选哪个专业课的老师的时候，学院已经替你安排好了，基本都是最火爆的老师和给分最好的老师。 其实到最后，你发现你的成绩表上打满了184个学分，你毕业典礼上拿到两个盖着鲜红打印签着帅气陈雨露的学位证时，还是蛮开心的。 创建于 2015-07-24
普通一本本科生三跨考中国人民大学金融专硕是基本行不通吗？,官方网站上都能找到招生简章和咨询电话： 中国人民大学-财政金融学院    遇到这样的问题不要随意听信道听途说和所谓的“内部消息”，一是要以官方消息为准，二是利益不相关的人更为可信（比如为了各位点赞回答问题的我）。
中国人民大学艺术学院怎么样？,教学系统不及央美严谨但相对开放，老师都还不错，油画系老师认真负责！
重庆警察学院的本科生可以考中国人民公安大学的研究生吗？,看同学这么问肯定是警院的了，我也是重庆的，而且在公大，警院是个什么样大家都知道，既然要考研那应该是想真真正正的学点东西，公大学术氛围就是个笑话，同学你应该看看西政之类的政法类大学，这种综合性大学不是公大能比的，总而言之已经被折磨了四年，为什么不出去看看世界呢。
在警校怎么恋爱？，与外校的人，例如中国人民公安大学，不会进出校园都被限制？,有人邀我答题实在是吓到我了……一共好像就在知乎答过几个字啊…主要对这道题我完全不了解…可能是题主随机抽到我的吧…希望有其他在警校谈过恋爱的小伙伴帮题主解答～祝好运
北京大学、清华大学和中国人民大学的金融专业硕士，哪个就业方向更好？,我和楼主是校友，我是南大经济学和中文双学位。清北两校和人大，但凡你能考上一所，都是非常优秀的。 轮好坏，清北齐名，人大次之。 我不知道楼主数学功底如何，即使是非常出色的数学功底，也需要花甚至1年多的时间来准备数学。专业课往深了就不是兴趣驱动的，很多专业课用的数学工具比我们大学学的要复杂的多。 另，一般经管乐意招理工科人才，尤其是金融，楼主历史背景很难在面试者被认可。  以上，劝楼主放弃金融专硕，选择会计专硕不失为围魏救赵之法。
为什么中国人民大学在被黑得这么惨？,当年，从中国人民大学考进的中国人民银行，感觉好像从附中进了校办厂一样，人事司、业务司，行领导，哪儿哪儿哪儿都是师姐、师叔；不开校友会，那不合适，一下子处里去一半的人，其他同事啥看法？  北大清华是走学术路线的，我不觉得自己的淫荡性格坐得住冷板凳，就选了人大的技术官僚路线，醋跟酱油谁更甜？没啥意思  自己高兴就好  而且咱们学校的学问做得也还不错吧，当然社会科学的评判标准不清晰，但与国内同行相比不落下风吧；招生哪里没黑幕，那些“大师”辈出的园子里上演的戏码也不小吧。  再说了，你于学校只是过客，首先是你自己，然后是朝夕相处的同学们，接着是那几个紧密相关的老师们，还有几个社团，这样的圈层构筑了你的开悟体系，你觉得中国人民大学的号召力会差成啥样？我记得就是当年那几个杰出校友讲座系列就足够好地培植我的三观了。  别胡思乱想，帝都的位置、高水准的生源、不错的师资力量、政府部门的声誉、深厚的校友资源、小而精的实用专业设置，拼光华管院或许有短板，其余毫不费力。  那么下一个问题来了，值此八十周年，你为自己的母校能增添什么光彩？
中国人民大学工商管理本科专业怎么招生？,高考进... 我没有参加自主招生不了解... 但是人大商学院招生从15届开始大类招生。 也就是你进来大一专业是工商管理类。 大二按学分绩分专业有：财务管理、会计、贸易经济、市场营销、管理科学、国际贸易、工商管理-英语实验班、工商管理-法学实验班（大一入学面试笔试）等。 即使不喜欢本专业，其他项目也很多，我自己今年就通过面试笔试进入高礼研究院修了个互联网金融的双学位。还有一些未来传播学堂什么的，都是每年投入千万的学生培养项目。 普通的双学位也几乎遍地走...尤其是在外院人文院这些，商学院如果你学有余力当然也可以。 另外商学院是人大最大的院，团学青生活最丰富，可以说是自成一体吧。 毕竟明德楼群：左边明商楼，右边明法楼。 所以讲道理，工商管理类专业确实很好。 欢迎报考。
想报考中国人民公安大学网络安全保卫专业，想问问这个专业怎么样？,首先更正一下不是网络安全大队是网络安全保卫大队也叫网保大队，网保大队还是不错的至少就业什么的只要你的生源地不太操蛋就还好，但是公大有一种独特的生物叫队长，跟其他大学的指导员还不一样，他们可以随意的以各种理由给你通报或者处分，只要你在他们不高兴的时候在其眼前晃一晃就瞬间爆炸，可以在前一秒说完后一秒就反悔你还不能说什么，可以说你是比较喜欢自由或者有着自己坚定的某种思想我劝你别来，否则你会活的很难受很难受(╯﹏╰）
