2017云南考生高二本线30分可以上云南财经大学吗？,高等职业普通本科可以上
云南大学的安全问题？, 复制粘贴一波 安全。校园内当然非常非常安全，本部偶尔有cos还有宅舞的跑到会泽楼或者贡院附近，这就算危险人物了吧233。本部很多游客，很多带孩子来看松鼠的本地人，本部目前主要是研究生，所以学生游客辨识度也不高，总体上很安全。呈贡校区在郊区的郊区，保安对外卖小哥管的很严，说不让进就不让进，学生乖乖跑出去拿。而且学校周围就一条步行街，商户就学生一个消费群体，周围小区主要是给老师们盖的，只要你自己别瞎往周围野山上跑，作死是很难的。。。反过来说要是真跑到四周野山上，跑深了那稳稳作个大死（什么版本的传言我都听过）。这是校园内。  作者：立羽 链接：  https://www.  zhihu.com/question/6181  9754/answer/193171405     来源：知乎 著作权归作者所有，转载请联系作者获得授权。
如何看待云南大学的师生匿名在知乎夸大宣传自己学校的行为？, 实力不行，内心极度虚弱的人才会拼命想要证明自己是强者，可惜在网络时代再多的言辞也掩盖不了真实的数据。 
云南大学土木工程系在哪个校区？,呈贡校区
云南大学禁止学生用电动车是否懒政怠政？,中央八项规定要求积极面对问题，云南大学草木皆兵，不积极解决问题，而是采取鸵鸟态度，不断用奇葩的校规约束学生，显然与中央精神不符。
云南民族大学二本招汉族吗？,招
2016上海大学云南录取分数是多少，麻烦个位知道的说一下，谢谢 ？,⚡⚡不知道上海大学好不好⚡⚡
上海大学和云南大学新闻与传播专硕考研，哪个相对容易？, 首先，上大和云大的新闻传播都是非常受尊敬的学科，专业实力都很厉害，但是在研究上各有侧重点。云南大学地处边陲，少数民族地区，所以云南大学新闻传播的学术视野和优势在少数民族传播以及东南亚传播方面，民族志研究也非常厉害，郭建斌老师就是传播学领域首先运用民族志研究的学者。上海大学地处上海这个传媒重镇，国际化程度更高。  其次，云大考研属于B区，难度自然要小；上大在上海这所令人心向往之的城市，多少人挤破了头到上海来。  所以你如果真的想搞学术，在哪里都一样，如果想到大城市，就选择上大的新闻传播。 
云南大学转专业机会大不大？,学院内转最简单，全校转稍难，好专业最难。
云南大学转法学专业？,法学院招的学生还是比较多的，所以竞争可能比较大，其次，法学院只有两个专业：法学和缉毒学。法学专业的课比较重（学法学同学说的，学的课多，且需要理解力）缉毒学不是很了解。 如果是理科生，我建议你来数统学院吧，课时不多，每周只用早起两天
为什么云南大学老出暴力事件?,不要固定在云南大学， 各地每天无时无刻不在发生暴力事件。
请问各位学长学姐，云南大学新闻学专业怎么样，就业如何？,不好，毕竟在媒体资源落后的城市也没办法，就业也不好
云南大学研究生旅游管理专业怎么样啊？,我也想考云南大学旅游管理专业的研究生，请问你现在已经在读研了吗？可否介绍一下？
2017届学生，要不要去云南民族大学就读?意外被录取到英语专业，但是听说学校不好就业，求建议！？, 这么纠结 不如扔硬币吧~ 
在云南读大学是怎样的体验？, 一年就有一年的体验，从新奇到适应，从到处乱逛到加入实验室，我从南京来到春城也有接近两年，索性重新谈谈体验。所谓在某地读大学的体验，我想一方面是属于这座城市的自然特征和生活方式；另一方面就是属于这个层次的教育环境和学习氛围。   1.自然景观：最大的福利   滇西崇山峻岭非常迷人，对于在平原长大的孩子，见到这么多大山大湖是很兴奋的。哀牢山，云岭以西，横断山的每一个触角都非常震撼，轻松地把土地切碎，山间的小盆地叫坝子，相隔不远的两个坝子常常就是截然不同的气候特征，有兴趣可以查查通海区间建水一线坝子的海拔变化。高山之下，是高原湖泊点缀，云南有“九大高原湖泊”， 昆明的滇池、大理的洱海、玉溪澄江的抚仙湖、丽江的泸沽湖、还有我们学校东区山后面的阳宗海，等等等，水质有好有坏，最干净的抚仙湖可以直接饮用。说到高原湖泊，这是也是云南学界研究的一个重点，后面再说。    滇东曲靖市罗平县，油菜花海   滇东相对而言山不是那么险峻，平地多了很多，经济也相对发达。云南最发达的三个地州曲靖，红河和玉溪，都大致可以算作云南中东部。景色也很不错，发育中的喀斯特地貌很广泛，尤其罗平，师宗一带很像贵州，山相对而言显得精致小巧一些。东南方向文山普者黑有桂林山水的景象，不少小伙伴给我安利广南坝美，是所谓真正的“桃花源”。    红河州建水县团山，个碧临屏铁路    2.空气质量：也许不算"香甜"，但至少全国领先。   我已经快忘了雾霾锁城的感觉。云南工业基础相对薄弱，支柱产业旅游业和烟草业对空气都是相当友好的。晚上躺在学校东区西区的操场上，可以看见星空。可能一方面也得益于空气质量的优良，在云南，天文学科是一个优势学科，中科院云南天文台是云南为数不多的国内顶尖科研院所之一，前段时间国内首次实现的远距量子纠缠就是以它的丽江观测站为一个端点进行实验的，此外云南天文台的2.4米望远镜也是东亚光学天文望远镜界的佼佼者。  可以说，云南的大多数地方，空气都有一种把人醉倒的冲动，干净舒服，地处高原，云层很低，傍晚的云彩很美。    昆明呈贡云师大晚霞，16年夏天   当然也有例外，高原里的工业城空气就差一些。在开远这个工业城市，除了扑面而来的“小康”之感，也伴随着雾霾，看到开远灰蒙蒙的天空像是回到了高中那些雾霾停课的日子。类似的地方可能还有安宁草铺等工业集中区，看来现代工业与自然保护可能在相当长一段时间内还是一个悖论。   3.日常出行：极高的交通成本。   崇山峻岭带来美景，也带来不便。很大程度上受限于高山阻隔，16年底才通上的高铁，也只局限于滇东滇中。不只是客专线，普通铁路线在云南也很难修，迄今尚有不少地州没有通上铁路，就算通上了，也有很多只是运输效率很低的单线铁路，大保铁路修建难度更是堪比川藏，想必了解铁路的小伙伴听过大柱山隧道，这个打了十年的隧道就在云南。在有铁路这种低成本大运量交通线的地方，经济相对发达。  而在没有铁路的地方，只能依靠公路交通和航空。这都是成本很高的交通方式，陆运速度很没有保障，盘曲蜿蜒的二级路就不说了，高速公路都有大量限速仅为100公里，限速80的路段也很多，均属“山岭重丘型高速公路”，凿隧道，架桥梁，成本极高，事故易发，最有名莫过于文山广南境内的广昆高速者桑路段还有昆石路上的阳宗隧道，令有些司机闻风丧胆。  云南的航空运输极为发达，东航云南公司（原云南航空）是东航所以子公司里最赚钱的子公司，除此之外还有祥鹏航空，昆明航空，瑞丽航空，红土航空四家本土航空公司。云南大多数地州都有机场，像丽江还有两个机场，除了大家熟悉的大理丽江，版纳和德宏芒市的机场也非常漂亮。长水机场更不必说，西南第二大机场，实话说确实比禄口不知道高到哪里去了。未来长水还要扩建，修三四跑道，建机场北高速，引入渝昆高铁，也许能打造成虹桥那样的大枢纽。   4.生活方式：美食与烟草   来到云南第一天我就听本地舍友建议去吃了年轮，非常喜欢。可能一开始对有的食物不太习惯，可是现在真的爱上了滇味。云腿月饼，子弟薯片，石屏的豆腐，建水的烧烤，各种炸洋芋，泡鲁达，还有昭通的噜米啦洋芋片，都很棒。不得不说，云南好吃的真不少啊。  得益于丰富的地貌，这里有河谷的干热，有高原山地的温湿，结果云南水果便宜又丰富。云南不算大，但是既盛产苹果，又有好吃的缅甸瓜，山竹火龙果荔枝也便宜很多。和水果一样便宜的还有鲜花，满地的鲜花饼吃起来非常愉快。  和美食相对的是烟草，云南青少年吸烟率确实很高，这也是云南空气很好但人均寿命不高的原因之一。烟草在云南很特别，烟草是云南的支柱产业，你曾有所耳闻的玉溪云烟红塔山都在云南，当年的中超里的云南红塔，CBA的云南红河都是烟草企业赞助的球队，你也许听过褚时健和褚橙，这其实也是与烟草有关的一段故事。   5.教育环境：    5.1基础教育   既然在一所的师范大学，和基础教育自然是剪不断的关系。  昆明和全国大多数大城市一样，素质教育，学校大气漂亮，师大附中，昆一，昆三，昆八，昆十都是非常厉害的名校。地州上和江苏一样，喜欢县中模式，这几年成果斐然，高考成绩已经超过了昆明不少名校，比如曲靖一中、昭通一中。  我很有幸跟着学校播爱支教团去文山丘北带了一个夏令营，是我们师大的附属学校（师大附属丘北中学）。这个过程中，也算是得以一窥云南的基础教育。    文山州丘北县新城，云师大附属丘北中学   作为师范生，我当时作为物理老师，主要带新初三，孩子们都很聪明，也许文山与发达地区相比可能还是落后一些，但是早已经不是网上所看到的那种相对糟糕的环境了。他们平时教学和中东部大多数课堂一样，也用导学案，我们也旁听了应聘老师的讲课，从课堂组织方式来看和东部无异。当然，如果整体的教育水平和东部还是有一定的差距，不得不说，作为云南基础教育工作者的培养学校，这也算是我们学校的责任呐。    素质教育探索:在校内进行的好声音比赛    5.2.高等教育   跑这么远，主要目的是读书，这才是重点。  我也承认，云南的高等教育确实一般般，哪怕是和同属西部的成都重庆西安相比。云南相对优秀的大学大多坐落在昆明东南的呈贡大学城(不过在很多本地人眼中，呈贡算是另一个城市了...)。最好的学校是云南大学，211，前身是东陆大学，非常辉煌的一个学校，现在差一些了，全国排名60左右，去过他们学校两次，漂亮且大，只是可惜54年很多优秀的学科被拆分，最终也没能合并过来，现在云南大学的文科社科理科还是很好的。  云南第二好的学校公认是昆明理工大学，冶金很强，我身边有不少填了昆明理工然后分不够来师大的，这学校在非211校里算挺不错的，有国家重点实验室，近几年更是搞了一个医学院，相对于云大，身边的小伙伴觉得昆工发展更快一些。  云南收分高的还有财大经济类专业，昆医临床类(云南为数不多进去ESI前1％的专业...)，云农大烟草类专业，都是质量不错，就业较好的专业。    云南师范大学，我的母校。   最后聊聊我们云南师范大学，是西南联合大学当时留在昆明的“师范学院”，历史很有味道。(不过总把“国立西南联大”挂在嘴边，听多了也有点尴尬...)。就校园来说，坐落在呈贡大学城位置最好，交通最便利的片区。面积接近三千亩，依山傍水，一个天然大湖，两片人工湖，有天鹅，有候鸟。坐拥一座游泳馆，两座大型体育馆，一家电影院，设施可以说还不错了。是同济设计的校园，就算放在南京的仙林大学城，江宁大学城，也算是非常漂亮的。   学校氛围   有优点也有不足，毕竟分数线在这摆着(毕竟收留了我...)，生源一般，有些方面可能确实差了一些，最简单的例子吧，四六级通过率是非常低的，甚至有不少同学大四都没有拿到四级证书。总之同学之间的差距也是比较大的，这不容否认。除此之外，抽烟酗酒也比我想象中多一些，当然这也许和地理位置和烟草主导的经济结构有关。其他的行政效率，办事作风等等，因为没有打过太多交道，不好评价。  但是好在学习方面，只要你想学，老师就会努力提供平台帮助你。可以说，师大的老师，至少是我们物电学院的老师是相当负责和敬业的。   资源平台   大二开始，我和我的小伙伴也相继加入不同的实验室，真的感觉到，师大对于所有想学习的小伙伴永远是满怀热情和敞开大门的。我在一个面向竞赛的实验室，老师从早到晚陪伴着我们，非常辛苦，最近几年同学们竞赛成绩也真的斐然。我的另一个小伙伴加入了一个教育部平台的工程研究中心，是面向科研的一个平台，本科生能接触到科研应该还是一件很有意义的事情。师大，作为一所全国排名只在150-180左右的偏文科的二本院校，仅仅就我就读的工科类而言(毕竟师范学校的工科...)，拥有至少四个教育部重点实验室和教育部工程研究中心，还是相对不容易的。  和在绝大多数学校和省份一样，我和一些同学也都申请到了校级科创或者省级科创训练项目，这方面资源也是相对丰富的，我们学院老师也很鼓励，提供很多便利。据我了解，昆工和云大在这些方面肯定做的也不比师大差。可以说还是那句话，只要想学，还是有资源的。在师大本科学生阶段发个SCI，研究生走进TOP2，C9的学霸虽然确实很少，但也还是有的。  至于前沿的科研资源，讲道理，当然比不上北京上海武汉南京这样的教育重镇，国家重点实验室来一堆(云南全部高校的国重恐怕只有两个...)，甚至还有国家实验室。但是昆明所拥有的资源，除了高校外，也有包括中科院昆明分院，云南天文台在内的一些科研院所，在西部也还不错，院士长江学者虽然不多，但也会邀请得来开讲座。   地域特色   在云南，有个特点是围绕本地独特的自然/人文环境进行的研究较多，从建立的一些学科可见一斑:  比如云大法学院有个禁毒学专业，是非常特别的一个专业，全国似乎也仅此一家；  师大民大的东南亚小语种，比如在师大学生可以用东南亚小语种课替换大一大二通识课里的英语课，毕竟昆明是面向东南亚的桥头堡嘛；  昆工的冶金，云南有色矿藏丰富，孕育了这样一个云南最优秀的工科，云南有不少原本偏远贫瘠的地区正是搭上了有色金属的快车，一步走向富裕和繁荣。  诸如高原马铃薯，高原动植物，这些中东部难觅得的项目，正是云南的特色，毕竟昆明作为中国高原上最大城市，这些研究还是非常必要的。  此外，留意一下云南各大高校的主流研究项目，你会发现很多都是民族的(民族教育)、高原的(高原湖泊)、边疆的(禁毒防艾)，或者还有曾经上过中学课本的Nature封面澄江化石，可以说这是云南学术研究的一个特点，就是地域特征比较浓厚。    西南联大讲坛，学校层面的讲座平台   看到了其他小伙伴提到的在云南读书的一些怨言，我想说很多问题全国都是共通的(除了烟草之类)，相同分数线的学校，也有类似的问题，而且在云南读云大，读师大，读三本的体验当然也有区别，这和生源也就是分数线关系很大。   "划算"   同样，我觉得来什么地方读什么大学还是要考虑所在省区高考的考情，也有划算与不划算之分。这个答案写了一年多，收到了很多私信，大多是问来自己的分数来云师大好不好。这个真的不好回答，不同省同一学校分数差距很大，依照当年我苏高考的招生指标和分数线，自我感觉这我个分数来云南读云南师范大学很划算。  有人说读大学就要去北上广，接触社会在大城市看更大的世界；有人说去西部去北方能找到一些分数线不高的名校，小伙伴们大可以不必拘泥我的答案和各种言论，在你的省份，一定有某个地区的学校算是你心目中的"价值洼地"。  总之，云南空气清新，民风热情，景色宜人，治安大体稳定，和西北东北同类学校相比，至少气候环境是一流的，大学四年，起码落个健健康康。  至于你也许会担心的落后，就云南的大学集聚地呈贡而言，这是昆明这座五百万人口的城市举全市之力建造的新区。以前是外媒眼中的“鬼城”，现在卖地正火热，人气越来越旺，昆明市府都痛下决心搬过来了。这座滇池东岸梁王山下的小小新区，有漂亮的“小街区”路网规划，有面向东南亚的枢纽高铁站，有两条已经运营的地铁线，有整个省最好的医疗和教育资源，有附带了IMAX的大型购物中心，甚至还有一个巨型中央公园，不敢说让你一定满意，但肯定不必大多数地方的大学城差，再怎么说，地理位置上比夏官营好得多嘛(误  总之，在云南读书的体验很不错，比预想的惊喜，特别是一种 diversity 的感觉，这种感觉非常奇妙。当然我也希望家乡少点雾霾。南京也很美，欢迎云贵川渝小伙伴来做客来读书～ 
就读云南大学还是青岛大学好一点？请各位指教。?,我是云大的学生，可以和你说说云大。     云大优势：1.是云南唯一的“211”，国家补助相对较多，所以校园建设得很好。（学校有两个校区，都很美。一个在市中心，一个在离市中心较远的“大学城”，两个校区距离大概坐地铁50分钟那么长）。总之，谈恋爱的话逛逛校园是很不错滴。     2.个人学校学习氛围总体上还好。当然学霸、学渣、学酥···这些都有，学渣相对少，大部分同学还是认真学习。     3.来云大上学你会发现气候好，这个不用多说了。紫外线强，这个要注意，夏天出门妹子和基佬都是要打伞的。     4.云大的生科，法学在全国是排的上号的，特别是生科类专业。     劣势：1.云大在昆明，昆明是个二线发展较弱城市，相对二线发达线城市（比如青岛）其发展空间，城市建设等有些不足。如果你毕业后不在昆明发展则不用考虑。     2.云大是综合型大学，主要精力放在学科完善度。国家重点学科，特色专业就那么几个——生科、生物制药类、民族学、法学…… 选择云大还是青大，要看你自己。个人觉得青大和云大都不错。如果你在意的是毕业以后，哪所大学能为你加更多的分？（排除专业，个人能力，就业地点等其他因素）我的回答是云大好些。 以上是个人见解，仅供参考。
如何看待云南大学本部文渊楼授课电脑全部被黑？,个人看法：没啥严重损失，希望能从轻发落吧，批评教育啥的就行了吧？ 希望不要被妖魔化，就是年轻人玩耍一下，换做是我当年有这手艺，肯定玩的比他哈皮，如果我的孩子想这么做，做到这个程度，我会支持吧。所以我个人能理解。如果这孩子将来发迹了，这是个吹牛的资本，到那时候，那时的孩子也会津津乐道吧。 十分希望这个笑贫不笑娼的世界，能给这个天真的孩子一个轻点的处分，批评教育啥的就行了，别开除，罚款也轻点。
云南大学泰语如何？就业前景如何？,云南 广西的学校由于地理优势大部分学校泰语教学水平还是不错的 至于就业前景 看你泰国就业还是中国就业
云南大学的法学系怎么样？,云南大学的法学院是个比较有特色的法学院，其中民族法是全国第一或第二的专业（没办法少数民族多嘛）。
外省的同学，说说你对云南大学感觉好么？,辣鸡地方 辣鸡的人 不求上进 坐井观天 
西南财经大学，暨南大学，华南理工大学，云南财经大学等南方高校的金融怎么样？,天啦撸，我大洗菜已经沦落的在外口碑只能跟那些学校比了！！！！！本科就算四川省内收分也是最高的，力压川大科大！！！！！ 不过，你要是读研就算了，财大本科和研究生完全天差地别的哇~ 另外，别说啥子珠三角的，深交所当年都是西财人一手办大的~
现在是一名云南的大学生，毕业以后想去香港打拼，有什么好的建议？,建议不去…
今年进云南大学是在新校区还是老校区？, 除了一些文科类专业在本部 大多在呈贡 
云南民族大学怎么样？,这一届本科毕业生找工作下来的总体感触：好多招人单位点名不要云南民族大学的学生。原因我不可知，只陈述客观事实。 ～～～～～～～～分割线～～～～～～～～～～～不知道题主现在是否在民大了。作为一个17毕业生，我就当是作为毕业感想吧。 首先，我一直从高中就在告诫自己，你有多大本事就有多少机会有多大能力去好的地方好的学校。很遗憾，实力稍差，进了云南民族大学。但是自己并不后悔，相反，毕业在即，我一直很感激能来到这么一个学校，然后在民大拼搏四年。 云南民族大学确实不是很好的学校，包括在云南省内根其他学校相比。一直觉得我们学校学风很差，大到上课安排，小到放假时间。总体给人感觉很懒散，很清闲。不过现在有所调整，上课时间提到八点半，新生也开始跑早操了，不会再像当初我们进校时候一样每天早上睡到八点半起床，懒懒散散洗漱去赶九点的课。至于像其他答主说的就业方面我没有了解过，因为打算出国读研，一直在忙申请学校的事，所以侧重点不在毕业找工作。而自己出国读研也完全是因为自己对专业不感兴趣从而荒废了专业，好在悔悟及时，另辟他徑。这个跟学校没关系。 但是在这里生活了四年，我唯一感受最深的是热水。 23333，原谅我这么没出息。问了云南其他高校，热水问题很大，但是只有民大一直是冬天也能让你爽爽地洗个热水澡。包括今年刚建成新宿舍楼，听说内部格局比现在还好，没进去看过。还有就是绿化方面，都在今年有了很大的提升。顺带一句早上和傍晚的雨花湖也是美的不行。 用滤镜修过哈，但打铁也要本身硬不是。 还有就是由于是民族学校，少数民族活动会非常多，喜欢这方面的可以考虑考虑，包括篝火晚会也是在云南很出名的。专业方面东南亚小语种算很好的，当年和我同一届的考生上一本线的才能报。去年英语专业也升了一本。我主要从生活方面来答这个问题，至于学术以及就业率方面来考虑的话那就还得另当别论。学校跟师大，云大，包括昆工来比确实是不怎么样，但是对见过民大的清晨和深夜的我来说已经足够了，有了这样一个平台我能站在他的肩膀上继续攀登已经是得到了一种莫大的帮助和支持。
云南大学微生物考研书目?,王镜岩《生物化学教程》 陈阅增《普通生物学》第三版 郑集 陈钧辉《普通生物化学》第四版 吴庆余《基础生命科学》第二版
女大学生穷游云南西藏，有什么值得去的地方，需要注意什么，准备什么，大概要带多少钱呢？,同大三，并不想好好回答问题。  姑娘啊，听我一句劝，现在收手还来得及。  千万别去做这个死，你说你好好在家里呆着干什么不好，非要来穷游。   结实更多的朋友，留下一段经历！   你是大学过的有多么平淡需要用一段可能丢了生命的过程来充当你大学的经历......（还要加个感叹号）  穷游不是一般人能玩的，没个经验别穷游，这路上没你想的那么干净，这个世界就是一个没有利益交换就行不通的地方。  你说这所谓的旅行中得有多么壮观震撼的景观能掩盖你每天起早贪黑的担心下一站究竟该怎么搭车下一顿吃什么钱包又瘪了的这些问题，旅行的过程中不是应该放松和愉快吗？  现在穷游似乎已经发展到了我他么花钱越少就牛逼的状态，当然题主不是^_^。  对了还有，你还年轻，千万别用你身体交了所谓穷游这门课的学费。  ----  唐三藏走了那么远是取了真经修了正果，    可别忘了一路走来却让妖鬼脱了多少次衣服。 
谁对云南民族大学阿拉伯语专业有了解？,有阿拉伯语？我怎么没听说过这个专业
从云南大学法学院自考研去人大法学院有多困难？, 去考研论坛看看  既然想考  多难也得努力 
如何评价云南师范大学李诗白宿舍5000册书？,我也是一个爱买书的人，因为我是租房，之前总会想买这么多书搬家会很麻烦，还占地方，于是就去图书馆办卡，借书看，可是并不能让我坚持下去，而且不喜欢，你看过了还给人家之后这本书再很难提醒到你！最后我不管了，我要买书，那才是我自己的，虚荣虚伪也好，做作也罢，我就是要用书去装饰我的房间，房子是租来的生活是自己的，搬家又能怎么样，一辈子就这样又能怎么样，管别人怎么说，我自己高兴喜欢就好，况且买书总比你买一堆奢侈品省吧，比奢侈品更能充实自己吧，如果你的家里有了一堆书时刻都在提醒你该学习！
