一名军医大学毕业的学生，他的未来可能是什么样的呢？,学霸考研，其他人嘛家里有钱就买断，有关系就分到医院，剩下的就只能去基层拔草了。
这次裁军对军医大学有什么影响？,对第四军医大没什么影响，第二军医大就被取消了
军医大学本科学员该怎么规划自己的未来?,        有钱就买断，到地方大学或者国外读研读博。相同考研分数能上的地方大学，含金量高得多，而且军校研究生学历在部分地方单位只认同为在职研究生；          没钱，那就多找找关系，别觉得丢人，别让理想主义和所谓的清高坑害了自己，人生是一步一步来的，可能一步错步步错。要是实在没关系，找找教导员或者更高级别领导，吃饭聊天送礼，把你能做的都做到；          如果，没有钱也没有关系，全部靠自己，那就破釜沉舟争取保研，即使保研失败也可以挑选一个相对好一点的单位。至于所谓的兴趣，如果你敢于冒险选择分配基层也要上临床，那这个代价可能会很大很大，具体原因不表；           再说下去的话，基本就都是被分到基层的普通青年了。基层和基层也是有差别的，这个差别很多时候就是看领导，包括直接领导和单位的大领导，一个单位的政策、风气等很大程度上是他们在起主导作用。举个例子，简单的基层考研问题，可能有的单位就是一刀切，连报考机会都没有，这种情况下想在临床上还有发展的话，请选择尽早退役吧。至于怎么才能顺利退出，那又是一个扯不完的话题了。          暂时说这么多吧
中医大学毕业入伍，可以分到军医么？,如果你读军医大学，你就绝对想脱离体制了：好男不当兵，好铁不打钉，多问问过来人，各种辛酸其实一句两句话的事
第二军医大学成为海军军医大学，上大，同济怎么看？,估计黄了吧，双一流被pass，二军的资源又没争取上，金校长的候补委员不知道能不能保住……
当兵分到陆军军医大学，怎么样？,比较舒服
被军医大学录取后怎么才能走出来？,如果你一开始既不了解军医大学 也不特别期待军医大学甚至有些不满 那就别去了  因为后面不管过得怎么样 但凡有点不顺利（肯定会有的……） 你都会怪现在的自己
第二军医大学好还是第四军医大学好？听说第三军医大学也不错，我不太懂啊 ？,这个和你平常的成绩，还有你的户口所在地有关。不光要成绩好，军医大学也很少招收外地考生，家里的关系也要跟上让你不在军检和面试里被刷下去。祝你高考顺利！
同济大学 是否即将与 第二军医大学 合并？如何看待？,不可能合并给同济大学，当然合并给上大的可能性更低。  原因 第一，第二军医大学是军队院校，更和海军息息相关，作为全军仅有的海军医学院校即使下放也不会给地方性院校，这是为何上大可能性很低。 第二，同济大学已经有了医学院，且在转化医学方面发展迅速势态良好，没必要纳入一个更大的医科大学，以及药学院、精神卫生、临床等学院，如果合并经费投入如何办？教育部不会给你批那么多，别忘了上海的复旦交大也不一定比合并后的同济需要钱。 第三，最重要的，第二军医大学是军队院校，历史上那么多烂帐（我国军队的贪腐嘛就不要细谈了）没办法处理，如果合并到部位或者地方院校，以前的老账可能被翻。这也是为何第一军医大学独立办学的原因。 最后，不论谁想吃第二军医大学最该考虑的是人员安置，几百号各级别将领如何定岗位绝对是一个你我办不到的事情。何况，军医大学的人来自五湖四海，且风气不同于上海本地人聚集的上大同济，想跟军队的人搞花花肠子？别扯了，任何一个学校的领导都没那本事。  最后：不论上大还是同济，做好自己的事情最重要，学校不会因为合并而实力大增管理改善，学生也不会因为学校合并而在找工作时候被单位高看一眼。做好自己最重要，少发牢骚多做事，自己把实力提升了，母校的名气才会上来。
春风十里不如你中，他们读的是军医大学吗？,协和，和军医大能是一回事吗？没文化真可怕
中国的军校中为什么只有三所军医大学没有津贴？,这个问题我来回答一下，本人是号称三所军医大中的最水的第二军医大学的学生，其实很简单，我们属于预备役军官，是没有军籍的，所以当然没有津贴了，只有伙食补助，每个月750，只能在食堂吃饭使用，像我每个月还剩100在饭卡里都不知怎么办…… 看到上面的答案，多说一点，我不觉得是很奇葩的规定，其实预备军官学员制度是从13年开始的，所谓的入学无军籍，毕业后补军籍其实没几年，12级以前的毕业是不补军龄的，其实军医大一直都处于危机的边缘，确实这两年很有可能撤销，准确说是今年6月份就会出来结果，是去是留。 军医大就我感觉和其他医学院没什么区别，在医疗水平上属于二流（清北复交是一流），军医大也不烧钱啊，每年的奖学金少不说了，还从没发过……
军医大学毕业买断，未来发展是什么样的呢？,考研，像正常人一样生活。
普通二本大学护理学生考军医大如何？,底下医院在划地方，卫生队卫生所在扩编。如果没有能力来总部医院，就等着毕业了下基层吧，闹不好分配山沟沟里面，几年的学习全白费。 学医的博士都有带兵扛枪的了，谁拿研究生当回事。 我家到我这里，即便不算表亲也有三代人在这个队伍了，真想来部队，就干成大牛，让部队请你去。医疗行业的，就考好学校的研究生，来协和，北大，首医这个级别的大医院，等你成了护理圈子响当当的大人物，301，空总，海总，战区总，去哪里都被捧成宝贝。 以上
在第三军医大学读书是种怎样的体验?,写在最前面。还好这个问题关注的人不多，断断续续的更，毕业前写完也权当回忆用吧。 ———————— 7月5日最后更新 推迟了毕业，一直没能更新。这两天争取写完，怕出错误就不放图了。  分割——————  偶然看到这个问题，十分想回答，却又不知从何说起，因为换手机，没图。目前在实习，即将毕业。  从头说起吧。第一年要完成两个转变，军校生都懂不说了。军训当时也就一个月，年轻加上新鲜，抗cao，没事看看护理女兵也就过来了。就是重庆太热了，刚去不习惯，天天醒来就是流鼻血。  回学校来，感觉还是可以的，毕竟新来，什么都新鲜，十一八部一站一社招新，我出去玩了，一个都没去成，后来有幸加入心泉，目前想来，那是一个对我之后几年都影响深远的地方。当时认为大学生活也挺有意思。还记得入学的时候我父母陪我来，家在东北，跑这么远念个书也是不容易，走的时候母亲哭了，我到现在都忘不了那个画面。当时我还笑嘻嘻的说，别哭了，我又不是不回家。第一年寒假当时20天左右，一个往返也就剩两周。第一年免不了高中聚会，同学全都大便样，我是小便样（笑）。唯三的感受，他们头发都变长了，以前的女同学感觉漂亮了很多，他们聊的学校话题我听不懂也插不上嘴。  原因还是有的，军校作息规律，学习体能都要抓；我们的成绩不算绩点，必修课逃不了，选修课也没那么丰富；女生全短发，人也没几个。 暑假基本算没回家，下连当兵之后数学建模，有人去的地方相当于度假旅游了暂且不提，我去的地方，同吃同住同训练，本身身体素质一般，累的跟孙子似的，而且基层很寂寞，这是真的，因为我把带过去的《资本论》看完了。  当时有毕业晚会，加入了心泉帮忙打打下手，认识了要毕业的大五学长，巧的是我们两个来自同一座城市，他说，“怎么还会有人来”。现在快要毕业的我理解了，就业的形式和压力都很大，就像楼上有人说，“亲妈也有亲妈的难处。”学长现在在一个不大的医院过得也还可以。  理论上，第一年适应了差不多了，往后的日子也就习惯了。自由都是相对的，我曾经试过一个月没出过校门，再出去恍如隔世。  第二年换了领导，日子也没怎么变，我是普普通通的学员，不参与官场的任何事物，你说我做，偶尔看着不爽的地方跳出来搅个局，并没有用，没心没肺的两年就过来了。本以为会浑浑噩噩的第三年，改革了。  换了新地方，新领导，新同学。当了骨干，本本分分做事。因为也是习惯了，不该听的不听，不该做的不做，不该说的不说。第三年第四年都是这样，总算顺顺利利的过完了上课的时光。  手机打字累，先到这儿吧，有赞我再慢慢更，体验很多，一次也打不完。  先说一句，我在学校学的不是医，和他们医生的体验是不同的。这也是我匿名的原因。  分割——————  上面啰啰嗦嗦说了很多，其实主要还是自我怀念，同一专业师兄师姐不多，但我这一届基本就是这一专业最后一届了。（因为各种改革，师弟师妹们跟我们已经大不同）下面直接上干货，把大家可能感兴趣，也是本人印象比较深刻的体验做一下回答。  1.军训 这个可能也没什么说的，每个大学都有。不同的地方不过是时间要长一些，动作要求严格一些，我那个时候还只有一个月，后来都变成两个月了。亮点在于两个月中有一次长途拉练，就是背着大背囊走走走走走走，走走走走，遗憾的是我没在军训中体验过，想必也是很有趣的经历。括弧笑。 其实军训时期是十分令人怀念的，那时你没有复杂的背成狗的医学课程和明知道公式也不会计算的理工科课程。大家彼此并不熟悉，没有较多的撕逼和内幕，大多数都是一样的在重庆的高温下烧烤，每天练队列，跑步，吹牛，抢饭，被罚爬楼梯，军姿，蹲着。 但他仍是一段难忘的时光。  2.下连当兵 准确的说，就是全校一年级统招生，去体验下基层队伍的生活，毕竟部队和学校还是有很大差异的。我那年有很多的地方可以选择，当然选择这个词并不准确，应该叫被选择。于是这里就有不同的体验。有每天吹着空调裹着被子躺着的，有每天挖坑填坑打扫没人用也不会有人用仓库的，有全副武装荷枪实弹执勤站岗的，有自己被子都有人叠被当成领导的，有每天蹲在路边无所事事除草的，有每天五公里每周战备偶尔半夜紧急集合的……我很庆幸我去的算是一个很普遍的地方，见识了真正的基层环境，以及看到了那些班长，新兵等等。 当时的带我的那个班长两年前退伍了，现在在做家具。  3.社区实践 就是去重庆主城很多小社区，给居民普及一些高血压糖尿病的常识性问题，给大爷大妈测测血压血糖。客观的说，能做的事情并不多。主要利用这段时间增进同学感情。笑。  4.数学建模 从大一开始搞了三年，我们小组三人成绩稳步上升。从重庆市一等奖到全军二等到全国一等，很感谢数学教研室各位老师的指导。当初也曾受某校花级学姐影响考虑过美赛，时间关系未能参与，略有遗憾。后来专业课较多加上杂七杂八的琐事以及实习原因，也就参与了三年而已。 因为这个比赛，我们三人关系更近了一步。三四天连续奋战，没有睡眠，各种泡面和外卖，真正的同甘共苦。  5.运动会 这个一直是学校大事，每年都要上军报的。 单项没啥好说的，能拿第一的都是真的厉害 ，不服不行。威风锣鼓队，参加过都知道，感觉这两年变成舞旗了？小吃一条街，其实我主要还是在吃串→_→。啦啦操，嘿嘿嘿，我就是专门看护理的姑娘们。虽然自己也做过啦啦操队员。负重五公里集体跑，谁想出来的这么缺德的项目？急救转运项目是某系和某旅的决战项目，其激烈程度和撕逼情况年年不减。啧啧啧╮(╯▽╰)╭  6.医院见习实习 这个因各单位管理不同，体验各有偏差。对于有些人来说，简直不能更加爽快！白天上班学知识下班自由支配。我当时在北京，能high的我基本都high了。回校前一天晚上，跟着痛仰乐队不插电，爽！  7.卫勤演习 这个懂得人自然懂，不经历的人是不会明白什么才是真正的战友。不大的房间地面躺满了人，同吃同住没洗澡水挖沟搭帐篷急行军野战演出以及最后演习。这才是战友。 可惜本专业师弟师妹们不再参与演习。  8.体能考核 上一届开始正式出台的考核。额，个别项目真的想及格还是有点困难的。不过通过一些不可描述的方法，一般自己努努力，及格还是可以的。不过往后只会更加严格，想过还需凭自身实力。况且有个好身体，怎么都是个好事情。  9.心泉 其实我觉得当时的八部一站一社的骨干成员会有与我类似的感受。 这个单拿出来是因为她对我而言有着巨大意义。 在这里我度过了在学校最为迷茫的时期，让我一直坚强的继续前行。在这里我接触认识了众多各个专业的学长学姐学弟学妹同级战友等。在这里我很负责任的说，我在这里遇到的无一例外全是极其出色优秀拥有各样优点在哪里都可以独当一面的人物。 不过现在的心泉，感觉药丸。  10.毕业分配 赶上阳光分配，有了选择余地，也是有利有弊。去年有人发生撕逼大战，今年好了一些。不过坑永远是不变的主题，这里不多说。这段时间也是我刚刚以及正在经历的。体会很深。这段时间内大家的所作所为，你会发现彼此之间的友谊说坚强也坚强，说脆弱也脆弱。不过终究等到一切尘埃落定，不舍是你心中唯一的情感。 我们兄弟姐妹几个人真的是全国各地、天南海北，愿我们都可以好好的！  ————————大概说完的分割线  我不喜欢我的母校，她有些地方做的实在令人寒心。但我感谢我的母校，因为在这里我认识了很多领导老师兄弟朋友战友，认识他们是我这五年来巨大的财富。 毕业离开在即，套用做毕业相册时的话: 『聚是一团火，散是满天星』 『星星之火，可以燎原』 『纵观五载，真情相对；同甘共苦，共同进退；年轻无价，青春无悔！』  （应该不会再更新）。
第三军医大学附属医院医生是哪些学校毕业的？,三个医大居多，北医，协和，华西等也不少
谁知道第二军医大学新生发型要求以及能不能带电脑？,泻药，但我并不是第二军医大学的
部队医院（比如301）里的医生都是从军医大学毕业的吗？,当然啦
如何评价此次军改将第二军医大改名为海军医科大，第三军医大改为陆军医科大，第四军医大改为空军医科大？,挺有意思的：第一军医大学失踪了，第二军医大学已下海了，第三军医大学着陆了，第四军医大学上天了！！！！！
