国际经济与贸易专业考研的话，国内（港澳台）哪所大学比较好，最好在南方这边？,北京也有贸易很好的大学。
山东考生想报对外经济贸易大学的小语种，请问必修的课程有哪些？待遇和本一批的录取者一样吗？转专业容易吗？,公共必修 1.大学数学 哈哈哈以为学了小语种就不用学数学了么？ 2.商务英语 3.经济学原理（并非必修 但都会修）  专业课 低年级就是基础##语、口语、视听说 高年级就是##语经贸谈判、经贸选读、文学选读、翻译  转专业在做好准备的情况下比较容易 待遇没有区别
在北京理工大学学法学、国际经济与贸易是一种怎样的体验？,别来 真心劝
在首都经济贸易大学就读是怎样一种体验？,谢邀  @M华ze  。  16年七月刚踏出首经贸的校门。本以为不会有多少怀念，但在学弟学妹的朋友圈里看到自己熟悉的校园，却甚是想念，甚至有点心酸和遗憾。  即便本科的四年有诸多不如意，但如果能有机会再选一次本科，我依然会选首经贸。  和其他的京内高校相比，首经贸有两大特色：一是北京土著多，二是漂亮姑娘多。  在我看来，北京孩子是各地域的同龄人中发展最全面的一拨，不管是在英语、基础课、个人特长、生活情趣上都很棒，而他们最让我欣赏的品质就是包容和大气。这样的包容和大气体现在首经贸，就是一个人格健全的学生可以很快的融入任何一个校园内的群体，一个圈子的孩子也很容易接纳另一个圈子的孩子。  首经贸的姑娘，是校园里最最美丽的一道风景。在课间，在校园里随便挑个地方落座，都可以看到一拨又一拨的漂亮姑娘，从你眼前飘过，让人目不暇接。而且，在京内的各所高校里，首经贸妹子的穿衣品味绝对是属一属二的，因此给人的感觉既美丽又大方，不显土气。还有特别神奇的一点：来了首经贸的妹子，四年里大多会越变越美。所以千万不要忽视了刚来报道时看着有些土气的大一小学妹，你根本不知道人家大四会变得多漂亮!  另外，男女一栋寝室楼以及男女共用一栋澡堂应该也算是首经贸的特色（福利）。每天从校内四出来上课，裹挟在一堆妹子中间刷门禁出宿舍，洗完澡出浴室穿梭在一堆刚出浴的大白腿里回寝室，那感觉简直飘飘欲仙。  关于学风方面，感觉首经贸里努力的同学其实不少，但是更多的孩子还是三天打鱼两天晒网，甚至有不少纯粹就是混日子的。这是一件比较遗憾的事，因为多数进入首经贸的孩子其实都挺聪明的。但是，多数聪明人抱着这样一种心态：“我要是努力起来可牛逼了，我现在只是懒得努力而已，关键时候一定会加把劲的”。但是，从我在这里四年所接触的人来看，抱着这样心态的孩子，最后都混得不怎么样。反而是那些不算十分聪明，但非常踏实的同学里，有几位发展得还不错。因此，作为一个过来人吧，还是希望咱们学校的孩子，能踏实一点，静下心来做一些实事，在课堂睡觉以及在侧楼刷个座玩半天手机是没有好结果的。  我在首经贸的四年，实话说是留下了不少的遗憾和不是很美好的回忆，但是这儿真的让我学会了很多，成长了很多，我很荣幸曾是这里的一员。  我在三食甬道上搭讪过高年级学姐，在去往图书馆的路上遇到几个月让我夜不能寐的梦中女孩，在博学楼的查分机上看着自己不过二的绩点担心没法毕业，在曦池醉醺醺地接过姑娘送的零食，在下沉广场看星星，在图书馆的走廊里来回踱着步一遍遍背考研政治，在凌晨行知楼忽闪忽闪的灯光下看雪花从夜空中飘落，在大活因自己主办的晚会岔子百出急得几乎哭出来，在烈日当头的六月底拍毕业照。  在博学，在慎思，在侧楼，在三食，在校内四，校内二，在午夜的校内三门口，在凌晨的图书馆前，在傍晚的下沉广场和入夜的曦池，如果你看到一窝打旋的落叶，那是我青春的野鬼。   
报考对外经济贸易大学在职研究生能获得什么证书?, 如果报考的是同等学力申硕在职研究生，最后获得的是硕士学位证书和研究生结业证书，如果报考的是非全日制研究生，最后获得的是硕士学位证书和学历证书，学历证书会标注学习方式。 
大连民族大学国际经济与贸易怎么样？,这个问题必须要回答啊～我就是民院国贸专业英语强化方向，之后考了这个专业全国排名第一的北京211院校的研究生，有对比也就有发言权，读研后，真切体会到，民院国贸专业的教学质量很好的，老师都非常负责，教学方法也都很开放，一流，注重英语教学，我觉得师资力量不比研究生院校的老师差多少，在同类院校里肯定算好的。当然我所说的师资力量是指学生能从老师的课堂中学到什么，要说老师们的所谓“头衔”，肯定跟一流学校有差距，但是所谓的名师头衔跟我们做学生的关系不大，毕竟那都是老师的。 二流院校和一流院校最大的差距其实不在于师资，而在于校友和平台资源。所以我的建议，不管在哪里，不断地学习和努力才是最重要的。
对外经济贸易大学国际经济法和华东政法大学的法硕该怎么选择？, 想在北京进行职业发展报考对外经贸，想在上海进行法律职业选择，华政是个不错的选择。  另外，一楼说的很对，法硕的难度和含金量都不如国际法。请题主自己斟酌。 
对外经济贸易大学 保险学 GPA3.3 雅思7 申请英国商科能申请到什么水平的学校？求解答？,学校可以在世界排名前100院校里面选择，如果考虑冲刺曼大、华威，考一个700+的GMAT会有很大帮助的
请问考研到延边大学，毕业后找工作难吗？我是国际经济与贸易专业的，想学韩语，跨专业考研有必要吗?,答主你现在考完研了嘛 我也是国贸➕想考韩国语研究生 纠结中 可以给我点意见嘛
首都经济贸易大学在职研究生怎么样？,现在改革完之后，在职与全日制拿到的文凭不一样了吧。
去对外经济贸易大学学习经济，哪种性格比较适合呢？或者说需要具备哪些素质？,希望题主首先想通一个问题，假如你选择到对外经贸学经济，是为了什么。  你是因为喜欢经济学，还是向往自由的环境，还是希望以后好找工作？  如果是喜欢经济学，或者说你想象中喜欢经济学，那么可以先了解一下经贸专业的必修课程，看看是否对你的胃口；  如果是向往自由的环境，那么你在贸大学任何一个专业都可以享受到这种自由的环境；课程少的学期，有些同学会故意周一或者周五不排课，每周一个小长假。。大三上完学分大四出去实习的话老师基本上是支持的；社团众多，讲座众多，而且商院名人堂格外喜欢请明星。。  如果是想方便以后就业，那么贸大就来对了。顶着这个校名你找实习也方便找工作也方便。强制学英语，用人单位看见对外经贸四个字都默认你英语好，不管你是啥专业。每年找工作的那拨贸大毕业生里，银行和四大解决一半的offer。  其他建议就是不管你最后去哪个学校什么专业，你要有一个拿得出手的社团或者竞赛经历，一个就够；你要有一个拿得出手的实习经历，至少3个月，一个就够，多的看你自己。其实最后你会发现毕业工作并不一定专业对口。。。  举个栗子，答主学海关，目前做某互联网公司的HR，就酱。
对外经济贸易大学专业排行是什么样的？,谢谢各位学长学姐和老师啦
上海大学和华东理工大学的国际经济与贸易专业哪个很好一点？,在这个专业上…我感觉两个学校没有任何区别。但是我是华理毕业毕业的，所以我说华理好！
志愿填报山东大学和首都经济贸易大学选哪个？,你是哪里的考生？我也纠结
题主大二国际经济与贸易专业，普通二本大学，想跨考法硕国际经济法，请问该如何准备以及选择哪个学校更好？,我也是国贸专业，想考法硕
大学专科毕业考了自考本科，想考国际贸易研究生，大学没学数学，经济学0基础，提前多久准备比较好？, 首先国际贸易这个专业属于应用经济学下的二级学科，因为金融等专业的火热，与之相关的专业这些年都很火爆，所以不管是财经类院校还是综合性院校，竞争人数都不会少，题主要有思想准备；  一般考研都是从大三开始准备（也就是提前一年或者半年左右的时间），考试科目英语政治必有，数学是数三（高数、线性代数、概率论与数理综合），加专业课；  就这个专业来说财经类的话肯定是四大财经院校最好，综合985 211级别的综合性大学也不错，像专业一般点的名校也有像 山东大学、首经贸、华东师范、川大等等，看题主基础怎么样（以上这些学校只是相对这个专业来说弱点，本身实力可都很难）  附上一张专业排名       
如何评价对外经济贸易大学统计学院？, 经济类的课只是前菜而已，正餐是数学+数学+数学+数学+数学啊/(ㄒoㄒ)/~ 
对外经贸大学的国际经济与贸易和金融学（金融学院）专业哪个好？,从学科排名上来说，贸大国际经济与贸易全国第一，金融排名要逊色些。但是因为金融的热度居高不下，分数一直比国贸高。看你所谓的好如何定义，就业的话金融要比国贸好，但是经管类专业就业差异不会太大，考虑下你自己的兴趣。
中央财经大学和对外经济贸易大学金融学硕究竟哪一个更难考？, 究竟哪一个更难考？没有究竟，不要纠结。  谁现在能回答明年高考录取，北大分数线高还是清华分数线高。这两所学校实力相当。你可以查到今年哪一所好考，去年哪一所好考，但那都是马后炮。  哪个学校今年报名人数多了，哪个专业课题今年出的难了，那不就难考了。你甚至都可以抛硬币决定考哪一所。。（玩笑）  怎么预测今年两所学校里哪一所好考一点，你不妨做个调研，去搜哪个学校考研群的人数多，去论坛发起投票，看报考哪一所的人多，再结合一下录取人数，在看看哪个学校的专业课更适合你，差不多根据这些就可以有一个自己的判断了，决策在于你。 
在对外经济贸易大学刷呆是怎么样的体验？,实在想知道，我的呆可以借你刷一学期。
对外经济与贸易大学对新生英语的要求有多高？只要高考到分数线就行了么？高三暑假要不要去恶补英语？,根据考试成绩分班，对外的学生英语很重要，高手也多，能提前学习学习最好了。
本人目前大一读国际经济与贸易专业，想在大学四年期间出国留学，应该申请什么专业？, 国际贸易专业是个具有很强时代感的学科;并且中国已逐渐成为国际贸易增长的新生崛起力量;国际贸易结构走向了高级化，服务贸易和技术贸易发展方兴未艾;跨国公司对全球贸易的主导作用日益增强;贸易自由化和保护主义的斗争愈演愈烈，各种贸易壁垒花样迭出……面对着这一切的浪潮的袭来，现在需要国际贸易的在职人员们思索下，是否应该给自己再次的锻造下、更新专业知识、提高工作能力?   　　国际贸易专业主要的就业方向  　　一、外贸业务：  　　首先，性格要适合这个方向，因为国外的采购都喜欢和那些好说话，开朗的人交往。但是性格却不是确定一切的，做业务更重要的是毅力和心态，毅力要够坚强、心态要够平稳。做事的时候一定要做好，甚至天天加班都行，但是一旦出不了成绩，别人逼你，自己也一定要冷静，不要怀疑自己。其次，做这个职业压力很大，但是一旦做下去了，必须要经历几年时间才能拥有一定的客户源，所以如果觉得公司老板人还可以，舍得投钱进去建立渠道让你去接触客户，加上这个行业又好做，那就下定决定做下去，千万不要半途而废。最后，运气好也是很重要的，如果行业好，又有网络，而且自己的英语能力也不错，再加上一定的经验积累。时间长了一定会做出成绩的，当然收入就很客观了。不过，想要成为一个出色的外贸业务员，你的英语水平一定要好，对产品一定要很熟悉，一定要注重细节，做事情时要把自己放到别人的角度去看，考虑问题全面，做事情注重效率，要有很强人际交往能力，最好是熟悉别人的文化，凡事都用心去体会、用脑去思考。  　　二、高级外贸跟单：  　　这个行业主要是在找到客户后，从新产品的打样定单下来后的审单、合同评审、和大货跟单、定期和客户讨论定单交期、后期跟踪和货代联系等，做出口单据和进口单据，定期催款，并更新电脑系统的记录资料，包括一些后期的服务工作。如果客户来工厂，也要全程陪同。可以说这样的工作是偏向于企业管理和客户服务的方面，要求的技术能力比较高，对 英语要求更是高，这样的人往往都在一些企业集团，尤其是跨国公司，做好了，对某个行业十分熟悉后，还可以跳到跨国公司驻中国的办事处做采购代理对国外公司提供全套服务。这种工作不需要象业务那样承担拿不到单的压力，但工作量大，要求高，尤其是英语水平。  　　三、高级单证  做这个职位你一定要懂得CIF、FOB这两种贸易条件下的操作;海运、电放、空运等运输方式的操作;L/C、T/T的操作，懂得FORM-A、C/O、报检的办理;会做一般贸易和进料加工。懂得进口的操作。有报关员证、报检员证，能报关最好。整个外贸单证流程能够全部一个人全部操作下来，甚至包括结汇、核销、退税。还要熟悉各国的法律、海关惯例。英语流利。拥有这些才能的人做单证主管在大企业福利待遇是很不错，但是没前两个职位高。 
想要考厦门大学的研究生，一本的国际经济与贸易（国际商务方向）的大一学生，该如何选择和准备？,过了这么久也没人回答，我虽然是厦门大学的但我不是经济学专业。经济学院在思明校区，是校本部，位于厦门岛内，校园环境确实非常好。我在翔安校区，离思明校区很远。 回到你的问题，对于经济学考研，具体科目我不知道，哪个方向好我也不清楚。但是我当时考研在校外租房的时候有一个室友，他考了两年厦门大学经济专业，但都没有过线。厦大经济学专业在2014年初试线超过400分，因为我是那一年考研所以只清楚这一年的情况，厦门大学经济学考研难度是很大的。 而且即使你达到初试线或者超过初试线很多分数，复试的时候也是人才济济，压力很大。我不知道你的本科学校是哪个学校，看你说是一本商科类大学，想必不是211或者985，考研的时候很多情况下复试都是会看本科学校牌子怎么样，这对你来说可能会是一个劣势。 你现在才大一，就想着怎么考验，你的基础学科学的怎么样？你甚至都还没有上你们专业的专业课吧？你应该踏踏实实学好专业课、数学和计算机。数学一定要学好，可以学一门计算机语言例如R语言。等到大三开始再考虑考研也不迟。 你的大学生活才刚刚开始，确实要未雨绸缪，但也要享受现在，做好现在。
金融专硕考研有比对外经济贸易大学难但是比人大轻松的北京院校吗？,央财就算了吧 
央财和对外经济贸易大学哪个更好？,能去央财就去央财 央财的学术能力和就业绝对强些 外经贸一直在走下坡路
从天津高考到对外经济贸易大学难易程度？,今年文科是623到640
中南财经政法大学非重点学科：电子商务、税收学、国际经济与贸易、贸易经济怎么样？,建议你问问各位金融和电商俩地方毕业的绝大多数人都在干嘛，对你帮助更大。 前沿不叫边缘。 当然比自命不凡觉得自己一定是最顶尖的那个……我建议你去清华门口自挂东南枝试试。 毕业两年的电商11级大学渣。
在对外经济贸易大学当学渣是怎样的体验？,我写这篇答案的目的，既是借以自省，也是旨在激励大家。对于成绩不理想的同学，只要学到了东西，无愧我心就好；对于成绩高的，也要扪心自问，是否能力和眼界当真有所提升。毕竟，实力，才是硬道理。  不可否认，我也遇到过非常优秀的贸大学子。有一个我超佩服的学姐，真的很优秀，对贸大的感情也很深，她非常努力，因此贸大也提供给她很多资源。她会觉得，不要怪学校，学校总能提供资源，重要的是自己努力。  我只是担心，学弟学妹会像我一样，看着自己分数还过得去就骄傲自满，荒废了实力的提升——而那，才是真正有意义的。  考试和评分制度不完善，学校也在改。哪个学校能是全然没有任何问题的呢？更何况，成绩也不能反应一个人的全部。  因此，我真正回答的问题大概是：“为什么虽然分数过得去，我却依然觉得自己是个学渣？”  成绩这种事，拿出来比真没什么意义，常青藤也罢，清北也罢，都一样。因为这世界上的成功只有一种：按自己想要的方式，度过一生。  原答案在这里 ————————————————————————————————————————————————  怒答。在我们学校，根本就没有学渣。  前两天看了这样一个问题：在清北做学渣是种怎样的体验？  下面真学渣的答案大致两种：一种是拼死拼活只能考60，比平均分低20-30分的；另一种是成绩不突出，其他地方也比那些 成绩好的人 差的远的。  在我贸，第一种学渣不存在，因为成绩基本不取决于学的好不好，只取决于老师杀不杀。我们的考试不仅仅 不能 反映学生水平，追求考试成绩和追求学的好 甚至有时候都是背道而驰的。   先说前者，在本学期要求分数正态的政策出来之前，学的好、学的不好，大家最后分数都差的不多。就说比较难的数学分析，只要不是太作死(一年到头不去上课不交作业这种)，就算考的不好老师也会让及格。部分课程分数之水，导致在某些专业gpa3.9甚至不能拿奖学金。  再说分数正态到底能不能解决这个问题。我认为不能。为什么呢？因为对很多课来说，考得好 和 学的好 根本就是冲突的。为了考得好，你要向学长学姐问考题，然后背下来，因为很多考试题都是不会变的。甚至还有连着十年考题不变的“专业课”。为了考得好，对于“中微”这种课，你要刷练习册上的计算题，而究竟里面的经济学理论是什么，根本不需要在意。高分的学生一定是学的好吗？  所以，我贸并没有学渣。不上课、只会做题的我，和上课要把每个问题搞清楚、理解透彻的大神，考出来并没有什么区别。而在本专业科研做的超好的学姐，考本专业的科目，绩点也理所当然地不理想。  这能说明什么呢？  我对这里又爱又恨，爱它让我成为既得利益者，在申请的时候不会因为成绩拖后腿；可我也恨它对待学习的态度，让我在猛然回头时发现自己过去的两年，在学校的课程里，并没有学到什么。  因为不管你考的多好，你也都可以是学渣。更可怕的是，你会因为考得好，而浑然不觉。  共勉。
上海对外经贸大学与对外经济贸易大学哪个好？,我看题主好像更新了一下问题描述，然后我想问题主一个问题：你说考央财和上财比较危险，你考外经贸就不危险了…还没高考呢，安心复习，想去长三角就争取考上财不好么╮(╯▽╰)╭  以下原答案  ———————————————————————  谢邀。  首先，对外经济贸易大学是211，上海对外经贸大学一二本兼招。  其次，对外经济贸易大学名列“两财一贸”，应该不会有人问“上海财经大学和上海对外经贸大学哪个好？”这样的问题吧。  当然，要是你特别喜欢上海，想去上海对外经贸大学，你问我资不资词，我也是资词的。  最后，欢迎大家报考对外经济贸易大学！
对外经济贸易大学和早稻田大学如何抉择？,我们学校算是我们市最好的四所高中之一，一本线上的人每年超过90％（不过一本线上和进一本还是有本质性差别的）      然后因为地域原因（你应该能猜到我在哪个市）去清北复交港中科的学生起码占40％     所以成绩好的人都会选择高考，因为进个211应该没问题。。因为我们高中非常好，和很多国外学校有保送项目，然后我看了一眼我们去年申请去早稻田的人的年级排名，基本就是300名那种（我们年级总共400人），一般年级前200的学生没看到有申请的。。  对外经贸大学挺好的，建议把出国读本科的这笔钱省下来，去美国top30的研究生镀个金。。早稻田大学本科读完之后，基本60w就没了，再考虑读研究生的话，真的要花100w了。如果你只读早稻田本科的话，在国内找工作有点亏。。  美国和日本的认可度在国内应该差不多，但是你觉得他们会要一个只读了本科，而且是非英语为母语的国家；还是会选择一个经济最强国的top30的研究生?
汕头大学医学院护理学专业（提前批）和上海海事大学物流工程专业（或南京林业大学的国际经济与贸易专业）？,上海海事吧，学护理读什么本科。
