大学生想自主旅游去西藏，有什么建议吗？,我想去极了，但由于条件有限一直未遂，还有，去西藏最好在5，6月份
大学生暑假西藏自旅？,要有钱
现今的西藏大学如何？,谢邀。 已毕业。西藏大学分两个校区，我是在老校区读的大学。 基础设施基本完善，宿舍楼除了14、15栋之外，貌似没有独立卫生间。洗澡问题需要去澡堂解决，只有淋浴，一次五元。 宿舍限时供电，时间为早六点到九点，中午一点到三点，晚上六点半到十一点。水电费不用管。宿舍有网线接口，只能连校内网再转外网。WIFI理论上全覆盖，但看人品，我们宿舍信号就很差。 学校食堂刚翻修，品种和质量都有很大提升，价格在拉萨还算实惠。学校附近也有很多饭馆，基本可以满足各地区的口味。 图书馆一是存书量严重不足，二是版本老旧。新校区的图书馆情况要好的多。新老校区图书证通用。 学科建设方面有些极端，强的很强，弱的很弱。藏语言文学、藏史、高原环境保护等地方特色学科建设很好，师资力量也算一流。但是其他学科，比如汉语文、数学等就没办法和内地相比了。 暂时想到这么多，想到了再更新。
想报西藏大学，为了他的211，但怕学不上东西，毕业后在内地找不到工作，即使上了研在内地能找上工作吗？,目前正在计划考研考回去。
西藏大学就读的体验？, 我是理科，文科不了解。前面的问题我的答案都是道听途说的，等你来了就知道了。  西藏不乱，因为一到节假日你就被关在学校了，乱不了。汉族妹子还是挺多的。 
西藏大学怎么样？求助各位大神。,这位同学问的很学术方面呢。简短的说，与普通二本比，除了风景和它的特殊性，师资和学风都要弱一些，有些老师很牛也很值得尊敬，但普遍一般。不过还是看个人，也有很优秀的学生，也有很多勤奋的同学，反正就是自己坚持，不要感染上懒惰就行。环境好，风景美，夏天凉快冬天冷，硬件设施新校区不错，老校区的校舍是很多年前的，8人间，上下铺。两个校区都需要去澡堂洗澡。 不用想太多民族之间的问题，只要相互尊重，就能相处融洽，反正我认识的人都不错。                                                                  不留西藏的办法也很多。考研是最好的途径，也可以保研，只要你大学四年表现良好成绩优秀。              高反看个人身体素质，我们院那一届只有一位同学缺氧需要靠吸氧缓解，其他的都只有轻微反应，眩晕，干燥。详细可以关注下在西藏大学就学是怎样一种体验这个问题。上面的回答普遍走心，希望对你有所帮助，祝好。
两个大学生去西藏安全吗？,该女生唯一需要担心的安全问题就是你！
准大学毕业生6月末打算去西藏玩7天左右，请问有啥特别注意事项？,首先，女生多建议坐火车去。去之前最好吃一个星期红景天。吃这个问题呢，你不用担心。我记得当时我是喝了好几天的皮蛋瘦肉粥，因为小伙伴高反严重吐了两天只能喝粥吃面条。意思就是，你不用担心吃不惯，因为那里外地人很多，吃不会局限于藏餐。行程就看你们自己安排了。住的地方一定要提前订好。可以去羊卓雍错，离拉萨市区算是比较近的拉萨市区转一转大昭寺可以去，大昭寺会有很多朝拜的人，看人家磕头朝拜不能走人家前面，不能指指点点。洗澡不建议第一天去就洗澡。容易感冒，重感冒在高原容易引起急性肺水肿。昼夜温差稍微有点大，注意增添衣物。高原紫外线强。注意防晒。上厕所这个问题你更不用担心了。我当时住在仙足岛，里面的全是客栈，客栈全是独栋独户。拉萨很干净很漂亮。你去之后在拉萨转悠的时候会发现那里的治安真的很严很好，我进拉萨火车站的时候一共过了四道安检。。。那里的每一个人都很好，外地人很多，你坐出租车司机是外地人，吃饭老板是外地人，他们都非常好。 至于套路这个问题，我没遇见过。也没人和我搭讪要套路我，否则我想看看以我的聪明才智能否识破，哈哈哈。只有一个藏族司机小伙，一直问我们要不要去夜店给我们介绍帅哥。呵呵，我们是那种人吗。不能去啊。在外警戒心一定要有，别贪玩。正常游玩应该不会遇见一些乌七八糟的事情。字这么多上点图吧       火车进藏，白云在头顶的感觉真是太美妙了        羊卓雍错   火车进藏的时候眼睛都要看不过来了   雪山 全手机拍摄无任何滤镜，手机只有这几张照片好看不好看就他了吧。
大学生两男两女今年六月底去西藏安全么？,其实爸妈担心的是两男两女…
你会选择西藏大学么？,不好，别去。
女大学生寒假去西藏需要什么准备?, 妹子，换个地方行不……
瘦弱女生在西藏大学如何在冬天生活？保暖措施？, 从饮食方面  1、多吃牛羊肉，这些食物热量大可以帮助抵御寒冷，尤其是牦牛肉！  2、多喝甜茶和酥油茶，如果能买得到好的酥油自己打酥油茶是最好的，或者你的同学可以帮你找到做酥油茶比较好的茶馆，每天都喝，你会发现不那么怕冷了，还能帮助适应高原一举两得。   衣物方面  1、一定要穿保暖内衣，内衣层穿的厚实了，就不会觉得身上凉飕飕的，再配合厚外套才能达到保暖的效果，如果内衣穿的单薄，只是外套厚实，不管多厚的外套都会觉得身上暖不起来  2、拉萨的冬季非常干燥，穿羽绒服和羊毛（羊绒）制品是最适合最保暖的，比棉织物保暖。  3、买几个漂亮的帽子，羊毛或者羊绒的最好，头部是人体散热的主要部位，睡觉的时候也可以带着，我推荐你买美利奴羊毛的那种帽子，很柔软很好用  4、在拉萨买羊毛被，大概500-800左右，真的很暖和，而且还不重。不要用普通的棉质床单，普通的棉质床单躺上去是凉的，用抓绒材料或者绒的那种毯子当床单，躺上去不凉，还会提升舒适感。   以上是我在拉萨的生活经验，希望能对你有所帮助  总之拉萨的冬天还不算难熬，而且最低温度也不会超过零下10°，基本白天都在零度以上，就是早晚的时候冷得很。  扎西德勒 
大学生想在寒假去西藏，望各位哥哥姐姐叔叔阿姨给点建议。?,建议火车入藏，青藏铁路坐过绝对不会遗憾，会看到很棒的风景。上海有直达拉萨的火车。时间应该和广州到拉萨差不多（今年暑假刚去）52小时，就是两天左右，建议卧铺，如果想省钱也可以硬座，这个挺大考验。。不过我在拉萨认识了一哥们就是上海到拉萨的硬座，牛逼啊。。 。 然后就是提前吃药，这个看个人吧，我觉得会好点，我的一个同学就是没吃然后到拉萨受不了打针了。在这方面花冤枉钱很亏的！但是也不要对高原反应有什么心里上的负担，正常现象。。很快就能够适应。 还有切记防止感冒！！多喝水吃水果。 注意保暖，冬天进藏会很冷，特别在一些高海拔的地区，可能要做好大雪封路的准备。。冬天的西藏也有别样的美，祝你玩的开心！上点我拍的图       
在新疆西藏内蒙古读大学是什么样的体验？,坐标内蒙古，就跟在内地没区别啊，多上一门民族理论的通识课算区别嘛(⁄ ⁄•⁄ω⁄•⁄ ⁄)
大学生暑期去西藏支教，有公司赞助我们支教团飞机票，于是分歧产生了，飞机or火车？,很长时间以来，在我国，公益往往被道德绑架。从这件事情上来看，无论是你们支教团队中的队长，还是那一小部分人，都和愚蠢的公众一样犯了同样的错误。  没错，我就是用的“愚蠢”二字。我曾经在公益机构工作了3年，后来离开，是因为收入太低，难以在北京过自己想要的生活，情怀真的不能当饭吃的。知道我在公益组织工作的时候最经常也是最烦听到什么吗？就是这样的对话：  -呀，大猫你在公益组织啊？真有爱心！ =额，这只是一份工作，有爱心的是我们老板 -每年都能去西藏玩儿，多好啊！ =可我们去并不是玩儿，很累，掉体重，很伤身体…… -呀！可以一边玩儿一边减肥，真好！ 我心中狂奔百万草泥马，对蠢人真的无话可说，这还不是奇葩的地方，在后面呢： -那你们平时作什么工作呢？ =就是在公益组织啊，全职，拿工资的那种。 -啊？你做公益的还拿工资啊？真没想到…… =（废特么话！不拿工资我喝西北风吗？）呵呵……  瞧，这样的对话，没有上百次，也有几十次了吧？这就是公益从业者面对的现状，一点儿不夸张。我想说的是，当我决定做一件公益或者慈善的事情的时候，用什么方式、用什么工具、乘坐什么交通工具，只要为了达成公益慈善的目标，其他人只能送他们四个字——关你屁事！ 凭什么做公益的就得破衣拉萨的伸着手讨钱？凭什么做公益的就不能有体面的生活和有品质的生活？ 我付出劳动，挣来工资，不是为了看你们指指点点的，当然你们指指点点我也根本不在乎，重要的是，我在做的事情，这些指指点点的人，99%都做不到更不会做。  记住了孩子，做公益，不要被人道德绑架，行得正坐得端，有企业愿意支持你们，坦然地接受，该给企业什么回报给人家什么回报，别说什么无利不起早无商不奸，商家付出成本要求回报天经地义，同样100w投在央视可能只有十几秒，投在西部地区就可以做一个很好的教育或者医疗项目，而后者可以引发媒体的持续关注和报道，孰轻孰重？企业也不是傻子，“公益营销”的理念现在也开始慢慢进入企业的市场规划，这是全球之道，不是几个傻逼用它们狭隘的思想能左右的。  唾沫能淹死人，不过你想淹死我，恐怕吐死自己都吐不出来多少唾沫吧？做自己想做的自己认为正确的事，其他的，不必理会。
2017年，四川考生报考西藏大学需要好多分？,楼主，哪里的，一起
今年本二超30分，去西藏大学好还是南方一些次一点的学校好？,前几天也是一个学妹问我他弟弟报志愿，超二本50分左右，想报西藏大学，机会大不大呀，什么专业比较好什么的。说实话，我那个时候主要是因为对西藏那个地方有了情节，加之考的不是很好，然后就报了，而且那年招的人特别多，招八十几个人，所以上的机会很大。 但是近几年西藏招的人变少了，而且要求也高。我的建议是如果你对那个地方有向往，可以去西藏，如果没有，还是不要去了，在内地选一个喜欢的专业，好好学习，等有钱了过去旅游还是很不错的。 每个学校都有不好就业，不能说藏大的就不好回内地就业，我现在就在我们家乡的县城里上班，也挺好的，只要自己努力，在哪里学习都好，能在一个自己喜爱的地方读书，那也处处都是惊喜呀。
大学女生，21岁想暑假去西藏，该注意些什么？,往返机票，早去早回，啥事没有
西藏大学就业？,泻药，没关注过，太远了。 寒暑假或者有实习机会回内地闯闯吧。
广东文科女生该去西藏大学吗？, 身体条件怎么样？受得了高反么？这个可是真要命的东西 
各位学长学姐，有没有人知道西藏民族大学怎么样？,没人邀，自己来答——  我以过来人的身份告诉你，如果你想混日子，拿个学士学位就行，那么这里适合你，要是你对大学抱有很高的期望，千万！千万！千万！别来，重要的事说三遍。(总结：男生宿舍8人间，女生宿舍6人间，宿舍就一个老式摇头电扇，宿舍没热水器空调，学校很小，600亩有一半是教职工的，学校不用骑自行车，一支烟就从校门口走到宿舍了，每天宿舍食堂教室三点一线，学校限制出去，出入门刷卡，月限10次，进出宿舍门刷卡，晚上宿舍打卡签到输指纹)讲真，这不是一个适合咱们内地人呆的地方，你会疯掉的，这也不像一个大学，感觉狠专科的是的。  PS：当然，如果你狠热爱藏族文化的话，你可以来⊙﹏⊙ 呕心沥血，觉得有用请点赞。 最后，还是腻了吧，万一被领导看见，不发学位证了怎么办，心塞  -_-||
如果你的大学是在新疆或者西藏，而原来在内地上学的你怎么样融入？,我是新疆人，是来内地上学的，北方人都很热情，很好相处，只要自己性格不是太差，一般很容易融入其中的
西藏大学好吗？毕业后工作好找吗？,泻药，请移步西藏大学贴吧，看置顶帖，还有现在满屏新生的各种咨询，你会找到你想知道的。
给你两倍的工资，让你去西藏工作，你会去吗？,04年大学毕业，西藏某某局来招人，看中我了，待遇相当优厚，我是帝都人，从小到大都在帝都，非常向往独立的生活，初步意向要去。那边的条件是必须干够6年还是8年。可是我父母不太同意，跟对方领导交涉，问了一溜够，待遇真心好，还特别锻炼人。最后我老爹问了一句，安全么！对方说，放心吧，安全着呢，都配枪！我爹回来跟我说，不许去！ 事实证明，姜还是老的辣，想想08年！
大学生（女）准备计划在寒假穷游去西藏，想坐火车，无经验，望有经验的万能的网友提供各方面建议。？,不建议你穷游。 穷游失去了旅行的意义。少碰那些鸡汤学的东西。旅行就是一场可以随心所欲的的过程。你看到想吃的就吃，看到想买的就买。 穷游是什么鬼？不能吃，不能买？那当你回想这场旅行时你肯定是会后悔的。 而且还不建议你一个人出去穷游。因为，现实很残酷，人心很复杂。
穷大学生去西藏还是去香港玩好？, 最近不要去香港，女生不要去西藏  就这样 
大学毕业生想去西藏或者南疆，有没有过来人给我建议，感谢？,我承认我大南疆可能是有些不安定，但是如果你真下定决心了，去也可以。毕竟这个和平年代你想攒功章只能在类似南疆的地方了。 从阿克苏以南，稳定因素越来越差，小bl很多，但是会被压下去，理由不用多说……但是作为一个在那里长大的孩子，我还真不觉得我们那边多不安定。 自5/1以后，我家那边已经开始宵禁了，晚上11点以后的活动全部禁止，最好也不要外出，如果你补习班什么的，超过这个点一律给派出所打报告才可以，KTV也不除外。偶尔自己回家还可以享受警车 警察蜀黍们四处转，就为了把大家都送回家，母上大人的广场舞也不让跳了…… 每年接近7/5，戒严就更厉害了，据说乌鲁木齐都是五步一岗了。至于我家那里，武警真的非常辛苦，他们永远是坚守第一线的人，去年我家那里有一个星期天天四十多度，外面真的人影都找不到几个，但是他们始终穿着厚厚的防暴服抱这抢站在装甲车前面，守卫着这个不大的城市。 我们那是真的很小，就是这样一个20块钱出租车费可以绕全城的地方。也没什么堵车，我刚回去那阵过马路都不带看路的，因为没车啊，近几年才多起来的。 本来打算匿名的，毕竟这种话题多少有些敏感，可想想没必要啊，你问我们选择新疆还是西藏好，我想如果是问我爸，我爸铁定告诉你新疆，毕竟这里是生他养他一辈子的地方啊，我爸那会子当兵时靠的真的是想为家乡贡献自己一份力啊……   ———— 其实还有一原因，我爸有个战友没转业，后面调去了西藏，有一次截肢了，双腿。其实本身不是多大的病，但是高反引起的并发症让他垂危了，最后还是直升机一路飞到北京给抢救回来的，从那以后，无论去哪，我爸都不想去拉萨。 但不是胆小，只是我爸说一想到他可能就这样再也见不到他战友，就会忍不住眼眶发酸。
为什么读大学从来没有见到来自西藏的同学？,这要看学校的招生计划。并不是所有学校都在全国范围内招生。     （随便找了个某大学的2014年招生计划，里边就不含西藏自治区的招生。你们学校应该没在西藏招生，所以没看到西藏的同学挺正常的。）  我们学校西藏的倒是不少。
在西藏甘孜阿坝出家，本人性别女，请问需要什么条件，比如大学文凭，那边条件如何？谢谢。?,建议两个地方，色达五明佛学院和白玉亚青寺。  色达佛学院、白玉亚青寺：人文旅游必去的宗教圣地    甘孜州的宗教氛围浓厚，僧侣众多。 女性出家人，我们称之为 觉姆。  白玉觉姆：以赤子诚心顶礼求佛    之所以推荐白玉亚青寺，是因为她有个别名叫 女儿佛国。 修行条件艰苦，但内心坚定而强大。 看看她们虔诚的眼神  看看她们苦中作乐，安然修行  看看她们亲手搭建觉姆屋，在其中苦修  修行条件艰苦，不需要文凭。只要你有一颗虔诚向佛之心，拜访寺庙堪布，他自会安排。  但是有一点，一旦你后悔遁入空门，想再次皈依就难了。 祝你好运~ 以上
有没有人当年在高考报志愿的时候，想要报考西藏大学啊？,有，我啊。不过发现藏大不在北京招生，只得作罢。
有什么关于西藏的冷知识？,西藏民族大学在陕西，不在西藏
两个准大学生准备独自去西藏旅游？,谢邀，拒答，这种西藏旅游的问题基本上每天都有人在邀请，然而都没人去看么？更重要的是，你们觉得知乎这地方就是什么问题都可以解决还是什么？ 我看啥时候必须写一下了，拒答旅游类的所谓准备、体验、消费等问题
湖南考生，过二本线28分，能报西藏大学交通运输1+2+1吗？, 我当年是超40多分吧，是四川的，只有一本线跟二本线，但是还是没有录上，你可以填上试试，但希望应该不大。还有城乡规划和一个什么专业，也是1+2+1的，你可以一起试试 
考研调剂，西藏大学发了复试通知，家里人不让去，认为很危险，不过自己觉得211的研究生很重要，该怎么办？,还是再来一年吧，要想在那边工作就去读，地理位置太重要了。
女大学生穷游云南西藏，有什么值得去的地方，需要注意什么，准备什么，大概要带多少钱呢？,同大三，并不想好好回答问题。  姑娘啊，听我一句劝，现在收手还来得及。  千万别去做这个死，你说你好好在家里呆着干什么不好，非要来穷游。   结实更多的朋友，留下一段经历！   你是大学过的有多么平淡需要用一段可能丢了生命的过程来充当你大学的经历......（还要加个感叹号）  穷游不是一般人能玩的，没个经验别穷游，这路上没你想的那么干净，这个世界就是一个没有利益交换就行不通的地方。  你说这所谓的旅行中得有多么壮观震撼的景观能掩盖你每天起早贪黑的担心下一站究竟该怎么搭车下一顿吃什么钱包又瘪了的这些问题，旅行的过程中不是应该放松和愉快吗？  现在穷游似乎已经发展到了我他么花钱越少就牛逼的状态，当然题主不是^_^。  对了还有，你还年轻，千万别用你身体交了所谓穷游这门课的学费。  ----  唐三藏走了那么远是取了真经修了正果，    可别忘了一路走来却让妖鬼脱了多少次衣服。 
大学生、很热爱骑行、一直有个骑行西藏的梦想、目前有6000人民币、我该如何选择?,如果你现在有车，从大理出发，淡季6000够了，2000多公里，大概需要19到21天左右吧，每天60住宿50吃饭的话，加上其他消耗需要2500左右（只是去，回来下坡省一点，共需要大概4600）门票，车体保养维修，药品等一些消耗品估计你回来应该把车卖了就可以了
西藏大学如果填服从调剂，有可能被分到免费生的专业吗？,免费师范生的话只是学费免费，一年学校也会有补助。不会给你签合同分配什么的，但是！不能转非师范类专业哦，非师范也不能转师范专业。大二以后包括大二不能转专业。嗯，就是这样。网上的话听听也罢，最好打招生办电话自己仔细咨询哦。
考上了隔壁县乡镇国土资源所事业编，可是又纠结要不要去西藏考拉萨的公务员（我是西藏大学毕业的）。怎么选？,如果男生，有何不可
湖南文科考西藏大学大概需多少分？需超二本线或一本线多少？,二本线上二十分比较稳妥能进，分数越高专业选择面越大，二本线上40+的不建议来了，内地选个二本或许更好
大学生打工去西藏旅行值得吗?,值不值不在于这件事最终完没完成，而在于你有一个梦想，然后自己为了它而努力，最终实现的过程。最后骄傲的对自己说，我做到了，我就觉得很值。
很喜欢的人空军工程大学毕业后分配到拉萨西藏，请问会不会很辛苦？,我哥就是这个大学毕业的，分配后，过年过节都没回来，假期很少，间隔很长，问工作情况也不说，做好准备吧。
西藏大学能考其它学校的研吗？, 西藏大学有保研啊，高数有啊，只不过讲的浅啊，想考研老师讲的不够，上网课什么的吧 
