暨南大学保研率为什么那么低?, 因为暨南大学不是教育部直属的985高校。 
暨南大学经济与社会研究院前景怎么样？, 我非常看好。首先我觉得他们的师资力量非常不错，是一个典型的海归院。而且海归的质量从目前论文发表的角度很高，他们的院长冯帅章老师可以说是国内新生代经济学家中实力极强的一位，是大陆地区少数几个能够在AER，PNAS上发表论文的学者，冯老师也在海内外与许多知名教授有connection。  再者，我觉得他们培养方式很好，他们提供了许多助研的机会以及实地调查的机会，seminar也非常多，可以说如果想提高自身研究能力是一个不错的去处。我之前一直想出国读博，因为种种原因本科没有去成，所以想在国内先读硕士再出去。看到经济与社会研究院对于硕士的培养目标就是继续出国深造，我觉得凭借那里老师的connection，应该是不错的选择，当时还曾经有一段时间想过要不要去那里读硕士。  最后，我觉得气氛好，因为新建的学院，有活力，老师愿意为学生多付出，能够收获更多。  昨天看到官网的新闻 "你们这些学生都是我们的宝贝 我们想方设法也要给你们提供一流的国际交流机会" "每个学生都有一个科研导师 将来申请出国深造 研究院提供力所能及帮助如写推荐信""如果你足够优秀 本科期间 研究院就为你提供机会做诺贝尔经济学奖得主的助研" 冯帅章院长的话真是诱人呀!!! 
如果勉强进入暨南大学，会被调剂到什么专业？,食品质量安全专业 不过你可以发奋考个专业前10percent跨校区转专业
有想考暨南大学法语研究生的同道中人或者暨大法语系的学长学姐吗？,明年才开研究生点吧…硕导都是新招的
经济类专业，想去台湾交换，台北大学，东吴大学，辅仁大学，中央大学和暨南国立大学，哪两个比较值得选。？,中央怎么说也是中字辈的名校，综排比其他几个好太多，为啥会放在一起比
我是今年的考生，想报考暨南大学经济统计学，想提前了解一下该专业的校区在哪里 求暨大的学长学姐解答？,校区应该在南校区，就是番禺那边
去暨南大学考研住哪个宾馆方便，便宜?,根据个人经验，暨南大学本部（石牌校区）周边比较合适的宾馆有两处： 1、易通公寓：靠近南门 2、7天酒店（广州天河岗顶店）：靠近小西门 具体位置用手机一查便知，性价比高，均靠近石牌东路有众多美食，南门最靠近教学楼（考点），小西门次之。考研的那几天需要提前很多天预定，异常火爆，去年提前一个多月周围宾馆已经全部订完，所以建议现在就可以联系宾馆咨询了。
暨南大学护理系毕业了除了当护士之外，是否前途堪忧？,护理还是有很多就业方向的
有2017应届的高考生吗，有对暨南大学教育学校感兴趣的孩纸吗？,有，今年刚毕业，被暨南大学录走了，想了解一下
我比较喜欢唱歌，但没有专业学过暨南大学有什么社团是比较适合我的，求推荐？,谢邀。音乐相关社团我个人不清楚，但应该是有的；如果你留心的话，到了社团开放日，应该能注意到相关的宣传。每年也有歌唱比赛。 除了社团以外，也可以参加校级或学院的团委学生会；不但可以加综测，还可以结交到朋友（个人而言，部门的人比班上其他人熟）。至于通过部门实现能力的提升，就主要靠自己啦；用心的话还是有收获的！
暨南大学和华南理工 文科生选哪一个好？,看见三位华工校友的答案也是醉啦 华工和暨大在你省分别招生哪些专业呢？ 华工这些专业的学科实力如何？暨大这些专业的学科实力如何？ 华工和暨大往年在你省文科分数线分别是多少，哪个更高？ 了解过这些后，相信你会有自己的判断。    多说一句，我们华工虽然是985，但是在很多省份，包括大多数情况下的广东本省，文科分数是低于暨大的。 也奉劝各位校友，志愿填报，人生大事，站对不站队。 为了学校荣誉感，不问专业，不问分数，不加判断地推荐题主来自己学校，只因为是985一条理由，这样真的好吗？
对于在职MBA，西安交大深圳和暨南大学相比有什么区别？哪个好些？请不要人从学校网站上考招生简章和资料？,泻药。个人觉得西安交大深圳那个不错。
在暨南大学暨妹妹团队工作是一番怎样的体验？,泻药。 想想被邀请来作答还有点小激动，我在团队里主要做技术支持这块，来简单描述下我的感受吧。  首先来说说暨妹妹的历史吧。  2010年1月25日，新浪微博 @暨南大学暨南人网 发布第一条微博，宣告了暨妹妹微博平台的诞生。从零开始慢慢建立成了今天拥有三万多粉丝的平台。  到了后来，大家都知道，微博用户的活跃量开始下降，但微信平台悄悄地火了起来。  14年10月份的时候， 珠海网联策编 @fong尘落 (大家叫她不二就好)当时找到我们说想创立一个暨妹妹的微信平台，给暨大学子提供各种方便的服务。其实一开始我是有点犹豫的，毕竟当时在另外一个校内组织里工作，各种事情多的是，当时就怕这个微信平台做不过来，最后还是在一顿饭的讨论后决定了去做这个平台，现在想想，这或许是我大二做的最正确的一个决定吧:)   2014年11月6日，腾讯微信公众号 暨妹妹（ID：jnujmm）发布第一条推送，暨妹妹多了一种方式陪伴着暨南学子。 然后也就慢慢发展到今天就有了大家熟知的暨妹妹微信平台了。貌似有点跟问的问题扯远了.... 历史，想到再补充吧，先占个坑，或者由其他成员来补充吧。  我们回到问题上来，在暨妹妹团队工作的体验。 1.既然叫暨妹妹，那当然会有一堆女生，而且貌似大家都喜欢调戏暨妹妹们的，关于推送那些我们这些做技术支持的就没办法详细描述了。地点.....宿舍吧.... 2.当平台刚推出的时候，问题比较多，经常守在电脑前等着用户反馈，不停调bug，这些都是家常便饭，特别是在写新功能和推出新功能的那段时间，熬到晚上2点后是常有的事。 3.除了上面说的女生多以外，还有一个就是，土豪多  @钟智华  @CWong （谁能告诉我为什么艾特不到超人= =） 4.氛围，逗的时候很逗，认真的时候能认真起来。 5.技术，技术就不多谈了，珠海有暨南人网网络联盟，本部由于某原因我迟点再补充吧（笑  要说团队皂片的话，好像大家倒没试过齐人来拍一张，那就不发啦。 前几天本部和珠海还举行联谊来着，在别墅里打了一晚桌球好像都没赢过(囧，最后竟然忘了大家来拍一张 = = 以后有了再补充吧。  打个小小的广告吧 暨南人必备萌宠，余额、课表、电费、图书馆、蹭课、成绩、买卖尽在其中    附上一张暨大大拱门    好，别吐槽，我的文笔就是这个样子的。 我们会一直努力:)
跪求暨南大学国际关系考研复试的流程？,两年前毕业的师兄路过。
求解暨南大学金融学专硕的书籍有哪些，在考研论坛找了好久没找到准确的?,  一、院校介绍    暨南大学是中国第一所由国家创办的华侨学府，是目前全国境外生最多的大学，是国家“211工程”重点综合性大学，直属国务院侨务办公室领导。  在2015年7月于北京召开的“2015年全国金融专业学位研究生教育暨案例教学研讨会”上，暨南大学位列第一档次（前20%），说明暨南大学金融专业硕士培养质量达到了较高水平，位居全国前列。   二、考试科目   101思想政治理论  204英语二  303数学三  431金融学综合  说明：暨南大学“431金融学综合”考试大纲独特，涉及到微观经济学、宏观经济学、货币银行学、国际金融学和投资学（含微观金融）。   三、参考书目   暨南大学金融专硕不指定参考书，结合考试大纲以及历年真题，推荐考生参照以下重点教材复习备考：  高鸿业《西方经济学（微观部分）》，中国人民大学出版社  高鸿业《西方经济学（宏观部分）》，中国人民大学出版社  黄达《金融学》，中国人民大学出版社  姜波克《国际金融新编》，复旦大学出版社  博迪《投资学》，机械工业出版社   四、历年招生数据          说明：2016年，暨南大学经济学院保研人数增加，对外招生人数减少，各专业报考难度加大。  关注微信公众号： 金融四三幺 或者查找18炳哥金融专硕备战QQ群： 613713050   获取更多金融专硕考研资讯。 
「暨南大学一大一新生因抑郁症跳楼」的事件都让你想到了什么？,匿名答一个。 我的室友是他大学同学的高中同学，从他留下遗书的时候起，室友的高中同学就在跟室友说这件事，而我室友立刻转述给了全宿舍的人。 当时她们三人一起围着手机，我戴着耳机看电脑，假装没听见，因为我不知道该作何反应。 我和他一样，是同性恋，也是抑郁症患者。 过了一会儿，室友说：“跳了，八楼。” “好可怜……” “同性恋就不能被治愈吗？” “不管发生什么也不能自杀啊，太脆弱了。” “还是辩论队的呢，说服得了别人却说服不了自己吗？” 我把在整理的文稿保存好，合上笔电出了门。 走廊里没多少暖气片，很冷。我就站在外面听她们说，那个男生怕是没救了。 我的第一个念头是：好羡慕。 从高中到大学，这些年里我从来没有放弃过自杀的想法，只是因为怕亲人伤心，怕父母没人照顾，每次尝试都自己中断了。开始药物治疗之后，连能把自己逼到自杀的心境都失去了，生活里只剩下坚持着一天天活下去这一件事。 我在门外读他的遗书，发现，和我自己的差不太多。我也写过自己的取向，写过为了别人而活太累了，写过很多对亲朋的挂念和叮嘱。我们学的是同一个专业。我也和他一样，在别人看来优秀上进意气风发。 我好像看到了世界上的另一个自己，但就在同时他已经去了另一个世界。 就像在这深沉的黑夜里，走一条无尽的独木桥——我明白的，他不过只是不小心掉下去了，这种事情在谁身上都可能发生。桥上的人屏住呼吸，继续假装也能看见鲜花盛开，而那些真正被阳光照耀着的人，却以为他连路都不会走。 借用从前在知乎上看到的一句话：“我们害怕活着，就像你们害怕死亡。” 又有多少人能够理解呢？  希望他从此获得解脱，家人早点走出悲伤。   1.1晚间更新： 居然有这么多评论……有点吓到了…… 不要担心，答主一切都好，有在看医生吃药，生活压力也不大。死这件事也就是累的时候想想，在那之前还有很多年要活呢。 只是这件事情的确让我挺难过的。 谢谢知友们的鼓励，评论就不一一回复了。 话说这些事情说出来其实会畅快很多呢，今天复习效率特别高(｀_´)ゞ  17.2.27 取匿了。
求问暨南大学的经济与社会研究院今年的收分大概是多少？广东的理科考生求问，急！？,理科最高602
为什么港澳生那么容易就可以进暨南大学？,供求关系呗。。  比如 每年计划招10个香港人，有100个香港人想来； 每年计划招90个内地人，有9000个内地人想来。 这就是为什么内地的大学内地生的质量一般高于港澳台生。  同理 每年计划招500个香港人，有50000个香港人想来； 每年计划招50个内地人，有500000个内地人想来。 这就是为什么香港的大学也是内地生的质量高于香港生。  两地的学校都靠招对方的学生来提升自己所谓的“国际化程度”，只不过   内地考生人数实在太大，香港的大学只要想收都能收到比较优秀的内地学生  内地大部分高校质量实在不行，能考上香港本地大学的香港学生一般不会考虑去内地读大学  
为什么认为广东的两所211（暨南大学和华南师范大学）在逐渐衰落？,暨南大學的我就說個側面，立個前題：地理決定論。 珠海、深圳校區不說，廣州大學城你不跟大伙合著玩就算了，偏要弄個連外賣都不讓進的南校區，老師不願意去教書，學生活得痛苦。作為一個從本部畢業的本科生感覺非常幸運，位於黃埔大道上的本部，時常都會有重要的會議，來的都是大人物。我曾親自跟香港中聯辦主任握手交換政治意見、曾經和王老吉高管近距離交流、曾經跟華工的同學一起合伙搞創業項目路演，學生合股連鎖經營的比逗餐廳更是巔峰之作。  正是本部所處地段因為商業繁榮，交通方便以便交流頻繁才能造就一串串機會。現在本部已經成為“研究生”部了，最有活力的本科生被流放在南校區提前過養老生活。作為以商立校的學校，搞學術搞不過中大，拼技術拼不贏華工，唯有好好的發展自己商業強項！所以跑到南校區是干麻，實在不懂了。
想考mpacc，暨南大学和华南理工大学哪所好？,楼上的也太可笑了，人家问mpacc，你回答院士&amp;科研干嘛？难道华工所有偏文科专业都比暨大强吗？ 根据2015-2016年中国大学会计学专业排行榜，暨大会计排第16，华工没有进入前20。 但不幸的是，去年华工会计分数很吓人，比暨大会计更高。
想考暨南大学旅游管理的研究生，该准备那些材料?跪求解答？, 我也想问 
如何看待暨南大学出版社对于所出版的“恐同教材”的回应？,最近针对暨南大学出版社的恐同教材，也有行动派的小伙伴们正在开展工作。已经开始针对不同部门送鸭梨了。 《大学生心理健康教育》不是普通读物，是教材，如果引起了负面影响，出版社当然是要负责任的。  1、 教材中将同性恋归因于“性心理障碍”究竟是一个什么性质的错误？是否属于事实性质的错误？ -这当然是一个事实性质的错误。  首先，2001年中国的精神病分诊手册第三版已经将同性恋和双性恋去病理化，2013年的心理治疗规范和精神障碍治疗指导原则，也没有并没有提到关于性指向治疗的意见。   其次，2014年的同性恋扭转治疗第一案，法官也在判决书当中指出“同性恋不是心理疾病，不需要被治疗”   再次，中国政府在最近的国际反酷刑公约当中也表现政府不支持任何对同性恋的扭转治疗。    综上，从精神医学的专业角度，还是从政府的态度，都可以看出把同性恋归因于“性心理障碍”是错误的。   2、 教材的属性是什么？能不能把教材与一般学术专著等同看待？  -教材是专门针对学生的，传授知识、思想和技能的材料，教材有错误，老师和学生都有义务给出版社反馈，出版社也应该负责，纠正错误和道歉。2013年曾经出现过人教社出版的语文教材有多处错误，当时人教社的负责人承认了错误，并且在官网致歉。也表明次年的印发一定要更正错误。   3、 出版社的编辑没有判断出版物内容是否出现学术与专业错误的能力吗？     -  从编辑职责来看，在教材重印的时候，编辑需要了解出版物的学术水平是否跟得上研究水平的发展。   4、 除了会对出版物中出现政治导向与逻辑上的错误外，当出版物对社会大众造成恶劣的影响时，出版社对出版物没有任何责任吗？ 同时，出版社有责任对出版物进行处理（回收、致歉、更正声明等等）吗？    - 是要负责任的，但似乎没有回收的先例。     很期待更多人开始关注教科书里的问题，积极的去促成改变。 
暨南大学对外招生来说到底是一个怎样的存在？,内招小伙伴觉得虽然有的外招生会因为试题简单要求低而不爱学习，但是一样有很强很厉害很爱学习的外招生… 而且我不明白在学习上内招外招分那么清楚干嘛！虽说考试难度不一样，但是想学与不想学又不是考试难度能决定或改变。不论内招还是外招都有好学的和放纵自己的，某些人没必要专门拿外招说事QAQ -------------- 没想到会有小伙伴赞我(*ﾟ∀ﾟ*) 想说一个自己的学长的故事 学长是外招生，是我的部长。他会在开完会之后和我们讲如何学习的问题。印象很深的是，他的开卷考的某门选修的资料，是贴满了标签贴的，都是他自己写的。他可以很熟练地背完人体的心血管系统，详细到书上最小的分支。他大一上学期上完早八的专业课之后就去泡馆学习，直到闭馆。这样第二天上实验课的时候他就可以完全和老师同步。 很多内招生都做不到这样的吧 —— 补充 上面那个学长是真的超级厉害的 他台湾的 他类似于高考的考试好像72分（满分75分） 至于为什么来暨大 是因为台湾那边的医学院要74分左右 然后中大他已经呆过啦但是不喜欢那边的环境（好任性）  —— _(:з」∠)_又想写一点 分学院了，我们学院要重新搞院会，去竞选主席的全是外招生。我很好奇为什么没有内招生参选，后来有人和我讲，是因为资源都在外招生手上，内招生成绩好，但除了成绩好就没有别的了。 而且台湾和外国的宝宝可以不去升旗_(:з」∠)_(虽然我觉得台湾同胞也应该来升旗的！) 所以阿…有时候还蛮羡慕外招生的
暨南大学文学考研资料？, 你是报到19年的吧！现在还没有资料，我这边是有在研途宝网站买了些资料，你这个专业的你也可以去看看 暨南大学考研资料购买|暨大考研资料免费下载|暨南大学研究生院|研途宝暨南大学考研资料网    
怕见血的人在暨南大学上护理学怎么破？,今年的吗？？？ 我也是啊。。。抽血我都怕怕的，本来报了南方医打算当医生，我爸爸说暨大有护理学喔提前批喔要不要试一下？？ 然后。。。。如你所见，都掉进了这个大坑。 同学，看来只能互帮互助走下去了(大哭)
请问暨南大学古代文学专业和现当代文学哪个比较强呢？古代文学有哪些优秀的导师呢？,都读大三了，不能自己找文献吗
如何看待暨南大学低要求录取香港学生？,利益相關：題主口中的港澳生  先不說外招生不伐優秀的學生，題主你是不是忘了一個前提，暨大本來就是自稱所謂的“華僑最高學府”。既然是華僑，那對港澳台有優待不是很正常嗎。再說，社會上這種事情多了去了，北京人考清華北大比其他省份得容易，外國戶籍的華人考國內top3學校的也非常容易，我就有一個成績極其普通，就是你所謂的低分入暨大的那種成績的同學去了浙大。每一個地區，每一個身份都可能造成人與人之間的不平等。題主你只看到他們跟你一樣享受暨大這樣211大學的資源，卻不知道對於他們來說，面臨的同樣是學歷不被承認的問題。看起來暨大在廣東省很不錯，但國內排名呢？亞洲排名呢？世界排名呢？人家香港那邊根本看不上你這間學校。而他們除了得到一個大學的頭銜，根本沒有其他優勢，你所看重的寒窗苦讀多年換來的重點大學光環，在他們身上是不起作用的。題主若因為這個事情而忿忿不平，甚至像某個答主一樣感到痛苦，還是建議先修煉好自身為重。
福建文科生，山东大学、西南政法、中南财经政法、暨南大学应该选哪一个？,知乎上黑山大是政治正确。 但是考生也要有基本判断力，山大文科跟这几个学校是一个层次的吗？ 就是比较经济、法学这种对方的强势学科，山大都不差于这几个学校。更何况在文史哲等其他方面，山大还有巨大优势。 说到读研，难道都不查一下985与211之间的保研率差距？ 山大保研率绝对不会低于20％，最高年份到过27％，211高校也就10％的水平。  要有自己的判断力啊。
暨南大学文艺学，请问哪位导师是学术大牛啊？,苏桂宁
暨南大学南校区的财务管理与珠区的财务管理二者谁更好？,。。。校区不是你想转就能转
为什么你会后悔报读暨南大学珠海校区？, 6/26/2017最新情况，学校已经关注到这件事情，并且答应解决。此时此刻还是感觉学校还是关心我们的，暨南大学我爱你（比心）  我接受评论里面网红勋的建议，删掉了对整体老师冷漠的评级。这个学校确实有很多很好的老师愿意出面来帮助我们，我还在下面的回答里面看到了有老师站出来为我们说话。我相信这个学校出现的问题，只是在某些环节个别老师身上。  最后我也希望，这次事件快点结束，而且以后都不会再出现类似的情况。在学期的最后复习周，我想同学们也还是要好好复习的，毕竟达哥挂你了，开课还有什么用呢（笑脸）  ————————————————比心的分割线——————————————————  来自猪区在读学生的回答（为避免人肉一些具体的情况稍作了更改，但是情况用人格担保一定属实）  我不敢说选择暨南大学珠海校区是一个错误的决定  但这里确实留给了我很多不好的回忆，这些回忆绝大多数都来自这个学校的校区体系还有个别老师的冷漠  我之前就看到过贴吧上一个师兄的帖子，痛骂暨南大学教务处 暨大垃圾教务处系统，害我第二批毕业。【暨南大学吧】_百度贴吧     如今又有一个刚刚发生在自己身边的例子，  暨南大学实行的是学分制，让学生修读必修课之外，还有专业选修课以及通识选修课，每学期末开始选课。作为一名大三的学生，我们从刚进入大学的那一刻开始就被师兄师姐灌输，一定要去“抢“通识，因为学校的课程开设严重不足，一个几十人容量的课程往往会超额选课好几倍。甚至出现了，学生自我研发“抢课软件”，高价买卖课程的现象。  这种情况，在今年甚至延伸到了专业选修课。我们专业要求学生大学四年内必须修满15学分的专业群选修课，在人才培养方案内，有十几门课程可以选择，总学分远远超过15分。然而，大多数培养方案上的课程学校根本从来没有开设，按照每学期给予的学分以及绩点达标奖励的学分，我们大多数的同学应该在大四上学期只剩下2-3门专业群的选修课，在大四下学期就不会再有课程。但奇怪的是，我们这个专业课程群在大四上竟然只开了一门绝大多数同学已经修过的课程。这直接导致，我们专业的学生在大四上学期无法选课，大四下将出现仍然需要继续上课延迟毕业，甚至无法毕业的情况。  在发现这种情况后，我们第一时间联系了学校的排课老师，得到的答复是，课程信息还没有录入完毕，让我们等一下。然而直到选课开始，我们仍然没有见到其他课程的出现。这时我们统计了全班同学的信息，并且寻找了多个任课老师、行政老师、学院领导的帮忙，得到的答复是“不能解决”！  任课老师表示，行政排课老师的课程安排根本就是有问题的，在我们没有修读过然后基础课程的情况下， 大二时强行安排了一门专业选修课，很多同学因而不敢选这门课程。并且任课老师直接向排课老师反映了这个情况  排课老师在接到任课老师的投诉后，竟然是找学生到办公室一顿批评，将自己的错误推到学生身上。并且拒绝处理相关情况，给出的理由是，在四年内已经排够了15分的课程，学生自己不选是学生的问题。延迟毕业、不能毕业也只是学生的错误，与他无关。并且语气极度刻薄，态度嚣张，更离谱的是，一位副院级校领导就在旁边，全程一言不发，眼睁睁地看着学生被无故批评。  这让我们全班同学的异常气愤，在人才方案中明确表示，这些课程为专业选修课，然而大学四年课程开设不足，活生生把这些课程变成“必修”课，而且必须一门不落的全部修完才能顺利毕业。这是哪门子的学分制？而且这位排课老师的态度一直被学生投诉，学生每次到她那里咨询，提出意见，总是遭到恶语相向。学生多次投诉，然而总是毫无下文。  这件事情背后，其实是暨南大学校区分配以及师资力量的问题。珠海校区一直以来被猪区学生自嘲称“后妈生的“校区，无论是学校各种的活动、资源总是不能到达珠海校区。而且珠海校区老师力量严重不足，每学期开设的课程根本不足够学生自主地选课。学校只能通过慕课，外聘珠海地区其他非重本学院的老师兼职代课来解决燃眉之急，这根本就是治标不治本的方法。更可笑的是，近年来暨大一直盲目扩招，学生人数一直增加，才会出现几百个人抢几十个上课名额的可笑现象。  这种情况并不是学生第一次反应，但是每次反应都是毫无下文。老师不解决，学生毫无办法，绝大多数学只能忍气吞声，要么选择高价去买课，要么只能跟着这个乱排的课表上。实在有同学忍不住，将情况发到网上，学校才会去关注，然后出个方案平息风波，下一年又继续如此。刚过去的南校风波，发了微博，解决了；电器院暑修课，发了知乎，解决了；而那些去到行政楼找老师帮忙的，只能收到四个大字“不能解决”。  如今，我只能默默祈祷我们的情况能够解决，我们能够顺利毕业。至于师弟师妹们，只能祝大家好运。              为什么我们不能毕业？？ 
汕头大学医学院和暨南大学医学院应该选哪个（将来想出国且需要奖学金）？, 汕大，普通学生都有境外交流的机会。  而且汕大人少，竞争没那么激烈。 
广东暨南大学（211）本科物理系准大二学生，大一全年绩点3.8+，物理系前一二名。研究生留学问题。?, 泻药  物理专业的话，本科直接申请博士。你的GPA达标，物理专业对标化成绩要求也不高。  有条件能力的话，做做科研项目，发点论文。  基本上就ok了。     我是李波  海星高端留学创始人   
关于暨南大学双学位申请的问题？,虽然身边很多朋友都在修，但是我没有修，所以具体的不清楚。不过我感觉这个东西机动性还是蛮大的。 我以前的一个舍友，想修翻译的双学位。这个双学位呢，对英语课的成绩有要求，就是要多少分以上。但是他没有达标，他求英语老师（翻译学院的老师），给他开了张证明（大概内容是该同学虽然成绩不是很突出，但是态度端正，进步较快）然后他大二就去修双学位了。 我身边修双学位的都是学霸，你这种情况我还真不知道  不过不同专业对绩点的要求不一样，得看你想修的专业，如果不是特别喜欢某专业，就是想学多点东西的话。可以挑要求不是太高的专业
如何评价暨南大学2015年9月15日的校车事件？,你乱说什么啊！！！！，那是免费车，又不是收费校车，本来就是给老师坐的，专为接送老师设立的！学生坐本来就是蹭车！！！   不知道的不要乱评价好吗？
暨南大学对于调整专业的规定是怎样的？,邀请我有个卵用，我就一大专生，这个学校都是第一次听说
湖南大学学不感冒的理工类专业还是暨南大学的新闻传播类？,暨大新闻全国前五的.....分数很高....
