现大三 本科医学类 高中文科 政史地都不错 现在想跨专业考研 马哲 学校华中师范大学 求指导？,排名比较高，出路比较窄，三思后行
“华师”是一些师范大学的简称。我国有四所“华师”，除了华东师大，华中师大，华南师大外，还有哪个华师？,我来普及一下，华X师范大学，中的X有，华东，华中，华南三个学校。但是其简称不同：华师大=华东师大，华师=华南师大，华大=华中师大 。   1.在上海，只要说华东师范大学，大家都会说，华师大，学生自己也是称自己华师大的学生，而很少说自己是华师的学生，基本没人说自己是华大的学生。 2.在广州，华南师范大学有专门地铁站“华师站”，公交站牌也简称华师。华南师大学生都会说自己是华师的学生，而不会说华师大，更不会自己是华大的学生。 3.在武汉，大家可以直接看他们的校徽，就可以知道华中师范大学的简称了。  这多是一种约定俗成吧……
山东大学历史系和华中师范大学历史（基地班）该如何选择?,再次更新，， 这还犹豫什么，山大985，曾经历史系有过八马同槽的荣光，而且虽然现在山大衰落，但是底子厚，貌似有位王学典的弟子去人大执教，这是难以想象的，本硕博985去人大，说明山大的学科底子在这里，现在山大的古代史还有一批牛逼的教授在，特别是唐宋史，有范学辉，齐涛，刘玉峰等人，而且以后考研，985跟211差距不是一般的大，山大作为985，考研失败可以调剂到华师，华师考研失败怎么可能调剂去山大，华师历史的底子薄，近代史是它的强项，近代史所在华师，但是在湖北地区，华师历史学科上面还有武大压着，华师强于近代史，如果题主想学近代史可以去华师，朱英，马敏等大牛在那边，但是古代史华师薄弱，据我了解，吴琦老师是明清史，其他古代史的老师不多，而山大在山东确实独树一帜，学校综合档次上来说，华中师范只能跟南京师范是一个档次，上面有北师和华东师范两个985压着，所以，整体上说，能去985就不要去211，就酱
华中师范大学中外合办怎么样？,这个是正规的，是想上211分数却不高的考生的最好选择！
加入华中师范大学青年志愿者联合会是什么体验？,因为大冰的苹果事件让华师青志联再也没办法洗白了
华中师范大学的经济学怎么样？,      突然看到这个问题了，作为一个华中师大经济学院今年的毕业生来回答一下，提供一些关于该院本科教育新鲜的信息，如有跑偏，请海涵，哈哈（因为不是研究生，所以不能提供研究生教育的信息，抱歉哈哈）        首先，我不太清楚你这里的经济学外延如何，首先做广义理解吧，即包含经济学、工商管理等众多分支学科。我也没有仔细研究关于教学、就业率、就业情况等详细的数据，只是从一个过来人的经验感受来提供一些参考，这里就说一说经济学院的情况。        华师的经济学院在2年前更名为经济与工商管理学院，陆陆续续从数学统计学院、公共管理学院等其他院系合并了与经济密切相关的财务会计、工商管理等专业，在规模上已经可以算得上是华师几个比较大的学院之一了。2015年后会有有一些专业陆续开设，从近期趋势来看，经管院日益收到学校的重视，这对以后的发展是十分有利的，所以总体上学院处于上升期。如果你已经锁定华师了，经管院还是能提供诸多选择的。       在学科水平上这一点上，客观地说华师经管院的在武汉地区众多高校中并不十分出色，武大、中南财经政法才是该地区该专业的引领者。但是，在华师，几乎每一位教授都会亲自给本科生代课，学生可以切实感受到不同学者的魅力。近几年来，华师在房管、理论经济学上均有长足进步。其他专业中，法学-经济学交叉班、数学-经济学交叉班也十分具有特色，两个专业都是小班教学，双学位培养，并且成绩前50%左右的同学均可保研资格。整个学院每年都有众多保送至北大、清华人大、武大这样的名校就读研究生的同学，也有前往知名国企、500强企业工作的同学。       在个人发展上，经济学是一个不错的选择，也是当前的热门。但，几乎所有大学都存在一些情况，除去学校层级差距以外（如武汉地区的武大华科与华中其他211五校），个人发展与学校专业水平的关联度呈现显著下降的趋势，即在大学里，你自己决定自己的未来。这种努力甚至可以在竞争中缩小大学之间层级不同的差距。       另外，个人亲测学院里的领导都是非常平易近人的哈哈，记得忙升学的时候一位副院长专门陪着我们几个有问题的同学跑一上午。
北京语言大学or华中师范大学？,湖北老乡。 还是建议来北语吧。 北语不光是在北京，还是在宇宙中心五道口，私以为五道口比北京还有吸引力。 喜欢玩，去哪儿都方便。 想学习，周围高校多到爆，周末去北大蹭讲座啥的太棒。 华师的话就感觉so so了。
如何看待范高铁华中师范大学宣传被驱逐滚蛋？,盛世文化繁荣下的文人痞气。我且不论这件事是否与炒作有关，总之在我看到的舆论回应中，一个教授称演员“戏子”都不能说是一个文人应有的素质礼仪，只有在早中国两三百年，被马列毛称作腐朽没落的封建阶级才会有这句话，在我眼里，凡是做学究的，毕竟是有些小毛病，胡适爱麻将，黄侃狂，周作人软蛋，但从来没有职业歧视之说，怎过了百年反又不如百年，这种下三滥士大夫的话还是不说为好，但我觉得，这又并不只是教授个人问题，这种事的发生，必和社会风气脱不了干系
想考华中师范大学学科教学（语文）专硕，请问要怎么复习？（本科普通二本）？, 写在前面：越来越多的人跟我咨询关于学科教学语文考研的问题，大家有问题可加我扣扣 2209441611      泻药。  这是我曾经写过的，希望对你有帮助。                 1、 关于报考前提        华中师范大学学科语文专业报考要求是汉语言文学专业，也就是毕业证上是汉语言文学专业，或者是汉语言文学（师范），其它上面分方向的都不要！！！这是一个学妹打电话跟老师证实的，所以大家一定要再次确认下，是否符合这个条件，别稀里糊涂复习了很久才惊闻自己没有报考资格，实在不确定的话，建议大家给文学院老师打电话问问，电话招生简章上有，还有，上班时间打，不然没人值班没人接的。 2、 关于参考书      （一）826        古代文学史虽然以前要求是游国恩版本，但是历代考研人复习都是用袁行霈版本的，所以大家安心用袁行霈的即可。至于哪个版本的不用纠结，很多学校都用的这套教材，直接用学校发的教材复习就好啊        现代汉语是黄廖本，除此之外还需要买一本邢福义的《现代汉语》，每年都会从上面出个题，有分析多重复句，有名词解释，看历年真题就知道了，有学妹疑惑该买哪个版本的，我当时是在有路网上几块钱淘了本破旧的二手书，是第一版的，刚才去淘宝看了下，大部分是红色封面的第二版，大家无论买哪个版本，建议买华中师范大学出版社出版的那种。  （二） 333      333其实就是有个大纲，然后学校直接从大纲里出题，至于那6本书千万别买，买了也没时间看，看了也没多大用处。都是浪费钱，咱们是专硕，直接看大纲解析就行了， 关于大纲解析，有两种比较受欢迎，一是大纲解析指南，白皮的，200多页好像，优点是官方的，缺点是有些内容不详细，答题时写了两行就没话可写了。二是KC应试解析，优点是超级详细，缺点是太详细了，很多不考的也写上了，一道简答题都能有一页纸啊，背书都背不完啊。所以呢，处理方法是：用大纲解析指南的可以添加点儿内容，用后者的可以适当删减点儿内容。（感觉像废话）我去年是两本都买了，然后根据这两本书自己总结了本笔记，前期先地毯式看书打基础，后期直接背笔记。时间充足且有足够耐心的同学可以效仿下哦。                       3、 复习时间和计划    写在前面：每个人学习方式不同，复习 方法也不同，仅供参考哦                                                           3--7月   （也可以从四五月份开始)   英语  ：一、最好过了6级，这时候就买本单词书开始每天早上背单词吧，实体书：推荐HKW的《备考词汇突破全书》比较有重点针对性，买新东方的绿皮或者红皮的考研大纲词汇也可以，无论哪种，一旦开始了，请坚持下去，每天都看，一直到上考场的前一刻，很多人连A系列的都坚持不下去或者今天背了明天忘记了，强烈推荐艾宾浩斯的遗忘曲线记忆表，自己去百度下载一份，打印好以后列个计划就可以每天按部就班开始背了，第一遍背完，成就感会爆棚，相信我，然后往后越背越熟，用的时间也越来越少。APP方面：百词斩、扇贝都可以，最重要的是坚持！6月份之前要过完第一遍。二、阅读方面，六月份可以每天做篇阅读真题，一天一篇就够了，做2005年以前的吧，05年以后的留到暑假做。做的时候精读，不认识的单词还有长难句，好好分析好好总结。 三、暑假之前要把长难句给攻破了，强烈推荐HKW的《长难句解密》网上再找找视频，好好研究下，攻破长难句你会发现再长的句子都不是事儿啊喂。我推荐的方法是：把长难句抄下来，自己试着去分析，然后对答案，这样才能提高。   专业课  ：把书准备好，做个计划，开始第一遍地毯式的看书，仔细到一个字也不放过。估计暑假之前能看一遍。                                      7--9月（暑假虽然炎热，但是是考研复习的黄金时期啊，一定要抓紧）    英语 ：   阅读：暑假期间最重要的是阅读，做英语一的阅读真题，（英语二的等10月底11月初再开始做）从2005开始做，05--14年的吧，要留出最新三年的到最后阶段全真模拟。一天两篇就可以，最重要的是精读。如果时间利用合理的话，应该可以                            做1.5遍。真题推荐张剑的黄皮书   单词：这时候单词之前已经过一遍了，所以我们这阶段就是巩固，每天还是要坚持，按照艾宾浩斯遗忘曲线表，按部就班背，只不过耗费的时间会越来越少了。目标两遍    专业课 ：   826：第二遍可以开始了，还是要地毯式的看，只不过哪里是平时上课老师讲的重点，心里要有数了，看的时候要尤其注意下，加深些印象，毕竟后期要背。   333：第二遍地毯式的开始，对照着大纲看，大纲网上都有，三四页A4纸，去打印个两份。第二遍时，中国教育史可以大致看看，其他的教育学原理、外国教育史、教育心理学尤其是教育心理学，不好理解，第二遍时可以先看这个，如果实在没时间，着重看教育心理学和教育学原理。因为前者不好理解，后者考试占分值高。                                                                                9--10月     写在前面：如果能坚持到这个时候，你会发现当初要考研的放弃的有很多，所以，考研最大的对手就是自己啊，请继续坚持！！！    英语 ：   单词：没什么可说的，每天继续按部就班背，可以是单词书可以是你整理的不认识的单词，也可以是app，只要坚持，怎样都可以。   阅读：9月份再刷一遍英语一阅读真题，每一遍都有每一遍的理解和体会。可以从10--14年这5年的，照例是精读，如果做腻了，就尝试着全文翻译，再对答案，错的红笔标注。10月吧，可以开始做英语二真题了，照例做10--14年的，15、16、17留下全真模拟，你可以全部都做，一星期做一年的，仔细消化。也可以只做阅读，然后别的部分等11月份再做。不要怕只做阅读别的会拉下，英语最重要的是阅读和作文，这两个搞好了，成绩只高不低，剩下的半个月就可以搞定的。目标：十月份刷一遍。    专业课 ：    826：    古代文学： 有了两遍的基础，可以结合真题开始整理笔记了，这是个浩大的工程，弄完以后会记得更牢固。我当时想这样来着，但是没坚持下去，就买了学姐的笔记，然后自己在看书的过程中又添加了认为重要而笔记上没有的东西，我觉得还是挺节省时间的，如果想自己整理笔记，推荐李杰顾大鹏的《中国文学史习题集》蛮不错的资料。其实在整理笔记的过程中也是记忆的过程，相当于又看了一遍书，这一遍，一定要根据历年真题来找重点知识点。   现代汉语： 虽然是两套书，但是有不少内容都是一样的，看完黄廖本再去看邢福义的，是不是有一种豁然开朗的感觉，也是自己整理笔记，根据真题自己找考试重难点再查缺补漏，分析词语构成啊多重复句分析这些一定要动手做下，还有课后习题，也要做下，推荐资料《现代汉语教学与自学参考》里面有课后习题答案。       【感觉说的有点儿乱，我就再简单总结下哈，如果已经有笔记了，那就边看书边补充笔记。如果没有，就着手开始整理，无论哪种，都要有意识的去根据历年真题看重点知识点并且总结自己的答案，方便后期背诵，这个整理阶段可以延长到十月中旬。】   333：都9月份了，赶紧开始背吧，333内容太多，有条件的建议八月份就开始背，背诵顺序是教育学原理、教育心理学、外国教育史、中国教育史。建议先把前两个背一遍后再按背诵顺序来背。也是按遗忘曲线表来，第一遍超级虐，做好                           心理准备坚持下去到以后会越来越顺畅。这两个月，争取背一遍，如果实在做不到，就先把教育学原理和教育心理学背两遍。背诵时哪些是重点呢，看历年真题啊，哪个知识点好多学校都考了，无疑是重点啊。    政治 ： 政治大纲解析出来之前不用看不用看不用看，因为每年政治变更性最大，时事性嘛。九月份会有大纲解析出来，一出来就赶紧买本，再买本肖秀荣的一千题，看一章解析内容，做一章一千题相应的习题，因为一千题至少做2遍，所以第一遍用铅笔，或者找个纸写纸上。就这样慢慢来，每天留给政治的时间2--3个小时就可以了。      10---12月考前    英语 ：    阅读已经打好基础了，每天继续做继续分析继续精读就可以了，争取12月之前刷一遍英语二真题。还有单词，按部就班每天背。 这个阶段要开始准备作文了呢，作文有大小作文两个，都不难写，尤其是图表作文，我觉得比英语一的图画作文简单多了，强烈推荐王江涛的《英语二高分作文》，这两年才出版的，很棒的一本书，其实作文就是总结成自己的模板，分类进行总结，然后多背多默写，不要以为背熟了就能写下来，等你默写时会发现错的有多么离谱，照例是错的用红笔标注，每天背诵默写，持续到上考场的前一刻。再说说12月，最后一个月，英语应该怎么办，单词阅读每天要背要做保持手感，单词15分钟就行，阅读一天一篇的节奏，然后就开始全真模拟了，一周一次， 英语是下午2点到5点，找个下午模拟下，作文也要写，然后详细分析下错题， 这样持续到考前就好了。    专业课 ：         826：   由于整理笔记前面已经完成了，所以这阶段就是背背背，争取考前背个五遍，第一遍会比较痛苦，时间会比较久，坚持下来以后会发现越背越6.还是推荐大家用艾宾浩斯遗忘曲线表背，科学记忆呢。需要特别提醒的是：不要拿着笔                            记不加思考的背，结合真题，看看哪方面比较薄弱，比如文学史会有个诗歌赏析10分，你就要想怎样答这类型的题，还要想想今年会出哪个诗人，然后再找找他的代表作看几篇，万一呢是吧。还有现代汉语需要做的比较多，例如分析多重复句啊什么的，除了背书以外，动手做做。         333：  一个字，背！！！昏天暗地的背，别问背多少遍，一直背到上考场前就行了，需要提醒的是：华师这几年增加了选择题，会有一些细小的知识点，这就需要大家前期看的时候打基础了，   还有简答题，一定会有的个偏僻的知识点，去年考了恽代英，百分之九十九的考生不知道这个包括333背了18遍的我，所以平时看全面些还是有好处的，不过也不要太担心，偏僻的知识点也就十几分，把其余的分得到了一样很高呢。        政治 ：  这个时候大纲解析已经看个一两遍了吧，争取把一千题再刷一遍打好基础，政治最重要的是选择题，多选题尤甚，如果大纲解析看不下去，买本风中劲草核心考点读个两三遍也行，然后就各种模拟卷出来了，肖八任四什么的，去买，盗版复印的都行，两三块钱一本，复印店超级多。刷选择题，大题只信任肖秀荣！到最后会有肖四，一出来赶紧买，开始背大题，一字不漏背下来，考试时绝对有话可说相信我没错。如果感觉只背肖四心里不踏实，那把20天20题买本看看也行的，总之，考试真正拉分的是专业课，政治分数差距都在选择题上，大题把肖四背个滚瓜烂熟考场上没问题的。   4、 关于找导师   专硕不用提前联系导师，都是开学后随机分配导师。所以大家不用着急，安心准备考试就行。   5、关于826大纲    百度华中师范大学文学院，在通知栏里往后翻几页找找，大概是2015年9月出来的，才一年， 建议大家看看就行了，复习时还是要全面一些，大纲里没有的不代表考试时不出啊。   6、 关于报班                                  英语要报的话建议WD，政治的话报个冲刺班就行，推荐QH，专业课实在没必要，自己找好资料安心看书背书就行了，333更不用啊，都是背诵的内容，根据历年真题就能找到考试重难点，有去听课的时间不如多背个题呢。  写在后面：大致就想到这些了，有哪些还有疑问的可以私聊我哦。 
湖南理科女573填华中师范大学是不是很险啊？,可以冲一冲，即使进了不喜欢的专业，好歹进来了，可以参加后来的转专业考试！
如何评价华中师范大学辩论圈现在的状态？,……
历史专业里是西北大学还是华中师范大学更有优势？,一两者都是211院校，名气都不分上下，2如果以后想当中学历史老师的话，最后去华中师范大学，如果想从事历史研究去西北大学
非师范专业中是报华南师范大学好还是报华中师范大学好？整体学校概括哪个更好？, 当然是华中师范好啊 
华中师范大学宿舍6人间怎么样?,答主住东区6栋，男寝6人间。 一，硬件设备。东六东八两栋有立柜空调，上床下桌，刷卡开门，空间宽敞明亮，晾晒全部朝阳，条件秒杀各路4人寝，是华师东区硬件最好的两栋楼。 二，寝室风气。这一点完全得看你遇上五个什么样的室友。答主寝室风气不太好，五个人里有三个常年开外放打游戏，搞的我想认真写点东西的时候只能带着电脑跑出去写。不过难能可贵的是，我们寝的人心里都有个度，大家能保持最起码是表面上的和气，也还算互相照顾。退一步海阔天空，尽量多包容体谅你的室友，他们可能会是你大学四年里最重要的5个人。  总之，4人寝和6人寝各有各的好处，随遇而安，便是最佳。
华中师范大学中外合作为何在安徽没有人报?,我是安徽的，也很想知道
想问华中师范大学的同学们，该校的亚非拉语言文学（韩语）的研究生好考么？竞争激烈么？, 华师的亚非语没有真题资料 也没有复习参考书 所有的复习犹如大海捞针一般 个人觉得有点难。 
如何追到华中师范大学的妹子？,我大理工大岂会让你得逞？？
华中师范大学语言研究所的汉语言文字学与文学院汉语言文字学有什么区别?,初试内容不一样，分数线不一样，录取人数不一样。文学院考大综合。语言所分数线更高，录取人数更少。
你知道 华中师范大学 女生宿舍的门禁时间吗？,早7晚11
怎样看待范冰冰在华中师范大学被逼离场？,又是一个娱乐圈罗生门，根据我有限的知识推测：主办方xx影视的真正目的是为了宣传冯导和范冰冰的新作，但校方表示不接受商业活动，只接受学术交流，于是本着国人一贯的忽悠风格先答应了由冯导和若干文化届人士举办学术交流研讨暨学生见面会，并承诺其他无关人士一律不到场。但暗中安排范冰冰在研讨会开始不久闯入会场，美其名曰主创参与交流。校方觉得智商被侮辱，恼羞成怒之余痛下逐客令，引起一贯大爷作风，以老炮儿自居的冯导不满，出言不逊并提前离场。归根到底错不在校方，乃电影发行方言而不信，借学术交流之名行宣发之实，被识破之后又恶人先告状以道德绑架华中师大，实卑鄙无耻之尤！可笑冯姓导演井底之蛙自以为老子天下第一，把流氓习气当做真性情，还有所谓文人不懂分辨是非只懂站队跟风，难怪中国电影乱象频出，日渐堕落，实令影迷顿足捶胸叹息不已！
华中师范大学和东北师范大学考研哪个更难？,泻药~ 本宝宝华中师范大学研究生一枚… 这么跟你说吧，中国的师范类院校中属于985的只有北师大和华东师大~这两所相对而言比较难一点。报考人数也多一点。 华中和东北师大都是211。等级应该没差太多 但考研难不难主要看你所报考的专业是否自主命题，是否有规律可循，以及报考人数和本年度招生规模。跟哪个学校好像没有太大的关系。
华中师范大学和南京师范大学哪个好 江苏考生 理科15000名左右？,两者综合上来说差不多。  还是要看专业。但这两者都是师范类的。所以师范类就对半分吧。  但地理位置南师大更好点。
我是华中师范大学心理学的学生，辅修广告学还是金融学呢？,作为一个华师金融辅修的孩子回答一下你的问题。先说我认识的的两个华师心理辅修武大金融的孩子的境况。一个在大三的时候转学去了米国，当然那是个博雅的，异常努力的孩子，至今令我印象深刻，转学米国麦迪逊大学，主修经济，辅修经济，如果我没有记错。另外一个考了GRE现在也在米国，朋友圈状态现在耍得很勤，都是你的嫡系学姐，她们都非常优秀。珠玉在前，后人。。。 好了扯了这么多，说说金融好处 1.武大金融师资力量强，重点学科。关键是好老师都出来教你了，同时，派出了一些好老师来教授双学位，卢汉林这样 的老师，华师真心少有。 2.武大金融辅修的学生本身就是佼佼者。我没记错，我这一届华师博雅孩子有6个。 3.产出率高本寝室3人辅修金融，我室友2人都转金融了读研了，本人还在本专业奋斗。本院6人金融，其中2人出国，2人转金融研究生，2人继续本专业研究生。 其实学什么不重要，关键是一种经历，想着自己每天6点15出门为大家占座，上午5节课，下午5节课，晚上回华师再上3节，玩命的学习就很为自己感动，一生的记忆！ 当然前提first是你的兴趣！以上是金融的好处！
如何看待2017年华中师范大学幼儿园招聘要求211院校的优秀硕士博士？,我的第一直觉是，过两年是不是该招聘青千了？
19年考华中师范大学的体育教育训练学研究生需要哪几本书，具体到作者版本，谢谢！？, 谢邀，这个不了解。不知道为什么被折叠了，但是真的回答不了啊喂。 
