北京理工大学的电子信息专业和北京交通大学相比哪个更好？, 泻药，虽人在北理，但毕竟不是学电子信息的，不方便做任何比较与评价。 
北京理工大学工业设计考研困难吗？有没有考上的分享经验。。, 考研千万别问难不难，最好问问适不适合自己，因为难都是相对的。北理的工业设计研究生招生数量在业界数一数二，但同样报考的人数也较多。本人北理工业设计研究生毕业，有问题可以私信。或者给你推荐个网站 北理工业设计考研站 | 专注北京理工大学工业设计考研研究生交流，分享工业设计考研真题、分数线、参考书以及考试攻略和经验     作者：設計詩  链接： 我的重庆师范大学的学生，想报考北京理工大学工业设计研究生专业希望大吗？ - 設計詩的回答   来源：知乎  著作权归作者所有，转载请联系作者获得授权。   下面是自己写的一些关于北理工业设计考研的经验，未经同意请勿转载  ---------------------------------------------------------------------------------------------------------------------------------------  1理论复习（跨考尤其注意）：   1月——3月 ，认识考题和题型，向已经考研的学长学姐询问关于设计考研的情况，了解的越多越好，这是考研准备的最初始阶段，这个阶段的时间需要的比较短，但十分重要，可以在任何时间多了解关于你要考研的院校的信息。同时注意收集其它设计院校工业设计往年的考题，如清华大学、湖南大学、江南大学、同济大学、武汉理工大学等院校的工业设计研究生入学考试的考题。主要关注这些院校的考题，综合对比不同的考试模式，再分析自己的实际情况，看看自己是否一定要考北理工。另外，将收集来的题目记下来，方便以后带着这些问题去看书 。   3月——6月 ，理论基础拓展阶段：应该拓宽自己对工业设计知识的认识，这个阶段可以粗略的对书籍进行阅读，阅读时加以理解，不用死记硬背。  关于工业理论的基础书籍，有以下推荐：  《工业设计概论》许喜华，《工业设计概论》程能林。两本可以选一本看，如果两本都能找到的话，最好都看看。  《工业设计史》何人可或《世界现代设计史》王受之，选一本或者两本都看，注意总结。何人可版适合考试，王受之版适合扩充知识，建议都看，然后作综合理解。  《工业设计方法学》简召全，冯明主编。关于设计的程序和方法，以及功能论设计思想、人性化设计、绿色设计等设计概念，必须要看的。  《材料成型及加工工艺》江湘云  《人机工程学》孙远波。连续多年的题目都在其中有所体现，一定要看。  《情感化设计》，《设计心理学》，《未来产品的设计》唐纳德.诺曼，很好的书，虽然是国外学者的书，但通俗易懂，理解着看。  另外如《产品设计语义学》，《工业设计思潮》等书也可以看看，作为知识的补充。  6月——9月，知识梳理和总结阶段。将之前所看的工业设计的书籍和掌握的知识进行梳理和总结，以下书目需要认真阅读并进行总结和记笔记：  《工业设计史》、《世界现代设计史》，两者结合起来看，并对其进行总结。  《工业设计概论》，此书中很多是以专题的形式进行书写的，需要对其进行总结并加深记忆。  论文积累和总结：阅读一些设计类的杂志或论文集，其中的论文书写方式和角度很多和考试时的论述题类型类似，可以看的杂志有：《艺术与设计》、《装饰》、《现代装饰》等，里面有很多关于工业设计的文章，可以看一些。也可以在中国知网、万方等数据库中下载关于工业设计的文章进行阅读，看一下以往的学者对于一个问题是如何进行分析和总结的。  看书或论文的过程中，注意养成总结和摘抄记录的习惯，主要注意以下知识点的摘抄：  比较具有代表性的观点和言论、比较典型的案例、图表、公式、比较具有总结性的言辞、比较新的设计概念、设计知识等。   10月——12月 ，再次对北理曾考过的题目进行分析，对每道题目进行练习，按照考试的要求对题目进行回答。增强自己对知识的运用和论文的写作能力，同时查漏补缺，检查自己知识的掌握情况，对已经掌握的内容进行巩固。对其它院校的历年考题进行总结，注意罗列并总结工业设计中功能、形式、市场、技术、情感、文化等各个因素的相互关系，相互的影响和制约及其对设计的影响。对简答和论述进行模拟训练。对之前总结过的知识强化记忆。   12月——1月份 ，全真模拟  以上一些内容是我们理论的复习中需要准备的，但不局限于以上内容，北理的工业设计考察的比较开放和全面，因此，也是对考生综合素质的考察，我们需要尽力地拓宽自己的知识面。所以很多关于工业设计的书籍，在我们精力允许的情况，应该尽量多的涉猎。在时间的安排上，也不必拘泥于以上时间的安排，有很多的工作需要我们在考研的全过程中去做，因此，我们只需要在大的时间规划上遵循，在具体的实施过程中，应该按照自己的节奏和进度进行。  2手绘创作复习   1月——5月 ，手绘基础练习（跨专业或者手绘基础差的同学尤其要重视）。  简单的素描练习，主要目的是为了了解通过不同灰度来体现形体的方法，理解形体的光影分布情况。  系统的学习一下透视与阴影的教材，掌握透视的分析方法，并掌握简易的透视方法。  进行线条和形体的练习，掌握工业设计手绘的线条绘制方法。  进行结构形体的练习：基本形体练习、基本形体组合训练、实现从基本形体到自由形体的塑造。  形体写生练习，并能够默写或创造一些形体。   6月——7月 ，马克笔上色练习。  光影分布分析。  常见形体的光影分析。  灰色马克笔表现形体。  彩色马克笔的练习。  材质表现练习。  组合练习。   7月——9月， 针对考试进行提升训练。  版式和构图训练。  形态和功能的结合练习。  具有完整幅面的绘画练习。  常见产品的细节和结构收集和练习。  人机分析、爆炸图、使用场景、三视图等练习。  了解考试对于设计能力的需求，分析设计能力表达的方式，并进行相应的训练。   9月——11月， 了解考试并以考场方式练习。  历年真题优秀试卷分析  以考试为最终目的，在考试用的纸上进行练习。对考题进行分析，了解考题的需求及评分要点，提前适应考试纸张和绘画的要求。  全面、透彻地认识考试，了解试卷的要求和评分的标准，了解北理老师的改卷偏好，针对导师的需求进行对策性地练习。  按照考试的要求进行查漏补缺，集中攻克自己薄弱的环节。   12月——1月， 全真模拟训练。  推荐一个学习的网站，北理工业设计考研站 北理工业设计考研站 | 专注北京理工大学工业设计考研研究生交流，分享工业设计考研真题、分数线、参考书以及考试攻略和经    
中山大学，北京理工，武汉大学计算机硕士研究生选择哪个好？, 我就说说北理工吧。  地理位置的话北理应该是首选，计算机这个专业地理位置太重要了，好公司基本都扎堆在北京，其次上海深圳。而且北理，尤其是北理的计算机水平虽然算不上顶级，至少好像没有听说过哪个公司会直接筛掉北理的简历，而简历关基本是学校牌子能给你带来的唯一影响，后面就靠自己了。  教学水平的话，个人感觉北理工不如中大武大，至少本科生教育十分敷衍，计算机学院教材很多都是自己老师找几个研究生东拼西凑的垃圾，实在是害人不浅。不过也有人说天下乌鸦一般黑，全国大部分高校都这鸟样，这是体制问题，那就只能靠题主自己定夺了。  当然，都说研究生导师比学校重要。所以题主一定要了解清楚北理的导师。北理工计算机学院的老师整体至少人品上都还是不错的，但也不是没有例外。机器学习、数据挖掘方面的导师就那么几个，建议题主一定要一个个了解清楚再做决定。  利益相关：北理学生 
如何看待北京理工大学关停了极速之星？, 这场风波迟早要来。这是国内的大气候和学校自己的小气候所决定了的，是一定要来的，是不以人们的意志为转移的，只不过是迟早的问题  从北邮险些倒下开始就有人猜测极速何时倒下，所有人都没想到的是，这个时间间隔仅仅是一个月。  有人说，共享时代从此结束，下一个互联网时代将会是付费时代。但是提出这个观点的人没有注意到的是共享时代带来的巨大需求，以及当前付费平台与这个巨大需求并不匹配的生产能力和传统付费策略给新时代需求带来的用户的巨大成本。有人说这是一个最好的时代，但是我说这也将会是一个比以往更加弱肉强食的时代，在这个时代里，只有“强者”才能享受科技升级带来的新的消费方式，而弱者的需求只能被无视。不过有一点我是相信的，那就是学校从来没准备为学生的需求买单的。     我们不说这些。就说让我最恶心的一点。  整个这次事件当中，我深刻明白了一个道理： 一个学校，不是采用劝导、说理的办法，而是采用欺骗、厚黑学的办法在跟学生对话。 如果这算是一种对话的话。从北邮事件开始，似乎学校汲取了北邮事件的深刻教训，先是以服务器故障为由关停极速，公告假期维护，等待风波平息，众人假期适应了没有极速的生活，然后釜底抽薪就变得极为容易。 孟子告齐宣王曰：“君之视臣如手足，则臣视君如腹心；君之视臣如犬马，则臣视君如国人；君之视臣如土芥，则臣视君如寇仇。” 学校赢了一场漂亮的危机公关，但是也学校里的所有人清清楚楚地看明白自己到底是手足、犬马还是草芥了。  极速的资源共享是一个很值得商榷的问题，但是极速的 校内论坛 作用大概也是无可替代的，因为极速之名而浏览论坛的用户应该是远超过FTP联盟了。大概也正是由于同学们在论坛里经常抱怨学校的种种问题，使得论坛成为了一些人眼中钉肉中刺，惟恐闻其恶也。之前曾经说过，学校的一大问题乃下情不能上达，沟通渠道不畅，如此看来， 非不能也，实不为也 。  记得曾经听上课老师说，校长开大会问在座的老师：为什么北理工学生毕业以后对学校的归属感这么差？ 
北京理工大学软件工程怎样？,今年是大类招生，计算机学院与软件学院一起招，到大二时再分流。 我校学计算机的，毕业求职深造都不受任何限制，发展之路还是很宽广的。 有一点要说明，就是本科要在良乡呆至少两年。到中关村校区坐地铁也得一小时，偏远了些。
2017安徽理科考生，女，5700名，是报华东理工大学，北京科技大学，还是中国农业大学或西北工业大学？,我也是安徽的，今年5819名，本来打算上西工大的，但是看到瓜大长安校区太偏了，离市区一个多小时车程，，学校周边也就撑死城镇水准吧，说实话，去瓜大一般比较适合潜心研究的，学习氛围不错。另外题主说考虑数学专业，我记得前两天看苏州大学的数学不错，而且学校地理位置很好，可以考虑一下。。不知道题主现在志愿是不是已经填好了，我是今天下午5点填，打算第一志愿填南理工，毕竟很喜欢南京这个地势，（其实层主自感见识短浅 ，因为之前去过几次南京而且许多朋友也在南京，所以感觉南京很好）  希望能帮到你，另外计算机的话西电是个不错的选择，毕竟王牌专业，有很多大佬，而且据说学术氛围很浓～～       层主是宿州的，不知道是不是老乡  
目标院校是北理工和北京科技大学，请问老师该如何抉择？,你应该是听过我讲座，或听过我课的学生，这两所学校相距甚远，无所谓比较，完全看个人选择，而且我已经在各种场合说过好多次了，不要再问考哪个学校难度大的问题了。再好的学校也有考上的，再差的学校也有没考上的，再难的事也有做成的，再容易的事也有失败的。决定成功与否的不是事情本身难易程度，而是个人努力。
北京理工大学地面武器系统与工程专业填报疑问？,这个专业其实是做装甲车辆的，北理工的军车很厉害，本质上学的是车。在设置专业的时候地武是军车方向，车辆工程是民车方向。虽然本科专业不同，但是到研究生时是一样的。而且地武的奖学金，，保研率都比较高。但是现在北理机车学院是大类招生，可能你高考报的专业不同。但是大一是同一培养的，不分专业，大一结束后会根据成绩排名，再次选择自己的专业
如何看待北京理工大学国防生带军训不给解决后顾之忧的事儿？,选陪办领导说已经通知学院。但我们问院长后，院长说根本不知道这事。某北京理工类大学选陪办领导的逻辑是军校生抢着带军训，还不给钱，都是给军校挣的。你们每半天有30元钱，就知足吧。你强制我们必须做，然后给了一点钱，让我们知足，流氓。
我是一个一本普通高校的大三学生，想考北京理工大学的宇航学院的力学，有多大难度？,宇航的力学系原来在理学院，分数不高，过线即可。不过理工大学向来歧视外来户，复试时会刁难。另外，学校比较闭塞，网上导师信息不多，有些导师会坑你，建议在校内论坛上求助。
在北京理工大学有个女朋友是怎样的体验╭(╯ε╰)╮？,一脸黑... 女票在北理～ 要是有人问我在哪里...先看简介..就酱紫...明年来答
如何评价北京理工大学教授发文呼吁高校应明令禁止师生恋的观点？,成人世界里的人际关系本来就不是一成不变的，在学校里是师生，踏出校门可能就是同门师兄师妹校友，一棍子打死人际关系的多样化发展是不对的吧。  我们国家传统文化中对于“师长”身份的道德绑架略高，儒家强调“一日为师终生为父”，所以一提到师生恋很多人都觉得是乱伦，可是没有血缘关系年龄差别在可接受范围内的爱情有什么错呢。  是，教师所在位置决定了他有更多资源，但不要忽视女人感情中关于“崇拜”的因素。学识眼界不也是很重要的魅力值嘛？  至于目前很多人都会担心的，影响其他同学的公平利益问题，上过大学的旁友都清楚，大学老师给分很多都不完全是按照考试成绩来的，那些跟老师混熟请客送礼要高分的岂不是更不公平？  唯一的问题就是，老师站在讲台上所展现出来的身份状态，某种程度上是有脚本的——也就是说，当学生爱上老师时，最主要的问题就是要分清自己爱上的到底是对方那个站在讲台上熠熠生辉的“表演”出来的样子，还是那个褪去一切光环和角色的那个本真的ta。
本人本科专业是无机非金属材料工程，想考北京理工大学的材料学院？,希望大家能够私信我，万分感谢
北京理工大学车辆学院夏令营考试科目都有什么？,1 专业课成绩优异 2 英语水平优良，国家六级达到425以上 3 好像得学校推荐（好像只接纳211  985）  ………………如果学校不推荐你，你可以自荐，打电话问问。多参加这种活动有好处。
女生想学理科，北京师范大学和北京理工大学如何选择？,当年填志愿前也想过男女比例问题。。然后报了北理工 然鹅 北理工 男生的数量 和质量 真的没有丝毫联系w 而且 本科生在北理工至少在良乡呆两年，太荒了  建议你去北师大
北京理工大学车辆工程的研究生怎么样？,谢邀。 我也不懂为什么要邀我，我本科也不是北理的，考研也没考北理… 你要拿捏好的是，北理985，合工大是否211我未知（已知不是985），这样就值得你去考。只要是往前迈，往上爬，对你来说就是好。这个选择就是值得做的选择。 但是，你是三跨，而且是从安徽考北京，压力应该不小。北京的学校批卷子都挺严的，你要有心理准备。但是考上之后，你身边的同学也都是更优秀的那一些。 刚刚考完研的我能告诉你的就只有这些。 以上。
如何客观评价北京理工大学？,撇開武漢那兩個不談，起碼哈工大跟中山還是比北理工好吧！ 當然哈工大位在東北，被拖累是事實，所以也刪掉  那麼就剩下中山跟北理工了 這樣的話，假設兩邊都能夠報到自己喜歡的專業 那就看你覺得中山跟北理工之間的差距能不能彌補廣州跟北京的差距囉！ (雖然中山在珠三角的地位貌似絕非任何一個大學在京津冀的地位能比就是了，不曉得這幾年華南理工能不能比)  當然，如果為了自己非常想要的專業，犧牲一點校名的檔次去北理工也是很值得的
北京理工大学附近有什么好吃的？,民大西路 那一块儿都是各种吃的
如何看待北京理工大学在2016年进行的院系调整？,调整总比不调强。。有动作说明意识到了问题
如何评价北京理工大学2015-2016学年寒假只有25天这件事？,居然连这问题都有，我也是醉了……  你要是读了研究生就会发现，学校放25天还是放50天都没什么区别……
