复旦大学的考古学专业怎么样？,题主先看看这几个比较直观的图片。 如果你是本科成绩还不错我建议你考吉大，包括研究生。 但你想冲刺考北大，个人觉得北大的研究生一般般，因为不值钱。而且有名的导师只收北大本校学生。因为北清都是本科生最值钱。这是过来人劝解你。 至于复旦大学考古学，题主你侧重文科还是理科，因为复旦大学考古学的重点研究方向是分子生物学考古，其他的方向不及吉大和两个山大。只能说是学校牌子在南方有点名气，但是专业水准中等。上海一带的考古内容很杂，贯穿中国古代。可研究对象不是很有针对性。但是如果你想学博物馆学可以考下试试。 然后看你是北方人还是南方人。你懂的…   再来看你对考古学研究是不是够专业，如果你想更多的下地田野考察，建议郑州大学，因为河南实地就可以考察。不用导师带都可以。   还有就是你考古的研究分类和阶段是哪部分，最好按时段来划分。因为技能和方法在研究生阶段基本上都是自学。   最后看你以后是想搞科研还是想混学历找工作。                   个人浅见 最后不知道题主是男是女，女孩子的话建议你时刻准备好spf50++的防晒霜… 不然每年夏天你都会因暴晒，会被误认为黑非洲… 希望帮到你。
复旦大学税务专硕应该怎么复习？,税务考的人相对较少
复旦剧社真的是个神秘的地方吗？,作为一个半途而废的前会员说几句：  当然有纳新啊，年年招新会员，在东区宿舍那里都摆过摊子的。和所有学生社团一样，没有什么神秘的。基本上，报了就会接纳。  不过呢，社团里面的元老会强调：他们复旦剧社和其他剧社不一样，其他剧社是附属于学校的 非独立学生社团 ，而复旦剧社成立在1925年，是 正式演出团体。   当然这个嘛，也就是自己给自己打打气啦。不要太当真，更不要当回事。  前些年剧团还是出了很多作品，不过和所有学校社团一样，都会随着杰出人员的进入离开（毕业）社团水平大幅度波动。  10年以前小巷总理，生死场，还是有点看头的。  这几年应该还是麦田剧社出了更多更好的作品。  我最初报名参加编剧组，剧团还发了一本资料给我（如下图），但后来没坚持下来，惭愧惭愧。  不过我还是受了点熏陶，后来去和一些朋友搞了《恋爱的犀牛》，我演男主。  如果对戏剧有兴趣的话，可以参加参加，受点熏陶，培养这个爱好，也是极好的。   
人大和复旦如何选择？,就业上边，当然是金融经济类强，但复旦你不一定能上经济类，还是来人大读经济吧，我人经济未必差复旦多少，不过是复旦占个地利罢了，我跟你说，文科里边，经济类就业与非经济类就业相差极大，想赚钱，还是读经济类。氛围上，我可以明确的告诉你，人大非常自由，没有又红又专，左派右派都有，学校啥也不管，你想干啥干啥，人大非常自由！！！人大非常自由！！！人大非常自由！！！重要的事情说三遍。 除此之外，假设你想回家当官的话，我人的人脉圈是最强的，中层官员中，我人校友第一，不要犹豫。 如果你金融干不了，官也不想当，其他工作方向还是复旦吧，主要是福建地处南方，复旦名声大一点，要是想在北方混，我人还是强于复旦。 利益相关，人大大三经济本科生
复旦大学的法学怎么样？为什么在国内排名不是太好？,谢邀，复旦的法学还行啊。。。当然要跟PKU和人大比，还是差那么一点点的 其实学校的排名跟个人关系也不是太大的~
如何评价北大施章杰教授全职转入复旦大学？,麻生明老师不是也去复旦了?... 师徒聚首的节奏啊...  
复旦大学周边的治安为什么这么差？,校方应该重视南区治安。
跨校辅修复旦新闻学怎么样？,本人就是德语专业的，本科在复旦大学辅修新闻学。 当时给我们上课的复旦新闻学的辅修老师总体来说还是不错的，特别是当时还年轻的张志安老师讲课生动风趣，紧贴时事，会给我们放很多一般人不容易在网上找到的视频，我第一次知道那位享誉海外却在中国敏感词的艺术大师也是从他那里。他的风采过了这么多年还是历历在目。记得他的最后一堂课上，同学们都很不舍，他也即将离开复旦前往中山大学。那天他对我们说：也许在人生的下一个路口，我们还会相逢。 四年过去了，我当然没有和他再度相逢，他应该也从来不记得我这个大课堂中的小小女生。可是回头看，我如今对于这个世界的很多看法，都是在大学期间被改变并重塑的，也许起点就是他的那门课。 当然今天题主再去复旦辅修新闻应该是不会再见到张老师了，如今复旦辅修的师资配置我也不太清楚。有心的话可以自己去复旦打听或者请教你上一届在复旦辅修的学长学姐。但就我当时的情况来说，新闻学辅修的师资是好于经济学辅修的师资配置的。 说这么多，想表达的是选择一门辅修对你的影响也许不是立竿见影的，也许是意料之外的，当然如果你把这个时间省出来去做别的事也有别的收货。但是最好不要什么都不做。语言专业可以帮你了解到万里之外的世界，但有时候也会局限你的视野，当然其他专业也是如此。题主说不打算考研，而复旦又是一所在全国而言顶尖的大学，借这个机会感受一下复旦的校园气氛，在这里学习或者自习，尝尝旦苑的饭菜，让你四年的本科时光有两所大学的回忆，又何乐不为呢？  以上都是我的个人感受。最后补充几句实际的建议。 如果题主已经比较明确自己未来的就业方向，那么在选择辅修时最好针对自己的发展目标选择科目。从功利的角度看，小语种专业如果辅修一门经济类的专业会让你在简历上看起来更“复合性人才”一些（实际工作中有多少用处另说，这里只针对找工作这一环节；当然学文科的同时辅修一门商科类专业确实有益处）。如果题主将来想从事公关、传媒、市场等领域的工作或者重笔头类的工作，拿一张新闻学辅修证也许会对工作多少有些帮助。（同理这当然也不绝对，全看招聘单位HR的口味，我也不认为有这张证就一定表示你比没证的人在媒体领域有优势）。
复旦、武汉、厦门、上交四所学校哪个比较好？,一复旦 二复旦 三交大 四交大
在复旦大学就读期间半路离开是怎么样的体验？,后续:  知乎专栏   ————————————————————————————  这个月6号刚刚办完休学手续，以后也是要退掉的，不会复学了。所以勉强算是有资格回答这个问题吧。下学期就要转学去美帝某文理学院读书了。从2014年1月初被复旦预录，到2016年1月初离开复旦。两年轮回，三个学期，算是感触颇多，借这个问题来回忆、抒发一下吧。  （一）  高三稀里糊涂地参加自招被复旦预录后，就总是冥冥中感觉复旦不会是自己最终的那个地方，自己在复旦之外似乎还有其他的归属。在当时是一点高考进个北大、港中大之类的幻想。当然我高考实在是不济，最后还是乖乖入学复旦了，就读于中文系。刚到复旦的时候，仍然抱有那种高中生对国内顶尖大学的典型幻想：浓厚的学术氛围、勤奋而自律的同学、多样化的发展机会。于是刚来的那一两个礼拜过得还是很惬意的，开学典礼上杨玉良校长真诚殷切的讲话（也是他最后一次在开学典礼上讲话），中秋当晚任重书院中庭的皎洁月光与美好歌声，第一节中国文学传统课上老师富有乐趣与情怀的授课，至今仍在脑海中难以忘怀。  不过，新鲜的日子很快就过去了。渐渐地，我也发现了复旦的诸多问题，并在之后的三个学期中一直在发现着各种各样的问题。那种想象中浓厚的学术氛围似乎并不容易寻觅，同学们也并非那么勤奋而自律，也难言有着多么理想化和多样化的追求。复旦大一没有专业课，上的是通识课和基础课。这其中许多课程让我感到失望，老师仅仅是在随意地讲课，却并没有表现出很负责的态度。很多课甚至连一个课程大纲都没有，全凭老师上课随意汪洋恣肆，更不要说课后有什么阅读任务了。那节刚开始时感觉良好中国文学传统，也慢慢发现实际上充斥着扯淡与自我吹嘘，干脆翘掉了中间好几个礼拜。同学们似乎也都进入了刚上大学的迷茫期，每天都过得很辛苦，沉浸在教师之间的奔波与各种活动之中，回想起来却不知道自己究竟干了什么。也有的同学干脆什么都不做，而只是不断地玩耍。不过总的来说，很少有在静下心来读书的同学。总的来说，我感觉这里的大环境可以说是相当糟烂，完美契合了我之前因满腔理想主义而不相信的那些说法。高中的时候为了提供某种激励与幻想，总是要塑造出一种美好的图景，而大一的任务似乎就是把这些图景统统打碎，并让很多人接受自己庸碌的生活方式与命运。  于是我决定去转学美国。这是一个高考之后便早已有之的想法，不过还是在进入复旦之后才有勇气去下决心。还有一个原因是我的预录取协议限定我只能在文史哲三个院系之间转系，而我发现我更想学政治学（当然学哲学实际上也能够接受）。于是生活似乎又变得紧张起来，SAT、托福以及在校的学业压得我喘不过气来，感觉像是进入了又一个高三。  接连考出SAT和托福成绩后，我感到不是很满意，于是索性干脆放弃2015年秋季的申请，转而继续考试，准备申请16年春季的转学。  在复旦能够多呆一个学期，我还是感到挺开心的。毕竟就生活上而言，这里是非常惬意的。虽然寝室条件糟糕，但同学之间的关系还是不错，总是有人可以交流；又紧邻五角场和大学路，随时都可以去享受美食；上海的各种文化活动也十分诱人，上海交响乐团音乐厅都成为我的第二驻点了；至于生活节奏，在大部分时间都还算轻松——毕竟复旦是一个“自由而无用”的地方。  第二个学期很快就过去了，依旧是延续了第一个学期的生活。不过课程似乎更难以令我提起激情来了。虽然我感到许多课的内容还是非常吸引我的，诸如什么先秦诸子、俄罗斯文学史与经典赏析、艺术哲学、社会学导论、史学原典导读，但其上课方式实在是难以提起我的激情。有的老师照本宣科，念一个学期的PPT；有的老师颇具自己的“思想”，其课程更像是对自己思想的传教而非对客观知识内容的讲授。而课程的评价体系更是让人感到无奈，许多课程都是期末一场考试或者一篇论文了结。考试往往在于考前突击准备，许多考题是历年原题，而内容则多为背PPT；论文的评定则非常主观，常常是让研究生一年级的助教浏览一篇草草了事，亦从没有任何反馈。在这种评定标准之下，擅长水绩点却很少认真捧起书读的大有人在，而有些人真正对这门课程的内容付出了努力却得不到相应的回报。  新考的SAT和托福成绩还算不错，可以用于15年10月开始的申请了。暑假漫长得有点可怕，又不想军训，于是便去了伯克利参加summer session。老实讲我并不怎么喜欢伯克利，不喜欢那里作为liberal大本营的氛围，不喜欢那里有点糟糕的治安，不喜欢那里乱糟糟的街道和满街的嬉皮士。不过伯克利的课程还是让我感到有所收获，那种阅读写作的紧张程度也高过复旦的课程一大截。对于文科而言，还有什么比读写训练更重要的呢？（当然如果吹逼也是一项技能的话，想必复旦文科很好地培养了这项技能）  第三个学期连同着申请季一起开始了。根据培养方案，大二就要上专业课了。本来计划全校随便选点感兴趣的课，不过想了想还是干脆按照中文系的方案选课，体验一下好了（当时自然没想到自己对中文系的课程是如此不适）。申请季是漫长而焦虑的，拒信中夹杂着offer，在数个企盼已久的早上触动着自己的心跳。不过最后的结果还算满意，去了某所排名靠前的文理学院，尽管周围几乎没人听说过这所学校。这学期过得荒芜，而课程也实在不合口味。申请季结束之后紧接着便是期末季，最终在诸多考试的绞杀下，惨痛地告别了复旦的整段学业——幸好这些成绩已然不重要了。  （二）  回顾这些日子，能够感受到复旦的培养方式是有问题的。  首先说说通识教育。复旦可以说是国内大学最先进行通识教育改革的高校之一，这种勇气可以说是是值得敬佩的，尤其是学校敢于让学生大一先接受一整年的通识课程。但在实践之中，这种尝试在很多方面并不成功。在不重视本科生培养的大背景下，通识课程更是流于形式，成为了水课的代名词。老师对学生的要求不够高，上课草草了事；而学生也不重视这些课程，纯粹是抱着修满学分刷刷绩点的心态去上课。我赞同通识教育的理念，也认为大一上一年通识课仍然是优于直接进行专业教育的选择，但复旦通识教育在实践中已经偏离了通识教育的本质。通识教育的灵魂在于培养批判性思维，以及终身学习的意愿及能力。通过对各学科的认真学习探究，了解到不同的思维方式，从而培养能够进行各种各样学习的头脑，并燃起对人类知识体系这个“一”的好奇心；通过对经典文本的阅读，与人类最伟大的灵魂直接对话，从而提高自己的反思能力，使眼界不局限于琐碎之物。但复旦的通识教育往往只是让学生了解到一些不同学科的简单知识，并且在期末考试之后再不触及。这对于大多数人而言是浪费时间。至于那些外语、计算机、政治课，就不吐槽了。  至于专业教育，那我就针对文科来谈谈。总的来说，文科所需要的是强大的读写和思辨能力，但复旦并没有很好地培养这种能力。就阅读而言，老师也几乎没有告诉学生每节课应当读什么，亦没有机制去监督学生的阅读，很多课程甚至不需要读多少文本就可以水过去。这就导致了学生阅读的减少，实际上很多人所做的大多数阅读都是与课程无关的（这种没有压力的阅读足够怡情，但很难培养起学术能力）。我认为这种状况对文科而言是非常致命的，阅读直接与思考、写作挂钩，是一切的根本，如果不阅读，那还能指望做出什么呢？而写作能力亦是没能很好地培养起来，我们所写的论文、作业统统缺乏反馈。绝大多数情况下是交上去了事，连具体分数都不知道，更别指望有什么评价、建议了。在这种情况下，一个学生的写作能力是很难得到提高的。具体到院系的话，就我所在的中文系而言，一个学期的专业课下来接触到文学文本的机会其实并不多。文学史几乎就是在讲文学知识与历史发展，不易与具体文本结合起来。至于精读课，则有些成为老师了上课抒发自己的人生理论的平台，反而不会认真讲文本。而在文学及美学理论方面也常常达不到较高的标准，据老师自己讲，还是因为中文系的学生不喜欢理论，然而不喜欢就可以不学么？复旦在一些专业领域中的培养方案实际上还是还是比较落伍，例如政治学系就并没有按照国际普遍的政治理论、比较政治学、本国政治、国际政治四大领域的区分来进行培养，反而显得相当杂乱。不过这种情况也在得到改善，从15级开始的哲学系课程改革就十分引人注目。  这些状况的背后存在着关键的一点，那就是学校对本科培养的整体不重视，尽管本科生源是复旦最好的生源。本科教学任务对于很多老师而言，并不是他们的主要工作，而是一项鸡肋式的任务。课上得怎么样，全看老师的自觉。而学校也没有对课程进行规范，反而是放任其自流。在申请转学的时候，许多课程甚至没法从教务系统上找到课程描述。如果学校能够对课程质量设置一种底线，那么教学质量总会得到很大的提高。而学校在学术诚信方面的培养也有所欠缺。很多情况下学生的论文、作业只需要交纸质版；就算是交电子版，恐怕也不会进行相关检测，因为我知道有人抄了一大堆交了电子本也没什么事。我时常听说抄袭的事情，联想到去年闹得沸沸扬扬的宣传片抄袭事件，只能感到悲哀。  复旦学生大都是千分之一以内的人才，但很多人并没有得到匹配他们天赋的教育（当然从另一方面来讲，这种选拔机制所甄选出的学生本身也有种种问题）。某种程度上讲，除了那些拥有强大的智力、意志力与执行力的人，许多中国最顶尖的学生的大学教育就被荒废了：用糟糕的教学荒废其学术，用坑爹的体制荒废其心智。  （三）  复旦常常标榜的精神是自由而无用。按照我的理解，“自由而无用”所指的应当是一种以符合自己本性的方式对非功利的纯粹事物的追求。虽说复旦的确有着不少这样的人，但老实讲复旦距离这种理想的状态还有一定距离。  在现实的学习生活中，自由而无用往往被降格为一种约束较少的慢节奏状态，用这种状态来形容文科院系（尤其是人文院系）可以说是比较恰当的。然而这种状态中实际上蕴含的是一种浮躁与焦虑的情绪：很多人内心中还是想要追求功利，但又迷茫而不知所措，于是便只能显现出一种这样的“自由而无用”的生活节奏。这种节奏与其说值得赞扬，还不如说是一种消磨。大家还是在本能地比烂，书是不会读的，试是可以应付的，顶多发两句牢骚或贤者时间一下然后继续虚度光阴了。日复一日地上着水课，水水学生组织，不停地刷着微信，重复着同样的、缺乏意义的事情，并每天在为这种生活状态而感到焦虑却又无可作为，最终只能找到一种“自由而无用”的托辞来安慰自己。而自己的学术能力与雄心壮志，便这样被消磨掉了。随着这种消磨，人们日复一日地随波逐流，慢慢地也会接受自己庸碌的状态。当感到自己有被消磨的危险时，能想到的事情也就是离开。虽然复旦的情况相比于其他国内高校要好很多，但我觉得本科教育还是不能将就，而应尽量找到最好的那种。  国内大学培养之中有着一种潜在的体制化机制。这里所指的体制化与《肖申克的救赎》中所指的那个体制化同义。大一新生一进校，实际上处于一种懵懂的状态，获取信息的能力总体而言非常低下。在这种非主动的信息获取中，很多人也就接受了学校的所自然呈现的那种价值观了。于是大家不断追求着绩点、学生工作、奖学金，然后争取保送研究生，求得一份光鲜的工作，却不明白自己究竟想要的是什么。至于许多纯粹的追求，则显得不那么重要。按照这种价值观所做事的人不断地得到来自体制的小小的荣誉、权力与优越感，于是便在这条路上一步步地走下去了。到了最后，优秀的定义与功利的方式结合起来，深深贯彻到了人心之中，但同时生命力和多样性就很难体现出来了。我想。当高智商的人们被赋予了某种功利的价值观念与行为方式，所谓“精致的利己主义者”之产生也就不令人奇怪了。在复旦见到了不少官僚模样的学生，从高年级到低年级都有，这种价值观的不断生产与复制让人感到畏惧。人的多样性通过不断的新的个体的诞生而涌发出来，但又在人后天的被生产过程之中遭受了侵袭。虽然复旦是一所哲学强校，但是哲学对人的根本功用，即反思的能力，在这里还是没能很好地发挥出来。  这种体验正如自己在转学申请文书中所写的那样：   After entering college， I felt increasingly bothered by the idea of this predetermined fate. Our actions seem to be doomed to become futile in adding any meaning or dignity to our lives， a modern dilemma which is especially true in Chinese universities. We are constantly inculcated with norms， ideas and values which only correspond to the outside demands and expectations， thereby eroding our diversities， vitalities and ambitions， while pursuit of knowledge becomes inferior to wordly rewards. Though we are occupied everyday with trivial matters， we rarely gain anything substantial that has a long lasting influence in making our lives more valuable， especially academic enlightenment and spirit of pluralism. I realized that I am ceaselessly producing everything that forms our college lives: examinations， grades and honors， and then consume them， like everyone else. Just as Hannah Arendt indicates，  we would no longer live in a world at all but simply be driven by a process in whose ever-recurring cycles things appear and disappear， manifest themselves and vanish， never to last long enough to surround the life process in their midst.    （四）   然而自己毕竟还是在复旦度过了宝贵的一年半时光。这一年半于我而言是一次再造，一次脱胎换骨，于是我将永远感激复旦，并视自己为复旦人——即便自己没有复旦毕业证书。尤其是在了解到其他许多学校的状况之后，还是深深感到无论如何，复旦依旧是国内大学中极为特别的一所。虽然有种种不是，但它亦有足够包容，足够自由的一面，给人的心智以发展的无限可能。所以复旦永远不会缺那些真正具有自由而无用精神的少数人，永远都会有那些真正关怀世界、热爱生命的人。如果不是在复旦，我可能无法进行相对自由的选课，以明确我的兴趣；如果不是在复旦，我可能不会遇到那么多有意思的人，接触到各种各样的事物，并将其作为一面镜子来审视自己；如果不是在复旦，我可能根本没有进行这种反思的环境，从而也只能浑浑噩噩地度日。总的来说，在复旦我远比以前深入地认识了自己。   从感性上来讲，自己内心深处还是对这个地方有所依恋的。怀念光草上的阳光与欢笑；怀念西辅楼的阵阵大风；怀念夜深人静时三教全家温热的关东煮；怀念听了无数节课、上课无数次自习的HGX102；怀念虽然破旧但足够温暖的本部5号楼；怀念夜跑时每每经过的相辉堂与校训石......这些地方我以后肯定会有机会再来，但永远不是那一番滋味了。耳畔放着复旦校歌，里面所呈现的那些精神似乎显得虚妄，似乎又依稀可见。有太多话想说，但又说不出来，也许在接下来的日子里可以慢慢总结吧。 
复旦大学的宿舍条件如何?,复旦的同学真是太善良了，
复旦的环境工程？,答主！千万别想不开！不要相信楼下什么复旦环境和经管差不多的话！！！以后想在环境领域混的就去考同济的环境工程研究生，想要复旦的文凭、转行的，就去念复旦的金融啊管理或者环境管理的专硕什么的！！！！千万谨慎选择！！！！
