湖南大学转专业的有哪些具体要求呢？,成绩很前或关系很硬 ps.胡来大学转专业坑死爹
华中师范大学和湖南师范大学，哪个英语专业更好呢？两个学校的其他语言系又如何呢？,只能跟你说 湖师大英语很牛 顺便讲个笑话 本人北外面试 英语口试第四 湖师大英语专业自招 面试不合格 
湖南大学不比中南大学差多少，但为什么排名上比湖大高这么多?,把大学生当做高中生来培养，以考试多自居还沾沾自喜，你湖学子质量确实高。求不要没事踩隔壁一脚，谢谢。
中南大学和湖南大学哪个比较好？,各有千秋，湖大是世袭亲王，祖荫丰厚，历史悠久，声名远播；中南是新封将相，上进十足，潜力无尽，名震寰宇。 不过看最近大学排名，貌似多数显示中南排名高些，不便细说，若是考虑专业当年，湖大建筑、化学、车辆、金融、新影等都在全国排名很高，而中南的材料在国内同样牛逼
北京考生应不应该放弃在北京的人脉关系去湖南大学读金融？, 虽然我湖大是所好大学，但是舍弃北京去我湖并不很好，比如说实习，因为城市发展原因，优质实习非常少，当年同届的很多北京上海生源大三为了更好发展纷纷走2+2出国寻找更好的自身提升出路。 
在职双证mpacc和全日制差别大吗？二战考研打算报个稳妥点的，湖南大学的在职mpacc，不知道怎么样？,谢邀。 从我的学校（中央财经）来看，在职和全日制的区别主要有： 学费（相差一倍）、上课时间（周末和晚上）、就业方式（在职也有定向与非定向）、是否提供住宿等。 其他的，比如大家最关心的毕业证和学位证是否有区别，答案是没有区别。从证上完全看不出你上的是在职还是全日制。 湖南大学的我不太了解。我本科和研究生都是在央财，抱歉。 如果你能找到一份让你满意的，足够稳定的、不要累的工作，并且你能接受巨大的学费差距（6.8万与12.8万的差别）和周末上课以及边工作边写论文，在职也是一个不错的选择，考起来简单很多。 最好还是能学历一步到位。如果不能，我见过很多辞职考全日制的，虽然难考，但是毕业后又获得了应届生身份，选择更多了。
湖南科技大学怎么样？,  在进步了，要考研(逃
想跨考湖南大学的应用统计硕士，有学长学姐提建议吗？, 【前排提示】 我真的是学长啊！  【占坑】         关注这个话题这么久，第一次看见应用统计相关。之前我想考这个专业的时候，在知乎上，考研帮都没有了解到湖大应用统计的信息，以至于我一直觉得我考了个假专业。         （两天前得知了成绩，排名前20，应该是能进复试了。）  【哐呲哐呲2017.3.15】 前往湖大复试的路上，20号复试结束了来分享初试的经验，如果有幸通过复试再讲讲复试好了。祝好！  【开更开更！敲黑板！2017.3.19】 结束了上午的面试，短暂的休息了一下，就决定来更新，分享下经验。（才不告诉你们我明天都能忘干净呢）  不过首先我还是要吐槽一下小吴同学，因为他的诅咒我成功成为了应用统计第一个面试的人。           首先呢，我先回答下题主的问题，再给评论里问初复试的同学分享下经验。         题主说的是数学很一般，虽然不知道一般是个什么程度，但我觉得只要本科数学能及格，考396的数学都不成问题了。至于湖大的应用统计值不值得考就真得因人而异了，各个学校的应统主攻的方向不一样，湖大的应统主要偏向金融，经济一点，也有个别老师是偏计算机，数据挖掘方向的。毕竟湖大也是个985，211，应统的报考人数也是一年比一年多，能考上肯定也是不错的。不管怎么说，我是极力主张去考研究生的，专业什么的自己爱好就好。  【初试经验】 首先交代一下背景，答主本科是个二本小学校，专业是会计学，跟应统没啥沾边的。所以跨专业的同学都放心大胆的考吧。另外呢我从16年8月份才准备考研，所以时间安排上也没个先后顺序，都是一股脑全上的，就不误人子弟了。  （政治）  先说下政治吧，大家可能或多或少都听说过肖秀荣，这个人在考研政治上为考生们做出的卓出贡献我也不多说了，反正考研政治认准他就行了。教材的话红宝书就不推荐了，太多太杂了，大家看肖秀荣的《知识点精讲精练》，《1000题》，《讲真题》就可以了，同时还可以配合3本《疾风劲草》一起使用，等到考研后期买下肖秀荣的《八套卷》和《四套卷》，拼命的背这12套卷的问答题就ok了。我这届政治考试的5个问答题全是这12套卷子里面的，贼开心。    （英语） 再来聊聊英语。请看到这的同学好好背单词，背单词，背单词！由于我从8月份才开始准备的，之前又是个连4级都没考过的学渣，到最后考研英语单词也只背了两遍，上战场后才发现好多单词都不认识，也不会写，委屈到变形。所以各位同志好好的抱着你的红宝书或者扇贝单词啃吧。  单词说完了，说说阅读。从高中起英语老师都在强调得阅读者得天下了，考研英语也是如此。40分的阅读题，再加上湖南大学考的是英语二，比较简单，正常发挥的话32-40是没有问题的。一定不要因为曾经尝试做了下英语一的题被虐而把这种恐惧放在英语二上，英语二阅读好好准备，单词背得多，30+完全没问题的。教材的话推荐《老蒋讲真题》，其他模拟题就算了，太打击人了。  作文的话自古套路得人心，好好背背作文模板，各种类型的作文都背个小范文之类的，背熟了再开始拿真题练练手，教材可以用《高分作文老蒋笔记》，《考研英语高分作文》。  剩下创新题和翻译题就不讲了，送分题。完型填空我没准备过，考试的时候也是看都没看乱选的，时间不够的话就全选C吧。  说下做题顺序，个人观点是先作文再阅读，再创新题，翻译题，最后看时间来不来得及做完形填空。    （396） 这个我考得太糟糕了，才107分，实在不好意思分享经验，只能跟大家说下教训，大家不要重蹈覆辙就行了。  逻辑部分还是要多做题，赵鑫全的《逻辑精点》里的题量大，好多也是MBA的原题，考研考试的时候好多题也是这本书里面的。视频的话可以看看饶思中的。  写作部分我主要看的赵鑫全的《写作精点》，小作文的话就本书还不错，大作文就不行了。毕竟市面上专门讲396大作文的书太少了，所以我大作文基本就是裸考了。  数学真是伤我最深，之前练习396历年真题数学的时候真是眯着眼睛做全对那种，考试的时候就懵逼了，基本上都不会   。所以大家还是多多花时间在数学上，前期按照数学三的模式复习，推荐看完张宇的基础篇和强化篇的视频。教材方面请一定不要看赵鑫全的《数学精点》！（赵鑫全粉请不要黑我 ）真的不知道这本书写得在讲什么，看完一点做题的感觉都没有。要看还是看陈剑的《数学高分指南》，相比之下不知道甩赵鑫全多少条街，深入浅出，套路丰富    等复习过两轮的时候，可以用下张宇和几个老师一起出的396联考模拟题，虽然有点难，但谁让他们能押中原题呢（摊手）    （统计学） 坐在导师办公室编写统计学经验      好多私信给我的同学的共同疑问就是会觉得统计学会不会很难呀，会不会考很多数学呀之类的。我根据我的考试经验和之前的真题来回答是不会的。难度并不会到问一个问题让你连回答的方向都不知道那种，问题的难度也是接近曾五一那本《统计学导论》课后习题那种，好多年都直接拿课后习题做考研题，所以一定要吃透每一章的课后习题！  另外既然要看湖大的，那么湖大应统的每年真题至少是有的。这里大家就不要问我买了，淘宝上搜索“湖大考研真题服务站”，那里有应统的真题卖，只是现在好像下架了，估计过几个月会重新上架的。真题是混合着湖大内部授课的ppt呀，期末考试题，还有一些复试的注意事项一起卖的，所有有点小贵，大家有小伙伴的可以几个人一起买。  最后如果学有余力的话，可以配合着贾俊平的《统计学》看，或者先看贾俊平的《统计学》再看曾五一的《统计学导论》也可以。我是先贾俊平的再曾五一的，我觉得贾俊平讲得更浅显易懂一些，更适合没有统计基础的同学先打个底。只是最后答题的时候，肯定是必须按照曾五一书上的要求，一定要区分清楚两本书上关于k的定义，贾俊平上k是代表解释变量的个数，曾五一上k是代表估计参数的个数，切记切记！  如果部分同学已经从学长学姐那得到之前的真题，但是没有17年的真题的话，可以去考研帮搜索我发的一篇帖子，上面详细得讲了下17年的真题 帖子名叫“2017湖南大学应用统计考研真题（回忆版）”，是一个叫“折木同学”的发的帖。  复试经验就过几天再更了，希望能更的是复试经验不是复试教训呀（捂脸），大家还有什么问题的话可以发私信问我，或者我们一起讨论下阴阳师，fgo也可以的呀    总结下初试的书单就是《肖秀荣政治精讲精练》，《肖秀荣1000题》，《肖秀荣讲真题》，《疾风劲草》（还是叫风中劲草来着，忘了），《肖秀荣8套卷》，《肖秀荣4套卷》，《老蒋讲真题》，《高分作文老蒋笔记》，《考研英语高分作文》，《逻辑精点》，《写作精点》，《数学高分指南》，《湖大历年真题》，《统计学导论》（曾五一），《统计学》（贾俊平），还有就是上b站看看张宇的视频就ok了。这几本书吃通透就行了，其他书就没太多必要了，我当时准备的时候也是过度紧张买了好多书，结果发现除了上面的之外，其他的根本没时间没精力看。【附一张我当时使（lang）用（fei）的书图】    【初复试过渡】 考完初试的你，会进入一种准备过年，进行过年，沉迷过年的阶段，而这都是正常现象。（大家都是这么过来的）  不过呢这个阶段有些事情还是得做的，首先呢你应该加一个与你同期考湖大应统的群，和大家交流交流。另外呢，随时关注湖南大学研究生招生办公室官网，一般来说湖大是2月15号左右出成绩。还有就是提前通过学校金融与统计学院官网，或者从学长学姐那对应统的导师做一定的了解，熟悉导师们的研究方向，看看哪个导师的研究方向是你感兴趣的，你对哪个导师有好感想成为ta的研究生，等到出了初试成绩后，如果分数理想排名靠前，就可以尝试与你心仪的导师联系联系，发个邮件阐明自己的情况，对导师的了解，以及想成为研究生的迫切心愿等，发邮件的话最好再给导师附上一份自己详细的简历。  初试成绩公布后大概之后一周多的样子湖大才会公布校线，3月10来号的样子才会出院线也就是最终确定的复试名单，而3月18号左右就要开始复试了。所以我们在看到自己初试成绩的时候可以用这个标准来简单的估计下自己有没有希望进复试:政治55+，英语55+，396联考95+，统计学95+，总分360+。另外排名是一种更好的判断方法，一般来说进入复试的人数比当年公布的指标（扣除保研）多5个左右。   【复试】 以2月15日公布成绩，3月中旬复试来算，大概有1个月的时间准备，如果复试科目同今年一样仅仅是《计量经济学》的话，那么时间是足够的，但如果有变动或者改回同往年一样是《宏微观经济学》+《计量经济学》的话，那么大家就要提前在寒假中就得准备了。（具体复试科目是什么可以咨询湖大考研服务站，并且在初试之前复试科目就已经公布在网站上了的）  除了复试的专业科目外还有英语听力，今年我考听力的时候完全是靠第六感考试，我能怎么办我也很绝望。考完后初试第一的小姐姐告诉我听力是2014年6级原题    。所以听力不好的同学考试前还是把前5年的6级听力答案背一背吧。心塞！  最后最重要的就是面试了，应统的面试分为上午场和下午场，我当时抽签是抽到上午场，早上8点就到了学校候场室准备面试，然后一直等到上午10点统计学硕面试完才开始专硕面试。 也不知道是幸运还是不幸运，抽到了应统第一个面试，进入面试教室后首先是把自己的身份证、本科成绩单、获奖证书、简历等交给门口的计分员学姐，然后学姐会让你开始进行自我介绍。自我介绍是中文的，不需要英语的自我介绍，在你自我介绍的时候，计分员学姐会将你刚提交的文件传阅给面试官老师们看，老师会根据你的本科成绩，证书等给你打分，这样他们不会盯着你看你自我介绍，个人感觉会轻松不少。  当你自我介绍完后，就进行英语口语测试，一般来说你自我介绍里面有什么，老师就会问什么，所以自我介绍得静心准备下，想想挖什么坑给自己跳。  口语测试结束后，会让你抽一个专业问题的签。这个问题可能是统计学的问题，也可能是一个计量经济学的问题，我当时抽中的是统计学的，被问到演讲比赛时为什么要去掉一个最低分和一个最高分。之前诅咒我的小吴同学面试完后跟我说他抽到的问题是“统计学流派分为哪些？”（喵喵喵？？？）  回答完专业问题后，会有一个社会实时问题，我当时被问到对于豆瓣电影评分存在很多水军刷分现象，你能想到什么统计学解决办法。答案仁者见仁智者见智，大家尽量回答的时候多跟专业相关，回答合理即可。面试完交流的时候，有些同学被问到了关于大数据的影响之类的问题，还有估计中国恩格尔系数等，还有个可怜的小姐姐被问了一个文言文的题（心疼）。  之后就是老师自由发问的时候，我被问了一个计量的关于统计建模评价方法的问题，以及因为我是本科会计的，所以让我谈了下统计学与会计学的异同，自我介绍时我说我想做游戏数据分析，就问了关于游戏数据分析我有什么看法，以及自己有没有相关方面的学习。（再次提醒自我介绍就是自己给自己挖坑，对于自己挖的坑一定要准备好）     然后20分钟的时间到就可以离场了，出教室的你可能会被一些学弟学妹拦住询问你一些问题，我就被两个可爱的学弟学妹拦住了。      如果你觉得我的回答对你有一点帮助的话，也请你务必耐心回答拦住你的学弟学妹们的问题，他们也同现在的你一样处于迷茫时期，他们也想同你一样想成为湖大的研究生，一样为了梦想在奋斗，帮助他人就是帮助曾经的自己。  至此，感谢从初试时就一直不厌其烦帮助的我学姐，希望互帮互助的爱心一直传递下去。    【啦啦啦】  被录取了，开心  （等了10天啊）   
最后一天！天津大学还是湖南大学？,还有半个小时。在我看来，压线进任何学校都是对将来的四年不负责任，还不如去念分数较低大学的好专业。当然，天津大学有求是学部，转专业不难。
大学毕业，湖南的户口迁移到深圳要不要办农转非？, 所以你现在户口到底是什么？ 
如何看待湖南大学暑假公寓停热水，图书馆停电梯？,表示德智有热水器。不要以偏概全嘛
