西北农林科技大学可否合并北京大学、清华大学、西安交通大学、西北工业大学、西安电子科技大学来提升影响力？,西农不是985了  找不到学生是肯定的 但是越来越不值钱的一本分数线给了西农人一种自己分数线在变高的错觉 至于合并的想法 我认为西农人的生命是有限的 但是为其他大学做好绿化磨好锤子的工作是无限的 西农人应该认识到自己的七本尴尬处境 将教育部经费省下来 将教职工和学生分散到其他高校看门扫大街 这也算是另一种形式上的合并 以上
软件工程狗，我应该去大连理工大学（大工）还是西安电子科技大学（西电）？,我当年也是这两个之间选择，最后是选了大工。 西电是不错，然而大工是985，这一点还是很重要的。 互联网行业的工作机会更多的集中在北京等地，大连明显更近一些，影响力和校友支持也更多一些。  不过，能上大工的软件工程，西电应该是专业随便挑才对。
西安电子科技大学为什么不在深圳设立校区？,深圳看不上，你以为深圳什么学校都要，深圳引进的都是国内一流名校
找一个西安电子科技大学学弟做男友是什么感受？,你明年会自己来回答这个问题的
考研考西安电子科技大学的计算机专业需要准备哪些专业知识？,我才大一。。。
如何看待西安电子科技大学某院就学生专业实验报告苛求必须使用西安电子科技大学实验纸续页，否则被打回一事？,1 做实验的时候老师提过 原话说的 这次教学评估 查的严 必须手写 用实验报告纸  2 实验室黑板上贴的你没见？ 3 别j8天天搞新闻了显摆你手机能上网？ 4 呵呵 生而为西电我很抱歉？ 5 提问的人脑子真的有泡？ 6 问题举报了 
你怎么看待2015年5月28日西安电子科技大学教务处网站因为工作人员操作失误，导致错误盲审名单泄露？,谢邀。今天我走在街上，对面过来一老奶奶，当我跟她擦肩而过的时候，她一把就抓住了我的胳膊，慢慢的往下躺，我当时吓坏了。刹那间我问自己：我的银行卡里还有多少钱？够不够让老奶奶讹我一回？过了二十秒，老奶奶自个又站起来了，拍了拍身上的土说：“小伙子，够刺激吧，人生到处是惊喜！”说完就走了。  教务处老师又调皮了。
西安电子科技大学附近有没有秋游的好去处？不知道班级聚会去哪好，难道要去看名胜古迹吗？,哎呦卧槽？知乎营销啊？   
能保研究生，西安交大的电子科学与技术专业和西安电子科技大学的信号与信息处理怎么选？,交大的。
西安电子科技大学是计算机的理想大学吗？,谢邀 不是很了解 感觉这方面还是电子科技大和各大理工大学的计算机系比较强势 西安电子科技真心不了解…
如何评价“西安电子科技大学胡予濮教授攻破GGH密码方案”？,利益相关：学生时期选修过胡老师的 现代密码学 。          可不可以称为重磅，得看怎么定义『重磅』这个其实有点主观的词。         在现代密码学的密码分析领域，个人认为是足以称其为重磅的。          为什么这么说，其实在新闻稿里面已经表达的很充分了，可能没有接触过密码学的朋友不太明白这里面的意义何在：         简单打个比方，GGH方案的提出者是密码设计学的高手，就好像是建筑行业里的地基团队，他们设计并挖掘了看起来非常安全保险，足够深的地基，人们翘首以盼地期待施工团队在他们挖下的地基上盖出摩天大厦来，但是胡老师从事的密码分析学，就类似于监理团队，发现了地基设计图纸的大问题，并指出了挖出来的地基存在隐患和问题，无法在上面建造大楼，如果强行建造，最后必然是楼毁人亡的悲剧。         GGH方案的提出，似乎让人们看到的解决多方密钥交换的曙光，但目前已被证明其确实有自身的严重漏洞以至于后续应该无法成为多方密钥交换的标准，这也意味着多方密钥交换协议可能又要向后推迟不可预测的时长才可以出现新的方案。对于密码学的发展来说，从某种角度上讲，是有些遗憾，因为胡老师的论文把密码学人又拉回了没有解决&gt;=3的安全密钥交换数学方案原型的时代，感觉就像是村里来了个人说要带领大家共同致富，村民们都兴高采烈，以为马上就有好日子可以过了，结果突然蹦出来个警察告诉大家不要上当，那个人就是个搞传销的大骗子，村民们心里肯定会不爽，但这也好过以后被骗子骗到倾家荡产要好。         话说回来，胡老师对GGH方案的密码分析成功发现其自身漏洞意味着后续人们可以不再继续花费时间和精力去建造基于GGH方案这一密码原语级别的协议去构建加密标准，拓展出更多的密钥交换使用场景，设定各种流程及业务逻辑，甚至将其运用于商业、金融、军事等等一系列领域，在这些成本如果被投放下去后，此方案的漏洞才被发现的话，对社会的损失会非常巨大。         PS：当年上胡老师的现代密码学，因为是选修，所以几乎从第三节课开始就跟不上节奏，几乎在听天书一样了，许多对于我来说要想半天才能想明白或者要证明半天的东东，可能胡老师在讲课时仅仅是一句话带过，然后直接讲后续的结论。         PPS：密码学真心不是凡人可以接触的东西啊。。。
西安电子科技大学现在在什么程度，是一所好大学吗？,我以一个刚毕业的教改班学长的角度，尽量理性的来谈谈我个人的看法。  因为被学校伤得太深大三决定放弃保研资格，转世为雅思狗，现在准备继续在香港念书。 西电是不是好大学这个问题属于一个伪命题，就像dota和女朋友哪个更重要一样。要想得到一个满意的答案，首先你需要知道你希望未来成为什么样的一个人。  首先是新闻联播时间： 西电的学风不错，每天从早到晚泡自习室的人多到令人发指，对我这种自制力不怎么样的战五渣来说这样的学习氛围是比较理想的。 由于在行业内的口碑还算不错，西电给毕业生提供了一个很好的就业平台，因此毕业后一个体面的起薪对于大多数人来说并不难。 宿舍条件以及校园环境在西安各大高校中应属上乘。怀念夏天晚上吹着空调和室友彻夜卧谈的日子，怀念那个场地条件还不错的球场，怀念丁香二楼的削筋面，怀念那个美女时常还是会闪现的的图书馆，妈蛋扯偏了...  下面谈谈正经的。 整个学校氛围非常呆板，大学四年就像被采购到黑工厂加工成规格严格一致的螺丝钉的过程，这也是导致我放弃继续在西电再待三年的最大原因。如果大学教育不会拓宽一个人的视野，至少是行业视野，而仅仅是批量打磨个性与想法的话，对大多数有理想的人来说都是过于残酷的。但其实大多数人虽然明白这些道理，却大都被置于温水中慢慢被加热。大一谈梦想谈情怀，大四谈起薪谈奖金。 行政管理过度官僚化，且各部门之间内斗，其代价往往都落在了学生头上。毕业前，就差点经历一回大四很多准备出国留学的学生由于两个学校行政部门之间无法描述的原因没法顺利出去读研的坑爹经历。类似事例，从大一到大四之间已经遇见太多了，而且这些坑还是分别定位目标人群的，保研的，出国的，求职的...... 学校各类鸡肋活动鸡肋社团众多，置身其中完全是在精力自耗，大都无非是装模做样的两三个月组织一次活动，其他时候钓钓学妹喝酒吹b尔尔。这点和各综合性大学来说差距明显。  其实最终答案是：如果大学期间不想把妹想踏实学习学科知识，毕业想找一份工资不错纯技术性且加班多得酸爽的工作，对其他方面并无太多追求的话，西电对你来说是一所很理想的大学。  否则，要么干脆别报西电。要么毕业后赶快逃离，考外或者留学都行。
北京语言大学和西安电子科技大学哪个比较不错？,靠，你西电得分能上北语？
2017届高考考生 想报西安电子科技大学的自主招生 只有面试 该怎么准备？,不知道你现在有木有参加自招考试 但愿还能有用  本人2015级通过自招进入西电电子信息工程专业。当时面试的时候是三个老师，两个应该是教授，一个英语老师。当年的面试形式为无领导小组讨论，一个组五个人，我们当时抽到的题目是：如果在贾母、王熙凤、薛宝钗、林黛玉中选择一个办公室主任，你会选谁。  然后一个考官问了一下我们半导体的概念。  接着是英语面试，当时的问题是描述一下你最好的一个朋友。  时间久远，就记得这些了。
电子科技大学的软工 重庆大学的计算机 西安电子科技大学的计算机 这三者之间应该如何选择？,如果你不想从事学术研究，那这几个学校的计算机毕业就业都差不多。主要看个人
如何看待西安电子科技大学在大一暑实这件事上团委和马院撕逼？,曾经负责过本院团委暑实相关事务，简单说一下个人看法，不当之处欢迎指正。 团委这边暑实是全国范围内的，由共青团统一组织的，鼓励大学生暑期走向社会实践的活动。活动形式包括但不限于调研、实习等形式，每年都会给定几个分类，然后下学期开学会有优队伍报告答辩，学校评优等一系列活动。 暑实组织的主力军就是校团委和各院级团委的实践部（好像某些院是素拓部在负责）的同学们，由于材料申报审核时间多是六月份开始，所以会占用一部分工作人员的期末复习时间，所以还是很辛苦的。这个活动已经开展很久了，我也不知道具体什么时候开始的，反正每一年都如期举行。虽然很久了，但是还是有些问题和漏洞：比如前几年还需要交纸质申报书（最近几年已经电子化）；各个院标准有些差异，校级那边好像没有一个完全统一的方案；队伍质量参差不齐，有些同学很重视这个机会，认认真真的开展活动，有的同学就是划划水混个学分。不过从我经历的这三年暑实工作来看，大家是一直在进步的，无论是团委的老师同学还是各团支部支书，都在用心的组织。 关于马院具体情况我不了解，只是在前几天看到群里传了一张他们的要求。其中最后一条我很有印象，大致上意思是马院的实践必须参加，团委这边的实践不必须参见。当时看到这条，怎么说呢，不太开心，有种自己努力做的工作被不知情的人一口否定的感觉。马院的老师希望大家积极参与社会实践的想法肯定没问题，但是通过否定别人的活动来宣传自己的活动这种行为，我们学生组织平时都会很注意，学院官方要求这么说有点不太合适吧。不过好在后面经过沟通那边的老师很快就修改了。 其实这件事很好解决啊，双方的目的都是鼓励大家参与社会实践，为什么不能一起组织呢？这样还更有利于帮助同学们开展一些更加丰富的暑实活动，也节省了大家的时间，很明显是一件双赢的事情。希望马院的老师和团委的老师能够考虑一下合作，毕竟没必要一个假期开展两次实践活动。 以上都是个人想法，不代表任何人，因为我视野有限，所以有说错的地方欢迎指正。
西安电子科技大学的英语日语怎么样？,谢邀 非本院了解有限，西电英语日语好像从2015年开始招收文科生，之前都是理科，大多被调剂过去的，也要学习工科知识，文科的学不学我就不太清楚了。 文科生的话想学小语种不建议来西电，氛围不好，可以去西北大学或者陕师大，如果是看上西电男生多，宿舍条件相对较好这一点的话另当别论
如何给学弟学妹介绍西安电子科技大学？,呵呵，不要坑学弟学妹啦。打听一下西电最近几年发生了什么，保证他们会做出正确判断。当然，农村的同学如果想找一个好工作，或者考研什么的最后在城市立足，西电还是可以的。但是家庭条件不差而且志存高远的同学们，西电可能不是一个理想的学校。这是毕业以后的感悟。
西安电子科技大学有哪些值得推荐的出国留学项目？,小心学校联合中介。。有人被坑，具体自己找学长问。我说的是一个德国的项目。
西安电子科技大学黑人留学生多吗？数量大概多少？,千万别去西安电子科技大学，小心传染病，自己百度西电有名的结核导员李警。
山西高三毕业，女孩子，西安电子科技大学有点冲，去了也选不了好专业，北邮的国际学院可以，求问去哪个合适？,敢问题主最后去了哪儿（同山西老乡）
考研西安邮电大学还是西安电子科技大学？,话说，你真的在西安吗？虽然我姐是西邮人，但西邮西电差了两个档次啊！
西安电子科技大学的电气自动化研究生怎么样？,西电弱电（通信、微波等等）很强，强电可以去西交，西交去不了西工大也可以的
为何西安电子科技大学拖欠农民工工资而无人问津？,要债的是做外装修的农民工。 尼玛还没竣工墙皮就开始脱落了好吧。
你怎样看待西安电子科技大学通院杯比赛?,第一：对于楼主第一句话，我只想说通院是西电最优秀的院！ 第二：从楼主话语来看，楼主素质不高
如何评价西安电子科技大学肖国镇老师？,无愧于他的名字，一代宗师即使退居二线，亦可教书育人 肖国镇教授的部分弟子： 刘福运：中央办公厅机要局局长 何良生：中国人民解放军总参谋部首席密码专家、中央办公厅机要局副局长 冯登国：国家密码管理局副局长、中央办公厅机要局副局长、信息安全国家重点实验室主任，国家863信息安全专家组组长 来学嘉：国际密码学会委员，现行国际通用密码算法——IDEA加密算法的发明人 丁存生：香港科技大学教授 龚光：加拿大滑铁卢大学终身教授 沈八中：美国康博公司技术总监、西安电子科技大学千人计划全职教授
如何看待西安电子科技大学经管院学生的评价？,话糙理不糙
在西安电子科技大学搅基怎样一番体验？,入学四年，男友换够
在西安电子科技大学钱学森空间科学实验班学习是怎样一种体验？,挺坑的  更  算了不更了，反正如果能重来我不会选择这个大学更别说这个班了。
在西安电子科技大学可以转学吗？,没，来了西电，就要有在传染病大学待四年的准备
请问西安电子科技大学的经管学院就业方向如何，就业如何？和北邮的经济就业相比差距很大吗？导师怎么样？,西电通信 表示你读什么都不建议你来西电
如何看待西安电子科技大学发「宣誓卡」要求女生拒绝婚前性行为这一举措？,为什么宣誓卡不发给男生？ㄟ(￣▽￣ㄟ)
求求西安电子科技大学的同学们 帮帮我？,去找一个叫李警的西安电子科技大学通院党务秘书吧，这事非常像是他干的。他的微博上有他的照片，微博名“西电李警“.
这个西安电子科技大学太缺德了？,怎么了？
我是二本生，电子专业，准备考研，燕山大学，杭州电子科技大学，西安邮电，西安理工大学，哪个更好点？, 如果是这几个里面选的话，我觉得留本地是个不错的选择 
南京航空航天大学与西安电子科技大学的空间科学与技术专业对比哪个更好一些？,    南航空间科学与技术专业的学生，刷知乎看到有人提此问题甚感激动，竟然有人来关心这个专业了（≧∇≦）目测题主是高中生？     南航于2010年招收该专业的第一批本科生，西电于2013年开设此专业。南大、哈工大（威海）等学校也有相同名称的专业。哈工大曾关闭过此专业，所以南航应该是现存的开设此专业“历史”最长的学校。     个人认为不同学校的这个专业不具可比性，毕竟有不同的侧重点。以下就南航的该专业来进行一些情况描述，西电的情况希望有西电该专业的同学来补充。     我们专业现在有教授1人，副教授3人，讲师2人，一共6个老师，每届招收1个班，二三十人左右，（我相信以后的规模还会扩大的）我们授予的是工科学位，但据说学弟学妹们被改成了理学。老师们的研究方向主要有空间环境辐射、空间物理、中高层大气。专业培养方案中很多课都偏理，因此改成理学学位也能理解了。想问问题主为什么想选这个专业。选择这个专业的最初动机一部分同学是对航天感兴趣，一部分是真正想为祖国航天事业奉献的人，也有一部分是被调剂的（专业开设不久，大家对它不了解，报的人少）。过了四年的大学生活现在想想当初真是too young too simple，纳伊夫。如果你还是高中生可能不会理解我这句话，有些事情只有经历了才会懂得，这才是人生。     工作方面本科毕业想找到航天相关工作很难，这年头本科毕业想找找专业对口工作、理想工作都很难吧。于是很多人选择考研，现在航天系统的工作对学历要求是硕士起步，不知道以后会不会提高到博士~_~如果有志于这方面的科研可以读博，深造，这需要你耐得住寂寞。     大学能教会你很多除了专业知识以外的东西，四年会有迷茫，也会成长很多，悟到很多。（咦，好像跑题了，欢迎和我来谈人生！）     题主还想知道其他什么信息，我可以继续补充。最后再说一句，学校既然开设了这个专业，一定会有相应的师资、物资投入，如果非要分个好坏，我想说在力所能及范围里挑平台最高的学校去。     欢迎来做我的学弟or学妹^_^就先这样吧。
想考西安电子科技大学的研究生软件学院，应该考数几，英几？,数一，英一，专业课是学校自己出，注意在官网下载每年专业课大纲。
西安电子科技大学计算机学院教改班和卓越班对比？,电院教改班路过……然后真的是路过……  还是说两句吧。 培养方案不太一样，卓越偏向于工程师的培养，可能留给实习的时间多一点（比如三年学完四年课程，大四实习），然而其实没有太大差别我觉得，虽然有些课不怎么一样。 保研政策来说，两个班差不多，都是80分以上保研，然而我们是电院最后一届了（微笑脸），下届开始电院全院排名给保研名额了，优势不再了。  还是建议考一下教改卓越的，班级配备的讲课老师都是副教授以上的（然而还是有坑，比如电院教改的那个概率论老师（微笑脸）每次上课的主题都是教改班一届不如一届，还有自控老师的爱与佛陀（然而电院全院的自动都是坑）），我认识的教改卓越的同学都很上进优秀，班级学习氛围还是很好的。就是电院教改课特别多（微笑脸），差点死在大三了（我说认真的），什么都学一脸懵逼。  至于保内保外，全看个人（微笑脸），和班级无关，班级顶多就提供一个平台吧。  如果你有教改资格的吧，我觉得还是别浪费了吧。没有的话你就考卓越吧。说实话因为这个教改资格问题，其实是如果有资格的话，考入教改的胜算大一点，一般都是卓越比教改分数线高10分左右吧，我当年就是这个情况。（用脑袋想想也知道，卓越没有资格限制大家都可以考，这个范围是可以考教改的好几倍（微笑脸））  最后说句废话，我来西电觉得做的最对的事就是考了教改。很高兴在西安遇见了1402019全部的同学。（我好像偏题了，人家问的是计院的）
IT业界里对西安电子科技大学的评价是怎么样的呢?,我有一个老师听见一些HR招西电的学生时这样说道：“西电的学生，好用！”大家自行品味一下。。。
从西安电子科技大学重点专业毕业后就业前景怎样？,不邀自来。本人08级电院5专业，重点院系非重点专业，把当年大致的找工作经历和薪资水平罗列一下，给各位有需要的同学一个参考。   背景    12年年初考研失利，由于先前一心考研没有找工作，只能趁着年后的招聘小高峰捡个漏；   四年平均GPA 85，一次全国某竞赛获奖，两次星火杯获奖（不要问我为什么没保研，当年装逼装大发了，闪着腰了）；  对中兴、华为的企业文化不太感冒，首选坐标上海、杭州。    第一阶段  12年2月份开学，各种校招还没开始，在智联、前途无忧、应届生就业网上网投简历，主要投递数字图像处理、机器视觉相关职位，一个月下来只有一些小的叫不上名的公司搜到我的简历让我去面试，我应聘的职位中只有一家北京某网络公司打来面试电话（因为洗澡错过了，再打过去由于查不到分机号只能作罢）。  第二阶段  3月份，学校组织的各种校招开始，前期投了三家公司杳无音讯，后来不断修改简历，根据各家公司的招聘特点重新制作自己的简历，最终同时接收到上海和杭州两家公司的面试通知，期间一周的时间这两家公司的面试中奔波按下不表，最终顺利拿到两家公司的offer。我应该是春节后找工作的同学中第一个拿到offer的。 大概的薪资水平：上海某公司6k*16；杭州5.5k*16+各种福利。这个水平应该是当时的平均水平吧，捂脸匿了。  第三阶段  拿到offer后又开始作，由于打算开始二战考研（装逼本性已经深深烙在骨子里），就拒了拿到手的两个offer。与此同时，收到了上海某研究所的面试通知。跟HR闲谈中得知，HR看到我在网上挂的简历，觉得跟职位要求挺对口，就对我放低了学位要求，把本来只招硕士的要求放宽了。   结论    各位学弟一定要在大三开始的时候就给自己做一个职业规划，早作打算，大四找工作再选真的来不及好么；  网上的简历及早挂上去吧，从挂简历到被HR关注是要经过若干轮简历修改的；  西电在长三角的竞争力还可以，但是想进BAT这样的公司还是需要努力的；  为准备技术面，大三的时候就可以刷一下OJ了，对提高编程能力也有好处；  不要装逼。  
重庆邮电大学的IT精英班怎么样？ 与西安电子科技大的差距大不大?,谢邀。 我是2012级的邮电大学通信普通班学生，没有读过精英班，对西电也不算了解，我就说说我的看法吧。   学风 隔壁寝室有个精英班的学生，个人觉得精英班和普通班的差别就好比高中时候平行班和实验班的差别，精英班有学渣，普通班也有学霸，主要看自己怎么学，当然如果说氛围的话，当然实验班肯定是好得多。个人认为学校之间比较也适用。  认真学 认真学课本知识的话，考研，保研，出国比较合适，如果是想毕业就业的话，就多做项目多实习比较有帮助。  保研率，就业率 这个高不高的概念应该是相对于西电，由于不太了解，我就不作回答了。  专业 西电我不知道，在邮电只要绩点符合要求，是可以申请转专业的。  ------分割线-----   我2012年进入通信专业的时候，那时候正是手机网络3g向4g发展的时候，我们专业当年毕业生就业率据说在95%以上，出去月薪也是远远高于毕业生的平均水平，当时我就觉得卧槽这个好牛，就填这个了，比一般名牌大学学生还牛。如今轮到我毕业，通信行业远远不如当年，而互联网现在是时下火热，年级中很多同学都进入了互联网企业，有做产品策划的，也有去编程的，当然还有去其他行业的。后来我自己每每想到我填志愿的时候，那种心态其实是很可怕的，我不知道自己想要什么，只是大家说好，当时就业率高，薪水高，就上（其实这是一个赌博心态，赌4年以后的行业行情），后来当我真正接触到信号与系统，数字信号处理，通信原理这些专业课的时候，说实话我真的看不进去，也学不进去。原因很简单，因为不是自己喜欢的东西，没有热情，而这些东西全是要认认真真沉下心去学，去理解的。后来勉强过了这几门，却对这个专业失去了兴趣，这才是真正荒废了四年。所以我想说的是： 选择自己喜欢的，热爱的。而不是就业率高，行业情况好的。
在西安电子科技大学却没有男/女朋友的体验？,哇做为男生，我竟然有一大堆男朋友，还有一个可爱的女朋友。  泻药。我觉的题主可以把这个问题细化一下，分成两个，没有男朋友的男生/女生是种怎样的体验。。。。
在西安电子科技大学辅修一门专业是一种什么样子的体验？,很庆幸在我妈对我狂轰滥炸之下也毅然没有辅修第二专业(˶‾᷄ ⁻̫ ‾᷅˵)。 看到同学本来主修了材料学，又辅修了西交的人力资源管理，很勤奋好学的孩子。在大三最忙的时候，周内课排满满，周末还有实验，我时常在周末还看到她一个人匆匆去上辅修，完全没有时间玩了好么！她可能也收获了很多，也可能只为取个第二学位，我不得而知。但我知道在大三最忙的时候，连玩的时间都没有了。。还能不能好好和朋友玩耍了！ 除了这，有限的精力是不是做点喜欢的事更好呢？如果你是真喜欢。。辅修个专业可以，如果只为拿个第二学位。。那我负责任的告诉你，并没有什么卵用 （；￣ェ￣） 人家主修那个专业都找不到工作，你辅修人就觉的你是全能人才？还没看到哪个同学因为修个辅修专业就成为抢手货的。。该吃饭吃饭，该逛街逛街去吧(￣▽￣)。 如果真想自己学点有用的，不如学点编程软件，找工作牛B的都是软件大神。。C++，photoshop啥的。 我庆幸的原因。。是自己确实没能力兼顾那么多啥都不影响。(•̀⌄•́)筒子们还要看自己啦~ 对了，针对卤煮79.9的均分。。不如花点精力提高均分啦，很有用的还是~
西安电子科技大学金融学专业就业怎么样？, 西电安心写代码，学啥都差不了。 
如何看待西安电子科技大学为减少雾霾而降低对学生的供暖温度？ ?,怪不得学校那么好心发了羽绒服。。。-_-||
西安电子科技大学财务处c岗有没有机会转正？, 楼主 你最终去了吗  我也是这个情况 能不能交流一下？ 
如何看待西安电子科技大学外院与空间院的撕逼？,真有意思，你拿别人的评价来征求别人的评价。
西安电子科技大学最近的小道消息有哪些最近？种类形式不限。,装空调。
谁有西安电子科技大学833近年来的考研真题？,淘宝上有卖，店名：西电研招办
西安电子科技大学 中外合作专业如何？, 西安电子科技大学的中外合作项目怎么样？除了学费高，和普通类专业有什么区别？ - 橙梓君的回答 
如何评价西安电子科技大学16-17级学生会主席曹露？,真的有这个楼吗。。。
