上海理科考生，北京林业大学和宁波诺丁汉大学选哪个更好？,各有千秋 单看生源倍林比宁诺分高不少……样本取自来自10+省份的同学，省份不同无可比性。 都是不错的学校      仅仅仅仅仅代表个人观点  以及个人发展和学校没有，没有，没有关系
请问一下有人有北京林业大学研究生专业观赏园艺的复习资料吗？,一般师兄师姐的资料都是卖的，你可以搜百度文库，有往年的试题，官网也有题纲，同为17考北林观赏园艺，加油！
如何评价沈德瑞？（现北京林业大学，原蚌埠二中）？, 大家，多来点人，多骂骂，  骂的请有道理的骂，谢谢！  【唉呀终于上乎了2333333，虽然不知道题主是谁，但是谢谢哈】  【想看看自己有多少骂名，然后多少骂的有道理，然后为可能是最后一年的活跃生涯做一定的改进】  首先回应下题目描述吧，  谢谢对学术的肯定，但是我还是觉得我只是个学棍罢了，尸位素餐，全靠经验和情怀开会  自来熟这个嘛，我也没办法天生带的……觉得也不是啥坏事  没眼力这个不清楚您的意思啊23333  是站队站的不对，还是什么啥别的？  希望题主能更详细的说一下。  【哦对那个学校是我自己加的，虽然觉得重名不大可能，但是毕竟防止误伤嘛23333】   更新下，  昨晚看到时候也没多想，  想了想最近做的事请，  在那个学术话题说了个故事，写了一篇关于BG重复率的文章  然后扬了一下“家丑”  我想应该是对前两个不满的朋友吧，  23333333  我都说了，有什么不同意见可以交流啊，评论区见呗 
江南大学 厦门大学和北京林业大学选哪个？,林业大学的园林学院和艺术设计学院是两码事。不过欢迎你来当我的学弟 
都来谈谈你被北京林业大学坑了什么吧?,就业处的老师搞了女学生，不让学生拉赞助是因为他们要吃回扣，根本不给钱搞活动，都让学生自己拿。之后学生做大了还要除名，还恐吓其不能毕业云云。
想考北京林业大学林业专硕，请问大家有什么复习的建议吗？,谢邀 不过我只是一个本科生。。 相关的问题可以去贴吧的 那里会有人给你解答
北京林业大学考研快题设计如何提高？,考北林真的真的太难了，劝你换一个学校。考研不是你努力就能考上的，我某211大学，近几年没有一个学长学姐考上，最好最好的一个是考哈工大，哈工大比北林厉害吧？但是风景园林专业北林真的难
2014年考研考北京林业大学风景园林学硕，总分321，在本专业排名110。考虑调剂中。。有什么好的选择吗？,专硕没戏，今年科硕转专硕最多只有10个。。。 建筑也基本没戏。。。 推荐看看林科院。
北京林业大学有哪些好老师？,谢邀。 风景园林/园林专业导师品系不完全名单(欢迎补充) 大boss系：李雄 王向荣 男神系：刘志成 李倞 李冠衡 土豪系：朱建宁 李运远 蔡凌豪 学术系：董璁 刘晓明 郑小东 张晋石 隐逸系：曹礼昆 周曦 媳妇儿系：林箐 张凯莉 毒舌系：朱建宁 蔡凌豪 和蔼系：张凯莉 李素英 工程系：瞿志 李运远 圆润系：李雄 李运远 姚朋 张云路 敏感词系：王[和谐] 俞[和谐]  学姐补充帖： 【从北京林业大学毕业，走入社会工作后，你会发现你的母校给你带来些什么？】余萌萌：谢邀，今天才看到。影响就是，你上班以后，你其他学校的同事说：“好想听梁…   http://www.  zhihu.com/question/3449  7996/answer/61154173    
北京林业大学能入选双一流吗？,我一直以为我校在六道口?看来被题主拔高了一下……一流大学铁定没戏，一流学科……来，咱们数数林业 园林这块还有谁?（微笑）
在北京林业大学学计算机会不会很瞎？,你问了这个问题就说明你觉得瞎了… 北林计算机专业学霸还是很多的 很多都是从小接触编程也赢过很多国家级比赛 另外信息院老师 我碰到的人都非常好 客观说北林计算机肯定和清华啊那些比不了 但是既然你选了北林自然是去不了那些地方.. 个人认为还是看自己 只要你不放弃自己北林的平台根本不算低 另外北林的学风是真的好 还是有助于自我约束的 以上
从北京林业大学毕业，走入社会工作后，你会发现你的母校给你带来些什么？,母校给我带来的.我想应该有两方面吧.  一是北林的校名校誉对自己工作和学习中带来的助益和压力. 当年刚回到基层的时候，领导逢人介绍便说"这是我们新考来的XXX，北!京!林业大学毕业的哦!"..在省厅的时候，领导跟人提及到也会说"这是我们处的XXX，北京林业大学的研究生哦".每次听到这样的介绍，自然都是三根黑线又不得不陪着笑脸.想来对于基层而言，能有一个正规科班出身，且是北林如此全国第一的林业高校出来的孩子确实不易也.于是乎大家对你第一印象大多不错，办事也客客气气，算是沾得母校厚面了. 当然，这是在基层，回到北京，我一小小北林便肯定不算得什么了.因为朋友TOP2，TOP10的确实很多，每每被他们开启嘲讽技能时，起先也会涨红着脸和他们争争我校虽小五脏俱全饭菜一流宿舍敞亮树木葱郁品种繁多学研酷炫博物馆屌炸天了.后来想想，当初高考也的确比他们少考了不少分，也确实没他们天资聪颖后天努力，作罢作罢，免得被人当做阿q，后来就一笑而过了之了.  二是北林的治学理念和学习氛围对自己带来的潜移默化影响. 我一直都觉得北林的治学理念还是很不错的，因为很多因素，接触过很多老老师和许多经常身在一线的老师(林学/水保/自然保护区)都被他们身上那一种独特的气质感染着，也许回到过基层的务林人也会有所同感:林业人身上都有一种朴实坚韧与世无争埋头苦干的精神，或许赚钱不多，但使命感荣誉感责任感都很强烈，同样也常有一种无奈的牢骚.这或许也是一种"山气"?这些务实的老师身上你可能看不到很多那些光鲜亮丽的外表，他们最发光的时候或许就是穿上胶鞋迷彩服带上草帽在野外的时候，那种在山间地头散发出来知识的味道，会让自己有一种傻乎乎的崇拜之情，而当自己偶尔能在工作中侃侃而谈对业务如数家珍的时候，也会觉得那种自豪的感觉真的很棒.真的会想要好好学习拼命工作能像那些老师一样成为大牛.
北京林业大学食堂是一直就这样吗，在板房里，前天去吃，我都惊呆了，网上说林大饭好吃，我被骗了？ ？,在板房里应该说的是一食吧（板房只是暂时的，即将拆掉搬进新楼），味道确实比不上呱呱莘园这些（像我这样很重视吃的人一学期去不了三次一食二食三食），可也还算可以了，个人认为比外卖好吃，况且两个素菜一两饭加起来不到三块钱的价格摆在那里。北林八个食堂几十个窗口上千道菜，并不能保证各个好吃啊。
河北人未来想定居南京，获得就业机会。本科是西南大学风景园林就读，研究生是报考东南大学还是北京林业学?,想留南京当然考东南
北京林业大学附近有比较好的学习瑜伽的地方吗？平时比较忙只能周末练习，不太喜欢健身房？,好像学校自己就有瑜伽课吧，在平时或周末的晚上，在看台那边上课
为什么北京林业大学录分很高，排名却这么低？,分高是因为在北京，排名差的原因可多了去了
河海大学常州校区和北京林业大学哪个好？,选北京的
怎样看待北京林业大学与清华大学的地铁之争？,清华的  黄滕宇   同学写一篇非常棒的日志，详细阐述了前因后果，有理有据。 地址如下：  M13/15换乘站“清华东”站名由来及其合理之处     我把他的四个核心论点摘录一下：   （一）根据命名原则，“清华东路站”不合理；    （二）该站站位，特别是出入口，距离清华比林大更近；    （三）市政规划清华东路西延，清华开放新东门与该站对接；    （四）根据命名原则，“林业大学站”不合理。    我简述一下：  1. 地铁命名是有相关的管理办法的，叫做“《北京市地名规划编制导则》”，提出了“一般不以人名、企事业单位名称作地名” ，所以清华东路站、林业大学站都是不合理的。“ 清华东 ”是一个合理的命名，因为这一带的地方叫做“清华园”，清华园作为地名在此已经超过300年的历史，远长于清华大学的历史，至今仍为清华园街道办事处，清华园不是清华大学，而是一个地带。   2. 地铁虽然看起来离清华远，但是 地铁口 在清华门口。虽然不在现在的东门门口，但是清华按照规划清华会在地铁口新建一个门。   所以事实上：  1. 地铁离清华更近  2. 命名为”清华东“，而非清华大学等   最后，我再引用下他的一些思考   四、个人认为，这次站名之所以带来这么大的争议和困惑，可能是因为大家很少去关注真正的规划和建设方案，掺杂了太多感情因素，加上媒体和社交网站的误导和推波助澜导致的。 关于感情因素这里真心不便评论，但是广为传播的文章里面几个明显误区需要指出并纠正。   五、地铁站的命名与城市规划相关，是一个 严肃而且着眼长远的事情 ，根本就不是供大家 发泄感情、维护权益、争取资源的地方 。“多次搬迁、颠沛流离的校史”需要发泄感情谁都会有（要不清华提一提1952院系调整试试？），施工造成的影响应该去找施工方维护权益，校园面积减小应该去找相应部门争取土地资源，这一切都与地铁站命名毫无相关。所以，真正的关注点应该在规划和建设方案上。  六、关注方案的同时，应该知道去甄别哪些信息值得采信哪些不可信（比如，媒体报道、地铁运营方和设备方的“内部”消息、周边规划与涉及商业利益的群体，就是常见的三个不可轻易采信的信息源；反过来，规划公示及其修编、环评和施工方案等公示，才是值得采信的内容）。    欢迎大家查看原文 
在北京林业大学学计算机专业可行吗？,主要是看自己努力，自己没有动力，去哪儿都一样。
想考研北京林业大学风景园林专业，求学习经验？, 先说一下自己的成绩，初试366：政治76、英语二81、理论111、快题98，初试专业排名14。由于快题得了个出乎我意料的低分，导致总分大幅度下降，所以对于快题的惨痛教训，大家一定要好好吸取；其他三科均为高分，大家可以有所借鉴  本帖讲的较为详尽，但不会啰嗦、只说重点，毕竟每个考研人的时间都很宝贵。主要针对尤其针对考本专业的小白，及外校想考入本校。  （一）理论（园林基础）：这是让所有考专硕的同学最头疼的一科，所以我们先来解决这个问题。  包括四门（难度系数）：中国园林史（5星）、西方园林史（2星）、绿地规划（1星）、园林树木学+园林花卉学（1星）。  通过对历年真题的全面分析及与各科老师的交流，得出的结论是：抓大放小（复习方式）+本校老师课堂（考试重点）。园林史尤其不能陷入细节，本校老师上课提到的知识都是重要考点。没提到的东西很少出，出了分值也很小，所以完全可以放掉，绝对不影响得高分。如果在北林复习，强烈建议蹭低年组的课，老师的话真的太多干货！！！  复习技巧：老师课堂&amp;课件+手抄笔记+excel知识点整合+知识点提炼+挖空模拟+冲刺阶段4-5遍高强度背记  时间安排：第1遍读（1-6月）可参考老师课件及手中的复习资料，可以把书读的细一点，要做一份自己的笔记。在此说明大家真的需要一份非常靠谱的学长资料，在我复习阶段手中有5份往届资料，但我发现有一个通病，就是他们都会把一些根本不是考点的东西当做重点来记，应该是每届都把一些知识点当做重要考点，一届一届的流传下来，但其实这些知识点老师上课从来没提过！真的不重要！ 就是浪费时间！第2遍读（7-10）园林史通过时间、手法（曲水流觞、一池三山）等将全部知识点串联，我做了很多excel表格帮自己梳理，提炼重要知识点，绿规、植物都很简单，按章节将知识串联即可。提炼知识点，备战冲刺。第3遍读（11-12月）冲刺阶段，根据遗忘曲线将已经整理好的知识点背4遍以上。  1.中国园林史：  特点：头疼，分值高，书厚内容多逻辑性差。  复习要点：1.最早入手（本人大三寒假开始看）。  2.历史不好的同学推荐袁腾飞的《这个历史挺靠谱》，语句诙谐，读起来轻松，读下来之后会大致掌握整个中国古代历史脉络。  3.由于书厚又没有小标题，很容易失去耐心，可以从自己喜欢的朝代入手（我先看了宋代）。  4.线索性（一池三山..）、对比性为重点（某老师上课讲）。  5.这是最容易陷入细节的一科，第一遍读做笔记时候你会记下很多知识点这很正常，等你把书都刷完，参考手中的资料，你就会发现什么是重点，什么不是。  2.西方园林史：  特点：知识点非常整，容易上手。  复习要点：老师的课堂&amp;课件包括95%+的考点。按照这种套路，17考试中所有的西园考点都在我的掌握中。  3.绿规：  特点：知识脉络非常清晰，分值高，拿分利器！  复习要点：可以说老师的课堂&amp;课件包括100%的考点。所以重点是你能区好好听一次本校老师的课或者搞到一份靠谱的资料。  4.树木+花卉  特点：书厚，但是考点极少！只考总论。别怕！  复习要点：1.因为后面有一张植物规划的图，考点又非常少。这两年前面的理论都只考10分左右。找份靠谱资料就行了，课完全可以不去听。 2.不要冷落植规这张图，40分！很重要！能找老师看图就找老师看图！不能的找靠谱学姐学长去！我考前去找老师看图后发现你以为的真的和老师以为的不一样！   （二）快题98  作为本校本专业考研学生快题这个分数真的让我很崩溃，我从大三的寒假就开始准备快题了，所以这个分数真的大大出乎我的意料。血的教训一定要好好看！！本人园设不差，可在期末评图参与全专业大评图的level，但是快题分低的令人发指，所以1.园设好的人不要大意，快题考查的和园设考查的并不完全一样。 2.学着按北林的设计思路来。3.考试前早饭一定要好好吃啊，我考试起晚了，去晚了。单靠一罐红牛撑了6小时，交完卷已经耳鸣了…   （三）政治76  北京地区压分严重，所以政治70+就算高分了。很多人都说政治不拉分，最后1个月复习就行，我说NO！我有很多同学今年政治都只考40+、50+，分差可想而知。复习最迟要在暑假开始。第一轮复习（6-8月）看完所有内容，理清所有知识点。这一轮复习很重要，今年考题出了很多很冷僻的考点，我在最后冲刺阶段已经没有太多时间复习政治了，所以能做出来这些题全靠暑假时候扎实的复习所留存的记忆，选择题想要达到40+这轮复习很重要。第二轮（9-11）攻坚选择题，可以选择培训机构的选择题解题技巧班，我去的是某方的面授，亲测有效。冲刺（12）随着各种押题卷出来，疯狂背大题就好。强推肖四，本人考前只背了这个，据说小黄书也不错。   （四）英语二81  本人英语六级飘过水平，考前没背作文，全靠阅读只错1个撑起这个分。强推：1.单词：朱伟的恋恋有词，能多早看就多早看，能看几遍看几遍！红宝书啥的赶紧pass吧，根本背不进去。手机上下个扇贝单词，可利用零散时间复习 2.阅读：何凯文！！强推！没错！我就是kk的死忠粉、自来水。关注他的微信号“何凯文考研英语”，每天都会发一句话或者一道题，又有语音讲解和鸡汤。我买了他的十一时候出的五夜十篇，对阅读很有帮助。3.作文：虽然本人一个没背，但推荐王江涛，身边同学用了都说不错。时间安排：6月前都在背单词；6-8暑假期间做英语二的阅读真题，可留2-3套真题最后冲刺模拟；9-11可做英语一的阅读进行拔高训练，同时开始背作文。12背作文，冲刺模拟训练。血的教训作文一定要早一点开始背，至少要在11月开始，否则到最后就没时间了，只能像我一样去考场裸奔了。   考研的过程，注定孤独而艰辛，每个考研成功的人都有一个至少能感动自己的故事，所以别说你有多累。这个时候大可以喝鸡汤。推荐《垫底辣妹》，支撑我走过整个考研路，学不下去了就看一遍电影，每次看都会哭。里面的音乐也很燃。18的你们加油，我知道这段路有多少无助和彷徨，所以有需要资料和方法论的学弟学妹随时可戳我，徽信BELLIS629。我就是快题有靠谱惨痛教训！其他三科有靠谱资料、靠谱方法的靠谱本校本专业学姐！ 
山东大学威海分校与北京林业大学哪个好?,倘若不选风景园林，林学等北林王牌专业。 无疑是山东威海，毕竟毕业证书和本校一样，985学校啊
北京林业大学和中国地质大学哪个更好？,       本人就读于中国地质大学（武汉），推荐你来地大的理工科专业，就业良好，对于你的升学也会有帮助；校园环境尚可，武汉地区的生活水平和发展速度都是不错的。         北林不太了解。
在北京林业大学上学是一种怎样的体验？,学校wifi叫“Bjfu-Wifi”，爱称“表姐夫”，从此以后，不能直视表姐的丈夫。
求问这位北京林业大学的小哥哥叫什么名字？,  宇师傅在飞机上笑出了声
跨考北京林业大学的心理学研究生？,北京林业大学的心理学招生人数较少，对于一个跨专业的考生难度会大一些。首师大的心理学不错，但是这个院校的名气可能不及其他的北京院校了。心理咨询方向的话，不知道你是想之后从事什么职业，做咨询师还是往上研究呢？
江苏理科 比本一线高6分 有希望报考北京林业大学的哪些专业 除材料专业外！急?,你好，谢谢你的邀请。我的昵称叫北林，但我是北化的，北京化工。对北林不是很了解～但我有个疑问，是我看到的有点晚了么？现在已经1 0月份了，是不是已经完成招生了？！抱歉～
北京林业大学和大连海事大学学计算机那个好一些？,大连海事吧，毕竟理工科院校，而且大连海事有计算机的博士点和博士后流动站，该专业有一名共享院士，和一名长江学者教授，实力强劲，生源也不错。
北京林业大学车辆工程大二学生，如何规划未来合适。?,我是你学长，靠自己了。
如何看待北京林业大学里的心理学？,挺有特色的，人文色彩比较浓厚，侧重于咨询，比如催眠治疗、意向对话等课别的学校是没有的，基础研究方面弱一点，毕竟是应用心理学不是基础心理学。建系才十多年，正在不断发展壮大。希望北林心理系越来越好吧～  【2016.1.9】 　　近一年过去了，成为一名大二学生。所以再次编辑这个答案。 　　北林心理系特色鲜明。因为建系晚，第一位老师是朱建军，最初的定位是 心理咨询 ，后来又细化到 表达性心理治疗 ，因此咨询方面的实力很强。特色主要体现在专业选修课上，比如意向对话心理治疗，催眠心理治疗，表达性心理治疗（分4个学期，包括沙盘游戏，绘画测验，叙事疗法，还有一个应该是訾老师的我不清楚，还没有上过这些课，欢迎补充～）当然还有方刚老师的性与性别心理学。 　　北林心理系建系晚，无法在基础研究上追赶心理学老牌的学校，所以另辟蹊径走的是特色路线，系里的老师大都很有独特的个性和人格魅力，风格迥异，而且基本都有丰富的咨询经验。由于咨询经验丰富，所以人本主义色彩浓厚，对学生也很好很亲切。 　　另外，我觉得我自己在这里学习的一年多来，尽管学习的只是一些基础知识，但是最大的收获还是对自己的了解和接纳，因为心理学的学习本身就是 自我心灵成长的过程 。  　　然后附上一年前（大一时）我给北林心理系写的招生宣传文章，可以在北京林业大学本科招生网心理学专业介绍以及北林人文学院官网2016心理学招生专题中找到它。  北京林业大学招生网→学院专业     北京林业大学人文社会科学学院   （心理系本科招生专题） 北京林业大学人文社会科学学院   （在读本科生感想） 　　也欢迎浏览这两个网站（尤其是人文学院的网站），你可以找到更多其他本科生以及毕业生的感悟，甚至我们的课余活动，讲座，志愿服务，常见问题解答，师资，还有一系列毕业生的数据等等等等。 　　下面这篇文章是大一时写的，所以不能代表我当下对北林心理系的体悟，仅供参考。     在你的心里种一棵树    　　我是一个喜欢树的人，这使我对北林这样的学校有着与生俱来的向往。当我在浏览北林网站的时候，我几乎无法把北林与心理学联系在一起。但我还是来了，不知道是为了北林的树，还是为了北林的心理学。 　　我与心理学的邂逅，大约从很小的时候就开始了。那并不是多么惊艳的故事，因为心理学就在我们身边，在一切有人出没的地方。心理学写在我的书本里，挂在老师的嘴巴上，也喜欢在电视广播报纸之中频频闪现。学长学姐回访母校的时候，总用艾宾浩斯的遗忘曲线教导我们如何高效学习；《走近科学》节目的结尾，常有答案“心理暗示”一词来一语中的。当我们认识自我，当我们与人交往，当我们解决问题，当我们回忆往事，当我们畅想未来……我们总在与心理学打着不可回避的交道。 　　当我终于叩开了北林心理系的大门，我也同时开启了一场奇妙的探索之旅。我仍记得在第一节专业课上，老师让我们写下自己心目中的心理学。于是，“神奇”、“神秘”、“精神”、“神经”……一串带有“神”字的词语在我们的作业纸上纷至沓来。在我们这些初学者的心中，心理学就是这样一门充满神韵的科学。它有着物理、化学与生物一般的理性，也贯穿了文学、哲学所拥有的灵气。在课堂上，我们学习自然科学，争论社会热点，交流文学艺术，甚至探讨历史地理与宗教。老师说过，我们研究人，有人的地方就有心理学。心理学如此年轻，因而活力无限。 　　心理学是什么？心理学专业的人是做什么的？这是我经常问自己的问题，也是我在这四年里都必须探索的问题。在日复一日的探寻中，我渐渐揭开了心理学的“神秘面纱”，问题的答案也随之日渐明晰。我发现原来大众对这门如空气般无处不在的学科有着如此之多的误解，以至于它常饱受诬赖，被张冠李戴，伤痕累累；原来并不是有心理问题的人才需要做心理咨询，心理咨询还能满足人们职业规划、潜能评估、压力调节、个人成长等各种各样的需求；原来心理学专业的人并不都是心理咨询师，在各行各业中都有着他们兢兢业业的身影……我也终于明白心理学不是万能的，它自有它的局限之处。不过我一点不失望，因为我已然被其更深远的魅力所折服。 　　心理学宽广博大而又深远，海纳百川，兼收并蓄。科学精神与人文情怀在这里碰撞，交融。因此不同性格，不同背景，不同阅历的人都能在心理学的瀚海中找到适合自己的研究方法与咨询方式，在心理学这片年轻的沃土里生根发芽，成长为枝繁叶茂的参天大树。心理学的包容，大概就是它能让形形色色的人们都为之着迷的原因吧。 　　我不敢说我对心理学有多么强烈无比的热爱，但是我从不后悔来到这里。在这窗明几净的教室里，孕育过我们理性而缜密的思考，也荡漾着我们纷飞的幻想。我们可以在空明敞亮的阳光房里敞开心扉，碰撞思维的火花，在咨询室里柔软的沙发上释放幽暗的潜意识，倾吐内心深处的愿望。当然，北林心理系教给我们的，不仅仅是包罗万象的心理学知识，她也教会我们对自我的探索与接纳，对人生的思考，对世界的包容。我们在这里收获的个人成长，以及为人处世、待人接物的方法，将会使我们受益终生。 　　北林心理系的新生见面会上，老师们并没有单独坐成一排，而是分散错落地坐在同学们中间。这是我第一次融入到这样自由开放平等的环境里，第一次认识这里个性迥异而又魅力无穷的老师，第一次被这里亲切温馨而祥和自如的氛围所感染。北林心理系的平易近人，还有那从骨子里迸发的无限灵感与创造力，就这样在我面前缓缓舒展开来。 　　还记得当初我选择北林心理的时候，妈妈开玩笑似的对我说：“你是要给树去做心理咨询吗？” 　　后来我的室友给出了一个很有诗意的答案。 　　“不，我们不是给树做心理咨询的。”她说。 　　“我们在人的心里种树。” 　　是啊，我们何尝不是在人的心里种树呢？我们为来访者的心灵之树修枝剪叶、悉心浇灌，帮助他们心中的树苗走过风雨飘摇，奔往梦想花开的彼岸。 　　在你心里种一棵树，见证那心中的大树在我们的倾心付出下枝繁叶茂，恰是我们最美好的愿望。 　　今天我来了，为了北林的心理学，也为了北林的树。 　　因为北林的心理系正是一棵茁壮成长的树——我们梦想花开之日，正是她大放异彩之时。
北京林业大学报考园林专业可以转风景园林专业吗？,听课是没有问题的…
我想了解一下北京林业大学的环境工程这个专业里的水环境污染控制与生态修复技术这个专业怎么样啊，就业情况？,谢邀…不过本科没听过这么具体的专业，研究生方向不太熟悉，不好意思啊
怎样填写北京林业大学学生证？,妹子你没有室友同学学长学姐和老师吗
我是北京林业大学的新生，带了mac，连不上bjfu无线，登录页面都出现不了。不懂电脑网络，怎么解决？,大表姐夫只能多等会儿，看到WiFi图标变“实”后，打开Safari，然后输个百度的网址等跳转就行。大表姐夫用Mac确实不好连，只能等。小表姐夫只要连一次，以后就好连了。
