太原理工大学和哈尔滨工程大学哪个文科专业好？,为什么要去工科屌丝学校读文科？
哈尔滨商业大学和黑龙江科技大学的软件工程哪个好点？,合并黑科技和哈商大可好？正好一个理工一个经管优势互补，两个学校还都是哈尔滨唯二的两所不与其他学校挨在一起都比较孤零零的屹立在松花江北岸。两个学校隔得也不算太远，合并了也可以分两个校区，大剧院正好在中间。
南通大学、山东建筑大学、山东理工大学和哈尔滨理工大学哪个的土木工程要好点？, 哈理工是传销金曲《我相信》的万恶之源，MBA考试花式作弊被央视卧底曝光，原党委书记被双开，6.2杀人案爆发地，人人得而诛之，第一个排除  山东理工大学，虽然被当地人誉为“淄博小清华”，但是全国影响力有限，第二个排除  南通位于全国经济龙头（以北），区位优势巨大，又是著名建筑之乡，虽然最近校长被实名举报组建“造假黑窝”人才队伍，但是与建筑老牌强校山东建筑惺惺相惜不相伯仲（虽然最近涉及辱毛风波），建议从这两所中投硬币挑选一所。 
哈尔滨工程大学核学院在其他学院同学们的心中是怎样的印象？,大二转系之前是 二系。 印象?  核学院: 一群烧开水的，学校里比较好的专业。然后就没有了。 咱们学校十几个系。核学院只是十几分之一。很多人没有闲功夫产生印象。             (◔⊖◔)
哈尔滨商业大学的热能与动力工程专业怎么样？听说就也很好？？,本人14年毕业，热能动力工程 懵男一只 ，学校的专业课优势仍然是制冷空调和冷库工艺设计。今年毕业生签：格力的10个，烟台冰轮（国内制冷设备最大生产制造商，国企）20个左右，海尔3个，美的3个，还有麦克维尔，顿汉布什等等，考研保研8个，女生签中机西南能源公司（也是国企）搞设计的比较多一共10个左右吧开始到商大觉得热能不会太好，因为是在财经类院校里，觉得没地位。但是越临近毕业越觉得好。因为是商大最好就业的专业，很多同学都是让人介绍过来学这个专业的，但是14年改名为能源与动力，而且黑龙江省升为一表了。学的内容比机械的能简单，之前有学长和我说是黑龙江最好的二表，我还不信，毕业的时候我信了。热能的老师都非常强大，即使因为考研没签上工作，考研结束之后和老师好好唠唠，老师都会尽力给推荐。如果上不了热能，学建筑环境与设备（二表）也可以，因为学习内容基本一致，除了最后的专业课热能的为冷库，建环的搞锅炉以外，其他的空调，基础课基本相同。个人感觉，如果真的好好学习，热能绝对是一门实在的工程技术，相比某些管理类学科，财经类学科，大学四年就是背，背完就忘。如果你是一个上进的学生，好好做课程设计，毕业设计，对你的帮助很大。
哈尔滨工程大学金融学中澳2+2 项目怎么样？,个人觉得这个很不靠谱，学校要创收
湖南农业大学和哈尔滨理工大学土木工程专业怎么选？或者有其它一本边缘的学校也可以推荐？下多谢了？,都不推荐，典型的包工头专业。
2017年黑龙江高考408，名次46748，可以去齐齐哈尔大学，黑龙江工程学院，我应该留在哈尔滨么？,我是齐大的，不了解黑工程。 可能是因为我喜欢东北所以我还是挺喜欢齐大，像我理想中的大学一样，可以混日子也可以好好学习，全看自己吧。 &lt;(。_。)&gt;齐大下学期要教学评估，所以会有点严要做好心理准备，不过评估好了学校等级就要提升了哟(◦˙▽˙◦)
就如何评价武汉理工大学与哈尔滨工程大学问题的补充。？,之前有看到哈工程的同学专门回答了他们学校的情况，特此回答武理工的情况。首先可以肯定的是两所都是非常不错的大学。哈工程主攻海洋方面，三海一核方面非常强，尤其在船舶领域实力非常强。武汉理工大学则立足于材料，交通，汽车三大行业，其中车辆工程，材料以及船舶与海洋工程是学校的三大王牌专业。其中个人觉得如果想学船舶方面不考虑地域因素的话应该首选哈工程，因为整个学校的学科都是偏船舶方面，在业内认可度高一些。但是如果想学车辆，材料，那应当首选武理工。在校园内到处可见印有理工动力的校车，车辆工程在全国排名也是非常不错的。还有材料，有两个国家重点实验室。还有之前看到有不少人攻击武理工只搞建材，诋毁武理，在此更正一下武理还有材料复合新技术国家重点实验室。这应该属于高新技术了吧。并且C919大飞机中有不少材料的研制出自武理，可以百度。还有光纤传感技术国家工程实验室。这也属于高新技术吧。附下武理的实验室。    而且武理的硬件配置也是非常不错的，10年后陆续建成的南湖校区体育场，记得武汉市的运动会就在武理工举办过。          武汉理工大学南湖校区新图书馆，设备齐全。             前段时间理工人疯狂流传的网红食堂，注意这是南湖校区食堂哦，你去了别的校区别说学长骗人哦 。                  还有网上有时会看到哈工程的同学说武汉理工大学是什么三所学校合并的巨无霸，学科精度低，不是56所研究生院校之类的。是，这我们承认，不过在此更正一下我们是本科招生人数巨大，每年招收8000至9000人，是哈工程招生人数的2至3倍。但是在招生人数如此大的情况下我们录取的最低分数在全国绝大多数省份下不低于哈工程的最低录取分，可以百度最近五年两校在各省录取分数线。保证了录取生源的质量。在这里声明一下两所学校都是非常不错的大学，各有各的强项。武汉理工大学是一所发展迅速的学校，期待大家的到来共筑理工未来。附17年各高校各省录取最低分。  
我想考哈尔滨工程大学管理科学与工程专业研究生，但不知道具体考哪些科目，求大神学长给点建议？,谢邀。过会儿来答. ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 先上两张图：这里包括初试科目复试科目还有初试的专业课重点。   题主说所说的运筹学是复试的笔试考试科目，参考教材是哈尔滨工业大学胡运权的书，如果你没接触过运筹学那你复试的时候选择管理信息系统也可以。初试考完了以后大概三个月时间，学习也来得及。 我是调剂过来的，我初试就是运筹学，复试再选择考运筹学所有没什么压力。今年管院报考的进入复试的也就是一志愿都没有淘汰，调剂只淘汰一人，我预计明年也是这样哈哈哈哈哈哈哈哈，我预计的你不要太相信！！ 一志愿对本科学校无要求，但是调剂是要求本科学校的。 初试的专业课科目管理学考纲给的很详细，按照这个应该没什么问题，但是要背6遍左右，我所有考管理学的同学考上的都是在这个遍数左右。 数学三知识点不多的，一定要多多练习，英语就背单词多刷几遍真题。政治是在理解的基础上背背背。 大概就酱，如果你17年考那你可真得抓紧了，时间不多了，加油加油，有问题评论，哈尔滨工程大学欢迎你。
本人女生，想念哈尔滨工业大学电气工程及其自动化专业，专业课真的难到变态吗？就业真的受歧视吗？,我江苏考生，理科370A+A，在填志愿，主要是考虑到就业想选这个专业，家里人说将来国网招考过了以后就可以进国企待遇啥的都不错工作也清闲。。然而网上了解了一下很多人说专业课很难不适合女生读，还有说这个专业的就业女生会受歧视。。是真的吗？求解！
听说哈尔滨工程大学（注意不是哈尔滨工业大学）又好又好考，年年没人报，招还招不满，真的假的？,哈工程常年收哈工大调剂生，考研的。
哈尔滨工程大学的通信和杭州电子科技大学的通信哪个强？,都不好，去过杭电某通信实验室，学生桌子上放着java的书。
哈尔滨工程大学水声工程专业好吗？,何来全国第一之说？中科院声学所，西工大航海学院呢？
本人18年考研，想考哈尔滨工业大学的机械电子工程，不知该专业硕士毕业后发展如何？好的就业单位有哪些？,应该哈工大的机械研究所就业形势还是很乐观的。传统的军工强校，进车企和军工类研究所都很有优势。
在哈尔滨工程大学有女朋友是怎样的一种体验？,没人回答，说明哈工程没有人有女朋友，哈哈哈
如何对比评价哈尔滨工程大学辩手杨森，李凯，潘树杰，师景桐？,        刚出澡堂就看到学妹分享的链接，打开一看被那句中二的“四大天王”雷的外焦里嫩            分析一波题主的用意         第一种可能是来引战的，题主试图挑起一七八十一四个系的矛盾。如果是这样，在题主眼里系与系之间的关系未免太脆弱了一点。         第二种可能是来封神的，题中的“对比”两个字让我觉得这种可能性比较大。如果题主是想给某一个人封神，不管题主你想要给谁封神，这不是一条知乎问题可以达到的，更不是捧一个踩剩下几个可以达到的。如果题主想给我们四个一起封神，谢谢你的好意。我们这几个人，至少我，的水平离一个成功的辩手都还有很长的一段路要走。         第三种可能，题主真的只是觉得我们几个人打的还可以，想要知道谁比较强。如果是这样，希望题主可以把题中的“四大天王”这种词删掉，14级的好辩手有很多，我们几个也输过不止一场比赛了，完全代表不了整个14级的最高水平。          哈工程辩论圈一直是比较和谐友善，也比较低调内向的，贴吧微博甚至是超级课程表的下课聊都很少出现过议论哈工程辩论圈的声音。不过从上学期开始，知乎这个平台出现了与哈工程辩论相关的问题，一开始我并不反感，反倒有一种被关注的窃喜的感觉，但是从李学长到平学姐，再到我们几个小辈，事情愈演愈烈，即使造不成什么影响也让当事人略感心烦。         我个人不太喜欢这种在公开场合被人指手画脚的感觉，我相信剩下的几个人也不会感到enjoy，所以还是希望题主能够努力提高自己的辩论水平，为自己的院系甚至哈工程的辩论增光添彩。          最后，认真的回答一下问题，杨森最菜 
