厦门大学好考吗，你们是怎么考上呢？,不难考，当年的保底学校，然而我研究僧还是过来了。厦大是个好学校！
厦门大学有多难考？,你得有考清北的梦想，付出与之对应的努力，高考考砸，就可以来厦大了。 还别说，身边好多学神都是这样来厦大的。 利益相关: 厦大经院本科
武汉大学和厦门大学我该如何抉择？, 为什么要邀请来自三本的我回答这个问题。。。  我只能回答，如果学工科，特别是计算机，那一定来华科。  然后那些说高分选学校的都是骗人的，以我和周围的同学的过来人的经验来看，选专业还是非常重要的。并且，千万仅凭高中时期对这个专业的理解去选，你会发现这个专业最后和自己的想象简直南辕北辙，就像我高中参加竞赛的同学，最后也没有几个留在了自己学的理科专业，甚至有生物金奖去清华的从致力于生物研究的志向到最后转了专业。  提前去学院的官网了解下培养计划，看一看自己感兴趣的专业四年要学什么，导师都在做什么项目，这会不会是自己感兴趣的，这个学校的学长学姐能问到高年级的最好问高年级的，他们对这个专业的发展前景会比低年级的学长学姐靠谱，至少应该不会瞎忽悠瞎吹捧。然后，出国，读研，就业，这也是需要有所考虑的，除非你很确定自己能成为这个行业的大牛，在哪个行业都能发光，否则，搭上时代的顺风车，付出相同的努力，有一定可能有更大的收获。  然后武大物理or厦大经济，这最多是个95和90分之间的选择，都是不错的，不用过分纠结。最后，祝你能录取理想的学校和专业。 
厦门大学的毕业生在上海就业现状及前景如何？,Tie1，哈佛耶鲁MIT等吊炸天 Tie2，北大清华等全国名校 Tie3，复旦交大既在本地影响力大，又在全国说的上话。 Tie，3.5 厦大？在当地比较好，全国也有些名声，但很少归类为全国名校 Tie 4 华理、华政等 本地一本 Tie 5 二、三本专职院校    -------------------------------------------------------------------———————————————————— 哈哈哈，其实上面都是假的。  首先，一般上海企业还是喜欢招本地院校的，因为文化气质什么的更符合，特别是企业内部本地人多的时候。所以某些时候，复旦交大比北大清华可能更受欢迎。 其次，专业对口，在某些领域还是很有用的，上述的北大清华复旦交大，在面临工科、商科、理科不同专业要人的情况，首选不言自明吧。同时，像同济的建筑相关专业也是全国领先，诸如此类情况不少。 反过来，很多工作，其实和专业没啥关系，考验的还是这个人如何处理事情，如何思考，这时候就牵扯到题主个人水准，以及如何在简历及面试中反应能力的问题了，不做展开。  最后，厦大肯定算过得去的学校，但是在上海这样竞争激烈的地方，你不最TOP的那几个学校，那么其他学校都差不多啦，不要过分纠结，题主加油。
一个大专生考到厦门大学会不会很遥不可及？,首先，谢邀。（刚才在忙看到手机提示来占个位置）    我一心想改变我的学历，不相信我就真的拿不到高文凭，我也不想再受找工作时单位对大专生的歧视了。 我很高兴答主能有这个想法，为你点个赞。我们年纪还小小的要是就那么甘于平凡，安于现状，其实我觉得挺无趣的。   我还很异想天开的想升本之后考厦门大学的高等教育的研究生。 但是我不知道能不能做到，心里一直打鼓。 没有什么信心，很怕失败。因为家里快负担不起了，不想那么自私。（姊妹三个，我是老大。） 看到答主也有妹妹，我就特别想多说两句，因为我也有一个妹妹，小时候我就想谁也不许欺负我家花花，现在我就想要让我家花花特别自豪有我这么一个哥哥。希望你的妹妹们也能成为你这个欧尼的信念。  然后再说你的梦想，很多梦想都是异想天开的，人们想飞上天就发明了飞机，人们又突然不甘于只在天空中，于是加加林叔叔就成了太空第一人。说一下我和我妹妹的吧，我刚刚专升本完，现在在一个国内top120左右的普通一本学校吧，我妹妹在日本留学大一，我俩的目标说起来要比你这个更异想天开的多，我想申请一下UCB的研究生，我妹妹想申请东京大学的，说出来挺吓人的吧，想要进入UCB，首先我这个学校估计要90左右的学分，TOEFL100+，还需要一个很NB的强推，东大基本也差不多吧。反正都挺难的，不过梦想总要有的，万一实现了呢~我原来专升本的时候只是想找个二本，最后一咬牙“去他的，我就考这个一本了”我这个一本在辽宁省专升本里面属于最好的学校了，没有之一。最后我还是成功了，所以我想说，要相信人的精神力量是非常强大的，当你的信念足够强，强到让你自己可以不惜一切去完成自己的那个梦想，你大概就快成功了。就算不成功自己也不后悔嘛~     但是我特别想知道我应该怎样做，才能让自己更有底气一些？我真的很想走出去。 成功的案例很多，失败的也很多，你若不愿做那个失败者，自己就要付出那份成功者的努力出来。每条路都很难，这条路上没有捷径，脚踏实地，一步一步走出去就可以了。    因为不想再提起自己过去，所以可耻的匿了，如果答主需要和我私信聊聊心声，可以要我主动私信你。我说的不一定对，但是我很乐意和大家互相分享自己内心不愿意和现实生活朋友们提起的事。   祝你成功。
厦门大学传播学值得考么？,谢邀，不过我不是学传媒的啊，我现在汉语言文学本科在读，辅修广告学。  辅修得时候也修过传播学还有大众传媒这种课，嗯是偏理论方向的，个人觉得还是水分很大的，都是一些听了就容易忘记的理论知识，乍一看很高大上很专业，其实很空洞。总的来说我觉得这种东西还是需要实战经验的，自己做个公众号或者拍个视频，做个晚会宣传之类的。比上这种无聊的课有用多了。  不过传播学本来就是理论为主啊。。。这也没办法，除非碰上负责人的好老师，会经常布置一些有意义的作业，不然就是照着PPT 念而已。倒不是说厦大不好，就是国内普遍都这样。所以想走传媒的路子还是自己多去拍片子，多去外面接点活，做点实在的东西，比在学校里面干巴巴听课有用多了。
厦门大学中外合作办学值不值得上？,非厦大学生，不过能报中外合作的说明题主应该家境不错
如何看待厦门大学周运中助理教授认为，所有学者都反对顾颉刚，并且痛批魏根深《中国历史研究手册》？, 刘宗迪，教授，山东即墨人，1963年9月生。   山东大学儒学高等研究院     [学习和工作经历]  1979年9月—1983年7月，就读于南京大学气象系大气物理专业，获理学学士学位；1988年9月—1991年7月，就读于四川师范大学中文系文艺学专业，师从高尔泰、苏恒先生，获文学硕士学位；1998年9月—2001年7月，就读于北京师范大学中文系民俗学专业，师从钟敬文先生，获法学博士学位；2001年7月—2003年7月，任职于首都师范大学文学院博士后流动站；2003年7月—2010年9月，任职于中国社会科学院民族文学研究所，翌年被聘为副研究员；2010年9月被聘为山东大学文史哲研究院齐鲁青年学者，担任民俗学研究所教授、博士生导师。   [刘宗迪]顾颉刚：消解历史学     上个世纪初的北京城，有许多戏园子，那是文人墨客和走卒贩夫消遣找乐的共同去处，北京大学学生顾颉刚也经常混迹其中。戏园子中大多数看客自然只是看看热闹，而顾颉刚却看出了门道：从戏文故事中的粉墨春秋看出了高章典册中笔墨春秋的戏剧性和故事性，年轻的历史学家悟到，那些看上去郑重其事的古史记载，实际上也跟戏文故事一样，并非历史的实录，而是在一定的是非好恶观念和叙事模式的左右下长期流传、敷衍的产物，古史，首先是故事。正是戏台下的这灵机一动，启发了顾颉刚“用故事的眼光研究历史”的学术洞见，并由此陶炼出“层累说”的历史方法论。“用故事的眼光研究古史”，不是承自什么宗师高手的真传秘授，只是从游戏场中偶然得之的小道末技，却一出手就点中了中国传统史学的“死穴”，而震撼整个中国现代学术史的“古史辩”学派也就缘此异军突起、横空出世。   “用故事的眼光研究古史”，对中国现代史学的意义几乎可以与“用白话写文章”对中国现代文学的意义相提并论，顾颉刚先生为中山大学历史语言研究所刊物《民俗》写的发刊词和陈独秀的《文学革命论》在反传统的旨趣上可谓异曲同工。正是凭借这种眼光，传统的史官史学或正统史学的魔障才被彻底揭穿，中国史学才走出王道历史的狭小天地，走向风光无限的民间历史：原先被视为神圣不可侵犯的古圣先王被赶下神坛，隐没于阴影中作为陪衬的野人俗众被推倒历史图景的前景：原先被深信无疑的圣书经典遭到了前所未有的怀疑和诘问，落于传统史学视野之外的野史村俗却被当成活生生的史料。正如粗野朴陋的白话进入写作导致中国新文学的产生，荒僻不经的民俗进入学术的视野则导致了中国新史学的产生。     但不管顾颉刚先生的“层累说”中存在怎样的问题，这一切都无损其在中国现代史学上的缔造者地位，恰恰相反，其学说所引发和蕴涵的种种问题，适足证明顾氏之学是无法回避和“走出”的，因为证明一个学者思想深度和学术力量的，主要并不在于他解决了多少问题，而是在于他提出了多少前人不曾想到无法提出的问题，正是这些问题，引导着学术的生长和思想的进步。  
厦门大学嘉庚学院适合一本考生吗？,河南考生   一本484   考了509  过线25分 我也想去嘉庚   太喜欢厦门了
想考研厦门大学的计算数学研究生？,谢邀。本人是厦大计算数学系本科生。先声明不是自卖自夸啊，厦大的计算数学专业是可以排到全国前五名的。主要是这方面的师资力量比较好。比如许传炬教授，是做分数阶微分方程的权威；邱建贤教授是国内做CFD方向比较好的老师。还有杜魁等，都是很不错的老师。另外至于难不难考，由于本人是本科生，所以不是很了解。。。。大概就是这样
厦门大学附近有没有推荐的住宿 便宜是在那种？,民宿青旅有很多，主要集中在学生公寓曾厝垵，芙蓉隧道进入通常不难。不过设施参差不齐，我也不做广告，还是自行百度靠谱，点进去看看点评者的点评记录，谨防水军!
厦门大学转专业怎么转？求学长学姐慷慨解疑？,经院不能转，管院部分专业不能转，其余均可自由转入，前提是大一下期末的转专业考试要通过。如果你是正在填志愿的学生的话，我建议最好先考虑好，转专业后大二还要把别人大一学的东西补回来。
有厦门大学教育学博士不啦？,泻药，经济学院和管理学院都很公平，主要是采用申请考核制。内定肯定会有，提前问问博导有没有名额就知道了，记得提前联系导师  门槛因老师的不同而不同。反正硕士期间努力发SCI 就对啦
天津二本院校学生一枚，想考厦门大学研究生，望大神指点一二！？,先把要准备的准备好，好好复习，先挺过初试再说，别考虑复试的问题。 985的高校说不难肯定是假的，你本科二本还是211、985来的，就像我导师说的，问几个问题就区别出来了，老师们不关心你是哪里来的，但是如果没一点闪光点，老师是不会喜欢
厦门大学研究生保研和考研的名额分别有多少?,亲，厦大每个专业的保研人数都不一样的啊，你可以看招生人数和推免人数啊，有数据可查的，比如今年生科院的推免人数就100多号人，好几个专业都是这个数了。那个什么聚英厦大考研网就有这些数据，建议自行对比吧，我知道的就那么多了，
如何看待华侨大学厦门校区欺骗性四改六行为。？,好好学习多去图书馆吧 我也是新生 因为你们专业搬来要改宿舍我们专业也包括在内 就很不开心 但是后来想了想没啥 重在学习 结果前两天又说我们还是四人间 我。。。嗯  但是没必要劝你的学弟学妹别来 因为下一届会好点的 这个学校在厦门并没有完全完工 很多地方都在修建 你不能因为第一年这样就这么失望 慢慢来以后会好的 反正我希望也认为这个学校会变得更好
求问厦门大学管理学院研究生的培养情况or就业情况？,图片里提的是16年，实际是15年的就业情况 大概看看吧 
如果再给一次机会，选择中山大学还是厦门大学？,习惯性匿名回答。 大概知道题主为什么提这个问题，因为一年前的我也有如此迷茫。  新一届高考成绩出炉之后，我特地找了学弟问了问心仪院系——中山大学中文系的分数。 只要我当年报上，如今便是在广州徜徉文学世界的人了。 虽然不出所料，但得知此事的时候我还是有些恍惚的。 中山大学中文系与厦门大学某某系在全国教育部的排名差距不是一星半点；中文系确然是我心底里最深的梦想；中山大学的学科综合性摆明了比厦门大学强。这三个理由足以让我后悔很久。 但即使带着这个消息回到过去，我还是会选择厦门大学的。  首先你要问问自己当初为什么选择厦门大学而不选择中山大学。我想那绝不是一时兴起。  当初我考上潮州金山实验学校而因为家人反对没去。 当初我有去潮阳实验学校读书的筹码但被拦住。 高一前几次大考成绩还算显眼，想趁机转学，但最终还是以被冷嘲热讽作罢。 “你连在这个学校都当不了第一，你凭什么想离开这里？”  同样地，在我高考发挥失常（数学题最后两道大题28分几乎完全没写）之后，我所要做的决定全都被否定。 “你连C9都考不上，凭什么觉得自己有本事在那边混出个成绩后再回来？”  我只能报以微笑……然后做出我二十年来最大的一次反抗，虽然没有成功，至少各自让步。  他们说的也没什么不对。我就两个字：不服。  在自由面前，所谓的宿舍条件，社交环境，学术排名，统统都得让一边去。 当时的我唯一的想法就是，走出去，然后再想办法。我亲手洗好的牌子我自己打下去，怎么赢怎么输我都会爽。  大一进来的时候，相比同学们我入门极晚，也没有任何规划，过得不可不谓艰辛。 从高考失败到报读坎坷再到入学茫然，自杀的念头在我脑边盘旋许久。 也有很多个夜里，我扭曲着脸咬着牙流着泪发誓要永远恨那些为了自己的私心或者出于自己的愚蠢而拦住我去路的人，这种情绪到现在都无法很好克制。  但三个月内我就联系了两位保研的学姐，然后确定了争取保研的路子，从此一门心思读下去。 跟本专业相处久了，也有了感情。 辅修了一个文学学位，感觉虽然辛苦，但学得到东西。  如果我当初顺着大家的想法进入了中山大学，你好我好大家好，其乐融融，也许也不是坏事。 但是，如果在中山大学我活得不开心，那么所有指引我的人都有罪。 而我现在虽然活得挺辛苦，但是一想到有未来还有自由，全身便充满了干劲。  我的选择，跟我是不是潮汕人无关，跟中山大学和厦门大学到底哪家强无关，跟最美大学无关，跟文青情怀无关，跟厦门大学的游客无关，跟厦门大学的潜规则无关，跟地理跟文化跟人缘跟家乡统统无关。 （靠，我偏题了……） 我的唯一选择，只有自由。听起来中二，但是这就是我与厦门大学的缘。  选择厦门大学的原因大抵如此。她不是最优解，但却是最适合我当时情况的最终答案。 幸好，她虽然名气大得有些负面，但该有的底蕴一个不少。我蛮喜欢她，也喜欢在这里的宁静生活。 早晨在落花遍地的路上咬着一个热气腾腾的大馒头，肥鸟在路边草丛上蹦跶，偶尔跳出来几个松鼠。六点五十分，保洁阿姨早就收工回家，群贤楼群似醒非醒。打开课本哈着热气自习，冷，爽。 这就是去年冬天的我。 今年有点偷懒了，但决定重新捡起好习惯。  不小心说多了……  那么，你回想起了当初决心要报厦门大学而避开中山大学的原因了吗？  最后送一段话，出自知乎，具体不详。若有告知，我将找到作者感谢。 这是我长达一年的茫然中，最强的一颗定心丸。   「偏安一隅，有时候，是很危险的一件事。倘若内心清楚这是一个修炼内功的绝好机会，且能贯彻执行，有朝一日出去竞争，也就不怕不如他人。怕就怕在这美好的景色和校园里忘记自己需要继续努力，有所懈怠，等哪一天如梦初醒，哐铛一声撞到了现实的玻璃。」 
请问厦门大学还开设(智能科学与技术)专业吗？,以厦大官网为准吧。可以查看一下厦大2017年的招生计划，厦大招生网就有。这个专业我不太了解，应该是信息科学技术学院的，你也可以去学院官网看看。另外不知道题主想学哪方面的内容。如果是AI或者机器学习的话其实学CS就好
小妹决定考厦门大学的分析化学专业想跟大家交流下相关信息？,   　　厦门大学分析化学考研科目有： 　　  ①101思想政治理论②201英语一③617无机化学或619有机化学④827分析化学（含仪器分析）或832生物化学　 　复试内容:（摘自聚英厦大考研网）主要包括外语、业务能力和思想政治素质等方面内容的考核。复试采用笔试、面试和实验技能考核等方式，对考生的学科背景、专业素质、操作技能、外语口语水平、思维能力、创新能力等进行全面考核。　  　实验：分析化学实验(50%) 　　分析化学基础知识(20%) 　　面试：综合素质测试(含专业英语、英语听力和口语)(30%) 建议：根据自己基础制定相关复习规划，了解分析化学参考书目和辅导书籍，现阶段可以从公共课入手复习，把基础打好，还需要复习专业复习，多找找相关复习资料和前辈的复习经验参考，去厦大考研交流群结识同专业的研友互相学习，祝成功。    
