西安电子科技大学电院辅导员钱德年是一个怎样的人？,大家自己去导师评价网看吧，此人迫害学生，无耻混蛋，不想多说
如何评价西安电子科技大学肖国镇老师？,无愧于他的名字，一代宗师即使退居二线，亦可教书育人 肖国镇教授的部分弟子： 刘福运：中央办公厅机要局局长 何良生：中国人民解放军总参谋部首席密码专家、中央办公厅机要局副局长 冯登国：国家密码管理局副局长、中央办公厅机要局副局长、信息安全国家重点实验室主任，国家863信息安全专家组组长 来学嘉：国际密码学会委员，现行国际通用密码算法——IDEA加密算法的发明人 丁存生：香港科技大学教授 龚光：加拿大滑铁卢大学终身教授 沈八中：美国康博公司技术总监、西安电子科技大学千人计划全职教授
电子科技大学通信研究生？,额 首先谢邀啊 不过本人ZJU电通研一小硕，关于题主提到的两所大学都没有特别多的了解，自己也才刚刚研一，对于各类研究方向也迷糊中。 不过我觉得题主可以多了解一下两位老师的方向，选择自己喜欢的方向学习比较重要。另外，可以考虑一下以后打算在哪工作生活，选择当地认可度高的学校。 不过，光从题主提供的信息来看，我投成电一票。
电子科技大学经管学院如何评价？,极其相当的没有存在感！！！不你去问问其他学院的经管学院的是文科生还是理科生就懂了。。。 还有我大经管虽然经常被忽略但是实力强大啊。全国几乎每个学校都开设了工商管理专业我院仍坚挺的保持在全国第十七位，西南地区就比西财低一点点。还有全国商学院排名，我们尤其是EMBA这一块西南第一。  教育部学科排名       EMBA排名
杭州电子科技大学有文科专业吗？今年高二 想知道录取分数线、蟹蟹～～？,应该有的吧……？？？反正我知道有外语学院，马克思学院人文学院啊之类的。不过不是很多，具体的你可以去杭电官网上看。but杭电看名字就知道是个偏理工科的学校，文科绝不是杭电的强项。但是如果你特别喜欢杭电或者想来杭州，杭电是个不错的选择。很重要的一点是杭电的地理位置真的好的没话说，周围就像杭州城的闹市区一样，绝对繁华，适合年轻人。但相对的诱惑也多，纷繁复杂的环境，容易让人沉沦。学校里的学习氛围还行吧，要看专业的，大部分都挺不错的。
如何看待西安电子科技大学发「宣誓卡」要求女生拒绝婚前性行为这一举措？,为什么宣誓卡不发给男生？ㄟ(￣▽￣ㄟ)
西安电子科技大学和电子科技大学沙河校区以及哈工大威海校区 读软件工程的话怎么选？,电子科技大学沙河校区和清水河在保研率上是没有差别的。至于出国，本校有国际班，里面有能去美帝top50大佬（出国更多的是看个人）。而至于企业认可度，因为沙河信软有实习，所以认可度反而更高（信软的本科毕业工资在学校排名可是十分靠前的）。当然，因为实习，所以想要考研的人相对来说就比较苦逼。   西电，和威海不了解。不过电子科技大学信软还是很好的，欢迎报考。
安徽2016年理科生5700，是重庆大学，电子科技大学，还是北京交通，华东理工?男孩子？,可以进，来北交很强势的！！(我是2015级的)
杭州电子科技大学会计专硕问题？,利益相关：杭电其他专业毕业生。 会计不是很了解，（但是会计是学校王牌专业之一）谈谈学校本身。 今年浙财好像高考分数线降下来了一些。杭电在杭州电子工业学院时期很牛逼，2000年前后由于学校改为省部共建，以省为主，而当时的校领导可能思维没有转过来并且还有其他一些问题，导致排名下滑。不过杭电2015年评上浙江省5所重点建设大学，5年内省里会有许多拨款支撑学校建设，相信学校的科研实力和知名度会上一个台阶。
普通二本院校的非计算机专业大三学生准备考电子科技大学计算机研究生有可能吗？, 这个回答是很久很久之前答的，最近总有一些人在考虑考电子科大的研究生，我害怕引起误解，再补充一下。  现在是全民转CS的时代，虽然不考研，但是有很多考研的朋友。从我了解到今年（2017）考研的情况，CS全国范围都炸了，尤其是考南大，浙大的，招的又少，生源又好。电子科大今年也不容易了。我针对性回答几个问题：  Q1：电子科大的学硕专硕有什么区别，哪个好考？  A1：除了毕业证不一样，其他的完全一样。导师都一样的培养。唯一的待遇区别就是，研一刚入学的时候拿到的新生奖学金不同。研究生除了上课就是在教研室磕盐。至于哪个好考，取决于当年报名的竞争激烈程度，而且不同学院也不一样。  Q2：要考多高才比较有把握？  A2：其实对导师来说，考研分数只是一个数字。老师招研究生，并不是让你去考试的，是去做磕盐，去做项目，去搬砖的。所以不必太纠结于考研分数。但是如果学校出身不好，尽量高一点，飘过会让导师觉得可能学的不够扎实。能考个370左右其实完全没问题了，不必要非要追求400+。考的再高，面试结果什么都不会一样被淘汰。把那个时间用在其他的方面，提升一下背景更好。  Q3：导师会不会歧视二本三本？  A3：出身不好的话，导师在招生的时候会比较注意。电子科大的导师，尤其是在这边呆的有一些年头的，多半被那些考的极高，但是科研项目都很差的二本三本出身的人坑过。但是也有很不错的，我就认识一个学长，虽然本科出身不是很好，但是从大二就在教研室跟着导师认真做项目，还获过不少奖，然后考研考到电子科大，混的风生水起最后去了华为海思。所以我的建议是，不要想着考研考的高，就可以去一个平台更好的学校，要思考一下，为什么人家导师就一定要招你而不是别人？一定要提升自己的竞争力，少BB，多实干。  Q4：电子科大的考研难度如何？  A4：我还是那句话，难度虽然有提升，但是还是不难的。今年17年考研竞争已经很激烈了，我还知道有一个计算机机器学习的青年千人教授，考研招到的有双非，还不止一个。电子科大的生源，其实并不算好的，毕竟是西部城市，东边的985、211极少有往这里跑。电子科大的研究生里的非本校学生，还是以西华，西科大，成都理工，成信工等居多。可以反思一下，同样是二本，为什么他们考上了，你没有考上？真的是歧视吗？还是自己能力不足复试被涮掉了以歧视二本三本为借口？近些年难度虽然有提升，但是相对于其他的比如东南、华科、华工等，还是要容易非常多。电子科大计算机每年都有一堆去百度、阿里、腾讯、华为、中兴、美团、蘑菇街、头条等待遇非常不错的企业。考研性价比绝对是全国前几的。想考电子科大的同学，还是要正视自己，在有一个好的考研分数的同时，想一想如何提升自己的竞争力（竞赛，项目，实习等）。祝诸君好运。  ~~~~~~~~~~~~~~~~~~~~~~~~~~~原回答~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~  其实并不难的。计算机研究生相对于其他专业，考研稍微难考一点（抗干扰、微电子这类也稍微难于其他专业，大概是热门一点吧）。但是这并不影响整体的难度。  成电有个很大的特点，就是本科生外流比较严重，而且地理位置的原因，其他985院校的本科生也很少愿意来读研（来了基本上也是四川人）。就说一个电子信息方面实力也很不错的学校吧，东南大学，人家保研面试的时候来的都是什么山东大学、南京大学、大连理工大学，成电西电等等；但是成电的，除了本校的，基本上都是西华大学、成都大学、成都理工等…考研的情况也差不多的。不管是哪个大学，都有不少老师比较看重本科的出身，但除了本校的，其他考来的都是差不多的学校，所以你不用担心本科出身的问题。  关于转专业，计算机的研究生有很多本科是微固、电工、自动化等等学院的，转cs现在是热门，在全球范围内也是这样，所以不必担心。（不过有点好奇你本科什么专业的？差太远会强行增加非常大的难度的）  还有就是关于导师。计算机学院有几个很热门的教研室，比如大数据中心，大媒体中心。我个人觉得，想进热门团队并且导师是牛导的话，难度系数真的很大，即使是本校的，保研过去的也是挺厉害的人（有些人甚至可以申请到top50的phd）。非热门团队的牛导可以考虑一下，不过根据你的情况，需要考研分数较高并且面试表现很好。如果考研成绩一般，去联系一些副教授或许较好。我记得计算机是可以服从调剂的，只要有个还不错的分数，正常表现应该都有一个不错的导师。  最后说一句，加油！ 
杭州电子科技大学电信工程学院现在是一所独立院校了么？,一直都是独立学院啊。转本很难的，一般都是班上的女生。
电子科技大学沙河的几个软件工程有什么区别？,   【声明：以下评价均为我个人看法，我会尽力做到不遗漏，知无不答，但由于我本人能力有限，相信还有很多东西是我所不知晓的。欢迎指出。望周知。】    在开讲各个方向区别之前，想先大致说一下我个人觉得互联网行业未来发展比较好的几个方向，同时也可以是你们的深造选项——    物联网： 互联网、传统电信网等資訊承载体，让所有能行使独立功能的普通物體实现互联互通的网络。这是wiki上的解释。简单来说，就是你们身边随处可见的一些设备。比如说智能汽车、智能家居、智能社区。通过物联网，互联网将不再局限于手机、计算机，而是渗透到了我们生活的方方面面。  这块和嵌入式、芯片结合得比较紧密。     云计算： “云”这个概念相信你们都或多或少地听过。简单点说，就是随着互联网的逐步增大，传统的模式已经不能处理我们现在的大量数据，于是我们就将许许多多的服务器、大型计算机这类设备集合在一起，把他们拼在一起构成了一个虚拟环境，也就是所谓的“云”。而到底应该如何拼装组合，就是所谓的云计算。  这个是毫无疑问的未来趋势。     安全： 随着互联网的逐步发展，各大软件、平台的安全问题也开始受到重视（还记得WannaCry吗？）。而且国家目前对安全的重视程度也越来越高，信息安全今年已经升为了国家一级学科，信息安全专业也已经成为了  全国平均薪资最高的专业。  因为中国互联网发展的问题，所以安全这一块的人才缺口特别大，也是一个朝阳行业。   游戏行业、VR、AR、MR： 游戏行业一直以来都是大热行业，VR应该是14年大火，AR的话，从pokemongo开始也逐渐进入了我们的生活中，比如说QQ、支付宝的一些功能。算是作为一只写科幻的码字狗的心愿吧，非常希望有生之年能看到他们彻底融入我们的生活当中。   人工智能： 相信你们都记得alpha狗、微软小冰，这都是人工智能的应用。但不要以为人工智能就只是这些而已。实际上，在你看得到或看不到的地方，比如说图像识别、Google知识图谱，语音识别、自然语言处理、机器学习这些也都是人工智能的领域。   数据科学、大数据： 好你们也知道现在数据量已经爆炸了。所以如何从数据里抽取出价值加以利用，就变得非常重要啦，这个就是数据分析、数据挖掘，总的来说就是数据科学的领域了，一般来说也和大数据结合在一起的。当然这个也有很多是和人工智能结合起来的。   对不起……突然发现我的废话好像有点多了……捂脸，我马上进入正题π__π。  今年信软的招生专业做了一些调动，有部分方向被强行改名了（别问我为什么。我们真的也一脸懵逼啊好嘛！ ( ╯-_-)╯┴—┴  括号里的是原来的名字），可能部分课程会有轻微改动，但应该不大。    系统与技术（软件技术）    数字信息处理 （信息工程）    嵌入式系统     互联网安全（网络安全）     “互联网+”实验班（响应国家号召……今年新加的小白鼠专业……）    数字动漫（提问题的童鞋，你漏了我们可爱的数漫哦……）    先大致介绍一下各个方向——   系统与技术（软件技术）   也算是最土生土长的软件工程专业，专业培养更倾向于  软件工程师、未来的系统架构师人才  ，课程内容主要也是软件开发、项目管理这一类。我个人觉得如果未来考虑做   软件开发、云计算   更多一些都可以考虑这个方向。  专业核心课程：人机界面管理、软件项目及配置管理、软件体系架构与设计模式、计算机网络编程、软件测试与质量保证、软件安全设计   数字信息处理 （信息工程）   这个方向我不是特别了解，直接放养殖方案，哦不，电子科大本科培养方案上的介绍好啦：  信息工程方向的毕业生具有较强软件技术和信息处理理论基础以及实际工程经验，可从事通信基带信号处理、音视频信号分析、图像处理、智能机器等领域的技术支持、算法实现以及应用软件开发工作。  这个方向其实是因为通信专业是我科的强项，所以将软件和通信的部分东西结合了起来，但总之，我觉得课程也是最难的……膜一下信工大佬们，欢迎大佬们继续补充QAQ  专业核心课程：电子电路基础、随机信号分析、数字信号处理、现代信息系统原理、信息论与信息编码基础   嵌入式系统    这个方向的知识更偏底层一点，我们俗称 焊板子专业 (误，楼上大佬别打我   和芯片啊软硬件结合更多一些，然后也有很多同学玩四轴飞行器这种酷酷的东西，如果继续走下去，和上面提到的   物联网   这个方向我觉得会更相关一些。  嗯，嵌入式工作室是个好工作室，但是我们焦糖工作室也是好工作室啊！！欢迎大家考虑一下重GEEK精神、全栈能力以及人工智能的我们谢谢！  专业核心课程：编译技术、ARM处理器体系结构及应用、嵌入式操作系统   互联网安全（网络安全）    作为一只网安狗，这个时候我就要憋个大的了。  首先需要解释的是，虽然我们是网安专业，但并不代表我们就纯粹在走渗透这块，安全主要涉及到的二进制方向、渗透方向、密码学等等等等，都是我们的范围。如果你非要中二一点的话，可以说我们是学黑客技术的（好羞耻orz……），我们知道怎么潜入网站后台、怎么偷到你的账户密码、知道怎么让你的电脑被滑稽表情充满、还可以控制男生的电脑偷偷摸摸开了他的摄像头看他们在干什么……（对不起其实我这些都不会！警察叔叔你别抓我！）  然后，我们就把做了以上这些坏事的坏人统统抓起来！！一个都不放过！（……）  对不起，上面都是我在开玩笑……其实我们真的不是网警……对，还有说我们是鉴黄师的！你出来！牛奶钱你给吗！！  网安这个专业的话，更多的就是要保护企业和用户的安全。找各种漏洞的目的，也是为了避免黑客黑产利用漏洞来敲诈或者侵犯用户的隐私，这些漏洞其实都会提交给厂商，然后让他们修复。  总之，这是一个非常不错的方向啦~如果你不确定自己是不是适合这个方向，那如果你之前非常喜欢解密游戏、数独游戏还有逻辑推理之类的话，我相信你一定很适合网安~加解密什么的真是酷毙了好嘛（//▽//）  专业核心课程：信息安全导论、现代密码学、网络安全技术、网络安全协议、信息安全工程   数字动漫   拥有着最多小姐姐比例的数漫专业一直都是其他方向的眼中钉，哦不，虎口肉，哦不，总之……你们只要记住这个方向的男女比例最美好就行了……  数字动漫的话，主要培养的是游戏、动画方面的人才。养殖方案里是这样写的——  本专业毕业生能够从事动画工程师、动画软件设计、动画软件开发、动画编程与测试、特效动画制作工程师等工作。  我个人是觉得，对绘画、动画、游戏这块兴趣比较大的同学可以考虑一下这个方向。对应着前面我说的发展不错的方向就是   游戏开发、VR、AR、MR   啦。  不过需要注意的，游戏开发，和打游戏，真的完全是两回事哦。  专业核心课程：美学基础、计算机动画、色彩与构图   “互联网+”实验班（响应国家号召……今年新加的小白鼠方向……）   “互联网+”实验班，这个是今年新加的方向。  抄袭一波我科对这个班的介绍——  2016，我校计算机科学与技术“互联网+”复合培养实验班首次招生，经过近一年的培养，取得了丰硕的成果。去年9月，学校发布“互联网+”复合型精英人才培养计划，重在培养满足国家战略需求的行业精英，其特色在于在多个“互联网+”方向深度交叉融合。目前，参与该计划并开展实施“互联网+”复合培养实验班的学院包括通信与信息工程学院、计算机科学与工程学院、数学科学学院、经济与管理学院、政治与公共管理学院、能源科学与工程学院和信息与软件工程学院7个学院，其中依托学院是计算机科学与工程学院，主要专业方向包括：智慧物联、人工智能、互联网金融、益民服务、数据处理、智慧能源等。 招生方式：报考“互联网+”复合培养实验班各专业方向的考生直接入选电子科技大学“互联网+”精英人才复合培养计划实验班。 培养模式：该专业前两年在“互联网+”复合培养实验班集中完成“互联网+”核心基础知识的学习，后两年以“专业方向学习+课程选修+自主学习+出国游学”等形式完成专业学习。  感觉介绍的还是比较模糊，我不是很确定这个方向究竟发展会如何，因为完全是全新的小白鼠，嗯我个人其实不是很看好……因为感觉太模糊了，更像是为了响应国家号召加的，时代确实需要这方面的人才，但我觉得不应该是互联网+这样的提法，太泛太空了。但是我作为一个吃瓜老学姐也说不准，只能说，希望在你们进来之后，能看到我科在这个方向上的努力吧。   最后，需要注意的是——   关于 人工智能、数据科学 这两个领域，我个人觉得，以上每一个方向都不会成为你入这两个的坑的阻碍。比如说，我一只安全狗做的就是安全数据科学这一块。  软件工程是一个非常好的专业，电子科大软件学院作为有 国家“卓越工程师”计划 加持的学院，也有着许多别的高校无法比拟的优势。比如说我们的创新工坊、各类项目经费等等。  但是，这也是一个非常要求你 自学能力 的专业。大学不是初高中，没有老师盯着你好好学。再好的专业，自己不想学也没有人能救得了的你。再差的专业，你努力学也一样能创造不一样的奇迹。   软件工程，真的不只是写代码、不是就只是码农、程序猿而已。 你发现不了它的美，这不是我的错。实在不喜欢， 本科工科研究生阶段商科 也是非常受高校欢迎的模式（我有不少学金融的同学和我叹息说，他们也觉得自己必须学些编程、数据处理相关知识才不会被行业淘汰），另外，如果想走 产品经理 这个岗位，有编程背景加持也会是你很大的一块优势。  方向上不必太纠结，就算最后发现自己不喜欢，或者没能读到自己喜欢的方向，大一结束之后也可以申请换方向， 我院换方向这块还是蛮容易的 。而且大一基本所有方向课程都一样（微积分、大物等等），所以也不会耽误很多专业课程的学习。  我上面只是浅浅地提了几个我觉得未来无论发展前景还是作为深造选择都很好的方向，更多的开发岗，比如说前后端开发都没有提及，绝对不代表不重要，只是，这本来就是我们的基础技能。   关于招生分数问题 ，是因为当年我们软件工程专业因为国家政策刚划分出去的时候，大多数人都一脸吃瓜不敢报，所以导致了分数大下滑，这些年川内每年都以提高一两千名次的速度在上涨收分线。关于分数亏不亏的问题，我自己是高分进的科大，这两年我也见到了很多能上川大不去、能上清水河本部不去，专门来我们软件学院的童鞋。所以，真的就是仁者见仁智者见智啦。    谢谢你看我话唠到了最后~(ฅ´ω`ฅ)  如果你还想要了解一些科大生活的话，可以瞅一下这篇我大一给哲思杂志社写的介绍科大的文章（文章我放到自己的个人博客上去啦~）： 最美不过遇见你--祝母校60岁生日快乐 - 薇拉航线      虽然距离这篇文章写完已经一年多了，但至少当时的初心一直没变~  另外可以在微博搜索： @电子科技大学微博协会 相信你会发现更多成电人有趣的一面 ( ｡ớ ₃ờ)     最后的最后，因为今年我也是信软学院的迎新志愿者，所以有问题都可以大力戳我。   科大是我人生最美好阶段的起点，相信她也不会让你失望，么么哒~  光收藏不点赞的全都打屁屁！！ 
电子科技大学中山学院优势专业？,电子科学与技术 电子信息工程 通讯工程 这三个专业是贵校的优势专业
IT业界里对西安电子科技大学的评价是怎么样的呢?,我有一个老师听见一些HR招西电的学生时这样说道：“西电的学生，好用！”大家自行品味一下。。。
重庆邮电大学的IT精英班怎么样？ 与西安电子科技大的差距大不大?,谢邀。 我是2012级的邮电大学通信普通班学生，没有读过精英班，对西电也不算了解，我就说说我的看法吧。   学风 隔壁寝室有个精英班的学生，个人觉得精英班和普通班的差别就好比高中时候平行班和实验班的差别，精英班有学渣，普通班也有学霸，主要看自己怎么学，当然如果说氛围的话，当然实验班肯定是好得多。个人认为学校之间比较也适用。  认真学 认真学课本知识的话，考研，保研，出国比较合适，如果是想毕业就业的话，就多做项目多实习比较有帮助。  保研率，就业率 这个高不高的概念应该是相对于西电，由于不太了解，我就不作回答了。  专业 西电我不知道，在邮电只要绩点符合要求，是可以申请转专业的。  ------分割线-----   我2012年进入通信专业的时候，那时候正是手机网络3g向4g发展的时候，我们专业当年毕业生就业率据说在95%以上，出去月薪也是远远高于毕业生的平均水平，当时我就觉得卧槽这个好牛，就填这个了，比一般名牌大学学生还牛。如今轮到我毕业，通信行业远远不如当年，而互联网现在是时下火热，年级中很多同学都进入了互联网企业，有做产品策划的，也有去编程的，当然还有去其他行业的。后来我自己每每想到我填志愿的时候，那种心态其实是很可怕的，我不知道自己想要什么，只是大家说好，当时就业率高，薪水高，就上（其实这是一个赌博心态，赌4年以后的行业行情），后来当我真正接触到信号与系统，数字信号处理，通信原理这些专业课的时候，说实话我真的看不进去，也学不进去。原因很简单，因为不是自己喜欢的东西，没有热情，而这些东西全是要认认真真沉下心去学，去理解的。后来勉强过了这几门，却对这个专业失去了兴趣，这才是真正荒废了四年。所以我想说的是： 选择自己喜欢的，热爱的。而不是就业率高，行业情况好的。
电子科技大学和四川大学怎么选择?,想学电子科大的顶尖专业就电子科大。 想获取全面的知识就选川大。 名气和综合实力川大在上一个档次，但没用，是看你选学校还是选专业。
如何看待电子科技大学获捐10.3亿？,当时在想...好在不是一次性捐清，不然，清水河校区那些教学区和宿舍区之间的樟树都得死，全部换成银杏。
北京邮电大学和电子科技大学如何选择？,搞ACM去成电啊，每年都有几个本科直接签美国谷歌的。成电是两电一邮中唯一的985，“中国电子类院校的排头兵”。讲真，毕业后你会发现很多时候会卡985牌子，有总比没有强，真正被卡的时候后悔都没地说。华科和成电都是985，也不是C9，就业相当吧。另成电ACM还是很强的，另外两个就没什么优势了。最后看描述，题主也自己做出了选择，就follow your heart吧。
如何看待西安电子科技大学为减少雾霾而降低对学生的供暖温度？ ?,怪不得学校那么好心发了羽绒服。。。-_-||
如何看待电子科技大学，交叉通识这类必修课程，只有1/4的学生可以拿到选课通行证这一现象？, 刚知道大国兴衰史被退了的屌丝来答题==  或许应该先说一下电子科大的选课制度  ~~~~~~~~~~~~~~~~~~~~~~~~~~ 我是分割线 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~  所有课程分为A、B、C三类，A类包含了必修课、通识课和一些专业选修课等等，B类是一些非专业的选修课，C类是其他专业的必修课留了几个名额供别的专业选。  OK，那开始选课的时候每个人A、B、C三类都有100分，需要在每个类中将100分分配到各个课程上。一般B类要选的选修课不多，基本上都是100分全部分配到一个课上，选上选不上无所谓，C类基本不选，A类可有的说了。要用这100分选每学期的必修课、外语课（学校规定四年内3类外语课每一类必须修一门）、通识课、体育课（大一、大二每学期必修一门）、专业选修课等等。  对于通识课，又分为交叉通识和核心通识，核心通识课学校要求在校期间必须修3门，交叉通识在校期间必须修1门。这些课都是面向全校开放。  投完权重之后，系统就开始对每门课程所有投权重的同学从高到低进行排序，然后按照名额依次筛选，超出名额的就会被退课，进入下一轮抢课环节  ~~~~~~~~~~~~~~~~~~~~~~~选课制度介绍结束~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~  从上面的介绍来看，大一、大二上基本上在A类没有多余的权重来抢交叉通识。要选的必修课比较多，还要有固定的体育和外语要选，还有各种实验课，专业选修课也要选。有时候想选个好老师，在某门课上投的权重就会比较多。所以剩下的权重也大概只有十几分左右吧，再一看所有交叉通识课程投权重的人超了一倍还多（200的名额有500多人投权重），也就不太想投了。  最近几个学期学校将一些选修课和一些文史类课程也列为了核心通识课，所以核心通识课要好选的多。就是这个交叉通识，一直就那么3门课，十几个老师开课。  所以就会有同学为了选中交叉，把其他所有的课都挑那些报不满的老师的课，投0分权重，然后就把100分全部砸在交叉通识课上，以求交叉通识能选上（比如我这次就是这样做的），结果TM有的时候还是选不上。。  当然大多数同学不管是选上还是第二轮抢课的时候抢到交叉通识，都能上交叉通识拿到学分。但是总归有那么一些同学怎么弄都抢不到，上不了就意味着不能毕业。怎么办呢，找教务科啊~ 给教务科的老师说你是大三的，教务科的老师就会把你直接安排到交叉通识的课上，，，所以有时候就会看到第二轮抢课的时候有的交叉通识课的剩余名额是负的。。。。（正常应该是0）  ~~~~~~~~~~~~~~~~~~~~~陈述事实结束~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~  好了，上面就是大概的介绍，下面我想说一说我的看法   1.首先是为什么会有交叉通识这类课。   现有的交叉通识课程主要有这三类  中外文学通论 哲学通论 大国兴衰史  这三类课程都是文史类课程，我想学校的目的是想让我们这些工科生沾染一点文学气息，全面发展。这个出发点是好的。  但是在核心通识课里面，也有大量的关于文史类的课程，而且有些文史课的内容和交叉通识的课基本上内容是一样的，说实话我看不出来“交叉”是交叉在那。既然核心通识课里面有了类似的内容，为什么还要专门再拎出来三门课组成交叉通识课？   2.是否达到了培养的要求？   文史课的目的我认为是培养学生的文学修养，扩展知识面，可是在我看来，效果远远没有达到。在大班上课的时候，你问我有没有积极听课，回答问题的同学？有！而且他们的知识面很广，我很佩服。但这类同学终究很少，尤其是我们这种工科学校。我看到的其他的要么是在玩手机、睡觉，要么是在补其他课的作业。这类课的期末作业基本上就是交一篇论文什么的了事，也基本上都是在网上抄抄抄。  所以我觉得这些课的意义只是在于拓展知识面，提升修养。既然是拓展，那为什么还要让我们强制选这些课？那些有兴趣的同学自然会去选这些文史课，没有兴趣甚至厌恶的同学被强制选这些课估计肯定消极对待，起不到应有的效果。   3. 恶性循环   上面提到到了大三下如果还没有选到交叉通识可以找教务科，我觉得这是一种恶性循环。这些抢不到的同学被安排之后势必会挤占那些大二大一的同学的名额，还会有一批人不能选到交叉通识，然后有的又会来找老师帮忙安排课。  我在搜索材料的时候，搜到了教务处去年发的公告，为当时大四的同学开放选课，选交叉、核心和ABC三类外语课。教务处也说过选通识课的时候大三的优先级最高。从这些来看，学校也意识到了交叉通识难选的尴尬，但是为什么没有采取一些措施改善这个状况？近两个学期学校增多了核心通识，但是我却没看到也没搜到过关于改善交叉通识课程状况的，，或许学校正在研究吧     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~我是分割线~~~~~~~~~~~~~~~~~~~~~~~~~~~~~  这个事情终究还是教育资源不足的情况，一个工科学校能开的文史课课程本来就不多，又有那么多人选课，还有学分要求，不选不能毕业，最终才会导致这么激烈的竞争，我觉得还是学校的政策方向有问题，政策和实际不符，培养文学修养是好事，但是却没有执行好  还有一个问题是我想问的，就是这个选课是怎么筛选的。  我们每次选课完投完权重之后，都是隔一会儿出来一门课的结果，隔个一两天才出来全部的课程结果。 按道理来讲，如果是纯机器筛选，那么应该很快，就算是土豆服务器，就算那么多课、几个小时最多一天所有的课程应该都筛选完毕了。那么我就怀疑是不是人工筛选的，那么人工筛选会不会就存在一些公平的问题。有的同学砸了100分却没有选到交叉通识。是投100的人太多？还是因为一些其他原因？  我觉得可以在筛选完课后公布每门课所有投权重的人的权重值（只公布学号就成），让学生心里有个底，知道我是怎么被退的，这样也不至于投个100分却被退闹得心里很不愉快~当然说归说，学校怎么做也不是我们这些能左右的。  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~我又来了~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~  第一次答题，如果有什么不对的地方请指正~  PS：题主抽样调查的样本太少了啊~~~我当时也在~~只在一小部分里抽样怕是没有说服力啊~~~ 
西安电子科技大学电子专业本科大三，没有项目经验，怎么找工作找实习？,哎，说给你听估计来不及了，别人看看吧，我在西电时候，室友装逼给学弟说选修课不休，必修课选修，被我当场打脸，那些课就是帮助你建立完成知识体系， 你的困难不是不知道怎么找工作，而是学了4年不知道自己能干吗？ 放心吧，别说本科，研究生应届生，我们招聘时也没指望你们能干吗，面试的时候更多的是考察你们是否已经具备完成知识体系，和学习能力等，如果连这些都不不想考察的公司，就是图你高数学得好，C语言有基础， 一句话，找工作不是碰工作，是你要先知道你能做什么，或者那些工作岗位实在干什么，你能否匹配你的优势在哪里，然后告诉人家，就这么简单 
如何看待可通过电子科技大学信息门户密码登录面聊？,讲道理不用官方授权，写个脚本模拟登陆抓一下信息就好了
