中国地质大学(北京)的游泳馆内部如何？,我还以为问的是武汉的地大游泳馆   这个夏天就能用系列....
在中国地质大学珠宝学院就读是怎样一番体验？,拖了一年了，填坑。  一直不知道要怎么回答这个问题，刚才为了恢复一下记忆去翻了翻大学时候的校内相册，看着都有点想哭。平心而论我大学实在是过得太开心，珠宝这个专业也的确给了我许多安身立命的资本，所以我的答案是会比很多同学学弟更正面一点的，这在当年在地大贴吧回答新生问题时就有学长说，不是每个人都过得像你一样好，不要这样美化这个专业。所以以下内容，不是说珠宝学院没有不好的地方，只是阐述我的想法。同时我已经毕业六年了，学校的许多软硬件都有变化，我的回答不能代表现在的情况。   附上曾在贴吧写的迎新答疑帖，一篇写于大二，一篇写于大四，时移世易当时很多言论非常幼稚，只做参考。  【介绍+解答问题】说说珠宝学院那些事_中国地质大学武汉吧_百度贴吧     以及现在看简直尴尬到哭的另一篇帖子，证明我对地大是真爱粉  【原创】如果在地大遇见你…………_中国地质大学武汉吧_百度贴吧     利益相关，我是07级入学，中国地质大学（武汉）珠宝鉴定专业，141073班，入学到现在整十年。我们专业正式名称是宝石与材料工艺学（鉴定方向），作为矿物学和材料学的交叉学科，学生毕业后拿工科学士学位。  我的实习加正式工作加兼职玩票算下来，批发零售品牌撰稿讲师拍卖行相关都做过，去美国读了一个master，在纽约和费城晃了两年多，现在在北京从事钻石批发行业，做了一个小的饰品品牌，做了一个小的定制工作室。  ———————说正事分割线———————————————————————————  开始说珠宝学院   我想大家最好奇的应该还是珠宝学院学生毕业后的去向。  珠宝行业真的不是一个能天天穿formal dress参加各种高端品牌活动和明星代言人谈笑风生的行业，即使是我在芭莎珠宝的学妹，一年飞几趟巴塞尔展Vegas展看起来很惬意，背后也是加班加到吐写稿写到哭。  说每天接触美丽的珠宝首饰倒是真的，但是流水一样的钻石手里过去，其实都是客户的。    事实是我们这一级毕业后转行率大概有30%，剩下的70%还在珠宝行里，深圳水贝作为珠宝行里的首都，加上水贝辐射的周边广州番禺平洲涉及珠宝产业链的城市，大部分同学都留在那边，以至于在水贝过个马路都能碰见校友。其余除了回家乡的以外，去北京上海的非常少。  从事的工作呢，印象中06级以前，还有学长学姐自己做的非常好，无论是做钻石批发，高级定制会所，黄金加工工厂，都有白手起家做出自己事业的案例，甚至更早的周宗文时代，能凭一己之力做出周大生这种大陆本土品牌。但从我的上一级毕业生开始，珠宝行业野蛮生长的时候慢慢过去了，市场也渐渐饱和，大部分同学还是去了典当行拍卖行珠宝企业做管理，走职业经理人路线，或者到学长学姐的公司做个合伙人，去互联网企业做珠宝相关的运营，以及最常见的去珠宝质监站做检测和去各个学校当老师，只能说时代给予的机会就是这样的，现在看我上下两级的同学们一个个日子也滋润，除了工作平时顺手卖点小东西钻石翡翠什么的，毕竟懂行有眼光有渠道，每个月零花钱也够了。    南北对比   大学最好的朋友后来去了北京地大读研究生，总去北地大蹭饭吃，我又在北京慢慢有不少北京地大毕业的同行朋友，所以对南北对比应该比较客观。  首先要说在行业内的地位和学术水平，毋庸置疑武汉地大珠宝学院都要更好一点，行内哪哪都是武汉地大的学生，但是要非说是武汉地大学生混的好，我想也未必，因为本身北京的珠宝市场以终端为主，不像深圳那么丰富，行内就业机会少，又挡不住其他行业机会多，能考进珠宝学院的学生在同级里都十分优秀的，有更好选择未必非要做本行。所以如果是真的很喜欢珠宝行业想接触更多大佬专业上更扎实，武汉更好，如果喜欢大城市无数种选择，北京更好。     课程设置   在我们读书的时候珠宝学院被人吐槽最多的就是课程设置，珠宝鉴定专业所有的课程都是为了培养一个合格珠宝鉴定师而准备的，大一的数理化都要学，大一下到大二开始学地质、矿物、晶体光学等矿物类的基础课程，大二下开始真正的接触宝石学，但是鉴定课程又和我们的GIC职业教育高度重复，GIC证书课程上起来，上午下午晚上各三个小时，密集的培训和密集的实践课程的确对鉴定技能有短期有效的提升，理论虽然不扎实但进程比学历课程快得多，这是我们一直觉得课程设置不合理的地方，不知道现在有什么变化没有。  当然课程还是又有趣又有bigger的，比如“要自己拿着喷火焊枪和锯条学习怎么搞出来一个真正吊坠的首饰加工课”，“丢钻石标本丢出五百种花样的钻石鉴定课”，“我深爱的狄敬如老师讲的贵金属课”，“能到湖北省博的保管室每人捧着活生生的四千年古玉看的古玉器鉴赏课”。  但是如最开始我说的所有的职业方向，总有人说我需要学一个四年本科的珠宝鉴定专业才能做这些吗，我见那谁谁谁完全没读过珠宝也干得挺好的之类。  不好评论别人，只能说我自己，如果不是读了珠宝学院，我是绝对入不了行的。  珠宝学院能给我的，是对整个产业链的熟悉，我不只知道可以做微商发图片卖卖东西，我还知道有的宝石是来自真正的稀缺产地，有的只能做装饰没有收藏价值，知道它的零售价批发价哪个国家哪个市场拿货，知道看着都blingbling但好的工艺和差的工艺有什么本质的区别，那些某某大牌首饰是哪个厂子做出来的，知道每年的什么时候要去什么展会各个国家的珠宝商都有什么秉性，知道一个珠宝品牌的运营方式他们的加盟商多少产品是品牌直供多少是自营等等等等。  这个行业从设计到加工到批发到品牌到运营到门店，都有我的学长学姐在，任何问题不过是拖个群的事儿，到行业内的任何一个公司任何一个展会无论是深圳香港图桑只要是武汉地大珠宝学院的学生，都很得到尊重。包括后来到美国，第一份实习就是因为我去了美国最大的珠宝展图桑珠宝展，和当时的老板聊high了然后顺利拿到的，如果不是因为读了珠宝学院，不说让我胜任这份工作的专业知识，可能连图桑展的存在都不知道。所以我个人是非常感激学院给我的教育和资源的。 ————————————————  写烦了……有空继续填坑
中国地质大学(武汉)在211里处于什么水平?,普通211吧。在武汉最好的高校是武大华科，然后一般认为就是武理工和华中师大，再后面是中南财经政法和地大。
中国地质大学(武汉)的统计学专业怎么样?,想学统计还是去985或者财经类学校，地大统计系有老师是学地质相关专业出身，望三思
中国地质大学做古体微生物，孢粉实验？,国家地下水监测？地大武汉基本都能做，再就是中科院实验中心
北京林业大学和中国地质大学哪个更好？,       本人就读于中国地质大学（武汉），推荐你来地大的理工科专业，就业良好，对于你的升学也会有帮助；校园环境尚可，武汉地区的生活水平和发展速度都是不错的。         北林不太了解。
中国地质大学(武汉)为什么不能一直通宵供电?,想要通宵供电。请上地大研究生。 还有，断电对于保证睡眠，积极的生活方式具有重大意义。 身在福中要知福。 研究生想停电都不行了。必须熬夜做东西。
在中国地质大学(武汉)就读你们后悔了吗？,后悔了 认识计算机院的好朋友 和你情况差不多 他本来都想复读重考了 后来被我分析利弊还是继续读 我是材化的 早操（真的不是所有人都适合一大早起来读书的好吗） 食堂饭菜（我勒个去） 还有各种无聊的水课 当然辅导员也是举世大奇葩 至于自习 和学习委员搞好关系就没事了 该去图书馆还是去图书馆  还有，题主你是不是忘了说停水。。。？
在中国地质大学(武汉)就读是怎样一番体验？,来说点学校的好话吧。  利益相关： 被吐槽一片的的信工学院的11级学生，现大四待毕业。  目前已有的答案，大部分是我的学长，有几位甚至久闻其名是我一直很佩服的学长，但是有几点我觉得还有有些说头：  1、 只靠课程学到找不到工作 嗯，其实我很认同这句话，大学如果只有课堂所学到的知识储备，必然是很不好找工作的。但是，这个现象应该不只出现在地大吧，放在大部分学校的大部分专业，这点应该都是成立的。 另外在我们学院（没错，就是在本问题下被大量吐槽的信工学院），很多人即使本科没认真学，也可以找到工作。。 毕竟3S是新兴行业，找一个略高于应届生平均工资的工作应该还是不难的吧。 想要有好的发展， 还是要自学，根本不能靠学校。  当然，我某工学院最大的问题，就是老师会告诉你，别想这些杂七杂八的，跟着我好好学就一定能找到工作 -_- #  。。。。。  2、 学校的制度 这条想要“洗白”相当不容易。我对学校的某些制度也是相当的反感（6点半的早操，北区停水，修了5年的图书馆）。大一的某个夜里我曾喝多了在学校门口“艰苦朴素”的石头下方便过 -_- #（手动匿），当时我的想法和大家一样，对这个学校心里太恨，艰苦你妹，朴素你妹，埋怨自己干嘛来到这样个破地方。 我并不否认学校不好的地方，但是如今快毕业的我回想这四年，这些制度对我的影响并没有那么大： 图书馆书不够，我就买了kindle看电子书； 由于做早操会强迫我早睡早起，作为一个爱熬夜的程序员，对我还是有好处的，让我早睡； 学校学院的某些制度不体恤学生，于是我学会了“忽视”很多规定制度，在确保自己作为学生的利益不受影响的前提下，按照自己的想法来做事； 对老师教的不感兴趣，于是就自学，反正网上资料信息那么多，也养成了好的自学习惯吧。 学校讲座和交流会太少，这没办法，多跑跑呗，常去武大华科DEMO咖啡，现在我对武大校园的熟悉程度比武大大一大二的学生还高。   我并非刻意美化学校，只是我认为如果用好的心态看待这些事情，才能更好地解决问题。  而我们所吐槽的这些问题，如果大家觉得对自己确实产生影响了，那么想想办法，其实都还是可以解决的。（ 当然，北区停水这种坑爹事，我也觉得无能为力。。。。因为真的很坑。。。）   3、 周围同学太无聊，想玩找不到玩伴 这。。这是最不是事儿的事儿了好吗！！！！ 如果你想学编程，地大有最专业最热心的互联网团队  PointStone    如果你想骑行，地大有我认为武汉高校中最棒的自行车协会！ 如果你爱登山，有吊炸天的登山协会！ 如果你喜欢民乐，地大有民乐团，每天都有合练，简直不绝于耳好吗，不绝于耳！！！根本停不下来！！ 如果你喜欢军乐，军乐团也欢迎你！ 如果你喜欢摇滚，地大是离VOX最近的两所学校之一好吗！多少学校的同学羡慕我们可以看完演出慢慢悠悠走回学校不担心寝室锁门！！！　 在地大，我学会了编程（毕业做前端），学会了骑行，国内那些土摇乐队基本看了个遍，搭车也玩过，学会了轮滑，最近在学吉他 。这些是我上大学前根本没想到我会接触的，什么，你说无聊？可是我的时间根本不够用好吗！！！ 为了玩，我们寝室楼的围墙都快被我翻烂了好么！！！怎么会无聊！！！！ 说在地大同学无聊的同学们， 你确认你是一个爱玩的人？  我的所有爱好，周围都有好多人也在玩，而且比我厉害太多（编程、骑行、吉他、徒搭、篮球、台球）。说到底，还是不愿意走出自己的圈子结交更多的朋友吧。  4、 寝室环境差 这个真没办法“洗白”， 我某工学院的52、53栋寝室的确不怎么样，黑点很多，多的一逼。 唯一可以骨头里挑鸡蛋的，就是住惯了我大52栋的8人间寝室以后，我在路上无论是住环境多差的青旅或小旅馆，或者在多恶劣的环境下露营，从来不会不习惯，因为再怎么样也不会比寝室差太多。。。。。 原谅我，我已经尽力了洗白了。。。。  快毕业了，我想说我也恨过地大，因为我曾无数次想过如果我在隔壁某科或者武大上学，也许我会认识更多有趣的人，专注的人，更好地老师，也许我会玩的更多，学技术会学得更深，也许我还会走上学术之路。  但是现在我很感谢地大，因为它真的给了我很多，在地大认识了很多真挚的朋友，让我真心佩服的学长，令人尊重的老师。  它不是一个特别优秀的学校，你满怀憧憬到来，它必然会当头给你一闷棒，让你感到一阵失望； 可它也是一个充满惊喜的学校，如果你能向着自己想要方向探索，会发现南望山下处处都是宝藏，它必然不会让你失望而归。
请问北京或武汉的中国地质大学(武汉)gic课程怎么报名？报名时间是什么时候？北京或广州有分点吗？,直接上官网查........武汉地大的手快点还能报上，北京地大的话他们本院的人都抢不到还要出来报，外人就不要想了........北京有除了地大以外培训GIC的点，其他城市也有，这个产业现在挺大的。
我是地质工程专业的学生，想报考中国地质大学（北京）的研究生，哪位学长学姐能介绍介绍地大嘛?,不要考地质了，出路少，建议学个计算机什么的，最近看一个公司去西藏出野外一天给九十块的补助，真是拿人不当人的感觉。 地大北京这边的好导师挺多，不过补助很低，武汉那边一个月三千五，最多……额，北京这边一千二，最多……然后呢，很多人没有补助 项目少了，很多研究生都散养，就是自己去外边找导师做毕业论文，赚点钱什么的…… 今年不景气，博士有三百个？左右吧……竞争压力很大，地质队敢要博士，招聘会来的单位有很多把自己硕士门槛的岗位临时改成了博士，然后还有很多人投…… 所以自己好好考虑，争取早日转行。 个人观点，不喜勿喷
如何评价2015年中国地质大学(武汉)北校区停水问题?,这个事情，作为学生当然有很多途径可以反应。    向宿管大妈反应，但收效可能不是很大 。   向辅导员反应，但收效可能不是很大 。   向后勤部门反应，但收效可能不是很大。   在后勤保障部的后勤公开会上反应，但收效可能不是很大。   在地大权益服务部的微博上反应，但收效可能不是很大。    直接向学校领导邮箱反应，但可能基本上没啥收效。   向白沙州水厂和媒体反应，嗯？好像有点收效。  
中国地质大学(武汉)计算机科学与技术怎么样？还有现在地大转专业困难吗？,曾经转专业失败的飘过，因为高数考了七十五被嫌弃了。所以，如果你成绩好的话，应该不是问题，我们系本来只有两个班，后来变成三个，第三个班全部都是转专业过来的。
想问一下关于跨专业考研的问题，目标是中国地质大学(北京)的产品设计（珠宝首饰方向）？,没学过艺术，考设计的研究生基本不可能~你要是喜欢珠宝设计建议你去地大武汉学习gic 首饰设计，分手绘跟电脑绘画两种，学费5600，学习1个月左右，考试合格给地大武汉珠宝学院gic设计证书。
我想考中国地质大学(武汉)宝石专业研究生，现在大二，我该如何准备，求指导 ?,现在的话跨专业不太好考 但是大二你还是有机会的 多接触与之有关的课程   自己本身学的科目也最好不要挂- -  地质大学的宝石学专业的话 我猜你应该是想考设计专业对吧~   这儿有14年他们学校研究生招生简章  你可以看一下 如果你是要考首饰艺术设计的话 思政和英语是必须过 然后工艺美术史，首饰艺术设计快题 - -   我不知道啥玩意儿 需要你去了解 趁大二  机会大大的有  加油吧  祝考上 ----------------------------------------------------------------------------------------------------------------------- 工艺美术史 你可以先了解一下  工艺美术史_百度文库    百度文库的文章  可以下载下来看  864 首饰艺术设计快题考试大纲    这个首饰艺术设计快题你也可以看一下 好了睡觉
中国地质大学(武汉)的计算机科学与技术或软件工程怎么样？,跪求回答，我是江西的，今年高考发挥失常，考了573，选学校，好尴尬地。纠结冲不冲，55
中国地质大学（武汉）有什么推荐的社团？, 首先，你要明白大学社团是什么？能帮你做什么？不要因为看到别人参加社团而去参加社团，参加社团一是可以为我们提供一个更加宽广的舞台，拓展自己的人脉，接触到更多优秀的人，提升自己社会交往、活动组织的能力。二是可以提高自己的综合能力，在每次举办活动后，只要你细心总结总会得到收获的，大学不一定是只学知识，更重要的是提升自己的综合能力，而社团恰好是一个可以给你提供这样机会的平台，尤其是刚入学的大一同学，你们对大学的认识还不清楚，需要一个这样的平台来锻炼自己。三是参加社团可以得到社团优秀学长学姐的帮助，社团里的部长们或多或少在某些方面是优秀的，而他们可以把他们学习或是生活的经验告诉你们，让你们少走一些弯路。  好了，说了这么多，还没说到主题，我也是地大信工学院的，以前在地大信工创新创业中心待过，这是个好部门，在这里我认识了很多优秀的学长学姐，他们对我的学习帮助很大，可以说没有他们的帮助就没有现在的我，今年他们貌似要改革，改完之后估计更好了。 
请问各位，中国地质大学（武汉）地下水科学与工程专业现在今后毕业后就业情况与前景如何？？,谢邀。首先很抱歉，我对这一方面并不了解，所以我只能给出一些方法和思路供你参考，我相信你自己去搜索信息和实践会比别人告诉你来得靠谱。  1、首先我们谈一个职位（工作），应该看到这么几个要素或者一个公式。 职位=行业+企业+职业。也就是说，关于你的这个专业会出现在什么样的行业（水利电力？设计研究院？朝阳行业？成熟行业？）会出现在什么样的企业（国企、外企、民企、事业单位？）会有什么样的职业（工程师？设计员？施工员？或者是其他普通职能职业，如行政、市场营销等等）。所以，谈就业情况或者前景，先搞清楚这个公式，因为任何一个要素变化，就可以产生不同的组合。  2、如何获取以上的信息？介绍一个方法就是从招聘网入手。搜索与这个专业相关的招聘信息，在这里面可以看到行业、企业、职业的大部分信息，你可以对工作内容、工作要求、薪酬福利等有大致的了解。智联这类招聘网站都提供行业、专业细分的搜索功能。  3、锁定目标。找几个你觉得不错的目标职业进行“职业访谈”（又叫生涯人物访谈），职业访谈大纲和作用具体见百度。通过你的人脉资源，比如老师、学长、亲戚朋友，甚至微博、知乎等找到在该行业或者在该企业或者该职业里，工作有3-5年以上且发展得不错的人物进行访谈。访谈形式可以电话、邮件，其中面对面效果最好，你可以请他们喝杯咖啡。访谈人物至少3-5人。  完成以上步骤后，你一定会对与该专业相关的行业、企业、职业有了很多的认识和体验。最后补充有条件有兴趣还可以找找国家相关的政策、报告，也会对该类行业有更宽的认识。
暑假可以借中国地质大学(北京)同学的宿舍住半个月么？,我是武汉地大的…实在不知道北京的。 话说我们这如果没有认识的同学是不行的。
中国地质大学（北京）创新实验班怎样？,谢邀，我是地大武汉毕业的，地大北京的情况不是太熟悉。当年我就读的倒是实验班，其实说是实验班，除了保研率高一些之外，好像跟别的班也没啥特别大的区别。
中国地质大学(武汉)和武汉理工大学就文科来讲哪个学校更好?,对中国地质大学不了解也不去评价。 看评论有人把武汉理工的文科说的那么不堪，内心颇有不甘。说武汉理工的文科不好，那仅是跟理工的理工科专业比较而言。  文科是一个很大的门类，你不能一个文科就一言概之。武汉理工虽然是工科院校，但是理工的第一大院却是管院，管理学科教育部学科评估全国20多，从硕士点到博士后科研流动站都有，这就是专业实力的体现。 外语学院的法语和日语就业依靠本校汽车行业这一背景优势，汽车行业的日企和法企很多，恕不一一赘述。 艺术设计学院实力很强，理工的设计艺术学是中国唯一四个博士点的院校之一。 法学专业虽比不上同城五院四系之一的武大和中南政法，但比其他的还是可以拉出来拼一下的，设有湖北省知识产权研究中心。 新闻传播学专业在武汉最厉害的是武大和华科，这两个学校的新闻传播是全国最早设有新闻传播学博士点的无所院校之一。其他三个为中国人大、中国传媒、复旦大学。也就是说在武汉除了这两个学校外其他学校没资格说理工的新闻传播不好。同城的华师、中南财经政法这两个文科类院校和理工一样也只有一级学科硕士点，武汉理工的新闻传播现在已申请下跨文化传播的二级学科博士点了，国家数字传播工程研究中心和国家新闻出版研究院武汉新媒体研究中心也在武汉理工设立了。 这些都是武汉理工老师和同学的共同努力，希望以后不了解别人学校情况的人不要随便去评价，你要怎么夸你自己的学校那是你个人的事，但是请不要去随便对不了解的事做不好的评价。
中国地质大学(武汉)食堂有哪些美味的窗口？,今天就照照片及评价！ -------------------------------------------------分割线  4.11（没网断更）   本人来自南方，适合清淡口味，蔬菜与肉兼爱，评价可能不适合你们，我只是一个易满足但也苛刻的吃饭大军一员。评价模板：先说感受，在评星级。（一天只能更新两个菜左右，手机是诺基亚，照相不给力，请不要介意） 先从大本营北区一楼开始。   1.店铺名字晚上补：六块钱两荤三素，完全是想打价格战的节奏，虽然是新店，但也蛮多人去吃的。肉菜一般般，比较少肉；青菜丰富，比较新鲜，量多，是想吃青菜的不二选择。   价格指数：★★★★  美味指数：★★★  性价比：★★★★       2.早餐，感觉北区二楼完爆其他食堂。    两块钱一碗鸡蛋番茄面条、鸭肉香菇面条，对于我来说，完全吃不腻（那个阿姨去年就认识，总是叫我面条大王，去年还有一个面条是麻辣的的，冬天吃起来超爽，但不知道为什么没了，明天去问问阿姨才行） 但最近感觉不好吃了，没放青菜叶子，就像龙没有了眼睛。    二楼的鸭腿四块一个，土豆丝本来以前上个月卖过五毛，加五毛饭前，就是六块，鸭腿偏甜，但很有嚼劲，土豆丝为酸辣口味，吃起来就像路飞吃东西一样爽。   价格指数：★★★★★  美味指数：★★★★  性价比：★★★★★      一楼的午饭也有好吃的，这家的三拼比较贵，就是可以打三个肉菜，但素菜很垃圾。烤肉真的很多，鸡腿有时候很大个，新出的鸡翅不错，培根比较清爽，水煮肉片神作，红椒炒牛肉不给力了。它是吃肉发不二之选。   价格指数：★★★★  美味指数：★★★  性价比：★★★★       如果你在西区上课，西三绝对可以温暖你的肚子。三元两个素菜，有时还有肉片，由于窗口人流量大，一盘菜几十份，一下就卖完了，然后上新煮好的菜，所以这里的素菜是性价比最高的，品种多，味道好，价格便宜。那个青椒，我们那都是和猪肉一起炒，比较清淡，这里的青椒一股浓浓“暴发户“的味道，但尝过之后，有点甜有点咸，在带一点油腻，和酸辣土豆丝令我大开眼界；还有鸡蛋炒葱花，每餐吃都不厌啊；香菇炒青菜，吃到哭了，还有单炒小香菇；简直像家里做的一样。   价格指数：★★★★★  美味指数：★★★★  性价比：★★★★★      
中国地质大学(武汉)的珠宝专业可以专 升本吗？,地大没有专升本。
2017浙江高考生排名4760，报考中国地质大学(武汉)，请大神帮忙分析一下未来发展前景，是否值得报？,去别的学校好了
准备去武汉地质大学学习gic，想知道住宿方面怎样方便点，安全系数高些？,住宿可以自己租一个房子 不算贵 安全的话 武汉的治安还是挺不错的
中国地质大学珠宝设计专业怎么样？北京校区和武汉校区师资有何不同？,我刚刚考上 想学手绘加我 哈哈哈
如何看待中国地质大学(武汉)隧道打❌事件？,可以，小伙子。没人答我来答。   你打叉没啥，你在旁边打多大我都觉得没错，但是你狗日的咋能往人没画完的小女孩的脸上打呢？   人家脸上白白净净的五官啥都没画，你上去往脸上打一个，怎么了，你这是想打人脸啊？       隧道真冷，厉害了我的哥       别的不冲，上面壁画有我的，打了叉，我没觉得啥，最让我恶心的是你还给别人打分？ 然后往还没画五官的女孩的脸上画叉？ 就充这两点，就该让你吃上三斤石楠花。 
中国地质大学（北京）为啥不装空调？,打着艰苦朴素，求真务实的名义，其实就是经费不愿意用到学生身上。 ps 之前武汉地大也没有装空调，后来被央视报道了，结果没过几个月学校就装上空调了。说好的艰苦朴素呢？
中国地质大学(武汉)的文科专业好吗？,谢邀，不好…比武汉的其他几个学校差很多
如何看待中国地质大学(武汉)地质学专业2017年考研重新补考专业课？,  从这篇短短的通知就能看出母校求真务实、勇于担责的校训精神    第一：开篇首先及时承认错误，注意是 “我们工作失误”，既不是临时工印错，也不是考生拿错，也不是白沙洲自来水厂犯错，一反过去领导们把一套太极神拳耍得虎虎生风的豪迈，显示出了我校在处理此次事件上开诚布公、勇担责任的气魄，为母校喝彩！  第二，在很短时间内就确立了补考时间、地点，而且还为考生报销城市间交通费等等，这显示出了我校一贯以人为本，尊重考生的精神，最大程度上让您的每一次补考都能得到如第一次考试般的惊喜，为母校点赞！  第三，研究生考试是一项事物繁杂，流程颇多的的工程，虽然我校后勤、组织部门的领导、工作人员们积极工作、认真履职，但难免会出现一些错误（ 虽然目前是国内首例，但并不代表别的学校以后也不会再犯嘛 ），而且我校规范化的处理，开天下之先河，为以后各类考试中再出现此类事件时，拟定了一套完善的制度流程，全面有效地保障了考生们公平、公开、公正的补考权力，为母校潸然！  第四，以我对母校的了解，此事十有八九系校外反动份子（比如北地、成理）所为，也不排除隔壁华科、师大恶意抹黑参与其中，但我校一概不谈，风轻云淡，显示出了一代地质强校包容并蓄，颜面未扫的气概，为母校骄傲！  第五，最后为了联系方式的畅通，足足留了八个电话，而且文末的 「大学霸@ cug.edu. cn    」(也可能是大小×），为即将二次赴考的举子们送上了衷心的祝愿，为母校感动！  第六，虽然此事或许会造成一些不必要的社会影响，希望在校的学弟学妹们要不信谣不传谣，母校的团组织、党组织也要适当开展些活动，搞一些我为补考唱赞歌晚会，评选优秀补考人员，增发补考奖学金之类，把正能量传播到 cug 的每一寸土地。为母校泪眼盈眶！     花有重开日，人无再少年，可怜的，不过就是那几十个考生而已嘛……     和母校分别已经好多年了，偶尔梦中惊回，也常常想起它，虽然在校期间经常断水断电断网，但我知道这是南望山下的好学校。  泱泱甲子，历六十年风华雨洗，今又上头条，不知门口那雄狮可知否？  Cheers cug ! 
求认识中国地质大学首饰设计研究生或者打算考此专业的同学？, 我也打算考武汉地大的，有同考的大家一起准备啊，QQ790924771 
中国地质大学(武汉)水文地质专业考研求助？,我也打算报考
长沙理工大学、成都理工大学、中国地质大学(武汉)中，哪个更适合青海一本线超过40分左右的人？, 首选北上南京和杭州的高校，因为大学的视野和格局非常重要。其次，我不清楚你的分数能上什么样子的学校，但是如果可能的话，尽量贴着分数线上好的学校，专业不强也没有关系，比如北理工北航南航和南邮的经济类和管理类的专业，因为本科的重量时远大于研究生和博士的，这个叫做出身，等找工作的时候你会发现一些公司和企业都是很卡出身的，985 211之外的高校很是吃亏。（话粗理不粗哦）    上大学就是上平台，正所谓站得高看得远么，所以都要考虑的就是一线城市和知名高校，专业就是能去哪儿就去哪儿，最后大不了熬cpa或是干咨询，或是司考啦干税务啦（ps：身为一只前通信狗且前某水sci journal的editor，天天写paper攒algorithm，分稿review paper做presentation，深觉cpa和税法简单的一比，只要自己很好处理自己的时间分配，练习和重复，不是纯傻大家都能拿上证。PS：拿不上证的各位就应该反思下自己的时间和精力到底有多少时间集中在考证上。。到底有没有自己反复总结金额对比知识点）。 如果不是对技术有追求（比如你家里很有钱，自己就是想搞研究做理论，或者是自己对programming或其他工程学科特别有偏爱），其实这条路挺适合你的。    加油吧骚年，美好的明天在等待着你。 
你为什么不推荐高考考生报考中国地质大学(武汉)？,呵呵。。。为什么不推荐?问这个问题的人如果不是cuger请不要黑地大。。我来阐述一下我报考地大的原因 第一，地大在武汉，武汉是一个具有活力的城市，具有很大的潜力，加上近几年武汉经济发展迅速，我觉得以后能有更多发展空间 第二，地大实力很强，地质，工程，珠宝，资源，环境，地空等几个学院的实力并不比一些985弱，外加自动化学院有一个很强的团队，我觉得地大的实力是高于他的分数的 第三，武汉七校联盟，我还没去尝试，不加评论，这也是一个吸引人的地方 第四，地大人很朴实   
中国地质大学（武汉）赖忠平教授对学生如何？,对学生蛮严格的
为什么中国地质大学(武汉)教室里的空调开关被锁？,现在是温控了好像到一定温度自动开 以前不是那会用饭卡翘一下就行
想在 中国地质大学（武汉）附近租房子，3个月，希望离宝石学院比较近，各路大神有好的建议吗？价位在多少？,地大珠宝区和华科西区连着，西区这里有一间单间出租800一个月，你可以qq联系我596807679
中国地质大学(武汉)有哪些值得推荐的专业？,女生不要学地质，虽然在国外女生学地质很正常，但是在国内大环境下还是不适合的。 我记得我们老师给我们放过几部纪录片，埃及，德国，俄罗斯等，女生跟男生一样，照样搞地质搞得很好，因为他们体力很好。但中国女孩子体力明显不行，所以还是不太建议读地质。  中国地质大学的珠宝专业是镀金的，有名气而无实际意义。除非家庭条件特别好，准备走这一行
中国石油大学北京 中国地质大学（北京）中国地质大学（武汉）中国矿业大学（北京）中国矿业大学（徐州）？, 地大的教务系统 -------------------------------------------------- 放大招
