中国传媒大学录音工程系到底算艺术专业还是文化专业。如果属于艺术那么我该需要准备些什么呢？求学长或行家？,艺术专业 会考视唱练耳和才艺 去年没考乐理 但是之前有考过 保险起见还是准备一下 校考前要通过省音乐联考 内容同上
中国传媒大学考研？, 首先，其实中传不难考的。在新传方向，中传绝对是性价比很高的一所学校，值得报考。  电视新闻采编和新媒体采编实务这两个方向差不多的，都是电视学院的，考上以后也是一起上课的，所以差别真的不大。  中传新闻与传播硕士MJC一共有九个方向，它们初试的试题是一样的，都给你介绍一下。   01.新闻实务方向（17年分数线363）   本方向是新闻与传播硕士专业下的一个重要方向，也是传统的王牌方向。它以原有的学术型硕士招生专业方向新闻业务方向为基础，为适应传媒人才的市场需求变化，调整培养思路，凸显业务人才培养的特色，实现从学术型人才培养模式向高级应用型人才培养模式的转变，旨在为我国新闻媒体培养急需的高级应用型人才。本方向的人才培养着力强调两个方面：一是着重培养学生养成科学的新闻理念，二是重视学生新闻采编实践能力的训练。   师姐寄语  这个专业是历年报考的大热门。而且有白岩松等名人导师。所以一般情况下来看考试成绩比较高，生源质量比较好。每年竞争比较激烈。也有很多二战、三战的学生报考。今年我认识一个同学就是去年进入01方向的复试后被刷，今年换了方向后被成功录取。说明01方向的复试竞争也是很大。注：2016年参加复试考生19人，录取10人。别的方向在16年都没有招满，而且16年所有方向都是一个初试分数线。所有那年01方向被刷的同学报任何其他的方向，现在都在上研一了。而且我知道，那年刷的9人中，只有一个传媒本校的，还是因为在面试中说了脏话。所以说外校的考生在复试中是很难有优势的，毕竟本校的学生平时接触传媒类实习多、经验足。）   02.媒介市场调查与分析方向（17年分数线371）   媒介市场调查与分析专业硕士方向是建立在新闻学、传播学与社会学等学科的基础上，以原有的学术型硕士生招生方向“传播研究方法方向”为基础，将其人才培养思路从侧重学术研究能力培养转向为新闻传播机构培养应用型人才，致力于为新闻媒体（报纸、广播、电视和网络）培养专业知识面宽，研究分析能力强，熟悉我国媒体运作，掌握统计学的基本原理和方法，擅长媒体调查、受众研究的高素质、厚基础、强能力、宽口径、有专长的高级专门人才。本专业培养出来的学生应该具备媒体市场调查与策划能力、市场研究与分析能力，掌握定量、定性研究手段和统计分析技能及技巧。毕业生主要就业方向是电视、广播、报社、期刊以及互联网等机构的总编室、广告部、经营分析部门、决策支持部门；同时，也为广告公司、市场研究公司、信息咨询公司、企事业单位、政府部门和统计信息管理部门培养从事信息分析、统计分析和经营分析方面的实用型、通用型高级专业人才。   师姐寄语  这个方向 在复试中是需要考数学的 ，并且以后也是需要学习数学的。所以如果数学实在太差的同学不太建议报这个，但是如果是理工科学生考这个专业，进入复试是有优势的，毕竟大数据还是需要数学功底的，而且这个方向培养的也是文理都比较好的学生。奇葩说的姜思达大家知道吧，就是大美玲，本科时候读的就是媒介市场调查与分析。前一段他采访的时候说这个专业就是毕业靠着做ppt就能月赚20000的工作。真实性我无法考证，但是我师姐告诉我这个专业的就业前景非常好。在每年秋招时，早早就能找到好的工作。但是随着大数据越来越火爆，报考这个方向的同学也日益增多。分数线和难度也在逐年上涨。   03.国际新闻与传播方向（17年分数线381）   本专业方向培养政治素质过硬、思想品德优秀、具有突出的新闻专业素质和娴熟的外语应用能力，熟练掌握新媒体技术，具备一定的媒介管理才能，适应外宣及涉外新闻报道等多方面需要的高层次复合型新闻人才。   师姐寄语  这个方向 英语不好的同学就不太建议报考了 ，虽然16年的时候上线人数才2个，但是17年太火了，分数线达到了可怕的389分，而且今年这个方向的第一在复试中也遗憾被刷了。说明这个方向在复试的面试的时候还是很难的，而且每年报考人数非常不固定，所以是很赌运气的一个方向。   04.电视新闻采编方向（17年分数线381）   电视新闻采编是现代新闻传播学一个应用学科，代表了即时新闻传播的发展趋向。作为一门专业性较强的应用学科，其研究对象主要包括：电视新闻报道原则、报道方式、报道手法及采制流程；电视新闻传播手段及其优势；电视新闻的作用及社会影响；电视新闻节目的整体传播格局；电视新闻节目的形态、样式；电视新闻传播的前景及发展走向。   05.新媒体采编实务方向（17年分数线389）   本方向旨在培养具备跨媒体、跨学科、跨文化的思维观，掌握新闻传播专业知识的基础上，了解跨学科背景知识，既深谙专业的理论体系，又对实务工作的方法比较娴熟，既了解人类的经典文明知识，也能洞察前沿学科的发展，既深刻理解和把握中国的国情与传统，也能够清晰地了解世界的前沿动态与趋向的复合型应用人才。该方向毕业生的就业面将突破以往报纸、广播、电视等传统媒介领域，更多的向网站等新兴媒介平台倾斜，不仅具备了一定的传统媒体动手能力，包括摄像、编辑等操作能力，同时具备新媒体的采编能力。   师姐寄语  电视学院的三个方向呢在复试时都是要有加试的，而且 有作品的话就更好 了。但是这三个方向考上之后都是在一起上课的，学的内容也基本上都是一样的，导师都是同一批，大家可以自由选择。复试也是跟电视学院其它方向由同一批老师面试，各个方向录取人数基本上根据上线人员确定。但是据小道消息，如果你是二战的话，尤其是之前报考了新闻学院而被刷了，那么在电视学院复试的时候千万别说。具体为什么，我也不太清楚。我同学说是因为新闻学院和电视学院都特别特别强，所以可能会存在一些竞争关系。当然了，这都是小道消息。我相信传媒大学的老师肯定是只看重你个人的能力的。   06.口语传播实务方向（17年分数线366）   口语传播实务方向是广播电视语言传播学科和播音与主持艺术专业拓展的重要方向，是为应对加强信息发布效果、锻炼教师、公务人员、公关人员等涉及当众语言表达人群的口语表达能力、提高全社会语言传播素养之需要而开设的。本方向的人才培养目标是具备对信息进行全面整合、驾驭、发出能力的应用型高端口语传播人才。   师姐寄语  这个专业是播音与主持艺术学院的方向。它 对播音主持的能力和素质要求特别高，而且这个专业在报考的时候是需要相关的作品的，作品也是占很大比例的分数的 。而且播音这种事也不是一个只看兴趣的事，毕竟有的人天赋就是有，有的人就差一点。比如杨幂的嗓音就不适合播音，怎么练习也不行的。所以如果你一心要报考这个方向，那么记得找专业的人士测试一下你的播音能力，如果不行的话，就别尝试了。但是如果你有这个天赋的话，那么就积极报考吧，下一个优秀的主持人说不定就是你。不过据我所知，传媒大学播音的本科生报这个方向的人也不少。   07.品牌营销传播方向（17年分数线380）   本方向依托中国传媒大学广告学院营销学和传播学两方面的学科优势，结合实践教学方面的丰富经验，面对新营销环境下广告形式创新及与其他传播形式融合的大背景，为广告与营销业内培养急需的品牌营销传播实务型人才。本主干课程共有三大主干课程群，分别是：品牌与广告史论课程群、营销传播课程群、广告与品牌传播课程群。本方向的毕业生就业范围广泛，既可从事企业广告运作与品牌传播，也能从事传统媒体及新媒体的宣传策划与运营工作，以及其它各类机构团体的品牌传播、推广及经营管理工作。（报考情况：这个方向近年来也十分火爆，第一个是因为这个方向录取的人多，名额多报考的人自然就多，第二个是因为这个方向之后的就业是很多人喜欢的就业方向，大家都觉得广告类之后的工作会很有趣，第三个就是因为传媒大学的广告专业实在是太好了，可以说在全国都是顶尖的。这三个原因造成了这个方向竞争大，报考人数也很多）   08.融媒体传播方向【2016新增方向】（17年分数线386）   本专业依托应用传播学雄厚的教研实力和建设中的融媒体数据实验室，培养具有“互联网+”和融媒体思维，基础理论扎实，能够熟练掌握融媒体传播原理和实务及相关数据知识的人才，促进媒体融合转型和融媒体传播应用升级发展。本专业的学习内容以传播理论、新媒体传播理论与实务、受众研究、数据分析、市场营销等基础课程，方法以课堂教学、小组讨论、实地观察和访谈、定性与定量相结合的方法，重点是融媒体传播应用方法以及大小数据的处理和分析，实现“传者-受众”的实务对接。本方向教学以年富力强、学术专精的中青年教师为主，汇集了一批具有新闻传播、媒体管理、舆论学、信息工程、电子通讯、电子商务等学科背景的教师队伍，均具有博士学位。课程的主干部分与应用传播学方向的主要课程基本一致，专业必修课增加三门，一是新媒体与大数据研究，二跨屏收视测量和效果评估研究，三融媒体多屏传播实务和案例分析。   师姐寄语  不要以为是新开的专业报考人数就少，分就低，竞争就小了，我只能说并不是。你这么想的同时其他人也会这么想，每个人都这样想的后果是什么，就是分数涨涨涨，压力大大大。   09.国际广播电视（中外合作办学项目）（17年分数线353）   09方向为中外合作办学项目， 一年国内一年国外 。所以对英语能力是有要求的，要求在出国之前雅思水平达到6.5，而且在 复试面试的时候是全英文的面试 。所以，英语不太好的在面试中就比较危险了，但是这个方向由于 学费贵 ，所以报考人数少，每年复试刷的人不多，竞争是这些方向中竞争最小的一个了。在国际教育学院上课， 两年学费共计16万人民币 左右。  九个方向初试考的都一样，大家可以慢慢考虑到底报哪个  
怎么准备对中国传媒大学视觉传达和数字媒体艺术的考试 ?,谢邀。离艺考时间太久了，招生简章每年都在变，估计经验是不适用的。作为艺术生，你的杀手锏只有两招：1、专业特别过硬，作品一亮就说明一切；2、思想特别有价值，多俗烂的题目都能找到与众不同的切入点。 个人对艺考生的建议是：要关注简章要求，做到心中有数，同时不要拘于试题，要有应对和主导的能力。艺术类考试其实没有统一的标准，很多通过艺考的学生也不是每样都对答如流，在专业不糊弄的前提下，我觉得需要把重点放在，如何在上述考试形式中尽可能把自己的特点表现出来，如何在有限的时间中，更多地引起老师兴趣。 看上去有可能成为前辈师姐，先祝小师妹成功！
中国传媒大学播音主持专业，女生一定要165以上吗？身高不够可不可以考？,可以低于165，现在的规定是“一般不低于165cm”，所以是有通融的空间的
在中国传媒大学（Communication University of China）就读是怎样一番体验？,9十八岁那年，我还是一个可爱的男孩，“记得当时年纪小，我爱谈天我爱笑的”。 我的第一志愿就是计算机，没想过读其他专业。很多人喜欢问我为什么要来广院来读计算机，这个问题....一定要我回答是因为我考的不好，去不了别的学校计算机专业吗？其实，也许，当然不是这样的！ 我这么深谋远虑的人当然能预见别的学校计算机系都是男的啊，就这点，实在不利于我的成长，十八岁啊，十八岁给我一个姑娘的年纪怎么能去工科学校学计算机呢？！ 于是我高三研究了一年的志愿填报相关的书籍，我都能把全国每所211大学的位置，优势专业，男女比，分数线背下来了，经过漫长的思考和抉择，我决定去广院读书。（不要疑惑我为什么不把看志愿书的时间拿来学习，可能是因为广院的分数线并不是很高吧。）   和所有刚来这个学校工科生一样，报道的那一天给了我震撼，我就像进了大观园，真的害羞的抬不起头。女生真的。。。好多啊  =====下面是正常的内容=====我是分割线==================================   硬件环境：  校园挺小的，说起来一半还是居民区，无论你在校园的哪一个角落，八分钟只能就能赶到另一个角落，而且自从我来的这三年，学校一直在修，从修教学楼，图书馆，到修体育场，游泳馆。可能到我毕业了，才能真正等来一个完整的校园，不过那个时候我也走了，呼....好遗憾。 虽然我们学校小，但我们工地多啊。 说真的，因为学校太小了，所以说不上美或者不美，唯一称得上景观的就是一教后面新修的人造湖了吧。 想起来从前有一次，蹲在人造湖旁边看水，结果有一只乌龟探出自己的头看了我一眼，然后就沉了下去，我现在想来还觉得非常的奇妙，因为湖水抽了又放，放了又抽，不知哪来的活物呢？ 也许是定福庄底下哪个陪葬的乌龟活到了现在吧 也许是某个同学放生的吧。 我有时候还会想，当初那只乌龟现在去哪儿了呢？  虽然学校没有多美，但是对于一个普通的学生来说，该有的它却都有。有空调，有全面覆盖的wifi，有独立卫浴，到处都是的咖啡厅。 甚至因为学校女生比较多，学校把男女厕所的比例变成了3:1。     广院就像一个虽然UI平庸，但是却将用户体验做到一流（相比较其他大学）的App。   我想，这确实是一个相当适合大学生活的地方。     氛围：  广院是一所学生组成很复杂的学校。 学校1/3弱是艺术生，1/3弱是理科生，剩下的就是文科生了。这里应该是全国文理艺比例最平均的学校了吧。所以我觉得学校的氛围其实是独特的。 但我其实也无法去准确描述广院到底是一个什么样的氛围。 也许是因为这里的学生的反差比其他学校更要大得多吧。  第一，广院是全国据调查，所有211大学中人均生活费最高的（包括外快），达到了2000。 主要原因应该是学艺术的同学拉高了生活费的水准吧。而我这样的工科屌丝和其他工科院校的生活费水准应该是差不多的。所以你可以思考一下，这里的贫富差距还是比较巨大。所以，生活方式还是非常多样化的。有白天呆宿舍晚上混夜店的，当然也有白天蹲图书馆晚上混宿舍的。  第二，广院高质量女生人数应该是全国最多的。所以，外貌差距巨大啊。 你可能不知道什么时候就会眼前一亮，我刚开始来这个学校，看到有些女孩，我心里的活动基本就是：  “人怎么可以长成这样！！简直突破 了人类极限！”   第三，由于有学艺术的，有学工科的，有学文科的，其实大家脑子里面装的东西还真的不太一样。 学表演的可能会想：终于到周六了！终于可以不用6点起来出晨功了。 学游艺的可能会想：又要去画裸女了，可是长得实在提不起兴趣啊喂。 学音响的可能会想：妈蛋啊，我高中学文科的怎么上大学了还要学物理，这到底是啥。 学电视的可能会想：又特么要熬夜剪片子了，这么多素材是要搞毛。 学新闻的可能会想：又来一篇论文，是要写死我吗？ 学工科的可能会想：妈蛋，为什么别人都放假了，我们还要留这儿上小学期 ........ 由于大家学的东西真是千差万别，所以思维方式真的是有所不同。    当然，看到这里，我应该说，学校里什么人都有，所以，这里的氛围最重要的一点就是包容。至于其他的，说不清。   也许正是因为这种包容，才导致我说不清吧。    学术：  身为一个本科生，真的不好意思去评价学术。 但大体上，新闻，电视，动画，广告，小语种，以及所有艺术专业算我们学校排名全国前几的专业。 由于我的个人兴趣，我听过很多门公选课，也蹭过一些别的学院的课。 就这一点我觉得特别好，如果你是一个对于电影，音乐，新闻感兴趣的人，这里真的还是有很多不错的老师的课值得去听。而且搞艺术的老师一般都比较有趣，所以课一般也比较有趣。 如果是一个工科生，应该要去好好利用一下这样的资源，毕竟这样的资源全国独一份。   身为一个程序员，好久没有写过这么多字了... 写这么多，大脑已经缺氧了。  不过呢  我爱广院。     ============================3月7号=============================  看到好多人喷学校，其实，有点难过。对于我自己而言，上大学之前我有很严肃的，很充分的选择这个学校这个专业的理由，可能在别人看来其中的部分理由有点无厘头，但是基于这个理由所产生的期望，到最后并没有让我失望。 不过有些同学，来到这个学校并不是想学习理工科，结果因为某些原因不得已读了理工科，自然会容易对一切都很不满。是这样的情况，要不转专业，要不去蹭课，找实习，还是不难的。 也还有一部分同学，并不喜欢自己的专业，但是也确实不知道自己喜欢什么，这个我觉得应该用大学四年多尝试一下，毕竟大学试错成本低，尽快找到自己喜欢什么。假如只是一味的抱怨，然后浑浑噩噩的过，那确实很难办。 而满怀期待来到这个学校，也读到了自己想学的专业的同学，依然也有很多人不满，毕竟没有什么是完美的，那几个专业都是号称国内最好之一的了。 恩，大概就这些吧，希望大家都能找到自己想要的。  虽然说了广院不太好的影响，但是这都是根据我个人经验得出的，不一定适用于各位。 所以，广院还是永远欢迎你的，再读一遍大学我也会毫不犹豫选择广院。
如何考上中国传媒大学电编系？, 首先问自己，是不是为了逃避高考才考编导（分清文编电编了的吧？）。抱着这种心态的一般都考不上广院的电编。  然后看书，看纪录片，还要关注时政新闻和社会新闻，没事看看TED可以学习公共演讲的仪态和表达。没必要去上艺考培训班，培训班出来的很多都去浙传了。  最后保证自己的分数线过一本，超10~30分是比较保险的。 
中国传媒大学广电编研究生一般考什么？,  广播电视学 （0503Z1）研究方向有：01广播电视史论02广播学03电视学04纪录片学05新媒体传播06媒介文化传播  考试科目：①101思想政治理论②201英语一、202俄、203日选一③712新闻传播史论④815新闻实务   专业  拟招人数（含推免生）：53    推免生拟招生  人数：16    学制：3年    才@思为您解答。  
三跨考中国传媒大学是怎么样的感觉？, 能进去不错的，传媒大学美女多，富二代多，进去认识点朋友好过去别的大学混个文凭，说实话。 
中国传媒大学到底多难考？怎么个比例？,你是问播音吗？大概100个里面挑一个吧。文化现在的要求大概以河北750满分来说大概550左右是较为稳妥但也不算很高，今年播音系艺考加了笔试。
如何评价中国传媒大学军训“女生月经开云南白药止血”被吐槽？,这个我真的不信。 就算医务室工作人员（应该不是真正的医生）再傻逼， 只要你明明白白说清楚你痛经 ，  痛经也不可能给你开云南白药！！！   痛经也不可能给你开云南白药！！！   痛经也不可能给你开云南白药！！！  估计是女生自己没有和工作人员说清楚（估计是不好意思），让对方错误理解了意思，再加上以讹传讹，才出现了这条消息。具体情况不清楚，但是希望各位不要暴露智商。
不学传媒的情况下怎么考中国传媒大学？,中传也招收普通类学生 比如新闻 广告 广电 编辑出版 通信 软件 自动化 文法 经济 中文 外语等等吧
直接高考，中国传媒大学有哪些可以选的较好的专业？,呃 谢邀 这是中传的官网 中国传媒大学 白杨网    1、直接高考，是不是不能选艺术类的？ 是的。艺术类、自主招生类、普通类分开招生。通过普招进入中传可以申请转专业到艺术和自招类，转专业难度我不太清楚，因为我没转过。 2、如果不自招去高考 考上很难吗？ 就文化来讲，中传这几年似乎是在逐年上升，尤其是文科。所以可以说有一定难度。 3、像文编 编导那样的专业，一定需要先通过专业考试吗？ 是的。即使宣讲的时候我们会说电编文编不需要专业知识，但这也是艺考专业，需要先通过考试。 4、普招专业有哪些可以选？ 这个我就先以教育部2012年学科评估为基础，来说说有哪些强势专业。（网址： 教育部学位中心2012学科评估结果公布    ／ 教育部学位中心2012全国学科排名    ） 一、人文社科大类：新闻传播学（得分：92，排名和人大并列第一） 新闻传播学是一级学科，下设有新闻学、传播学、广告学、广播电视学、编辑出版学五个二级学科。在中传，编辑出版学和广播电视学是自招，但是广电有一部分普招名额，各省不一。除了这两个，其它专业都是普招。专业在学校主要分布在电视学院、新闻学院和广告学院。除了这些二级学科，这些学院还有公共关系学、网络与新媒体等专业（这些专业有一定交叉性，似乎没有被分进大类中），都是很好的专业。可以说是行业内顶尖。 官网请戳：电视学院 中国传媒大学电视学院    新闻学院 新闻学院    广告学院 中国传媒大学-广告学院    二、艺术学大类：戏剧与影视学（得分92，排名第一）、艺术学理论（得分77，排名并列第四）、设计学（得分77，排名并列第六）、美术学（得分70、排名并列第十） 由于这些专业属于艺术学门类，包含的专业也基本都是艺考专业，也就不再赘述了。其它艺术类专业我也不在下面提了。题主有兴趣我再补充。 三、工学：信息与通信工程（得分71，排名并列第十一） 中传建校三大院系之一就有无线电专业，在这一方面还是具有一定实力，在这一方面中传自然比不上传统理工类院校，但是如果有志于从事电视、网络相关的工程类专业，中传绝对是很好的选择。广播电视工程、通信工程等专业都是中传理工科中的很优秀的专业。  这是在教育部榜单上榜上有名的专业。这是目前而言权威性最高的一个榜单。但是仍然具有一定局限性。比如参评学校的数量，并不是所有学校都参与了测评，有的学校在某个学科上开设了博士点都没有参评。  接下来我想说的是我的个人了解到的一些信息，除了上面提到的，中传的一些很好的专业。 一、外国语 中传的外国语学院除了英语这样的“大语种”以外，最大的特点和优势就是体现在小语种的开设上，中传小语种科目的开设十分的多，官网请戳 系部设置   。 二、经济与管理 中传的经济与管理学院开设的专业的优势之处体现在它和传媒紧密关联。包括经济学（传媒经济）、文化产业管理（文化经纪／影视制片管理两个方向）等专业，官网请戳 本科生专业介绍     先说这么多哈，题主有问题再问。后面的部分可能带有一定的个人看法。不要介意。
中国传媒大学有推免研究生的夏令营吗？,额，这个没有了解过yeah，室友是推免的but并没有听说过有
中国传媒大学的数字媒体艺术专业怎么样？,一样
中国传媒大学数字传媒艺术专业需要过艺术联考吗？,谢邀，看你们省教育局的规定，有的省需要，有的省不需要，需要的省一般是编导类，少数美术类。 关于我校数媒的报考，这是我之前的答案。   http://www.  zhihu.com/question/4890  0464/answer/113224123    
中国传媒大学在职研究生复试线？, 中国传媒大学在职研究生复试分数线还没公布，参考： 2015年中国传媒大学在职联考GCT分数线预测              2014年中国传媒大学在职联考GCT总成绩分为两种，有学士学位考生GCT总分不低于156分，无学士学位考生GCT总分不低于174分，GCT英语单科不低于30分。   　　2015年是中国传媒大学在职联考GCT考试的最后一年举办，考生人数骤增，这也导致考试难度有所增加，分数线势必有所提升。综合以上因素进行预测：2015年中国传媒大学在职联考GCT分数线将在180分上下波动，单科在30分上下波动。 
中国传媒大学通信研究生毕业工作方向是什么？读研阶段学术氛围浓厚吗？,通信专业即使是本科也是蛮好找工作的。帝都高校那么多，通信方面清北就不说了，北邮，北理，北交这些学校这方向都有实力的。考虑到就业，我觉的还是考工科学校好一些～
中国传媒大学艺考戏文的考官喜欢看什么类型的考生作品？,谢谢邀请。  不好意思，完全没有概念。
中国传媒大学广播电视编导专业就业前景如何？,不会不好就业，关键是想清楚自己到底想干什么，然后往那个方向发展，就业大部分跟自己的专业无关，就算发配边疆，你也可以自立为王。
中国传媒大学新闻系很难考么？, 这个题我一定要答。N年前我读的时候，每个省文理各招一名（有些省招都不招啊，当年东北三省就只在吉林招了)。我是读理科的，来自西南某省，超一本重点线80分。同寝室的江西文科招进来的超一本70分。没问过北京的同学。估计不会太低。反正在广院的专业里是收分数一数二高的，估计现在也差不多。不过那啥，英语好的话，报国际新闻吧，如果再给我一次重来的机会，我就报国新，以后就业选择面要宽些。还有那啥，广告的就业比新闻好多了，毕业后的收入在广院所有的专业里好像是最高的，不过收分也要比较狠，当年广告在我们省也是收一文一理，理科那个比我还要高二三十分，离清华北大的线也差不太多了。建议一定要有把握才报，因为招的人实在是太少了，不小心就会调剂到工学院(理科)/经管(文科）之类，这些在广院都是弱势专业，大学四年会过得很郁闷的。还有，良心建议，长的一般的女生千万不要报广院，会过得更郁闷。   总结，广院新闻系的分数是虚高， 性价比比较低。妹子，北京土著的话，报个北京理工类学校的外语系(千万不要报比新闻系性价比还低的中文系啊）吧，就业上可进可退（新闻系的就业非常一般，完全要看关系，最后混得好的都是家里有这方面背景的，真的，而且这行其实非常歧视女性），还容易解决个人问题，过得也会开心很多的。 
中国传媒大学影视文学考博？,不清楚
二本工科跨专业考研中国传媒大学的可能性？, 1 考上的可能性很大。首先文化课以中传为例，2017年的复式线在380左右，复试的话难度很大。但是表现优秀，本身资质很优秀就能被录取阿，有什么难度。中传还算透明。  2  就业，噢基本上是死路一条。基本上没有什么编辑/记者生存的岗位了。所以鉴于你的提问，我觉得你对媒体相当不了解，不建议考。 
例如中国传媒大学的小圆筒这种校园资讯类网站，还需要做哪些方面的完善？,做出深度，而不是广度
怎么评价中国传媒大学女生表白郑大男生这一事件？,邀请我啥意思啊  首先，感觉这女孩子好能说好会说好擅长表达，话语中间的逻辑关系处理得非常好，由浅入深，很完美  其次，这男孩子应该也是不讨厌女孩子的，不然不会生日给她写信什么的，所以在一起应该也不是什么问题  最后，我觉得这也就是别人自己的选择而已，选择公开出来表白，不是什么大事儿祝福一下就行了就别再分析了，有什么意义嘛，简爱说的：我们每一个人用自己的行为向上帝负责，绝不要求别人为我们承担什么。所以人家的事儿看看就行了，别把知乎的风气搞成随便一个小事就拿出来分析讨论，没有意义的  最最后，这还是两个人都可以接受的表白。反正我不接受当面表白，不接受当众求婚。两个人自己的事，我只希望在一个只有我们两个人的场合，然后你问我愿不愿意。所以！胖友们要看对象使用表白方式啊！  对！我就是有男票（≧∇≦）
本人北京考生，今年高三。想报考中国传媒大学的传播学专业（中外合作的），求问好考吗？,题主你去了吗，我也在考虑可以分享一下不
上中国传媒大学很烧钱吗？必须有背景和人脉吗？,是的，理科生别来。
