求赐一个东北师范大学文学院对外汉语专业的学姐学长！！！？, 东北师大的对外汉语专业的硕士在国际汉学院培养，不在文学院 
作为一名广东人考研选择华南师范大学还是东北师范大学？,如果以后想回广东就业，还是华南师范大学有优势，虽然不是教育部直属，但也是211啊。 尽管每年都有很多两广的同学报考东北师大，以后也愿意回广东工作，但相比东北三省 河南 河北 山东 山西 内蒙古的同学，来回路费 实习的时候需要考虑到的各种问题 还是华南更方便。 虽然每年广东也有很多地方来东北师范大学招聘 往年多数是深圳 珠海 顺德等地的来 。其他的暂不了解。 又去看了一眼问题，发现你在人文学院读本科，考本校的研究生有优势。但是要考虑工作，还是需要再斟酌下。
东北师范大学333教育综合参考书目？,同问
东北师范大学经济学院的四个专业哪个就业比较好？, 都不太好   金融和国贸稍微好一些 但也基本是二三线城市银行柜员或小职员起步 其他俩个直接扑街  
东北师范大学有哪些学生喜欢吐槽的典故？,本部人会有同感的——  1.“学吉他送吉他” 来源:上学三年了三年了啊，总有一黑黑矮矮胖胖大叔，拿着或蓝色或黄色或粉色或白色的琴行传单，风雨无阻地出现在北苑前化院前逸夫楼前，挡住你匆匆前行的脚步，多次重复着这样一句魔咒，塞给你一张传单，让你无处可躲措手不及。  2.“同学什么面？打卤面炸酱面。。。” “要吃什么同学？来刷卡啊” ——北苑二楼食堂经常能听到的招揽客人的声音   3.食堂补课文化，家教一对一 大学生补课当家教不是什么稀罕事，尤其在我们师范院校，尤其理科和英语专业，有供有求，专业对口，我们的同学在家教行业摸爬滚打龙腾虎跃。东师本部家教服务平台的QQ群都好几个分群了，还有隔壁南岭一起组建的东师南岭家教群等等。每当过了饭点你就看那北苑啊，家长给孩子准备好了餐布铺在油腻腻的饭桌上，我们的同学开始给学生答疑解惑，大部分家长不会陪同，多是小孩自己来，也有在小孩对面织毛衣绣十字绣聊微信看视频的。  4.十分想吐槽打印啊 在东师本部待了三年最近才知道，原来综合楼的打印社和北苑地下的打印社是一家子啊！讲方言就像在讲外星语根本听不懂，服务态度十分不耐烦。。。于是我们宿舍都喜欢去浴室二楼打印，纸的质量最好价格是最便宜的，大叔和阿姨都很和蔼。而图书馆和田家炳的打印社居然在上学期期末的时候涨价了！也可以自己打印，图书馆电子阅览室的打印机一般都墨浅而且不方便排版，更坑的是有的时候电脑不好使，不小心多按了“上传”就多打印了好几份（可能是我比较笨在这方面吃过亏）而整个校区最没存在感的两家打印社，一是南苑东侧，二是师训大楼北侧，本科生打印一般很少选择这两个地方  5.图书馆 大概每个大学都有严重的占座潮流，当然我们奶牛（NENU）也不例外，一楼到四楼，人走书留，比比皆是。不过最近期末，图书馆人很多啊，走廊里，楼梯里背书的一大片。图书馆那几位短发的保安阿姨感觉很彪啊，能用眼神杀死你。二楼学习空间和四楼理科阅览室，个人感觉很热啊不适合学习看书。  6.永远的CP“南岭” 东师庵和南岭庙啊哈哈哈，一个死而无汉，一个遥遥无妻，精辟地概括了两所相邻的学府男女比例严重不平衡而且都找不到对象的可怜状况，其实南岭和东师联谊还挺多的，我认识好几对情侣都是南岭男生和东师女生的组合。之前的李思磐事件，导致很多南岭的在微博上力挺东师，还将南岭和东师拟人化写了很多甜文。  7.选修课老师 ①首推《人文物理》王庆勇老师。大一时候选的，一个文科生最喜欢听老师讲物理学家的八卦了，总是搜罗最新最具科技感那种物理知识讲解小视频给我们看，然后分析原理。有的时候会有临时作业，有的时候能在他带领下去物理楼用望远镜看星星，最关键的是基本上只要你每节课都去分都不低 ②《人体构造与健康》胡健老师，感觉年事已高，不知道还能再上多久的课，但是看起来精神状态特别好，上课幽默风趣，文科生选这个可以填补缺乏的生物知识，理科生选这个可以补充生活保健知识。
跨专业考东北师范大学中国现当代文学专业怎么样？好考吗？, 谢邀。我不了解东北师范大学的情况，但是看了你的介绍，我简单说说我的看法吧，可能有些地方说得还不够准确。  1.只要分数考得高，跨不跨专业真的没什么关系。  下面的问题我想用《论语》的一句话概括：古之学者为己，今之学者为人。意思是以前的人做学问是为了修养自己的学问道德，现在很多人做学问是为了装饰自己给别人看。  我觉得你在考研的选择上，就是出于更多现实考虑，无非是想混个好的文凭能够有个更好的工作吧。当然，不是说这有错，只是我觉得，没有哪一个学位能为你找工作作坚强的后盾，还是看你自己兴趣吧。     “你为什么学文学？”  “因为能够穷得有诗意一点。”     
请问东北师范大学非师范研究生就业机会怎么样呢？,就我的经验而言，单从就业而论，算是十分顺利。尤其以教师为志业的朋友，东北师大的就业率和口碑要甚至高于一些985院校。
有东北师范大学历史文化学院在读的研究生或者本科生么？希望可以帮我买到真题，感激不尽,我这边有你需要的资料，要的话联系我
开学要在东北师范大学学数学与应用数学了，请问都学些什么？我可以提前预习准备些什么啊？,这个很简单的，一般在你们大学的数学系的网站上面就有具体的学习计划，找不到的话就百度大学数学专业课程
东北师范大学心理健康教育是专硕还是学硕，少干可以报吗？如果可以报专硕 要读几年,专硕 可以报少干 如果过了统招线是两年，不过就是三年
河南人在东北师范大学就读是什么体验？,谢邀 除了东北三省的人，其他各省在东北师范的比例都是差不多的，同一年级差不多有10个吧，老乡还是蛮多的。 气候来讲，你担心的不是冬天太冷，而是夏天真的很热！冬天到处都是暖气，几乎遍布了你去的所有地方，但是夏天学校连风扇都没有，从六月中旬开始进入了比较难熬的时候，你甚至半夜会被热醒，七月中旬会放假，只要度过了这一个月，其他日子还是比较舒服的。 这里没有秋衣秋裤，春天很短，几乎不穿毛衣，冬天可以短袖加羽绒服，没有胡辣汤但有烤冷面，挨着边界所以街道上很多韩食，长春消费不高，大多数人穿的低调舒服，长春在东三省的城市来讲，东北口音不重，基本偏普通话，紫外线还是比较强，天空多数比较蓝，白云很多，公交挺多，出门方便，马路上只有汽车与公交车，几乎看不见一辆自行车更何况河南很多的三轮车，电动车。空气还不错，没有大妈跳广场舞，人口不密集。 刚考过试，先这么多，想到再补充，就酱
要考东北师范大学的教育技术研究生，应如何准备？怎样安排每天的学习计划？如何学好c语言？,C语言就靠刷题 话说为什么这么想不开要考这个专业啊……
东北师范大学有没有古典学系？,本科没有。本科历史文化学院，只有历史学跟旅游管理。研究生我记得是有古典所的。
东北师范大学是个怎样的大学?,作为东师大二女生，我想从以下几个方面来回来 1.地理位置——东师在长春市所有大学而言是地理位置最好的，附近有吃货一条街桂林路，离商业区红旗街和重庆路都比较近，离火车站也不远，总之生活相比其他学校是很方便的。 2.校园建设——学校虽小但设计精致，可以说东师的宿舍是全长春条件最好的，有电梯，供暖好，干净安全。综合教学楼和逸夫教学楼虽然很破旧了，不过厕所都有装修，上课还是可以的。学校的唯一缺陷就是宿舍和图书馆离很远，如果你是学霸的话就要辛苦一下了。饭堂很少，两个，吃货们可以出去吃。 3.学校教学——学校还是有很棒的老师的，不过也难免个别比较水，大学嘛，多看书比较重要，学校一向支持学生好好学习。不过相对应的是学校不管干什么都要看成绩，包括一些社团学生会在内。 4.社团活动——可以说这是东师的败笔，比我高中社团水太多太多，不要抱有太多的期待，社团活动不进无聊而且黑幕重重，我就是被【东师青年】黑掉的一个例子。 5.学生面貌——总体来讲学生还是很朴素的，浓妆艳抹的比较少，大家都很清新靓丽，学长学姐们人很好，大家都乐于帮助其他人，同学之间相处都比较融洽。 总体来说，东师是一个还不错的学校，至少找工作时还算很抢手的哦~
在东北师范大学读数学系是一种什么样的体验？,读了快三年了。大一大二课非常多，多到我们院当时流传一句话，拿最少的钱上最多的课。再就是挂科率，全校第一。大一下数分2期中，全院267人只有7人及格。期末267人挂科108还是128人。导致好多人补考。补考不过继续重修。名副其实的数学与挂科学院
华中师范大学和东北师范大学考研哪个更难？,泻药~ 本宝宝华中师范大学研究生一枚… 这么跟你说吧，中国的师范类院校中属于985的只有北师大和华东师大~这两所相对而言比较难一点。报考人数也多一点。 华中和东北师大都是211。等级应该没差太多 但考研难不难主要看你所报考的专业是否自主命题，是否有规律可循，以及报考人数和本年度招生规模。跟哪个学校好像没有太大的关系。
去东北师范大学读专硕学科教育语文怎么样？,东北师范大学的所有师范类专业在全国都是有名的，绝对不会在就业上拖你的后腿。长春物价并不高。至于跨专业的问题不仅仅是东师，我相信全国的学校都会有这样的状况。有的学校甚至明文禁止跨专业。东师貌似不禁止。但是，如果你是老师，一个跨考的，你也会担心这个学生没有干货，仅仅是考试上突然人品爆发怎样，所以复试好好准备就行。你要是可塑之才，老师自然会要你。欢迎报考东北师范。学科教学还是竞争比较大的，毕竟很多人想通过这个专业成为正规师范科班生。现在中小学越来越看重师范出身了。
那个..学长学姐们，东北师范大学军训需要剪头发吗？,不需要的，哈哈你想多了
在东北师范大学读非师前路怎么走？,大一好好学，转个专业。不过师大非师是不能转免师的。但是你可以选择师范类的专业啊，数学，物理这些，还是挺好的。我们院数学非师的基本选择考研或者当老师了。除了一些不能正常毕业的，没听说谁没找到工作。
东北师范大学计算机研究生怎么样？, 挺好的  
想考东北师范大学世界史研究生可以看哪些参考书呢？课外书非课本,基本的思路就是  看考研辅导书  讨巧的方法就是看 报考方向大牛的专著、论文。
有什么推荐的东北师范大学人文学院的选修课？, 强烈推荐同学选择王老师的超越生死的幸福智慧 
救命啊！我要报考东北师范大学研究生，跪求大神赐教！！拜托，拜托！！？,不如直接打电话给教务处相关办公室问吧，态度挺好的，要不然加一个文院的群，只知道师范类相关每年都争得你死我活，，有把握一点不如不要选师范类的
如何评价东北师范大学断电、断网、食堂对外承包的一系列政策？,我总觉得是信息办缺钱只好掐我们学生的网络了，但是大家都在积极投诉，尤其我们专业的…没网让那些做acm的怎么活…
在东北师范大学读书是怎样一番体验？,不多说，简单粗暴的上图，大部分都是手机拍的，请原谅画质 from生活在净月校区的我  旭日广场~著名的东师大菜花     春天，少女心的桃花和杏花      桃花林里，捉住一只月半答主⊙▽⊙  我们的春华坠美腻。人美花美，宿管阿姨也美⊙▽⊙     在春华公寓和光华公寓之间，有一条小路，它叫~春光路  2015年，走在春光路上   2016年，依然走在春光路上   以此类推，春华和光华之间的小亭子，叫春光亭⊙▽⊙ 喜鹊！喜鹊！    最想念当年的二食堂   想当年，师大的食堂可是江湖一霸，东北吃饭大学，绝非浪得虚名⊙▽⊙  四川那家的炒饭相当可以，还送粉粉的泡菜   飘香居，拍大腿的那种好吃        还有金明池的烤鱼，小姑娘冰淇淋，天下第一粉的鸭腿面。。。 好可惜手机里图不多了      最后，东师の小花      喵，手机里图不多，先就这些了⊙▽⊙
东北师范大学学科教学语文录取黑不黑？,放心，东师还是非常公正
湖北今年理科重点线484，我考了549分，上东北师范大学有戏吗？有什么好的建议，谢谢！？,泻药，东师是很有希望的，因为东北的大学在南方的录取分都不高，祝楼主顺利考上自己理想大学。
东北师范大学的英语系和物理系怎么样？,都不好
东北师范大学和郑大去哪个比较好？,知乎小透明第一次被邀请，感谢。         首先我是山东考生，且已毕业多年，不是很了解现在河南的高考招生政策；其次我毕业于国内排名前几的电力大学电气学院的弱电专业，这也许是题主邀请我的原因？但是题主所说的这两所学校我不了解。           然而不是一点忙都帮不上。题主是比较向往电气类专业，可能不止有这两种选择。下面是题主自己能做的：       1. 告诉我今年河南高考招生的一本，二本分数线；告诉我你自己今年的高考分数。（刚查了下东北师范大学是211，所以题主的高考分数应该过了一本线了吧）      2. 电气工程及其自动化，自动化，核电，水电，风电，新能源这几个都是强电专业，都能进电力系统工作，当然我们弱电类专业也是能进电力系统的。这几个专业优先选电气。 3. 选几个自己心仪的学校，参考往年的录取分数线并和当年的理科一本线进行对比。在所选学校里选几个自己心仪的专业分析历年分数线并与当年一本线进行对比。 4. 听一下自己学校高三老师的建议，毕竟他们带了这么多年毕业班，还是比较有经验的。          刚刚去查了一下国内电气类专业排名靠前的几个学校，这些在网上很容易查到。感觉让我再考一次大学，我就没有学上了 。同样题主可以自己查一下自己感兴趣的其它专业排名靠前的几所学校。          看来题主不是不想来一线城市，是一线城市大学的分数线太高了。又把全部211.985大学和历年分数线都看了一遍，我都开始怀疑人生了。  &lt;补充&gt; ①大部分学校都有转专业政策，只要足够努力。 ②优先选一线城市的学校，能进211.985就不要选双非。  最后，大学不是学习的终点，不要以为考上大学就可以放松了，大学恰恰是最应该奋斗的时候，为了自己以后的人生，不管是读研还是工作。  最后的最后，祝题主前程似锦。
吉林大学的电子信息科学与技术与东北师范大学的英语哪个发展前景好？,学俄语吧。
东北师范大学心理学怎么样 本科生？, 你好，这个学校，可能是我孤陋寡闻，在考研以前没听说过，但后来知道还是不错的。有两个学科排名可以参考一下。  一、教育部学位中心，2017最新排名   可以看到东北师大排在第15名  二、中国校友会网《2016中国大学学科评价报告》               这里东北师大也是10多名。  另外值得一提的是第四军医大学虽然排名比较靠后，但却是目前为止中国心理学学界唯一的一个国家科技进步一等奖获奖单位。  如果真的喜欢心理学专业，选学校时还要看两点，一名气，二所在城市。  学校的名气毋庸赘言，985、211，越是重点将来找工作时越受青睐。不仅如此，考研时也会很有帮助，有些学校甚至明确规定非211不要。既然你考虑了东北师大，说明你的成绩上211是没问题的，那尽可能再往985上靠一靠。北大、北师不好考，其他985还是可以碰碰运气的。  说到城市，东北师大就不太好了，东北本来就经济凋敝，人才外流，思想落后，长春这地方更是没落的一塌糊涂。除非你不介意，否则真的不建议。  最后再从职业发展上来说，如果你真的喜欢心理学，建议你选临床心理学专业。虽然多上一年学，但毕业发的是医学学位。不仅可以搞心理，还可以进医院做精神科医师。就算你不想当医生，做心理治疗师也可以。顺便说一句，心理咨询师是卫生部认证的，属于中级职称，得在医院工作才能报考，含金量可是烂大街的什么人都能考的咨询师所不能比的。就算这些你都不想搞，考研时转其他领域也是可以的，基础心理学、发展与教育心理学、工程心理学，任你转。但你如果本科不是医学，再想转医学，那可比登天还难。所以从机会成本来说，还是建议报临床。  就说这些吧，敬请批评！ 
在东北师范大学蹭课是一种怎样的体验?,谢邀。 矮油看到这个问题吓死我了难道我蹭俄语课的事情被知道了?(´⊙ω⊙`) 本身就是师大的学生 所以很多课不存在蹭与不蹭的区别 只有选与没选的区别 而且我想题主这个问题就是针对东北师大的学生而不是外校学生来蹭本校的课吧～（所以楼上焦哥 @焦鸿儒 我脚着你跑题了…） 好啦言归正传 上大学之前就对大学生活很向往 不知道被什么人蒙骗在我印象中大学有很多神（dou）奇（bi）的课堂 就像什么吃饭课 算命课 （其实这些我们学校都没有）所以立志上大学以后把这些课都刷一遍 现在大三 愧疚的是自己感兴趣的课余课堂只刷过一门俄语（这门课我没有选 应该算是蹭课吧） 作为一个从大一下学期就开始蹭一直蹭到大三上学期从俄语一上到俄语三又上到俄语一我还偏不选这门课の顽固份子 已经在老师面前混了个脸熟 并且因为这学期学院的课程安排 吃完晚饭后再去上俄语课就会导致迟到 在课堂上俄语老师教发音和例句的时候就会看着我说：“迟到 你怎么总迟到”（当然是用俄语说的啦）囧rz  如果说蹭课最大的感受就是因为没有选 可以根据自己的兴趣 想去就去 不想去就不去 也没有作业 考试和分数的限制 完全没有压力 而且师大老师也很好啦～～～ 我知道我们东北师大不算什么好学校 虽说是全国top50但是光是top50应该就有300所学校了吧Lol 一个普通的211在一个很普通的城市 可是也不像上面一个匿名答案说的那样算是傻逼学校吧 所以毫不犹豫点了“反对” (•̤̀ᵕ•̤́๑)哼 以上       祝好
东北师范大学心理学2017年学硕考试应该如何备考？,同学你好，东北师范大学是211院校，心理系中发展与教育心理学方向拥有心理学 博士点 ，其中基础心理学、发展与教育心理学、应用心理学有 硕士点 。报考的时候要选好你感兴趣的方向，东师的三大方向基础、发展与教育、应用心理学方向都有招生而且考试科目是一样的，不过你是本专业不用担心不能考，跨考东北师范大学学硕的孩子们注意，学硕的应用心理学 不招生跨学科考生； 发展与教育方向跨考生 仅限教育学、英语专业 ；基础心理学方向跨考生 仅限医学、生物学、计算机科学、物理学专业 。如果同学们将来想留在东北找工作的话，东师是一个非常不错的选择哦~！加油~！   
四川农业大学和东北师范大学的法学 应该选择谁?,谢邀，四川吧，这样以后你的同学会是你职业所在地的法官，检察官
求东北师范大学微生物专业研究生学长或学姐联系方式！想考研，现在十分焦灼啊？,可以加我q1023005002
怎么看待东北师范大学庞某等人诋毁中医和中国？,凋敝东北的希望之光。自豪。
东北师范大学音乐学院今年几号放暑假？,7.15
东北师范大学的编导专业怎么样？,广播电视编导主要是传媒，电影导演是戏剧影视导演专业，电影导演的话就不要想了。就传媒来说，东师的编导还是很好的。
东北师范大学考研(跨专业)？,可以看一下东北师范大学研究生院网站的信息，登录官网——机构设置——研究生院，耐心找一下，信息很全。也可以登录中国研究生招生信息网查询一下。希望对你有用。
东北师范大学本科毕业，毕业后当老师、去考公务员、还是去考研呢？学教育管理?,首先谢谢邀请。接下来开始回答你的问题。  如果你是北师大的本科和随便一间二三流的学校的本科毕业生的就业前景是不一样的。毕竟教师有时候还是会看你毕业院校的（虽然现在很多211 985毕业生也不一定会比普通院校的毕业生优秀很多）  假设本科的院校是非211 985院校。        本科毕业后马上就业也不是不可以，但如果你要当教师的话，你现在就应该就要准备教师招聘考试了，你要知道你想去哪个城市当老师，你要了解薪酬、考试的时间、考试内容、外市定点招聘的信息（通常来说外市定点招聘的难度会相对于直接在该市招聘简单）要是考上了，那你就等于完成了你的心愿了。竞争力的问题我们先放一放，等下再说。         考研的话，你要知道你为什么要考研？考研对于某些人来说，只是为了给自己渡一层金，而有的人考研是因为渴望知识，想研究更多的教育问题。研究生也分学术型研究生和专业型的研究生，学术型的一般来说含金量更高（含金量是从培养计划和毕业要求的方面来说）。         考公务员的话，你最好还是先了解清楚你想考的那个城市的对公务员的学历要求是什么？有的城市对公务员的学历要求最低就是硕士起步。但是如果你要报名的话，你可以先报比较冷门的部门（比较容易考进去），先挤进去公务员的队伍里面，以后上岗了还会有人事调动的，说不定就可以调到自己心仪的部门里（当然，人事调动是需要人脉的，但这也是你就业后的事情了，就不说了）。          好了，现在开始排序，如果你急着就业的话，你就去准备教师招聘考吧，如果你想继续当一名学生的话，那就去考研吧，公务员想我上面说的，假若你要考的市本来就要求至少是硕士学位的话，那你不考研也当不上了。          但我觉得总的来说，假若你是真的还想读书的话，先以考研为第一目标，考不上就去准备教师招聘考那是比较聪明的做法。从时间上来说，考研是大四上学期的期末（12月26、27日）就考了，这时候教师招聘考也就陆陆续续开始了，但具体是什么时候开始，各市的情况不一样。         从考的内容上来说，你先准备考研，考完以后马上开始准备教师招聘，教师招聘考的内容中教育学、教育心理学、中外教育史都是考研也会考的，所以你之前准备考研时系统地复习过这几门课程，这对于你来说就是你的优势。所以你到时候准备教师招聘考，按道理来说是没问题的。        最后说竞争力的问题，如果你不考研但你能考上教师，那好处就是你可以有一份安稳的工作了，如果你考了研的话那好处就是你的文凭一出来就比别人高水平，去竞争也是你的优势，以后就业了，你的晋升空间和速度有肯能会比别人快，毕竟研究生也不是白读的嘛，总会学到一些东西是本科生学不到的。          所以我的建议是先考研，考不上再想着考招聘考，要是两个都考不上的话就先去当临聘教师，在准备考多一次教师招聘考，争取入编。         顺带一句，要是考上研之后你的路子就会宽一点了，你可以去出版社研究教育读物，也可以继续深造考博士然后在高校当教授。这些工作都是本科生很难做甚至是做不上的。          不管你选哪一个，你都要开始准备了。不打无准备的仗。
东北师范大学的化学专业，去读研好不好？,东师理科最好的就是化学和生物，化学是经典，但是很傲娇，有很多牛人，但是不好考
东北师范大学还是外交学院？,我来回答题主您。  作为答主的我对外交系统还是有了解的。  题主想去搞外交，需要回答我几个问题  1题主愿意忍受常年不能回国，也许整个工作生涯都在国外的使领馆度过？ 很难和爱人以及子女相聚，子女的成长教育都很难照顾，子女长大以后也许会怨恨你。爱人如果也是外交部的更是如此。  而且即使最后题主干到外交部的副部长等职务，退休后也就是2套北京贫民窟中的房子，老了以后像老僵尸一样终日行走在院子中。子女也对你不闻不问。  2 题主愿意忍受被派到亚非拉等国，特别是战乱地区，这些地区疾病肆虐，而且人身安全也往往没有保障。  3题主情商和为人处事如何。  外交部的唯一好处就是账面工资在外派后很高。每个月两千美元还是有的。
三本师范类学校学生考东北师范大学的专业硕士（地理）希望大吗？,我本校化学师范，我感觉我考不上本校学科教学化学。一堆人考
请问东北师范大学硕士到底有没有机会去上海当老师？,下面是上海市的其中一个招聘公告，有专门针对非上海户籍的考生，你多关注下公告，看有没有你符合条件的。 《2016上海市松江区教育局下属事业单位教师招聘公告》  在编在职教师应聘条件  1、上海市户籍在编在岗教师的招聘条件  (1)中小学教师年龄一般在40周岁以下，第一学历为大学本科及以上。  (2)幼儿园教师年龄一般在35周岁以下，第一学历为大专及以上，具有幼儿园  教师资格    证和幼儿园教师岗位  培训    合格证;  2、非上海市户籍在编在岗教师的招聘条件  主要招聘中小学教师。  (1)年龄一般在40周岁以下，第一学历为大学本科及以上  (2)具有中学高级教师职称，近三年内获得过省市级及以上教学方面荣誉称号。办理根据沪府发〔2010〕28号《上海市引进人才申办本市常住户口试行办法》及松江区招聘办法的有关规定执行。 
想当高中英语老师，考研想报东北师范大学，应该报教育学院还是外国语学院？,本人是东师的教育学部本科生。 对这个问题，个人觉得不用纠结，就应该是外国语学院。首先，教育学部的专业有心理学，教育学，教育管理，小学教育，学前教育。说实话，这些专业并不是培养有明显学科性质的高中老师的。 教高中英语很需要很强的英语基本素养，当然应该选择外国语学院。 而且，无论属于哪个学院，本科阶段都要求修教育学部开设的一些教育学心理学课程。
华东师范大学，东北师范大学，南京大学，南开大学，东南大学哪个学校的中文系研究生比较好？,毫无意义的比较，读中文系研究生，应该考虑跟哪一个导师
