今年北京师范大学珠海分校的分数线会很高吗？,广东531分
北京师范大学如果更名为京师大学或者辅仁大学会怎么样？, 录取分数线会回归她应有的水平 
【考研党】北京师范大学的统计学专业课难不难？,谢邀。但我对北师大考研的题目并不了解。但从我考研的经历看，你要是想知道题目的难度，你可以看看它往年的真题。如果你是本专业考研，那难度应该不会太大。我个人私以为北师大的考题估计灵活性会大一些。以考量考生是否有研究的潜质。你要是想获得往年的真题的话，建议你找找同学问问是否有北师大的师姐师兄，通过她们购买的话不仅更便宜，最重要的是再联系上之后能你考研的过程中请教她们一些问题。
怎么样才能考上北京师范大学心理学院?,题主 给你看看这个   首先你要成绩好 其次你要不怕死 最后你会自虐而死 我都不知道我一个作业这么多的少女大晚上不睡的在干嘛啊摔 从此你就有了一个响当当的名字—心理狗
北京师范大学幼儿园好吗？,调查。
南京大学、对外经贸、和北京师范大学改选哪个呢？,谢邀 仅仅了解北师大 不吹不黑，师大文科真的挺强的，加上地理位置 至于没有好专业，或许可以调剂之后二次选择（转专业比你想象的容易的多）
北京师范大学的心理学到底有多牛逼？,做为北师大的应用心理学临床与咨询心理的第一届研究生，我的确感受到北师大的心理学很牛，网上关于北师大的牛的地方很多，很多数据，也有很多第一，我来说一说我们这个专业的好处吧。 我们这个专业是map里边的一个方向，是国内9第一一个以咨询方向的临床专业硕士培养的专业，我们会上各种心理咨询的流派方向的课程，几乎涵盖了专业领域的各种热门的流派，几乎都是国内一流大师讲授。也会有美国留学回来的纽约心理学家（我导）带领我们学习心理咨询的过程与方法课程，通过讲授国际上公认的最有疗效的方法和角色扮演等训练基本功，也会有100小时的个案练习以及100小时的督导，整个培养方案和流程都相当专业，比起国内其他学校的咨询硕士的培养都更专业一些，还有北师大心理健康与服务中心做支撑。 具体数据手机党就不给题主复制粘贴了，题主可以自己查，或者有其他答主来告诉题主吧。 我在报考北师大心理咨询专业之前，业内的前辈都推荐我来北师大，说北师大心理学最牛，其实心理学其他方向也很牛，不过牛学校只是给我们提供了更好的教学资源，能不能学到东西，能不能学好心理学，还是要靠自己呀。 这个问题答不好，都是一些自己的想法，毕竟自己母校的强大这个问题太大了，说一些自己的感受和观点，希望题主可以受益。 以上
北京师范大学经济学专业怎么样？,挺好的吧 北师平台很好 经管近几年也很热门 如果喜欢的话是个不错的选择
请给些考北京师范大学学前教育研究生的经验。?,北师的学前教育是全中国教育学考研最难考的专业，没错，是整个教育学，报录比从来没有下过一百，因为它只招三个人。
北京师范大学计算机考研难度分析？,你不是中央财经的学生吗？
如何看待南京大学学生对北京师范大学的一系列炮轰？,我告诉题主我是身经百战啦，见得多啦，国内哪个211，985我没去过？知乎里面，你们要知道，我师天文系 @海盗河马 比你们不知高到哪里去了，啊，我跟他谈笑风生！所以题主，还是要注意提高自己的姿势水平，识得唔识得？我也替你们捉急啊真的，我以为你们…你们有一个好，全世界跑的地方，你们比其他题主跑的还快！但是问来问去的问题啊，都图森破！啊，sometimes拿衣服！懂了没？！
能够上武汉大学，南开大学，中山大学，厦门大学，上海财经大学，中央财经大学，上了北京师范大学，会后悔吗？,你问这个问题就说明你已经后悔了
福建文科考生 分数多高能去北京师范大学？,题主你好，我是今年刚考上师大的福建文科生，成绩的话，省前400名有一定希望，前300名比较稳，前200名可以相对自由地选专业，越高越好。当然，如果能进前100且不想继续深造或从事教育行业的话，也可以考虑更适合你的选择。
北京师范大学的物理女以后的路能怎么走？,活捉到6班er一只，顺便也逮到了DH^_^。 -------- 你当初为什么选择北师大呢？北师大物理的话，一般还是做老师吧，待遇应该也不错，觉得你的性格也适合，毕竟你的话应该不会往研究方向做...其实不是没有什么出路，而是这个社会出路太多，不知道怎么走而已。我们这一代从小到大很少有人有确定方向，信息爆炸的背景下会感觉矛盾或无所适从，也许应该多问问，但不要在知乎上看到某个大牛答案就盲目采取。现在考虑这些问题说明至少你已经对未来有了想法，一定要多思考，万事过脑而忌条件反射，即使一段时间还是没头绪，你也在这个过程中学到很多。很多大学生都考虑过类似的问题，遗憾的是，大多数人选择逃避，麻痹并欺骗自己的心灵。很多道理大家都明白，但遇到问题，选择逃避它然后被迫接受更大的问题受还是用于选择承担责任，全看你自己。祝一切顺利！匿了..
北京师范大学珠海分校是民办吗？,不是，北师珠从头到尾没有民间资本的注入 最早是珠海市人民政府和北京师范大学合作建立了“北京师范大学珠海教育园区”，在正式招生一年后改为“北京师范大学珠海分校”，成为独立院校
海南考生想选北京师范大学心理学本科该怎么做呢？,北京师范大学在海南省招生类型为非师范生，本科一批次录取。  北京师范大学本科生招生网   
如何評價北京師範大學-香港浸會大學聯合國際學院假期比學期長？(學費一年8萬，宿費一年6400)？,蛤蛤蛤
关于心理学考研（学硕），北京师范大学，北京大学和清华大学，哪个相对更容易？为什么？, 这四个都是大boss级别的。  我先占个坑儿，等会做好对比图再来发。    至于院校选择其实北京地区还有很多院校是可以考虑的，其次就是这三所院校的专硕也是很不错的，在职人员也可以考虑一下。  还有什么问题或者更具体的信息可以私信我。 
北京师范大学珠海分校变为北京师范大学珠海校区将对明年（2018）的录取分数造成什么影响？, 谢邀。既然18年起是作为北师大校区招生， 那参照中山大学珠海校区 华北电力大学保定校区等等其它有分校区的学校，都是分校区和本部统一分数线招生的。 名牌大学本部与分校区的差异    这个链接可以解答关于分校区的问题（北师珠即是里面说的第二类转变为第一类）。  那么既然珠海校区和本部统一分数线招生，自然分数线会大幅度上升咯，并且给珠海这个经济特区带来更好的教育资源和人力资源。个人猜想是北师可能会在珠海校区设立比较适合这个地区经济坏境、分数线相对较低的专业（个人猜想仅供参考）。 
北京师范大学？,用site:  http://  bnu.edu.cn       旁听 搜索，得到的唯一相关规定为  北京师范大学2012年接受具有研究生毕业同等学力人员申请硕士学位简章--北京师范大学研究生院     很遗憾，条件是得有本科学士学位，正式的旁听身份恐怕是获取不到了。 至于研究生阶段的蹭课，我不了解不妄说。
本人是大三的学生 想跨考北京师范大学广播电视与新媒体专业 考这个专业需要什么作品吗？难度这些怎么样啊？, 谢邀！   既然知道自己要考哪里，为什么要“听朋友说”而不是去问报考的机构？ 
17年考北京师范大学诉讼法专业 求师哥师姐的复习讲义 考试真题啊 绝望脸 找了各种地方？,最后找到了没有，同求啊
考研究生是师范学校，大学后考北京公立学校教师？, 你邀请我回答，足见你的诚意，那我就诚心诚意的以一个过来人的身份告诉你：  出身农村或半中产（父母是工薪阶层）的人不建议上大学，即便被忽悠的上了大学不要读什么研究生什么博士，那些上过学的人肠子都悔青了，这是因为底层出身的人上学的价值只是给有钱的资本家创造更多的财富，随着你被剥削的越来越严重，你会越来越穷资本家会越来越富（马克思的资本论理论上有证明）！如果你家是开公司的，那上大学是很有必要的，将来你需要子承父业，去管理一个公司  底层出身的人老老实实的早点结婚生子，回三线四线找份饿不死的工作，平平安安的很幸福！ 
作为是985但不是c9的北京师范大学，在你看来是怎样的存在呢？ ？,很好的学校  很喜欢的学校  很久前一心念念想去的学校  清北人师航理
北京师范大学的学生毕业之后都干什么？有人当老师吗？,我是基础学科的，身边人绝大部分毕业以后去当老师了。毕竟学校的传统是这样，校友资源基本都在教育口和各种公家单位。因为是师范学校所以校风比较保守，大家做事还是求稳为主，也决定了就业方向。话说北师大毕业去做中学老师真的很吃香，中学很乐意要北师大的，而不是同级别的综合大学。我自己的感觉是培养模式上的确和综合大学不太一样。有回答说师范生和非师范生是分开的，的确，但整个学校的风气你没办法改变。我是对比我本科学校，我本科是一所综合类大学，校风就没有北师大这么传统，就业来说面也比较广，但正因为广，校友资源比较分散。我在北师大的室友找工作的时候想进公司，遇到了不小的阻力。因为师范大学的名字，别人多少会有一点偏见，加上校友资源少，就更加不容易了。不过求稳踏实的校风也让北师大毕业生的口碑很好，公家单位和学校愿意要北师大的也正是因为师大人都比较踏实肯干，没有花架子。
如何考取北京师范大学？,啊？好好学习啊，还有什么？
北京师范大学的微生物与生化药学专业怎么样？专业水平和就业？,1这个专业的名称取得不伦不类，不是生物化学，不是分子生物学，不是微生物学，以至于很多专业明确限制的工作都不好找。只能找药学相关。生物相关的工作。而这种情况下的学历要求一般是本科，甚至是大专！！你是什么感觉？ 2沾了生物的边不是大坑也算个小坑，慎重！ 3慎重再慎重！！！ 4学霸以后读博还出国且狂发文章可以考虑。
湖北师范学院想考去首都师范大学中国古代文学，东北师大也列入考虑。老师说，北京的复试都很坑，否？,其它学校暂不清楚，不过首师古代文学复试还不错的样子，都不用提前联系老师，公平度还不错
在北京师范大学生命科学学院读研究生是一种怎样的体验？,我要是不怕北京的雾霾的话现在就可以好好地回答你的问题了。
西北当老师，研究生陕西师范大学还是北京师范大学合适呢？,额，当然北师大啊！这和去哪当老师没关系阿，让你去买一瓶三块钱的可口可乐，给你个选择，从五块和十块钱里随便拿一张反正剩下的钱都是你的，这还用纠结吗？
香港浸會大學的文學士和北京師範大學的漢語言文學哪個更好？,樓主現在決定了在哪讀? 本人也是香港人 也是被這兩間大學也取錄了 最後也作了決定.
北京联合大学和杭州师范大学哪个好？,你百度对比一下各方面条件你会发现，杭师大各方面完爆这什么北京联合大学，然后又会发现你的分数根本上不了杭师大，杭师大起码一本线上十分的
想考北京师范大学计算机的研究生，求指教？,谢邀，知乎首答。  本人渣二本非计算机专业今年考研，由于一志愿学校（某211）考试时试卷上的题目根本不是所指定参考书的内容（具体哪所学校就不点名了），于是把一个学院的人都给坑了……无奈调到某一本。  关于录取情况：这个每个学校每个专业都不一样吧，具体的你可以去他们学校研究生院找一找相关公告或者考研帮（一个考研论坛）看看有没有历年的报录比，实在没有可以根据历年的复试名单和最后的录取人数算一下。  关于复试：现在不用准备复试吧，等到考完试寒假觉得有希望上再准备也来得及，复试应该就考英语听力（有的学校不考）、英语对话以及专业课的笔试（同等学力还要加试）和面试，不知道楼主的本科学校怎么样，所学专业在你们学校强不强，如果是本科像我一样不是太好的话初试最好好好准备，分数线300分的话最好能考到320左右才稳，毕竟复试还是会有歧视的……如果是本科还不错，估计应该没什么问题吧，只要面试表现不要太差就行，还有北京的学校初试英语和政治应该会压分的，好好准备英语，专业课要找到历年真题好好做，不知道理科是什么情况，文科的话前几年的真题很可能会重考……  关于考试范围：你可以去北师的研究生院网站，找到2016年的全日制研究生招生专业以及参考书目这个通知，里面应该会有，如果里面没写那就是没指定参考书目……可是就算指定也不能只复习那几本，遇到像我一志愿学校那样的就完蛋了（说多了都是泪……）  手机码字想到什么就直接打出来了 专业不同希望这些可以帮到你
北京师范大学在哪些领域是国内顶尖的？,诺贝尔奖。
如何评价北京师范大学珠海分校（二本）的学生冒用北京师范大学（985）的名声申请国外学校的行为？,我跟他没什么个人恩怨吧，顶多就是看不惯他一再的败坏奥克兰大学的名声。至于他把我挂出来个人素质我就不多评价了。  回归正题，我当初申请奥克兰大学的时候用的就是下面的成绩单。这个和本部还是有区别的。而且我当初也觉得算是沾了本部的光。因为当初offer 一个星期内下来的，非常快。但是我就没想明白我怎么就冒本部的名了，我提的都是珠海啊。怎么着？我还要特地给学校发封信说明下北师珠和本部的关系？ 北师珠的成绩单就长这样，合着我们为了避嫌都不能出国读书了？   
如何看待北京师范大学地位不断下降的现况？,你是哪个省的，我们河北省北师地位不低，虽然没有北航高，一直2000位次，今天1800
如何看待北京师范大学珠海分校在四川一本招生？, 我错了，真没想到……怪不得今年学校涨学费，原来是趁最后再捞一笔  ————————————————上次回答分割线———————————————  闲来没事去北师大官网的新闻稿里搜了一下，发现北师大本部还真是在准备搞分校的转型，就是不知怎么转了，估计今年学校开学典礼，北师大的程书记或者董校长会来学校说明一下。不过个人认为独立学院这性质应该还是改不掉……  ————————————————上次回答分割线————————————————  虽说学校在很多省份的招生质量很高，不少省份接近一本线，但真正在一本线以上招生又是另一回事，可以说算是很大的突破。  虽说学校办学条件和质量越来越好是一个很大的原因，但我个人认为还是和北师大本部在前一段时间所强调的大力加强珠海校区建设的方向有关，这中间可能有一些现在暂未公布的措施和对学校有利的政策……（ 前段时间看到一个广东省和北师大加强合作的短新闻 ）  个人大胆猜测一下以后学校的发展方向：可能仍然为一个招生和教学独立于北师大本部的，性质还是不明不白的学校（当然，改变办学性质也是有可能的），但办学层次和质量会逐步贴近北师大本部，北师大本部对学校的行政上的直接管理程度可能会更深。 
在北京师范大学数学系就读是怎样一番体验？,关注这个问题好几天了，却不知道该从哪里开始回答才好。 叙述混乱的地方还请大家原谅。   四年前，我上的第一节专业课是代数学基础。上课前五分钟，穿着西装衬衫的帅气老师走进来，站在讲台上冲大家微笑。等到教七的铃声响完第三遍，他温和地开口：诸位早上好。 两个星期前，一年级的小师妹拽着我陪她一起去上代数课。还是教七二层，走廊里装修过了，教室布局却还和以前没有什么差别。老师也依旧温和微笑着。这是学期末最后一节课。讲完酉空间，离下课时间还有一会儿。老师从西服口袋里掏出一个小小的十孔口琴，给大家吹了一段布鲁斯。 我穿上学士服去找他合影。他说：你这就要毕业了啊，时间真快。   是啊，时间真快。    从前早晨有课的时候，要想坐到前排，就要早早去占位子。教学楼六点半开门。从大一到大三，我听过许多次教四、教七、教八、教九早上开门时的音乐。冬天早上很黑很冷，我裹在羽绒服里等着教九楼开门，身边不知不觉的就围了一圈人，回头一看，全都是我大数科的师兄师姐师弟师妹。   也许是因为数学楼这三个字吧，我一直最喜欢教八，去自习的时候，总会碰到许多数科的小伙伴，有时看看摊在桌上的课本，就能准确地猜出每个人的年级。去年暑假我们几乎承包了教八四层，各间教室里坐的全都是数科11级的小伙伴。   还记得有一个学期的专业课被排在了晚上。十点下课，老师出去洗了手，点一根烟，再回到教室里。看看还在讨论问题的三五学生，挥挥手：走，我请你们吃夜宵。 他的课讲的很棒很认真，对学生也是真的好。可是也总会有逃课的管不住的学生。后来我再去旁听，他课间站在走廊的窗户旁抽烟，看到我就招手叫我过去，问我：你说他们为什么就是不学习呢？语气很无奈也很寂寥。   大四开学就没课了，早上起床的时候还有几分落寞。后来去教八上自习，课间碰见弓着背站在教室门口等学生来上课的郑爷爷，这才真正觉得，开学了，我回来了。   上学期我代表院里去参加东芝杯比赛。带我的指导老师很温柔也很认真。有一次在她办公室里遇到了几个一年级的师弟师妹，老师向他们介绍我的时候，语气里有听得出来的骄傲。我却很惭愧，因为我并没有像老师形容得那么好。   还有我永远最爱的导师，上课始终活力四射，周末会开车带我们去欢乐谷玩儿，会领我们去吃帝都最棒的水煮鱼，和我们一起在微信群里嘻嘻哈哈。 记得好久以前看导师生过一次气。忘了那次学校是有什么事情要找学生干活，他去和负责学生工作的老师吵，说大期末的你干嘛非打扰学生复习？有什么活儿你跟我说，我去给你干行不行？！ 去年冬天，教物理的管爷爷生病住院，我们哭的稀里哗啦。导师安慰我说：其实能做到管老师这个程度，能被这么多学生爱戴，也是人生一大成功了，我很羡慕管老师呢。 导师不说话还好，他说完我哭的更伤心了。 其实后来想想，不止是他和管爷爷，很多老师的价值观都是这样的。然而我还是希望每个人都好好的，不要生病，不要有事。   刚入学的时候，口音萌萌的党委书记会告诉大家，数科课程比较重，大家不要参加太多社团活动。但是遇到太阳杯明月杯星星杯银河杯之类活动的时候，即使不参加，也要记得去场边喊喊加油。还有服饰大赛，一二九和校园歌手大赛，这几年我们也没少拿奖。就像有一年合唱比赛的视频里说的那样，数学科学学院永远屹立于师大之巅。   我们拍毕业照的时候也有很多小插曲：院里公认最严厉的老师在镜头里也笑得很和蔼；爱卖萌的导师君比了两个剪刀手；讲若当测度讲曲面的时候总喜欢用土豆烙饼面包圈举例子的数分老师笑眯眯地说祝贺你们毕业；数论老师合影前还严肃的教导了我十五分钟说一定要好好读书…… 院里有个做代数表示论的大牛。三年前，他教研究生的抽象代数时我去旁听过半学期的课。这一次鼓起勇气去敲了他办公室的门，自我介绍到一半的时候老师说：对对，我记得你。真的是很意外也很惊喜。 常微老师则坚持要在办公室门口合影，还把隔壁房间的实变爷爷也拽了出来。他说，办公室门口有名牌，就在这里拍照好，要不然过几年你们都不记得我叫什么名字了。 听起来有些伤感。但我想，我会一直一直记得他们，一定会。    至于在数科院读书是一种什么体验？我说不好。我只知道，对我来说，数科院是家，永远。    最后，谢邀。 这也许是我在中北楼度过的最后一个夜晚。 希望我所有的小伙伴，一路花开，前程似锦。 毕业快乐。
北京师范大学化学教育考研？, 可以考北师的学科化学专业呀，去年的情况是进入复试了基本没刷人，因为招的人还不够，或者说你本专业学的是化学，可以考北师的学硕也行，之后从事化学教育也可以的。 
北京师范大学-香港浸会大学联合国际学院是党政办合并吗？, 不太懂，但是我们也有校团委（CYL）什么的。。。 
北京师范大学心理学院是作为独立院校吗?,不是，这个是北京师范大学的二级学院， 以下为百科对二级学院的解释。  二级学院是指大学的下属学院。二级学院和独立学院之间还是有很大差别的，二级学院不等于独立学院，也不等于独立的一级学院。 以学院二字为后缀名的高校下属的任何一个学院都是二级学院区别于学校名。 独立学院   ，是指实施本科以上学历教育的普通高等学校与国家机构以外的社会组织或者个人合作，利用非国家财政性经费举办的实施本科学历教育的高等学校。 
保研北京师范大学难不难？,谢邀。北师不论考研保研都挺难，答主是考研的，报录比很低且复试通过比将近1：2。保研的话只能跟你说下我知道的身边同学的情况，当时我有个盆友是西工大（同985）文科类的，报北师保研审核没过，最后选了帝都其他一所理工科985被录。所以有难度是必须的，如果题主很优秀值得一试。
