自主招生选择生物方面学科进入福州大学后是不是去“闽台合作”？,当然去本部
在福州上大学是怎样一番体验？,福师大上了一年学了，来回答一下你的问题 适不适应我觉得都是看个人，我就讲讲区别吧(与郑州相比) 夏季雨非常多，一场雨连着下了十几天，衣服洗了晾不干，我的枕套都长霉斑了 冬天仍然冷，实际上倒春寒最冷。但是不是北方那种冷风一刮，感觉整个人的热量都被吸走了。福建的冷是潮冷，穿得厚也不顶用，只有身体不停地产热。如果体质是那种比较寒凉的同学，就会整个冬天手脚冰凉，虽然不是影响做事、失去知觉的那种冰凉，仍然不很舒服。ps师大没有暖气，空调也不制热，只能靠元气取暖 空气质量很高，pm2.5跟郑州不用比，空气也湿润，跑步会很舒服 人文气息浓厚，城市非常有人性化的设计，不像郑州水泥森林，来了就知道了，人也很热情 本省的学长在学校里占比例很大，妹子汉子说话都有一股特别的软软的感觉。嗯学校妹子居多挺养眼的 有蟑螂，会飞，还会咬人 有台风，会放假 南区经常停电(二本专业在那里) 吃的精致很多，甜食很多，各种小吃 语言上还好适应，你跟本地室友随便讲几分钟就适应他们的口音了，不是很重 各种店开门很晚，普遍十点才开门，理发店都是11点开门，有的甚至到了下午才开 兼职的工资比较低，职务也不像郑州那么丰富易得，但是学校有组织，可以帮你很省心地找到合适的兼职，由于新校区远离市区，去兼职很多时候都要坐公交或者骑车几十分钟 福州、厦门、漳州、泉州，福建经济较发达的城市，尤其是厦门非常发达，当然，任何一个，甚至加起来也比不上郑州的发展前景，唯一优势是离台湾近(现在看来恐怕也不算啥优势)，就业的话肯定比不上会河南打拼。当然，如果上了福师大，可以拿到很多只有本省才有用的证明，为你的简历加码(如省计算机、辅修证)，如果回了你的原籍，就没有这个优势了。 考研，除了考本校会有自己人加成，去厦大福大是没有任何额外优势的。当然，你可以选择竞争保研名额，那么这就不算省内的优势了，福师大有不少学校的保研名额的，例如北师大 福州跟郑州比，福州适合养老，生活节奏慢，让人耽于安逸。而郑州则是拼搏的地方，城市的特质完全不一样。 还有问题可以在评论区里继续，我会补充答案的
如何看待福州大学土木工程学院2016级辅导员的行为？,就讲三句话。   1.福大作为福建学生的聚集地，无论风气和习惯，自然都是“浪到底”的福建特色。不尊重客观规律和学生意志的“变革”与“创新”，显然都是没有生命力的。  2.这位导员显然是读书读傻的代表人物。大家都是成年人了，本来就该注意交流的方式方法。说话装逼都简单点，那一套“我就是有权有能力整死你们这些不听话的学生”的处事方式，简直就是小人得志的最佳模版。  3.别把自己放在道德高地上。起早贪黑、放弃休息不是因为你有多么崇高的人道主义精神，和“经邦济世”的情怀。简单了讲，做导员对之后的职业生涯和进程，利好多多。  总结：不评人，但就这个事情来说，您还是图样图森破，需要提高自己的知识水平。复杂了点？就是骂您傻逼啦嘻嘻。  以上。
湘潭大学、福州大学、华侨大学、集美大学该选哪个？,非福大学生，作为省里人。。。恕我直言，我不知道另外两所省内高校什么时候可以和福大相提并论了。。。
长安大学和福州大学的对比？,福大比较好。毕竟是东南沿海地区。而且福州大学有很多国家级专业。
如何有效招聘福州大学应届毕业生？,通过创业协会或者金融协会
福州大学泉港校区环境怎么样?,谢邀…但是我…压根没去过…
浙工大化工，与福州大学生物医疗读研，选哪个比较好。？,福州大学的贾力很厉害。
华中农业大学和福州大学哪个好？,不清楚耶 个人站福大
福州大学强制学生参加青运会活动你怎么看？,强烈建议同学们集体反抗 集体 同时告知媒体 福建的媒体都不会报道哒 求助别的吧 我觉得学生很无奈 学校这么搞 就算不取消只是退后时间学生都会感激涕零 何来反抗 学法的同学告诉我学校这样是违法的 然而学生只能被拉去当炮灰 心累 这种事情这样猖狂 这学校还有前途？
福州师范大学协和学院怎么样?,千万别上民办的和独立学院，宁可去一个垃圾二本，哪怕偏远哪怕垃圾专业，不过专业还好，地区还是要选一下的
福州拔智齿属于大学生医保报销范围吗？,可以报销，报销50%左右，先联系你学校的医保负责人咨询清楚，结账的时候向医院交钱的那里要报销材料。先垫付后报销。
2017福州大学计算机考研是自主命题还是408啊？, 自主命题863  参考书目：  《数据结构（C语言描述）》（修订版）王晓东编著 电子工业出版社 2011年  《C++程序设计教程（第二版）》，钱能编，清华大学出版社 2005年 
请问有从福州大学保研或考研到外校的学长或学姐吗？可以传授一点经验吗？想在大学里好好学习，谢谢大家？,16年保研的，某个工科专业。 保研首要的肯定是绩点。特别是按我们学校的政策。其次是英语成绩和科研，科研因专业不同，我也不好说。 比较肯定自己可以拿到保研名额的话，大三就要开始寻找各种渠道，申请夏令营，面试，联系老师。为自己寻找更多的机会。  想到在更。。
福州大学学习环境怎样，各种机会多吗？,谢邀。  不好意思，不了解。可以看官网，贴吧。  祝好。
福州大学国际贸易考研录取率怎么样？,我是土木学院的，具体暑假你看研究生院官网的招生简章和你们学院的官网。
福州大学三院合并的利弊?,你说的三院是哪三院
福州大学转专业需要什么条件求答？,利益相关:福州大学建筑学院大二学生。班里曾有一个同学转出去。 看你在什么专业了，比较好的专业转出去是比较容易的，比如说建院转到外院。当然也是要看绩点的，最起码要在专业里比例靠前，然后符合其他学院接受转专业的条件。 先挖个坑，有空补。   填坑           以上是福州大学 2015 年的各专业对于转专业的接收条件要求，引自百度， 2016 年的很不幸找不到文件了，不过在福大教务处网站上应该也会有，可以自己去搜索  http://  jwch.fzu.edu.cn/       估计大体上接收条件没特别大差别。希望能对你有所帮助。
在福州上大学，想自由行去台湾旅游，需要准备和办理些什么证件呢？,大陆居民往来台湾通行证，个人旅游签注（g签注），入台证(找有旅行社代办)淘宝上也有，如果只彭金马，可以直接落地签
对于福州大学强制学生留校参加青运会，并对表示不满者以延迟毕业相威胁，学生应该如何捍卫自己的权利?,从学校毕业了这么多年，真没想到什么事情麻烦到系和学院，现在看来这种威胁无视就好。达到正常毕业条件不毕业直接投诉学校去，而且多写这一句话什么用都没有，就是当大学生是免费劳动力。。
如何看待福州大学毕设动画《鸽子》被骂抄袭切尸红人魔漫画作品？, 借鉴的标准我也不是很清楚。但切尸红人魔的画风并不主流，可以说两位学生是有意识的模仿画风进行的创作。抛开学习和致敬的目的，有没有碰瓷的意向只有他们二位知道。  举个例子，你很喜欢别人家的孩子，你让自己的孩子向人家学习，这是很正常的。但你把自己的孩子整容成别人家孩子，这是致敬还是别的目的呢？  这种行为要被致敬的对象觉得合适才合适。如果对方觉得你是抄袭，那这种行为不管你出于什么目的，都是不妥的。 
厦门附近有什么好的大学，福州的除外，？,福州大学厦门美院 华侨大学厦门校区  集美大学   
大学毕业在福州工作月薪7100如何实现人生理想买房买车娶老婆？或者是我太俗了？,在二线城市，对于刚毕业的孩子，拿到7100元工资，不清楚税前税后，但是都足够保证生活，至于发家致富娶老婆。那就用发展的眼光看世界。或许明年涨工资了，或者认识了一个有钱的女朋友
作为一名在福州的大学生，元旦去哪玩比较好,作为一名老是旅游的福州大学生不建议现在才准备旅游，因为节假日机票肯定贵，又没动车票，青旅都满床，再加上福州的对外交通好像很方便其实很多地方去不了，而节假日旅游至少提前一个月准备所以这里不推荐出游。  那么去哪呢？  1、31号有个俄罗斯国家芭蕾舞团的《天鹅湖》可以去看看，上大麦买票  2、如果一定要出游的话，叫上两三人，31号晚做个跨年火车，随便去一个城市，随便玩一玩然后回来。   3、武夷山被央视曝光乱象后应该整改的不错   4、不去“玩”，只为了去同学家拜访一下好基友，我经常干这事，没事就去同学住的城市找Ta，即使那个城市“没什么好玩”，但是我们却很快乐。   5、要期末了吧？重点划了没？还没预习吧？赶紧去知识的海洋里遨游吧～～|
南昌大学和福州大学选哪个 什么专业好 (女生)？,福州大学与南昌大学都是211，但是福大是以工为主，理工结合的学校，如果想读工科专业，建议福大。
是读军校还是福州大学，好纠结。？,看什么军校了，一般不建议 但是要分人。
福州大学好吗？,谢邀 还行啊！福州大学首先以工科最强，在这点上有点不适合文科生，宿舍条件是四人一间的宿舍。 16级的福大学生，简单来说福大是影响力比较局限的学校，在省内就业和声誉还行，出了福建省知名度就较差了。毕业的学生大都在福建和珠三角工作。  福大在福建省内一直处于老二的地位，省内的生源印象中大概占了接近80%，生源质量相对比较稳定。学生中来自农村的比例比较大，主要的原因是福建省的城镇化水平本身并不高，厦门和福州本身也仅是水平中等的二线城市。  福大的学风在福建省算好的，与厦大比也丝毫不逊色，估计与福大以工为主的学科设置有关。只要不上课，全部的教室都可以作为自习室。作为比较，同在大学城的福建医大、福建中医药大学等都只开放若干教室作为自习室，因此在考试季经常可看到外校的学生在福大自习。  社团活动什么的也都挺多的（只要你喜欢） 最好来波黑，我们校长喜欢打网球导致网球场从来没有满过，其他的倒不会，喜欢的网球的话硬件设施就在这里 然后其他什么的地方可以直接私信我噢 补充一点，由于我算是个新生，加上主要活动的不是主校区，所以回答很有局限性，望海涵。 -----------------------分割线 不好意思 修正一点，并非所有的宿舍都是四人间的，一区的部分宿舍是六人间的。
福州大学土木专硕的导师如何选择？,你是考了多少分？
福州大学有什么都市传说？,福州大学至诚学院 福大老校区的一个传说。那一年院长还是吴秋明先生。  寒冷的冬天，行走在至诚的主路上 听着大家交头接耳讨论着学位评估的事 我笑了 许多同学还在为评估成功就拿不到福大学位的事气的喋喋不休 时不时还骂上吴秋明几句 我真的笑了 我叹了口气， 心里苦笑道： 你们哪里会明白院长大人的良苦用心啊 你们真的以为院长大人会为了区区一个学位评估而劳师动众吗 你们真的以为院长大人会忍心看着你们拿不到福大学位而哭爹喊娘吗 你们错了 错怪他了 本来我不该说的 但是看着大家对院长大人的怨恨越来越深 而他老人家却背负这无辜的骂名 我的心好痛 我不得不说出真相了 哪怕是违背我当初向他老人家许下的承诺 一直以来  福大都流传着这样一个故事 福大自创立以来  每年举办运动会都要下雨 年年如此   四十次运动会  整整下了三十八年 三十八年啊 你们真的以为这只是巧合吗 四十年前，那时的福大还在至诚老校区 福大旁的西禅寺有一位得道高僧 因为爱上了福大中文系的女生而毅然还俗 却不料还俗后看到女生的第一眼 竟然是女生陪着她体育系的男友跑步 自此以后 高僧心生怨恨 便许下诅咒 每年福大运动会上天就天降大雨 让所有的运动员都跑不起来 故事传到今天   大家都已明了 但这和评估有什么关系呢？ 听我慢慢道来 高僧是怎么让上天降雨的呢？ 其实那场雨完全是违背上天意志而下的 高僧年少时，游历过东海，擒住一条触犯天条的邪龙 并将它栓与西禅寺的锁妖塔里 从此与世隔绝 高僧许下诅咒后  便与邪龙立下契约 只要邪龙每年降雨    圆寂之时必然放它重现人间 难道大家不好奇吗？ 为什么四十年里有两年没有下雨呢 一次是1988年，还有一次就是2008年 原来玉帝每二十年都会派天神巡视人间 正好是1988年和2008年 这两年  邪龙不敢犯事   所以没有下雨 今年的十一国庆节 正当大家欢聚在节日的气氛里 院长办公室里来了一位不速之客 他正是西禅寺的那位得道高僧 此时的他已是风烛残年 交谈中才知晓 原来高僧夜观天象 得知自己时日不多 掐指一算将于12月24日圆寂归天 心想当年立下的契约不能让它实现啊 这么多年邪龙已对至诚充满了愤恨之心 发誓重归人间的时候要将至诚夷为平地 如果不履行契约自己的灵魂将得不到超度 于是他将如何在邪龙出世的时候再次将他封印的方法告诉了院长大人 院长大人倒吸了一口凉气 就在高僧转身离去的时候 院长大人低声问道  ：敢问大师法号 高僧微微一怔  头也不回得走开：“贫僧法号  智涨禅师” 现在我可以告诉你们了 为什么东教门前的三棵树晚上看来那么得阴森恐怖 为什么季老师要吩咐我们21到24号那天上课的一个都不能少 为什么评估小组一定要在21到24号这几天来 你们真的以为那些人是所谓的评估小组吗 告诉你们他们全是院长大人根据高僧的指点找来的 具有强大法力的灵媒者 在24号的晚间十一点五十九分五十九秒 将收集了东教四天里的4444个阳气 注入东教门前那三棵树设下的结界 现在明白了吧 院长大人经过精确测算得知21到24号东教上课的总人数恰好是4444 所以那几天上课的人一个都不能少 可怜的院长大人还为了隐瞒世人将其伪装成评估活动 着实让我感动涕零 还没完呢 要知道东教门前那三棵树结成的结界真有那么厉害吗？ 那当然了   那可是张孤梅  卢嘉锡 吴秋明三位同志亲手栽下的树苗 自此留下了三位同志的仙根 邪龙出世时 将4444个阳气注入结界 并把按照天地水火雷山风泽命理挑选出来八个被选昭的孩子 按天入乾卦 地入坤卦 水入坎卦 火入离卦 雷入震卦 山入艮卦 风入巽卦 泽入兑卦 依次排开 届时集两边之树力量注入中间卢嘉锡所种之树 运行八门金锁阵 阳气从景门杀入 生门杀出 直冲图书馆 激活馆前卢嘉锡雕像 并与子兴 东教 机北 土北 至诚湖 西禅寺组成北斗七星阵 打通至诚湖底通往冥界的入口 召唤复活的冥王哈迪斯 将邪龙封印 说到这里  大家明白了吧 不要再为评估愤愤不平了 院长大人在下一盘很大的棋 这岂是你等草民能够了解的 啥？你问我是谁？ 呵呵 我就是八个被选昭的孩子之一 我叫太一（转发自某位神人之作）
云南大学，安徽大学，郑州大学，河海大学，福州大学，想学法学，这几个大学怎么选？, 推荐云南大学  已经进入双一流啦  不过还要结合所学专业 每个学校都有强势学科 
准高三理科女生，想读福州大学，读工科合适吗？推荐什么专业？,福大而言，喜欢工科的话是一个不错的选择 ，工科氛围浓厚 ，且工科专业的分数比经管类的要低，但是相对强的也需要5-6000名。 以下各专业的评价仅仅是我自己的看法 ，如果忽略了某些专业或说的欠妥，请各位校友指正。   因为我是学土木的，所以就多说两句土木学院。学校里最好的专业是土木工程，到了大三有分流三个方向，房建，路桥，地下。学习氛围也好 ，当然土木院里的小专业也是不错的，其中有交通，给排水，水利水电，工程管理。土木学院的就业还是很稳的，但比较辛苦就是了，所以院里女生不多，且都集中在一些小专业里。  电气是学校另一个强势学科，这几年也很热收分高，在咱们省内来说地位是很吃的开的。如果分数够不上可以考虑电气学院的自动化专业。  要是对计算机感兴趣的话就报个计算机吧，我感觉毕业后的工资算是工科里比较牛的了。  其余的一些工科专业大概只要福大切线以上就能录取，前提是你要把该专业放在第一个。切记，福大录取为第一志愿优先， 有什么不明白的，可以上百度了解。  你现在对专业的概念不是很强，最好上福大学院的网址，里面有各专业的培养方案，以及学科实力。比如   http://  civil.fzu.edu.cn/        最后，福大欢迎你，祝录取到满意的专业。
在福州大学你见过什么神奇的人物?,赵阶彬：一个教英语却满怀中国传统文化的老师
大学毕业后应该留在上海还是回到老家福州？,前几年先不要回福州，我就是从福州来上海的。
大学生恋爱一周年该怎么度过呢？在福州?,我也是福州大学城的学生，男朋友是我的同班同学，下个月14号就是我和他一起的一周年，本来觉得去贵安水世界，但是现在是冬天男朋友又不习水性，加上今天去宝龙我们唯一的代步工具电动车被偷了，觉得应该要省点钱的前提下，决定周年那天买个蛋糕一起在宿舍煮火锅。准备现在买好月季花种，一个月之后就开花了…
在你的印象中，福州大学是一所怎样的大学？,作为一个志愿填报杂耍结果来福大读了四年电气的人，看到这个问题本来是想了很多充满了怨气的话。   除了211没别的拿的出手，出了福建省没有人知道。这么早进入211的院校如今居然没有985平台，而且还没划归部属。   分数还出奇的高，跟同分数段院校相比性价比很差，全国排名60，保研少的可怜，每年港台生少民体育特招还很多。（我外省也一本60+，本省普遍75+）   理工科院校完全没有大学的活跃气氛与自由思想，死气沉沉，团委存在感太强，官僚气息形式主义遍布全校，在这里上过学的人都能强烈的体会到这种感觉。  教授与学生交流极少，学术氛围很淡，实验室设备陈旧。而且教授多以本校毕业为主，外校引进的老师不多，教师水平参差不齐。  学生精神面貌捉急，每次学校花大力气搞得嘉锡讲坛，扪心自问有多少人是感兴趣听的，还是为了那点可怜的校选分？ 开学放学下楼都挤，期末见不到人。各类选课来上课的三分之一都没有，穿着大背心拖鞋来上课比比皆是。  身在大学城，占地3000亩，但是校园景观极差，建筑以一种非常难看黄色调为主。最有意思的是人文气息缺乏到连教学楼名称都要整齐划一。唯一的景观性点缀主要在行政楼那边，也就是说是给领导们看的。最重要的是太荒凉了，甚至连学生街都没。（更新:从2016年起歧安学生街建成，万象学生街也翻新了）。  由于没有划归部属受到限制本地化过于严重，福建生源占比保守估计也在60%以上，感受不到文化碰撞，成了彻底的“胡州大学”。  福大还有个问题，就是福州这座城市存在感太低，某种程度上也拖累了福大。  可是打完这些字，我正好走过图书馆的广场上，看着在烟雨朦胧中飘摇的福大图书馆，一句抱怨的话也难以再说出口了。或许母校就是这样，她缺点众多却承载了我们太多的岁月，相逢在这里又何尝不是一种缘分？  母校或许就是这样一个地方，我可以说她哪里哪里不好，但是你不可以。  ——————————分割线——————————— 吐槽归吐槽，我们还是正儿八经来聊聊福大的优势和未来。  首先，福大在很多省份，尤其是偏北方和西南的地区，分数并不高，大概在一本线30+以上，这个分数段来福大相当的赚。而且我要说的是，在正常分数段（60+）我校也有很强的竞争力，普遍来说比我们实力强的地理位置太差，比我们地理位置好的实力又太差，比我们地理位置好实力也强的又不是211( •̀∀•́ )。。。  说福大实力不强其实也是相对的，虽然我校不是部属但是省部共建反而有其他优势（下文再提），没有985平台确实硬伤，但是我校有国家重点二级学科（物理化学），有国家重点实验室（光催化），有国家重点学科（培育），而大量有985平台的211院校确是“三无”。而且化学跟材料学已经进入ESI检索全球前1%，学科实力喜人。  学校风气不自由，缺乏人文气息，学生散漫，团委存在感强，这是各大院校通病，不能全怪我校。而且福大的学风还是不错的，保研方面少了点，可是  福大的就业真的好！ 福大的就业真的好！ 福大的就业真的好！ 重要的事要说三遍，尤其是在东南沿海地区。  这是211工程理工大学的优势，尤其是电气土木建筑材料计算机电科等传统优势学科，我校校友遍布闽三角珠三角长三角。每年就业的情况确实是非常值得骄傲的。  学校确实比较偏僻，但是对于治学有莫大的好处。福州地铁二号线18年左右通车，地铁站就在福大门口，专门有一站FZU，也只有福大有这个待遇。只能说日后的学弟学妹们有福了。  我个人对于福州这座城市虽然不是很喜欢，但是福州作为二线大城市该有的还是都有的，而且我很看好今后福州的发展，目前马尾自贸区也开始建设，平潭经济特区也在建设，想的远点日后对接台湾地区，也是时间问题。  至于老师，总体来说水平还是极高的，魏老校长去世后福大还有五位两院院士（专职一人），国际欧亚科学院院士一人，荷兰皇家科学院院士一人坐镇，而且这两年福大对于外来人才的引进是不留余力的，目前土木的院长我没记错都换成了老外（萌萌的布鲁诺教授），我所知道的是电气学院这两年引进的青年教师学历都是比较吓人的。。。至于本地化严重的问题，这两年对外招生，尤其是对北方的名额也在快速的增加，相信不久的将来学校里也不全是“塞雷母”，逐渐的“你瞅啥瞅”之类的也会在学校响亮起来。  最后谈谈学校的发展，这个是重点  首先福大拜省部共建所赐福大并不缺钱（这颠覆了很多人认为福大缺乏经费的观念）   这是今年的教育部直属（共建）高校的决算榜单，也就是戏称的“高校富豪榜”，在这个榜单上福大惊人的达到了32位，全年决算高达32.7亿元。。。（这里科普下，非211大学中14年决算最高的才8亿元）。虽然对应是出现了巨大的财政赤字（只有14亿元的收入），但是可以看出福大跨步建设的决心和野望。 其次是福大目前总的占地面积达到了惊人的5500亩，晋江研究生院建成后将成为 福州（本部） 厦门（工艺美院） 泉州（石油化工） 晋江（研究生院） 拥有共计七个校区，四地办学的巨型大学。而且福大在闽的校友资源庞大，几乎遍布把持福建政商工学的绝大部分系统，依托福建省优越的地理位置和经济实力，我很看好福大未来的发展。  最后 我们学校四人间！！！ 我们有空调上床下桌!！！ 我们学校有独立卫生间!!! 我们20M宽带校园网，最重要的是24小时不!断！电！不！断！网！ 食堂整整有6个，四年能给你喂成猪你知道不！！！ 所有的教室都开放给你自习，抢座自习是什么鬼？FZUER可不知道( •̀∀•́ )  学长用实力战胜高富帅 学姐用智慧打倒白富美  欢迎报考福州大学! welcome to Fuzhou University!  
福州大学计算机考研是数一还是数二啊？,数一
我是福州大学会计专业的一名女生(数学不是强项)，想未来的工作稳定轻松点，请问我可以往哪个方向去努力呢？,学妹你好，我建议你可以考公务员，或者老师，要考教师证，平时也要多看看公务员考试的书，加油！211学校的肯定素质不一样的
本人现在确定能上南京理工大学光学工程研究生，但手头有福州京东方工程技术类的一个offer纠结中求解答？,研究生吧骚年！校园时光才是最棒的！研究生好好读出去还愁offer？
福州大学研究生可以去市级的国家电网吗？,必须可以
福州大学，河南财经政法大学，北京林业大学选哪一个？,果断北林，第二福州大学。 我是河财的。 你知道，就业的时候，很多学校都有“光环”。北京的学校有光环，211985也有光环。唯独河财没光环。
