国防科技大学的男生有一个特别漂亮的女朋友是什么体验？,会有很多人羡慕嫉妒恨！
国防科技大学有和化学相关的专业吗？,有啊，一院材料，二院应用化学
国防科技大学本科生是以拉练为主还是授课为主？,（技术类）还是学习为主嘛
在国防科技大学读书每天都要训练吗？,分专业。 如果是技术类学员，是的，每天早上出操有队列训练，下午有体能训练，正课时间有一些军体课，周末一般还要加练。 如果是指挥类的学员，你可以把问题改成:国防科大的学员每天还有时间精力看书学习吗？ 
如何评价新调整组建的军事科学院、国防大学、国防科技大学？,    至此再无“学术”二字。  实至名归吧 
想找国防科技大学或者国防生男朋友？,有心理准备吗宝贝
国防科技大学的毕业生进入商业公司工作需要经过什么程序?,以前国防科大里面有国教生，他们不是军人，现在没有了，所以基本不可能了。
去国防科技大学交换生好还是在学校数学建模，好纠结？, @董天文说的很有道理  如果你jun校生建议选择去科大交换，会有一种很不一样的体验，绝对比省一有用  争取在下次直接拿个国奖喽 
国防科技大学可以进入参观吗？？好想参观参观？,可以，需要里面的人带进去，在大门口登记。 然而里面并没有什么好看的。
想请问各位国防科技大学的学长学姐，军事外交是个什么专业？是进入科大就要参军吗？管理和当兵一样严格吗？,1. 国防科大本科招生全部是军人，毕业需参加军队分配，等于你不再有决定自己未来的自由。 2. 军事外交专业本来属于南京国际关系学院，今年改革并到了国防科技大学，所以很有可能你会在长沙待两年，然后南京待两年。 3. 如果你不上研，本科生有很大可能分到基层，做一些拔草类的工作。 4. 入了军校基本意味着要在部队一辈子，如果要脱离这个体系，需要付出很多额外的时间和金钱代价。 5. 适合部队发展的有两种人，一种是打算抱个铁饭碗轻轻松松过日子的，一种是不在意金钱但更在意集体荣誉感，有奉献精神的。想赚大钱就不要来了。 6. 性格内向者不适合，不会来事者不适合。喜欢与人交往、喜欢集体活动的人更适合。 7. 本科四年必然很苦，要有心理准备。 8. 要成为人中龙凤，比在地方更难，需要你自身特别优秀，尤其是心理调节能力、适应环境能力以及时间管理能力。 9. 如果你家人在部队，或者父母在部队特别有人脉，那么上述都是屁话。  利益相关：从本科开始就在国防科大，一直读到博士。
国防科技大学军民融合协同创新研究院进去做科研怎么样，非现役文职人员？,文职人员这两年逐渐被重视起来了，2012年军队出台了政策，保证了文职人员的待遇落实，工资是跟当地发展程度有关的。下一步文职人员工资还会进一步提高。
有一个国防科技大的男朋友是一种怎样的体验？,我有个国防科大的老公，幸福 
华中科技大学的国防生怎么样？,沙发
211学校应用心理专业，可以考国防科技大学研究生嘛，是不是只能报地方啊。女生，求教(๑•̀ω•́๑)？,如果是军硕，只能报考与本科专业相关专业。 但这个相关是个值得思考的词，貌似我这届好些离得有点远
为什么国防科技大学的毕业生自我感觉这么良好……？,关于这个问题，我想回答一下，我原本学的技术，之后各种原因，技术改为指挥，最后干的侦察。去年九月份来到广州学习。我原本没有考虑过考研。11月通知可以考，报名，12月考试，每天只睡4小时。虽结果未出，但基本上妥了，谜之自信。         但是，我要说的不是我，众所周知，bd的学习基本上就是休养。没想到的是原以为没人加班的我一到学习室才发现早已经有四个小伙伴在学习，一问才知道全他妈都是科大的，来学习的70多个同学基本是东部南部的，其中不乏名校学生，抱怨bd的也不少，但是肯学习的却都是科大的学生。体能差的学员是每个学校都不能避免的，后勤尤其，只是科大名声在外被放大。但是，我们科大人却是最有情怀的一帮人。虽然在基层并不如人意，但是我们从来没有放弃过学习和努力。 就是这样，作为科大08级的学长，带着学弟在学习室学习的日子真是令人怀念，每每想起都是让人为之一振，我想应该是名校的一种情怀的传承吧。
新疆女生考国防科技大学要多少分？, 新疆无限空间网络科技有限公司 
解放军空军工程大学的飞行器动力工程与国防科技大学的军事指挥选哪一个更有前景？,自己的作业自己做！
国防科技大学部队研究生分配现状是怎么样的？,这个问题嘛，得结合形势具体问题具体分析。题主是国防生女生，因此就你未来的两个选择分别给出可能的结果，题主自己取舍吧。 选择一，不上研，直接参加分配。好的方面，年龄小，在未来短时间内组建家庭时具有年龄优势，无论是结果还是生孩子都有显著优势。不利的方面，分配选择较少。我不是国防生，对当前的分配选择掌握还不细致，但是大概了解现在国防生也不定向，通通全军分配，本科的学历直接制造了一系列平台较高的单位的准入限制，例如师以上单位机关，后期个人发展上也会有所限制，比如某些岗位在晋升时会写明**岁以下硕士学历（注意是学历不是学位，一大部分的专业学位硕士有学位无学历），因此越早上硕士越好。但是作为女士，假如你有婚育计划的话，以后自身考研会越来越难。刚刚上班时的平台也很重要，直接影响了之后长期发展以及成立家庭（对，有家庭，工作平台较高能接触的男士水平和素质也更高）。 选择二，保研到国防科大。就自身素质而言，研究生学历对人的塑造是质变。本科毕业其实只能掌握一系列的基础知识，但是自身的工作学习的主动性远远不够，需要在工作中继续培养。本人就是个本科生毕业参加分配，在工作中越来越觉得需要充电，能力见识都远不及研究生。当然这个前提是研究生的两年半认真努力的度过。其二，就是实际福利，研究生毕业时的可选择余地远大于本科生，即使没背景没钱，依旧可以在更好的选择范围内挑选更优于本科毕业的选择，同时，在未来选择夫婿的问题上你也同时具备了挑选更高层次男士资本。然后，尽量在没结婚之前解决研究生学历问题，不然以后个人发展很难真的跨过研究生这道坎，想想吧题主是推免，直接跨过了考研这段时期，是多么幸福的一件事。 综合起来看，上个研还是收益远大于支出的。两年半的时间，把职务，军衔都调到了更高的平台上，另外科大质量很好，很锤炼人，不仅学习科研能力会进步，综合素质和人生境界都会得到更深层次的培养锻炼。 另外列一下相关规定。一是在职考研，截止录取当年，必须在单位工作满三年。二是研究生分配，根据综合评定值（包括学习成绩，科研能力，军事素质还有其他等等）进行排名，以学员队为了基本单位下发分配单位表，分高的先挑，分低的后挑。也就是说只要你能力够强，选择余地很大，而且研究生分配的单位整体层次要高于本科，更多的倾向于科研，工程等单位。国防生的本科分配选择不很清楚，题主自行对照吧。 最后说一句，其实现在人生做出的许多选择既重要也不重要。一方面确实我们做出的每个选择都会对今后的人生造成或深刻或浅薄的影响，因此要慎重做出选择。但另一方面，我们很难预知今后许多形势的变化，因此也就很难预知当时做出的选择在人生整个跨度上真正的结果。因此，“尽人事，听天命”，任何一个选择和行为都伴随有代价，任何一种选择和行为也都伴随有收益，这种收益不一定以我们能够具体感知的形态出现，也不一定在短时期内就会看到。只要认真的过好整个人生，其实最后我们能够达到的位置是“殊途同归”的。如果题主自己想好了你这个选择的后果和代价，并且认为自己应该选择这条道路，那么就应该勇敢的去做，家庭确实是很重要的因素，但是“将在外，君令有所不受”，未来的形势不是你的家庭能够预知并感受的。所以选择权都在你自己，但是只要你认定了一个道路，希望你在尽完所有努力之前不要随便更换路线。 希望这个答案能有帮助，祝好！
国防科技大学和清华北大相比哪个更难考？,谢邀，清北毫无疑问，也真有清北分不明真相的上科大，虽说国防科大的岁月是我最美好难忘的，但是科大男女比例严重失调，与世隔绝，就是上网也抢不过9院，除非你有明确的从军志向或军人世家
请教一下，我妹妹理科生今年高考，想考国防科技大学，问一下科大女生将来的就业如何？,建议题主多关注国防军事，然后再来讨论军校生毕业后的就业问题。
158cm的高一妹子想报考湖南国防科技大学，近视 差不多两百，有鼻炎，被刷可能性是不是很大？纠结文理科,两道关，能过就祝贺你啦。一是高考分数线，二是军检。分数线可自行参照往年，文科本科貌似只有英语专业，而且不知道是不是停招了，绝大多数是理工科专业，本科生中男女比1:30的比例吧，女生的竞争感觉还是大于男生的。军检这一块，政审只要三观正家里人没犯过事一般都能过，体检这一块参见 中国人民解放军院校招收学员体格检查标准   ，其中又有指挥类和非指挥类的区别，近视和鼻炎关系都不太大，如果要保险就去做个近视手术吧。 提醒你，科大的本科训练很扎实噢，就想其他军校一样管理严格，缺少自由，而且本科是在三号院一个只有本科生的校区，和普通大学的氛围差别很大，和你其他985的同学相比有落差，要提前做好准备。 不过你也能曲线救国就像我一样，先上个国防生，然后再保研或者考研来，科大的研究生环境还很不错和普通大学的氛围相似，关键的技术和研究还是靠研究生的，本科生说实话是打基础。而且带薪上研这一点也很好，加油吧。
国防科技大学本科光电专业复原，找好工作咋这么难？,本科没啥优势
今年高考结束～分数应该可以上国防科技大学～但是家在农村～没权没势～选择上军校好吗？,可以哦
理科女生应不应该报考国防科技大学？,对国科大没有太大的兴趣，主要出于父母的希望。 那还是不要报考了
国防科技大学新生报道后能不能出校？,谢邀。应该不能。
国防科技大学招收文科女生么？,招
请问国防科技大学新生入学要带什么，请详细一点？,只要一套回家穿衣服，相关证件文件就够了，生活用具会统一购置，不用担心少带点东西也省的以后麻烦
中国科学院大学抢走了国科大这个简称，国防科技大学怎么办？,我想纠正一点：  1.中国科学院大学，我们一般简称：国科大。  2.国防科技大学，我们简称为：国防科大。  所以没有什么“抢走了”一说。  另外科普下  中国科学技术大学简称：中国科大。（4.22修改，来自中国科学技术大学章程第一章第二条：学校名称为中国科学技术大学，简称中国科大。英文名称为University of Science and Technology of China，简称USTC。 中国科学技术大学章程（全文） 中国科学技术大学新闻网   ）  北京还有个国防大学。
河南的一个小县城，学校理科1500人(含复读)，一本率10%，我现在100名，我很想考国防科技大学？,河南493？别逗了…… 国防科技大学录取分数线一般起码都要超考生所在省一本线60分以上。2016为例，河南一本线529，国防科大分数线624……
国防科技大学的水声工程怎么样？,这种专业都是屠龙之技，去之前想清楚
国防科技大学现实中有哪些和官方不符的地方？,不知道
想知道国防科技大学怎么样？,怎么没人～
国防科技大学指挥类可不可以保研？,指挥类大四毕业不能读研，工作两三年后才有考研资格。
国防科技大学指挥系考生要高考考多少分？,我们这里算国防生类，一本线以上在加50分
国防科技大学和中国科学技术大学哪个研究生好考一些？,好考不代表好。不说了，加班去了…
我是个四川考生，怎样的成绩成绩才能上国防科技大学？,不要考不要来
国防科技大学非指挥类的念到研究生博士容易吗，毕业后发展前景如何，同北航博士毕业投身军工行业相比哪个好？,高考分数高不建议报科大，可以报其他985，211，考研进科大比本校难度低，还不用参加分配，最好读到博士，否则容易被分到基层。
17年改革后国防科技大学什么时候放暑假，假期大概多长时间？,哈哈我跟你女朋友是一个学校的，但我不是西通的，科大本部和刚转隶的各校区放假时间都不一样。我们14号晚上六点放假喽～～～耶耶耶～～抑制不住的开心怎么办～～～
如何看待华中科技大学国防生因"互联网+"大赛被迫翘课排练？,妈的，我科吃相越来越难看了。当初的以学生利益为本，换了个校长就换天了。只能说，越来越觉得恶心了。把以前积攒的一点自豪感全败光了。
我净身高150，想当女兵，近视近40度左右，考国防科技大学有可能吗？,我教一个办法，可完成此梦想。  进985院校。电子工程过通讯专业。  考研后，会有人找你的。
今年高考600分，能考上国防科技大学吗？,不说省份，不说性别，不说专业，怎么回答？
女生想去国防科技大学读书，有什么建议吗?,妹子如果有实力，还是可以去的。可能有几年不好的遭遇，但是熬过毕业那几年，未来还是会好的
我去上国防科技大学可以吗？,围城
今年高考结束，分数应该可以上国防科技大学～但是家在农村～没权没势～选择上军校好吗？,上军校只有一点不好，就是你没办法自主就业，没办法出国，看你自己的理想，如果你铁定要出国的话那就别去军校了。你家没权没势才是你去上军校的理由，技术型人才相比之下需要的关系都会比较少，如果你家不富裕上军校恰好是你的首选，学费生活费都免了，除开抽烟喝酒估计不用花钱了，正好可以让父母压力小一点，而且不出意外你的毕业后的工作是个铁饭碗基本不用担心
国防科技大学的小哥哥到底是不玩知乎还是不需要女朋友这种东西？,逛知乎的应该……很少，   因为手机管的严啊哈哈哈哈哈   而且……看看国防科大话题下面大家关注的问题，要是校领导看到怕不是……
高考报志愿填国防科技大学怎么样？,一入科大似海深，从此踏上不归路
国防科技大学17年还收地方推免生吗？本人本科211，专业是计算机，听说不收了？,地方入军籍的暂停了。无军籍的双证地方研究生没停，而且名额会增加。211学校如果成绩在前15%可以推免，学校没有名额的话可以申请科大的补偿名额。六院八队欢迎你。
国防科技大学毕业出路？,分配这玩意，是个玄学。不过量化排名好的，一般前途好点。除了分配没别的路啊，你要是有别的路也不会来知乎问了。其实是有别的路，不过对于你来说可能聊胜于无·········
国防科技大学“地方研究生”毕业后，就业会有所限制吗？能否和其他高校毕业生一样同等竞争,先回答这两个问题。没有限制，能和其它985院校同台竞争。 科大的地方生，编制和军人不在一个队里，管理上要松很多。科研学业上，和军人学员是一样的，可以参与所有的教研室项目，并且随着地方生规模的扩大，逐渐成了科研的主力。科大在传统国防工业中的实力还是相当雄厚，像隔壁的中南每年都有很多来这里深造。毕业后，不管是找工作还是出国读博，都不会与其它985高校有任何区别。像我了解到的工作情况，以华为这样的大企业，和航空航天军工口的研究所为主，待遇都还不错。
国防科技大学的本科教育（指挥和技术）存在什么问题？,教育没问题，问题是分配。 技术类如果不能读研（除了保研只能考本校研究生，竞争压力巨大）一样的分配到部队，到部队后你与你的专业就无关了，除了极少数分到科研单位的（一般科研单位也不会要本科生）。 合训的更扯淡，分配权在分流院校，不能考研（在部队2年后才能考，那个时候基本忘完了，就算有实力考，单位也不一定放人，放人去读，你的调职也会被耽误） 据说今年开始对分配制度进行改革，具体情况不了解，不好评价。
作为一个普通二本院校的大三学生，想考国防科技大学计算机系的研究生（不参军），请问：是否支持？,我也想考，我是18考研，你呢？
985高校保研，想去国防科技大学？,和题主情况相似我也是女生，考虑保研到国防科技大所以来留个言， 今年国防科技大学有来我们学校做招生宣讲，今年研究生招收地方生推免生，没有直博生，想要读博需要入学后参加考试筛选，还有就是地方生入学之后不入军籍ps本人觉得这个政策利弊都有，我报名了今年的夏令营，在等结果，还是觉得实地去体验感受一下更真实一些。 说得有点语无伦次，各位见谅
女生想去国防科技大学需要什么条件？,谢邀 技术类不清楚，貌似是分数到了军检合格就可以，并且技术类体能要求不高，所以军检也不太严格。 至于我们大合训指挥，我们那年（2007-2011），我没见过应届高中生的学员，大多数都是战士考学上来的，数量少的令人发指，一共七八个人貌似。所以四个年级加起来一共32人… 呃…就是这样。
我是文科生，现在被国防科技大学指挥专业录取，想问问在几院，管理怎么样能不能选修别的专业？,你好，刚看到你的这个问题。首先，恭喜你被录取？！我必须说明一点，我今年刚毕业，不是军人，是13年招的地方研究生。在科大3年，我说一下我对科大的印象，我说实在话，我非常感谢科大，感谢科大给了我一个非常好的平台，让我更加自信！！研究生院是在本部，而你报的指挥学院应该是本科生吧？本科生都是在3号院，距离本部大概20分钟的车程，但是本科生院环境很好，看着也高大上！！但是管理自然比较严，一个月只能出校一次，还要天天跑步！学习压力也不会轻松！当然，优秀人肯定是很多的！ 我不知道你清楚不，？指挥类刚毕业是不让考研究生的？而科大的军人基本上就是一条路走到底，考研，考博！当然会刷掉不少很优秀的人！如果没有考上研究生，那么是面向全军分配的，很浪费人才！我听到一个非常优秀的本科生因为没有考上研究生，分配到一个军区，科大的本科生，军区扫地扫了两年，极度浪费人才！ 指挥类的肯定是工作几年才能报考研究生，指挥类的训练强度大！是直接带兵的！最好练练酒！ 能考上科大你优秀是肯定的，只是我不是很建议你当兵，很坑，你会后悔，！当然如果有亲戚是将军那就另当别论！当然，现在科大在改制，以后学校是什么情况就不清楚了，只是从现在来看，一般当兵的最后都很后悔！当然过上一个中层的生活还是可以的，只是你的分数可以上一个好学校，如果不参军的话，会有不小的潜力，我没有见过科大的老师会让自己的孩子上科大或者其他军校，都是地方性的985类大学或者出国！科大有一种人以后可以混的很好，那就是有后台的！但是这种人非常少，你也不一定知道，还是很现实的！ 最后，当然也有好的一面，大学四年你基本上不会花家里什么钱！并且科大的学风也是相当好的，在湖南乃至全国任何一个地方，别人都会把你看得很高，会很羡慕你！可以满足你的虚荣心！但是工作以后，你就知道，你跟高中学习差不多的同学，所过的生活差的不是一点半点！ 我也知道，现在很年轻，每个男的都想成为一名军人，为国家，为社会做贡献！都很热血，但是社会很现实！我给你的建议就是能不要当兵就不要当，如果你只是平头老百姓，这里就是一个坑，百分之90的可能你会后悔，！
想找个国防科技大学的男朋友？这个想法不太好？,其实我们也都找不到女朋友啊
如果报考国防科技大学的指挥专业毕业后入部队怎么样？,看专业，全国各地，面向基层。
国防科技大学网络工程专业到底怎样？,参见银河玉衡路由器  https://www.  baidu.com/s?  wd=%E9%93%B6%E6%B2%B3%E7%8E%89%E8%A1%A1%E8%B7%AF%E7%94%B1%E5%99%A8&amp;rsv_spt=1&amp;issp=1&amp;f=8&amp;rsv_bp=0&amp;rsv_idx=2&amp;ie=utf-8&amp;tn=baiduhome_pg&amp;rsv_enter=0&amp;rsv_sug3=2&amp;rsv_n=2&amp;inputT=1391&amp;rsv_sug4=1606      
国防科学技术大学改名国防科技大学，大家怎么看？,领导在下一盘很大的棋。
请问2016年国防科技大学大一指挥类放假安排是什么？ 听说大一学生要军训三个月 那么国庆节放假吗？, 看样子你准备去啊，你想的太短了吧，等你从部队毕业了就知道什么是白加黑5+2了，那时候最幸福的事情就是晚上能按时睡觉 
中国的国防科技大学和美国的西点军校，同为军校，各有什么优点？,西点以培养leader闻名于世，国防科大以培养军队技术人才闻名于中国
高考后成为一名国防科技大学本科生是一种什么样的体验？,知乎把我用手机码好的千字回答给干掉了，我想哭～～～～～   本来写了好多，被弄没了，也没心思再写了，总结一下，就是失望与蜕变。 所谓失望，就是这里是座围城，外面的想进来，里面的想逃离。因为这里实在和你的想象有差距，学校奇强的科研能力和孱弱的教学水平简直失衡。 所谓蜕变，就是在这里，你能感受到熔炉一般地锻炼，灵魂身体皆经打磨，虽然以屌丝自嘲，但你知道，你并不屌丝，你很叼。  所以咯，到这里来，你要有心理准备，这里不是象牙塔，也不是猛虎团，嗯，以上。
为什么大家好像并不看好国防科大?,更新，现在工资大约七千左右，基层更高，一万五也不奇怪。 -       应该没什么涉密的吧，如果哪位知友看到不适合公开的请私信我，我立马删改。。   ----------------------------------------------------------分割线-----------------------------------------------------------------------        很想找个时间好好回答一下这个问题，那就现在吧。        首先回答问题，国防科大到底坑不坑？曰：坑，也不坑。        坑的方面。当年你以很好的分数考到这里来，发现本科这边管理非常严格，每天起早贪黑，没有休息时间，体能的训练让你很吃不消，几乎也没什么自由。就这样过了四年，要分配了，你又殚精竭虑，害怕不公平，或者被分到边疆基层，你的婚姻朋友都隔你十万八千里。        可是我想告诉你，除了军艺和军医大，科大可能是全军院校里面管的最松的一个。如果说军校的管理方式几近残酷，那么作战部队的管理方式则完全超乎你想像的恐怖，除了年假几乎没有假期，不让用手机，随时随地有行动、挑战生理极限的训练量等等。都说在作战部队，三十岁看起来像三十五岁。当然，还是有少数人在机关或者科研单位，一般相对轻松。        不坑的方面。科大的科研经费和硬件在全国高校来看都首屈一指，非常适合硕博深造，如果大家打算投身国防科技建设，科大深造还是灰常不错的选择，一些重大的国防工程科大均有参与，公开的比如大家熟知的银河北斗等。然后你在科大会碰到各种优秀人才，这就是你的资本，你的眼界也跟其他军校的人要广阔一些。 ----------------------------------------------------------分割线-----------------------------------------------------------------------        再说一下自己的感受。我想很多人跟我一样，携笔从戎，帅气军装，身体倍儿棒、免费读书、包分配等等原因吸引你到这儿来，然后，发现跟自己想象的完全不同！可笑当年自己无知的代价！ 但是说一千道一万，什么苦我都能受，就是工作不如意的苦咽不下去啊！！！！的确有些科大毕业了去工作会遇到各种困惑甚至痛苦，主要是部队对各个军校毕业分配没什么差别，科大和一般军校或者有些二本国防生分配基本区别不大，比如清华的国防生照样4000多块钱一个月，这就是困惑。分配发现大家工资都一样，分配也没区别，再看看以前高中同学，大学比自己过的爽，现在工资还比自己高，那些不如自己的，现在也和自己在这个单位，没啥区别。心里落差当然很大，于是有人就消沉了。        所以，想发财、想自由的人，勿入此门！ ----------------------------------------------------------分割线-----------------------------------------------------------------------        最后，忠告那些向往军校的人，国防事业欢迎你们！而且以后军队待遇还有可能提高。但是，一定要想好你是发自内心的相当共和国军官吗？如果你想发财，千万不要入此门，当了军人就意味着牺牲时间，金钱，爱情，家庭，甚至生命。        如果你真的想好了来了军校，给你一个赞！千万要选好专业，这个太太太太重要了！！！这就是我现在最大的心得！！专业牛逼与否一点点都不重要，学校牛逼与否一点点都不重要！！关键是看你的专业是做什么的，直接关系到你到什么岗位！！忠告，分配不看学校，主要看专业！当然有路子的可以无视一切忠告。。。。        还想到一个问题，主流与非主流。在基层，会带兵打仗的是主流，升职空间大，搞技术的是非主流。在科研单位，搞技术的是主流，带兵的非主流。据个例子，在空军，飞行员才是灵魂人物，升职空间大，搞地勤的非主流，一辈子别想当部队主官。        有人会说，现在科技兴军，对搞技术的更吃香。我说，呵呵。现状就是在你看来过时的武器才是中国军队现在主流装备，你看到的那些牛比轰轰的装备只有“极”少数的单位列装。。
如果有其他选择 应首选国防科技大学吗？,楼上说得挺好的，补充一点，想清楚你是为了什么要去科大，是否准备好面对枯燥和现实，梦想是会褪色的，但不要让自己后悔
国防科技大学的地方研究生就业怎样啊？,国科大   not   国防科大   这两个不是一个学校
国防科技大学军人研究生分配现状怎么样？,有好有坏啊，你可以去贴吧问问看，不同专业的分配结果也不太一样，不过技术类去边疆的可能性也很小，大概率是回到家乡附近的驻地，希望可以帮到你。
国防科技大学考研可以参军么？,目前不能了
国防科技大学航天科学学院夏令营如何获得优秀营员？,从去年开始就没有优秀营员了
国防科技大学哪些专业允许戴眼镜？,一般专业都让带，只要近视度数不怎么厉害就行，指挥类的不清楚
高考，女生考国防科技大学好吗，？,如果你是一个文艺的女子，那还是算了吧。我只能说最直观的感受生活有保障，自由受限制。总体上个人感觉利大于弊，有兴趣可以私聊。
报考国防科技大学技术类难考吗？毕业前景如何？,谢邀  占坑，等我去机场过安检了再答     我来了  刚刚把登机牌从口袋拿出来，发现不小心扯破了……我有点方……   科大技术类……说实话在这待久了，我们是什么水平自己心里都清楚，有时候真心觉得对不起学校的培养，自己的水平值不值那几十万……  科大技术类不太好考，因为每个专业一个省只招一个人，所有人都是第一名……我当年排名挺靠前的，也只是被第三志愿录取了，所以题主，你如果成绩一般就别来趟这滩浑水了  其实也没那么恐怖，我们安徽省理科好像是25万人，前1%基本都能录取。如果成绩稍差，特别想来的话，可以试试核物理、物理、应用数学，这些冷门的比较容易录取。我知道的有个核物理的，是调剂过去的……所以题主，志愿要会填，万一捡漏了呢  提前批被撞了也没什么，一本好好填，别浪，你都能来科大了还怕找不到好学校？   等你高考结束了，成绩合适可以私信我。祝题主高考顺利，加油！
170理科女想报考国防科技大学，求意见建议？,军检碰到一个妹子 考科大 考了700分 你自己掂量吧 并且今年的形势 局外人不明白
高三一年，怎么从二本走到国防科技大学？,成绩飞速提升看个人努力吧，进科大先通过政审后体检再看成绩吧。
国防科技大学姜新文教授的p=np研究可靠吗？,"P≠NP. It's true. Anyone who does not think so can go out of this room now." （某次密码学课）
浙江女生考国防科技大学的网络工程这类专业。大概要多少分？,国内大学？本科学的像高中内容，研究生估计能触碰到一点点领域皮毛， 上了大学才知道，热爱不是说出来的，从课本上学的永远不如从环境中学得更让人长记性 学费交得值不值不是看最后成绩考了多少分，而是出来后社会认可了你多少，否则还不如交学费给社会性价比高 专业嘛，真的去自己找找教材和书籍去看，我们不是生产线上下来的鸭子，题主还小，不必规划太远，享受现在的生活吧，把英语学好
