有哪些网红出身于清华大学？,女流66算吗？挺喜欢看她玩小游戏的。  补张女流微博上的图。    ～～～～～～～～～～～～～～～～～～  原来这么多人喜欢女流66，哈哈～
为什么清华大学紫荆操场的跑道设计成了矩形的？,终于有一个我能回答的问题了_(:_」∠)_ 紫操的跑道之所以是方形的，是因为紫操的绿茵场最初设计时，不是一个足球场，而是一个【标准的橄榄球场】 绿茵场的尺寸和跑道的周长限制决定了跑道的形状。  /********割*******/ 感谢评论区  @彭齐家  补充，咱们来算一下为什么不得不设计成方形的。 中文维基上，有   橄欖球   橄欖球比賽場地（field-of-play）為100 米   长、70米宽的長方形草地。 的说法 而 World Rugby Laws   上有  Dimensions. The field of play does not exceed 100 metres in length. Each in-goal does not exceed 22 metres in length. The playing area does not exceed 70 metres in width.  和  the dimensions should be as close to the maximum sizes as possible， and not less than 94 metres in length for the field of play， 68 metres in width， and with a minimum in-goal length of 6 metres.  的说法，100*70的尺寸规定算是确认了。 一般的田径场是 两个弧形+直道+数道宽=100m，如灵魂手绘所示  而如果紫操做成弧形弯道的话，就至少会是这个形状  再算上多出来的一块玩飞盘啊打排球啊啥的地方（就像紫操现在这样），跑道一圈搞不好会由500m+ 反正我课不想在这样的跑道上跑12圈半，说这是5公里
清华大学环境艺术设计考研？,我也是想知道呢。
香港科技大学和清华北大比较，哪个更好？,香港科大学术风气：这要分本科生 研究生了。 本科生中本地生占80%，除了少数大神外整体学风很颓。 研究生中大陆生占80%，具体没了解过，但是跟国内大学差不多吧。  学术腐败： 没有听说过，这面能当上教授的官二代是有才能的官二代。 况且受到香港社会环境的影响，学术腐败应该不会有。  教学模式： 你可以把他理解成在食物充足的茫茫大草原上放羊/马。 较清北的优点就是学生的发展更加自主，发展机会更多，资源更充足，设施更完备。（香港政府和赛马会一年一个亿的投入已经20年了） 同时非常需要学生的自我管理能力，颓过去就颓过去了，没人管。不想国内有辅导员有各种指标卡着。这面没有辅导员没有班级没有各种评比纯英文教学环境下课了大家爱说什么语说什么语爱选什么课选什么课学费特别贵但是学校说他们还是亏本收学费科研设施非常完善研究领域非常先进科研经费非常充足本科生和研究生都有非常多的机会参与科研项目教学质量因教授而异晚上不熄灯早上不吹哨从来不出操没有强制体育课不限电不限网不查房可以偷偷带妹子回来住简而言之就是死在宿舍床上都不一定会被大妈发现( ´ ▽ ` )ﾉ 说简单了就是你在大草原上是练了身肌肉出来，还是光卧在那里长膘了，取决于你自己。  而且计算机系没有编译原理这门课……=。=  师资力量： 港科的师(ke)资(yan)力量（大学的师资主要是用来做科研的吧）在大中华区还是数一数二的。你可以找一些教授搜搜他们的背景。但是他们来授课的话……这个就不好说了呢  就业前景： 嗯……什么叫前景好什么叫前景不好呢………… 大陆本科生基本上毕业后留香港做商业方面的和出国读理工PhD的占绝大多数。 剩下回国的大多都去创业了。 研究生不晓得了。
北大比清华差很多吗？,  把当前主流的国际、国内各大学排行榜都列在下面了。所有排行榜均为截止2015年12月15日的最新版本。    =名次==校名=   美国新闻和世界报导（U.S. NEWS）2015~2016年全球大学排行榜  41 北京大学 59 清华大学   泰晤士高等教育（Times Higher Education）2015~2016年全球大学排行榜  42 北京大学 47 清华大学   泰晤士高等教育（Times Higher Education）2015~2016年亚洲大学排行榜  4 北京大学 5 清华大学   泰晤士高等教育（Times Higher Education）2015~2016年金砖国家大学排行榜  1 北京大学 2 清华大学   英国QS 2015年全球大学排行榜  25 清华大学 41 北京大学   英国QS 2015年亚洲大学排行榜  7 北京大学 11 清华大学   Center For World University Rankings (CWUR) 2015年全球大学排行榜  55 北京大学 87 清华大学   Essential Science Index (ESI) 2015/11最新论文引用排行榜  137 北京大学 162 清华大学   台湾大学版  （NTU Ranking）  2015年全球大学排行榜  47 北京大学 58 清华大学   上海交通大学版（ARWU）2015年全球大学排行榜（区段排名）  101-150 北京大学 101-150 清华大学   中国校友会（CUAA）2015年中国大学排行榜  1 北京大学 2 清华大学   武书连版2015年中国大学排行榜  1 北京大学 2 浙江大学 3 清华大学   武汉大学版2015年中国大学排行榜  1 北京大学 2 清华大学    【总结】     上述13个排行榜中，北大胜11个，清华胜1个，平1个。  
北京大学和清华大学的排名一直这么高，到底有没有水分？,楼主可能还是对中国高校的教育体制不太了解。高等教育在中国属于基础建设，是政策决定性行业。大学的研究方向和社会责任也是由政府直接赋予，所以中国高校的办学自由度相对西方国家低很多。  这样一来，学校的好坏就完全取决于政府制定的政策：政策上规定了哪些是优先发展的大学，那些大学就会首先得到更多的投资和发展空间。98年5月，某人发表了的一段讲话：“为了实现现代化，我国要有若干所具有世界先进水平的一流大学”，根据这一句话，带出了一个工程，无论这个工程是怎么得出的，总之，中国第一批重点建设的9所大学是：北京大学、清华大学、浙江大学、复旦大学、南京大学、上海交通大学、西安交通大学、中国科技大学和哈尔滨工业大学。  这就清楚北大清华排名为什么第一了。如果哪天北大清华不是第一，而南大当了第一，那只能说明，政策变了，而这些是和大学秉性没有一点关系的。
清华大学有哪些大神？, 提这个问题的人是个什么心态呢？想听故事么？完全可以移步这个问题：   在北大清华和其他顶尖 985 院校，到底存在不存在智商被碾压这回事？   清华大神当然多，故事讲不完。  不过我觉得， 与其整天沉醉于别人的故事，不如自己安心多学一些，也留下点自己的故事 。  That's all. 
北京大学和清华大学哪个学校贵族更多？,贵族是指汉族吗…？ 这年头这么有礼貌的题主不多了。
如果考上清华了你还会出国吗？, 考上清华出什么国 这话一点不假  我能考上排名前20的985我都不出国。。。  清华四年加起来花不到10万 美国英国加拿大哪个本科不是100万起跳   然后去欧美读个研究生还不是美滋滋  最后找类似的工作拿着类似的薪水 回报率不知道高到哪里去了 
如何评价2017年ARWU（世界大学学术排名）中清华大学首次进入前50？,隔壁離世界一流大學更加接近了。。。
北大和清华有哪些区别？,曾经有一位清华学长告诉我： 清华和北大差别其实不大 。差别可能只是清华以工科见长，而北大文理学科比较好。通俗的说：两个学校男女比例失衡。清华男生比例大，北大女生比例偏大。        清北地理位置相对，关系也好像对立。之前我就听说过两校互掐。我记得那篇新闻是清华招生办指责北大骚扰已经报名清华的学生。实际上两校中间的柏油路和栏杆只是为了方便市民出行，其实两校是相通的，两校学生互相交流，两校文化互相流通，清北的各个院系水平，虽然会有一些差异，但是不用我多说，大家都知道基本都是国内顶尖水平。       问两校的差别其实没有意义，除非你是省市状元，你选择的余地不大 即使两个学校都可以去但是院系不一定能找到你喜欢的。       清华还是北大？ 如果你真的想选 ，就努力考上状元吧。到时候你会发现你不需要在寻找去清北的方法，清北的老师自然会找到你，你还可能会收到市长的接见。他们会请你吃饭，而只是会告诉你：功成名就之后不要忘了家乡  记得回来修条路。    嘻嘻，不过答主并不是状元，楼主开学高二，这些都是一位萍水相逢的状元告诉我的。不过我会不会成为2019年的河北高考状元还不一定呢，毕竟路还很长，前途似海，来日方长。  
你为什么不推荐高考考生报考清华大学？,你分不够。。。
为什么清华大学培养不出一个国际奖项得主?,这问题问得我都懒得认真回答。    清华新闻网12月15日电 （研通社记者  李江昊 杨菁林 ）12月12日下午，清华大学第十二期“巅峰对话”在人文图书馆举行。2000年图灵奖得主、清华大学交叉信息学院院长姚期智做客“巅峰对话”，计算机系教授杨士强作为特邀嘉宾一同到场，与清华学子展开一场主题为“创意无界”的对话。 
如何看待清华给甘肃魏祥的回信？, 今年高考，甘肃定西的残疾考生魏祥，以648分的成绩被清华录取，因生活不能自理，他向清华招生办求助，希望清华大学能提供一间宿舍，让他带着母亲求学。   这封信很快在网上疯传，打动了无数人，紧接着清华大学复信又掀起一股高潮，把酒酹滔滔，心潮逐浪高。最终清华大学慷慨地给这对母子安排了两室一厅的套房。   网友纷纷被震动、被感染、被熏陶，灰姑娘遇见了王子，一切都是最好的归宿，这是一个多么完美的童话故事！   但，真的如此美好吗？   如果真正了解这一事件的来龙去脉。或许我们会有更理性的评价。   综合《新京报》和《北京青年报》对魏祥的采访信息，我们可以还原整个事件。   先是魏祥向清华大学招办老师提出请求，希望获得一间单独宿舍。   清华招生老师说，申请特殊宿舍需要写一份书面申请，于是魏祥写了。   按照常理，下面就是清华大学同意或者不同意，批准还是不批准。   但紧接着画风却变了，变成魏祥网络致信清华大学；清华大学热情洋溢回信；清华校长批给他母子两室一厅。   正能量爆棚，一片赞叹之声。为这个孩子的坚强不屈，为这个母亲的坚忍不拔，为清华大学的厚德载物。水木清华，春风化雨，何其让人向往！   然并卵。这里有几个重要问题需要澄清。   第一，魏祥只是私下上交申请材料，并未公开致信清华大学。我第一时间看到这封信，就觉得怪异。为何不能直接沟通，非要通过网络致信来绑架清华？凭什么？凭着自己的高分，还是凭自己是弱势群体？都不好解释。而且公开信，这是否显得有点自大和无礼？   第二，魏祥申请材料面对的是清华大学主体，谁有权利把这份申请材料变成宣传材料？据魏祥自己说，他写的申请材料其实很平实。那么谁加工了这份材料？   第三，魏祥并未同意申请材料上网，直接上网有没有尊重魏祥的隐私权？用脚趾头想想也可以知道，谁愿意把自己患有“先天性脊柱裂”“大小便失禁”等隐私昭告天下呢？清华接到申请材料，只有权利决定是否提供住房，无权把这份申请移作他用，更不应该暴露魏祥的隐私权。   第四，“大美甘肃”公众号第一次发表《一位甘肃高分考生的请求》，引发广大网友疯狂转载。那么“大美甘肃”公众号是从哪里获得这份材料？ 其中煽情的润色是否出自“大美甘肃”的手笔？   第五，清华公众号迅速跟进，发表回复魏祥的公开信。此信醉翁之意不在魏祥，在于打动公众也。往年硝烟弥漫的招生大战，今年被营造得深情款款。清华好厉害！清华复信称“我们看到了你写给清华大学的文章《一位甘肃高分考生的请求》”……似乎清华招办是从“大美甘肃”发布的文章才了解到魏祥的状况。难道魏祥的申请材料你们没有看？抑或是撇清某一种关系？   但我们不难猜想，一封申请材料何以变成公开信？因为唯有变成公开信，才好公开回复。为何想要公开回复？因为唯有公开回复才能面对公众，才能更好地阐释清华理念，为清华招生宣传推波助澜。   其实我并不是说宣传不对。酒香还怕巷子深，更何况清华是中国理科第一块牌子，值得好好宣传。而且这是一次经典的天才的宣传策划，简直为清华量身定造，文章本天成，妙手偶得之。任何搞宣传的都很难舍弃这个材料。   一个自强不息的残疾孩子，一个厚德载物的伟大母亲，正好对应着清华大学的校训——自强不息，厚德载物。这不是天衣无缝是什么？不是天造地设是什么？   但就算魏祥同意这样做，一所具有现代理念大学精神的学校，究竟舍得不舍得这样去做，这也是很能考验大学定力的。退一万步，就算一定想要这个案例，那么能不能争取一下这个孩子的意见？问问他是否不在乎自己的隐私？   所以在我看来，这只是宣传的成功，营销的成功。绝不是学校理性精神的成功。百年清华有担当，有智慧；但缺少了一点厚道。   把一个残疾孩子的隐私暴露于大众视野之下，完成一次经典宣传。我还是感觉得不偿失。   这不是宣传的效果问题，而是教育的成本问题。哪怕所有公众心灵都得到启发，获得净化，这次宣传还是失败的。因为这是以损失一个孩子的隐私权和心灵创伤制造出来的。   尼古拉·布尔巴基说：“只有一个人受奴役，所有的人都不自由。”那么，我们是不是也可以说：“只要一个人心灵受创，所有的繁荣都是荒唐的。”   相比较南京理工大学去年的举措，或许能够给高高在上的清华一点启发。   2016年，南京理工大学有301位同学的饭卡上凭空多出一笔钱。原来，学校根据“大数据”统计，对每月食堂吃饭超过60顿、消费不足420元的学生，根据每餐不少于7元的最低标准，暗暗进行了补贴，其目的是解决贫困生的吃饭问题。   不要小看这张 “暖心饭卡”，这简直是以生为本的一大创举。   其一是采取了现代科技手段，精准扶贫。贫困生吃食堂多、餐均消费少，通过饭卡记录进行辨识，可信度非常高。   其二是极富人文关怀。一旦大数据锁定，“暖心饭卡”无需学生主动申请，不用提供任何证明，直接暗补到位，照顾了贫困生的自尊；而且帮人帮到底，此后这些学生每月都能收到同样金额的补助，直至毕业。   其三是学校真正把以人为本的扶贫落到实处。他们换位思考，把工作做深、做细、做实。在减困的同时，为学生减压减负，学生再也不会为了吃饭打工、兼职，影响到正常学习，使得学生对学校暖心的关怀产生感恩之情。   有人担心，新闻报道之后，如果其他学生知道了这个筛选的标准，会有意识按照这个标准来刷卡吃饭，会不会干扰这个筛选标准？   项目负责人王虎解释说：“如果真有个别学生这样做了，也认了。我们的数据调取基本上不低于3个月。如果说某个孩子按照这个标准有意地往这边靠，坚持3个月也不容易。我们认为他还是在乎这些钱的，我们愿意把钱给这些孩子。”   这才是真正高校教育者应该拥有的情怀！大学是什么？大学不是养鸡场和养猪场，大学是理想主义的汇聚地，是天之骄子互相砥砺和磨砺的场所，是飘扬的乌托邦，是扎根在现实之中的桃花源， 理应具有这样的悲悯情怀和高远见识。   任何尊严都是金钱买不到的，如果用帮助了学生却损害了学生尊严，那就是我们教育的最大失败。   这种慈善学生不但不会感恩，反而会充满了屈辱和憎恨，即便他们接受了捐助，未来也不大可能会感恩。   以魏祥来说，清华招办暴露学生隐私，高调地宣传照顾魏祥的事例，让受助者有苦难言。但因为他们接受了捐助，无法公开表达不满；只是含蓄表达了平静生活的愿望。   那么所谓平静生活究竟是谁打破的？这不是一清二楚吗？    清华说“人生实苦，但请你足够相信”。这句话让很多人热泪盈眶。现在看来，“人生实苦”是对的。“但请足够相信”，还要加一个大大的问号。  转自公众号：王开东 
非清本清华研究生认为自己是清华人是什么心态？,非清华附属小学毕业的清本认为自己是清华人是什么心态
清华附中的同学怎么看待清华大学的同学？,除了敬佩，可能还能看到自己未来的目标， 憧憬，也有羡慕，或许也有一份不服输的嫉妒。  记得当时还在附中的时候，经常喜欢拿着家人的饭卡，去万人饮食广场， 吃他们一楼的一份煎鸡饭，这个煎鸡饭可大有来头，如果你在附中这么些年，没有吃过一次大学的煎鸡饭，那就真的是很遗憾了，一份饭，配上豆芽，香喷喷的炸鸡，不仅仅是一份可口的饭菜，还和大学的同学有了一样的待遇，那个时候，仿佛自己也成了一位小大人。  还有就是，一般不喜欢在学校里自习的时候，也会拿家人的卡，去大学的自习室里自习，当时去过二教，去过六教，那个时候二教还是可以进去的，虽然二教有一段很悲惨的故事（抗日战争），六教也有曾经难以启齿的曾经（红色外墙的故事），但是毕竟它们依然还是大学的自习室，可以沉下心来好好学习。  很多附中的同学有进入清华的实力，但是也有很多人最后没能去清华，  但是大家都是经过清华紫色的学子，都不容易，对吧。   
从原学校休学，到清华北大旁听可行吗？,清华北大的大部分课程都可以旁听，仅有少量采用小班教学的课程（如一些小语种课程，一般只有10~15人）不允许旁听。  旁听可以在一定程度上接触清华北大的教学资源，但是效果是很有限的， 休学旁听需要谨慎考虑 。因为真正区分清北和其他大学的并不是课程，而是这里的人，即老师和学生。如果你希望获得真正有价值的东西，闷头听课是不够的，可以多接触这里的人，尝试去发现他们的牛（那些总是说考砸了但出分就99的学霸）、发现他们的平凡（每天自嘲“猥琐男”，每日DOTA， 为什么在「中国高校 DotA 排行榜」上排名靠前的学校，也基本上是国内顶尖名校呢？ ）。我一直相信，知识固然重要，但真正塑造人的还是环境（身边的人和氛围）。
如何看待清华大学标志性景点日晷被不文明游客刻字一事？, 我觉得这事儿吧，刻字儿的游客和清华的学生肯定有不一样的看法。  清华的学生认为：天哪，怎么会有这么没素质的人。  刻字的游客认为：不就是一破清华嘛，不就是一破石头刻个字儿嘛。  就好比坏人永远不认为自己是坏人一样，没素质的人也认为自己无非就是做了点无关痛痒的事，如果你表现过激，他反而会认为你像疯狗一样不可理喻。  前不久我也遇到一件事：  暑假期间，参观高峰期，到处都是游客。午饭时间在食堂，有很多借饭卡吃饭的游客，基本都是牵家带口。我穷，饭卡里的钱都是一百一百的充，余额长期都是两位数。我前段时间经常在勺园吃，每天都能遇到借饭卡的，我每次都借。所以我每天充一次饭卡，每次充一百，一天绝对刷完，也因此，我裤兜里装满了换来的五块的一块的零钱。  话说某天，我刚坐下，对面一游客朝我借饭卡，遂借，还回来的时候坐我对面吃，一边及其诚恳的感谢我，一边吐槽：我借了半天卡了，没人借给我，刚才别人也都在吐槽说借不到饭卡，我寻思着是不是北大这种地方的学生，除了学习，其他的事儿是不是都基本不理，是不是智商越高，这种社会能力越欠缺点什么……不然怎么连这么个小忙也不帮，又不是不给钱。  然后，我端起盘子跑别的地方去了，这种人，你跟他讲道理讲不通的，他根本不明白没有开通支付宝充饭卡的同学，大热天算着时间去充一次饭卡有多么遭罪（因为每天只有两个小时能充饭卡）。他也不明白，每次陪着去输密码有点小麻烦。他也不会明白，整个勺园一楼，一半多都是游客，这里的学生每天都会都会被借很多次饭卡。  再说一件事：  东门外有个红绿灯，每次出校门，门口好多游客被拦下，时不时就会听到游客骂街，一破北大，整的事事儿的，还不让进。他不会明白每周末或者寒暑假，未名湖区域到处都是游客，还并排走，还时不时停下来拍照，绕湖跑步？别想了。文科商科系的学生去西门走未名近，骑车穿过？别想了。关键，还有前段时间龙某混入教室长期蹭课，然后拿着刀子威胁本校学生的。  部分游客不会明白不限流的隐患，他认为，只要拦住了他，那就是不对。  再再说一件事：  以前有个帖子，说的是厦大限流，即每天只放入固定数量的游客，一文人被拦住，无奈，花20块钱让黄牛领进去了，参观完毕，发了一篇帖子《花20块钱进门的大学永远不配一流》，抨击厦大。  能跟这种人讲道理吗？他的道理就是我想干嘛你拦我就是你的不对。  同理，在日晷上刻字？刻个字儿你们也大呼小叫的，清华学生咋这样？  所以，还是考北大吧。 
为什么贴吧里清华大学吧只有几个人关注？,清华吧的关注并不少（40w）但是本校的学生却相当相当的少，大部分都是高中生初中生还有其他大学的学生——这导致发帖质量很低，一大部分都是伸手党求学习经验，或者没有价值的水帖，而这些帖子发出来很快就会被删掉了。 所以你会觉得清华吧发帖很少，活跃度低。  大学生活的节奏和你在什么样的大学有很大的关系。 在一个二本学校，你去图书馆看书可能会有人嘲笑你。 而在顶尖985，考试考不好都不好意思和别人说，因为觉得丢人。  大学生活和高中生活的差别在于——高中实在太单纯了，单纯得没有人生的目标也有高考这个目标。 而大学，一切都是由自己来选择。
如何看待清华大学和北京大学招生组之间的纠纷？,高考分数出来的当天晚上，清华招生组一行两人先登门拜访，跟我爸妈谈选择清华的好处，大概十分钟后门铃响了，我妈开门发现是两个戴着北大logo帽子的人，两拨人见了面挺尴尬的，北大领头的很有素质很和善，说要不然我俩出去等，你们先来的先聊，清华领头的也很有素质也很和善，说不用不用，还有两句话我们马上就说完，于是北大的两个人就坐到了另一边，清华领头的接着对我爸说孩子应该来清华大学的计算机学院学IT专业将来挣大钱，话没说话北大的俩人就“噗嗤”笑了，北大领头的说你们清华可真逗，要挣大钱当然得来北京大学的光华管理学院学金融专业，于是清华和北大的四个人就开始争吵到底是IT专业挣钱多还是金融专业挣钱多，后来就骂起来了，比如清华说北大某次把清华招生办的汽车车胎放了气在路边等了五个多小时才修好，北大说清华某次给北大招生办一直打骚扰电话打到停机错过了好几个考生，还有拿钱收买啊美人计啊什么的，我在旁边听得烦了就大吼一句“我不要学IT也不要学金融，我要学生物！”清华北大四个人愣在那里看了我足足半分钟，清华领头的叹了口气说“这孩子没救了”，北大领头的居然也附和说“已经是脑残晚期了”，然后四个人收拾东西就要走，我爸妈慌了连忙去拦说孩子不懂事有事好商量…… 后来？后来我一着急就醒了。
上海交大有可能超过清华么？,我觉得这个问题本身其实就没什么意义。换个角度，如果有人问“MIT什么时候能超过哈佛？”是不是有很多人会觉得这个问题其实是没有意义的？  一所大学的伟大和成功都不是量化的指标能够衡量的，MIT和哈佛同样伟大，因为他们都在用自己的方式为人类文明发展做出贡献。在我看来，清华和交大也是一样，都是优秀的大学，只是优秀的方式不同而已。  清华老校长梅贻琦先生、南开老校长张伯苓先生、北大老校长蔡元培蒋梦麟先生、交大老校长唐文治淩鸿勋先生...对于这些中国现代高等教育的先贤们来说，我想他们理想中的中国的大学，应当关注的是如何用自己的方式为人类文明的发展做出贡献，而不是在排名榜上是不是又比别人高了几个名次。  交大，或者说任何一个中国大学应该追求的目标，其实不是赶超清北，而是如何成为更好的自己。
清华大学有哪些不为人知的自习地点？,以前我经常在宿舍楼的洗衣机房自习。 学校为了大家健康工作五十年，强制十一点断电，于是不得不亚健康工作的我发现了宿舍楼中没有断电且通宵有照明的地方：洗衣机房。虽然插头一般都用盒子锁了起来，但我们楼有一个地方锁是坏的，正合我意。 说起刷夜，很多朋友可能会推荐东门外麦当劳和柏拉图，其实这些地方我也常去，不过冬天晚上蹬着车子出门实在痛苦。经常想起那句“负箧曳屣，行深山巨谷中，穷冬烈风，大雪深数尺，足肤皲裂而不知。至舍，四支僵劲不能动。”  题目问wifi信号，这当然是没有的，但我在这里要传授一个小经验：除非是课题展示这样需要用到多媒体资源和网络素材的作业需要走很多流量，否则我都会用手机wifi热点。在关闭电脑占用上网流量的进程后，其实手机流量能够满足查文献和文字资料的需求，而且用手机流量也可以敦促自己不要上和学习无关的网站或者手贱点开LOL，无形之中提高了专注度和效率。 有的时候我会搬宿舍里的椅子，拿洗衣机当桌子，有的时候我就直接站在洗衣机前。海明威说他经常站着写作，这样可以不写废话。其实我在大学期间的一些论文作业和发在网上的文章，相当一部分是站着写的。 而且，在洗衣机上写作，能有种笔下涌起惊涛骇浪的豪迈感。
清华大学定向生有可能被分配到哪?,中南海【逃
你对清华男的印象是怎样的？,清华谈恋爱，男生有八怪。 愣萌认死理，总嫌不够帅。 宅基求上进，为人太实在。 看官莫心急，听我细叙来。   一曰愣头青，情深讷于行。 佳人如不弃，妙偶须天成。  二曰反差萌，自尊心爆棚。 人前英雄汉，人后小精灵。  三曰认死理，事事求逻辑。 争吵不慌乱，缜密作分析。  四曰不够帅，衣装在身外。 内涵即王道，潮人也无奈。  五曰次元宅，单纯如幼孩。 情寄梦幻里，一心盼纯爱。  六曰爱基友，传唤必须走。 刀塔五人黑，球场永相守。  七曰求上进，守时又守信。 任务没完成，约会难安心。  八曰太实在，直去又直来。 生气因为啥？心思怎么猜？  说是八大怪，见怪也不怪。 巧语有尽时，花言难常开。 青春终易老，容颜将颓败。 深情多质朴，永恒存真爱。
