从理工专业，考研或出国前景，消费和环境来说上海大学和苏州大学哪个好一点？,家里蹲
美术生在苏州大学与国美张江校区之前如何选择？,国美张江校区不了解，如果单论艺术地位的话，可能国美更强一点。  但就论毕业后就业面的广度和继续深造的选择，苏大纺织与工程学院还是有优势的，毕竟苏州大学是一所排在全国211前列的综合性高校，而纺织又是苏大的王牌专业之一，在1995年和1997年合并之前的苏州蚕桑专科学校和苏州丝绸工学院就是中国最早来办纺织教育的高校之一，和上海的东华大学也差不了多少，毕业生中最有名的就是ply服装设计师马可，其他毕业生的就业情况在江苏非常乐观。   这是今年纺织学院官网上的招聘信息，非常多。 只要不是太差，找一份还不错的专业对口的工作还是不成问题的，而且纺织学院的创业项目也很多，学校和苏州政府也很支持，对于想创业的同学来说也是个不错的选择。  养天地正气，法古今完人  欢迎同学报考苏州大学
如何评价东南大学在江苏高校中第二的位置被苏州大学夺去？,who cares if not alumni？
能不能介绍一下苏州大学？,上面学长说的句句属实，尤其奖学金，一把辛酸泪啊！ 不过事情还是要分类讨论滴~ 比如说环境的话，独墅湖这边住宿条件是真心好，独立卫浴，空调热水器，宿舍随时刷卡就能进，不会锁门，不断网不断电。本部东区几乎没有独立卫浴，但是校园环境超级好，四周都是商区，还有平江路啥的，挺好玩儿的，宿舍也是不断水不断电不断网的。 如果说师资和教学的话，我很了解自己的学部（材料与化学化工学部），高分子现在最为powerful，化学是老牌强势，化工前几年刚挖来一个院士，总体来说很强了。科研氛围这事儿有的导师很水，有的导师晚上九点半还会到实验室“查房”看谁不在实验室，基本上就是如果你要科研，想要的都能给你，如果你要水，没法~另外，我们学部本科阶段有强化班，专业课全部英文上课。但是！如果！要学化学！最好先看看知乎和其他论坛对这个专业的评价！慎重决定！ 另外，医学啊，物理啊（有国际班，全英课），数学啊，也都很牛，还有哲学，苏大哲学也挺强的。 另外如果你喜欢苏州，有留在这座城市的想法，苏大还是OK的，就像上面学长说的，他苏州独大。 不知道你还有什么想知道的，可以评论问，也可以私信~
像苏州大学这样的知名学府为什么没有经济学院？,   首先，经济学院应该是下属经济学科类院系的高校二级机构。苏大作为具有较高知名度的211综合高校，且具备比较齐全的经济门类学科的，如此体量，按理也应该存在一个统筹的经济学院，但名称却不必抠字眼，千篇一律的称作“XXX大学经济学院” ，题主度娘，虽未见“经济”二字，但应该看到“东吴商学院”这个词条吧？    中国人，对自己的语言应该还是敏感的。我想，“商”与“经济”的相关性应该多多少少引起题主一些思考吧。    东吴商学院的主界面是这样的：  题主会发现，东吴商学院，又称“财经学院”，这个名字距离“经济学院”是不是很近了呢？  再看下东吴商学院的下设系有哪些：      我们再看下，全国综合NO1 的天之骄子-北大，它的经济学院组织架构是怎样的呢？    本人现在在职读研的浙江大学经济学院：    经济学系    系主任：曹正汉教授    金融学系    系主任：杨柳勇教授     国际经济学系     系主任：严建苗教授     财政学系     系主任：朱柏铭教授    科研系统    研究中心    浙江大学民营经济研究中心 (CRPE)    主任：史晋川教授  执行主任：金祥荣 教授    浙江大学跨学科社会科学研究中心（ICSS）    主任：叶航教授    浙江大学区域经济开放与发展研究中心（REOD）    主任：张小蒂教授    浙江大学应用经济研究中心    主任：金雪军    浙江大学儒商与东亚文明研究中心    主任：周生春    研究所    经济研究所    所长：曹正汉教授    产业经济研究所    所长：金祥荣教授    金融研究所    所长：王维安教授    证券期货研究所    所长：戴志敏教授    国际经济研究所    所长：赵伟教授    国际商务研究所    所长：宋玉华教授，执行所长：马述忠教授    公共经济与财政研究所    所长：朱柏铭教授    法与经济研究所    所长：史晋川教授，执行所长：翁国民教授    通过上面的比较，题主应该可以看出，苏州大学东吴商学院与“北京大学经济学院”以及“浙江大学经济学院”这些名称不一，但所涵盖的专业课程，以及研究中心的研究方向确实大同小异的。因此，苏大没有“经济学院”，而是有包含了众多经济学科和研究方向的“东吴商学院”。   当然，苏大并非个例，省内老大哥，南京大学，同样没有 二级机构 的经济学院，而是将“经济学院”和“管理学院”统一在“商学院”之下    所以，题主，度娘只会告诉你其然，而不会告诉你其所以然......。 
高三狗想考苏州大学？,本一线往上20-30分。
暨南大学和苏州大学怎么选？,如果你是看重地域，小心被分到暨大珠海校区
如何看待近年来苏州大学临床医学收分大幅升高？,分数越来越高是随着苏州发展的趋势决定的。啥也不说了。如果不是特别热爱，别走这条路。真心劝你们。你怕是没见过我们的考试周。
苏州大学法硕考研复试黑幕严重吗，还有择校问题？,苏大法硕（非法学）复试分笔试面试，笔试通常是三道行政法理论的论述题（参见研究生院网站指定的教材）；面试包括专业面试和外语口语，专业只需要在分析的五门中任选一门回答就可以，外语可能会根据自我介绍或本科专业提问，具体权重在学院网站公告里也能找到。法硕考生来源也蛮广泛，而且从录取情况来看老师们会更重视个人表现而非你来自哪里。王健法学院的老师还是相当讲求公平和公正的，只要认真复习，把自己最好的一面展示给老师就可以啦~祝你成功
大学选择在苏州好还是南京好？,不是应该对比分数选学校么。
重庆大学法学院和苏州大学法学院，法硕（非法学）选哪所？, 两所学校都有一级博士点  法学总体实力在国内前30名  重庆大学是传统理工类强校   法学方面环保法在国内排名靠前   苏州大学则是行政法实力雄厚        看你想在哪工作吧  如果在东部，建议选苏州大学，如果在西南地区，推荐重庆大学 
选西南财经大学还是苏州大学？,好了，题主以下建议仅供参考。苏州大学，我没有入读也没有了解过，没资格说啥。以下内容是我对西财的部分了解和我的一些感悟，希望对你有所帮助。  在专业你自己已定为“金融财会”的情况下，我觉得要分析高考要报什么学校，可以从以下思路切入。但专业问题的建议，我不能给，免得你读了四年发现毫无兴趣回头骂我，小朋友，谁能比你自己了解自己呢？不过我只能这么说，单就就业的角度讲，目前财会金融类就业不错，但是我们专业有小伙伴保研时千方百计想跳去传媒学最后失败很失望。所以不是人人都会喜欢这类专业的，也不是人人都想读这个专业的。但中国目前的教育模式，你上大学前估计也很难想清楚你想学啥这么个问题。只能说，尽量探索自己吧。  --------------------------------------切入正题----------------------------------------------------------  1.如果你要找工作？ （1）学校的地理位置，这个直接影响到的是你找工作和找实习的资源数量和质量。西财在成都，苏州大学在江苏，就地理位置来讲，成都的实习，就我身边的同学来讲，基本都是在银行分理处和保险公司分公司，证券、四大、快消、咨询、互联网等非常少。金融资源对比北上深确实还是要逊色一些，同时对于金融行业来讲，相应的实习经历在找工作的时候还是比较重要的。江苏省的情况目前我不了解，希望有苏州大学的知友可以帮助你。 （2）学校的属性。211和985现在是很多金融机构投简历的门槛了，西财是211，不过刚刚我已经查了，，苏州大学也是。所以这个问题上两者差不多的。 （3）学校在地区的认可度。西财的名气大概可以覆盖到整个西南地区以及深圳，如果你在以上地区有就业意向，那西财是个不错的选择。其他地方就确实大打折扣了，包括山东。如果你以后想回山东就业的话，苏州大学我不知道在你本地的名气怎么样，反正西财确实貌似山东很多人不知道（我室友是山东威海人，据她的描述）。 （4）专业。当你能力可以碾压大部分人的时候，专业确实不太重要，但当你能力一般的时候，专业在就业的重要性就凸显出来了。但是就西财而言，目前采用的是大财经的教学模式。也就是哪怕你是旅游管理、新闻学等等专业，也要学统计学、计量经济学、投资学、微观宏观等等课程。同时，哪怕你最开始没有入读金融财会专业，后面也还有双学位可以修。不考虑个人兴趣，单就就业层面来讲，西财的金融财会类专业就业还是很不错的，不管是就业率还是起薪还是就职的公司层次，在西南地区应该很不错了，而且我们学校每年毕业都有一大堆人在深圳就职，那边已经积累了很多西财学长学姐资源。 （5）学校的活动与能力锻炼的机会。西财有个外号叫“西南活动大学”、“西南PPT大学”。西财的校内活动，社团比赛、专业比赛、模拟联合国、辩论赛、新闻评论大赛、文体类比赛、N种创业赛、大挑小挑等等，都非常丰富。所以只要你有能力，西财可以给你很多机会拿各种国家级省级校级的奖项的，毕业时简历可以堆得满满的。比赛每学期从开学举办到期末考试前一个月，因为期末考前一个月学校会“禁赛”，给大家一个良好的学习环境。  2.如果你要读研？ （1）学校的师资力量。西财的金融学是国家级重点学科，师资力量也毋庸置疑吧？同时进入西财后，大一还有一次筛选机会，学校会有一个经管班，这个班甚至经管学院的老师基本都是名校海归，院长是甘犁（你可以自行百度他的背景），听说今年经管班有好几个申到了剑桥康奈尔等名校的。大二也可以转专业到四个实验班。 （2）学校的学习氛围。西财虽然活动多，但学习氛围也还是很不错的。学霸多多啊~~~考证狂也多多啊~~~而且还有学习和活动兼顾的大神也多多~~ （3）学校在保研或考研外校过程中的接受度。苏州大学我不太清楚，反正西财的话，保研考研路程畅通无阻，包括清北在内，比如我们学院每年都会选3个左右进入夏令营，剩下的看能力咯，反正学校的牌子不会拖你保研和考研路途的后腿的。 （4）读研跨专业的转换难度。就西财而言，前面提到的本科大财经的课程设置，使得即使你本科没学到想学的专业，研究生要跨专业的话，只要是大财经类的，大类之间切换难度较低。 （5）科研氛围。学校还是比较重视培养本科生的科研能力的，比如本科生有一个科研立项大赛，还有几乎都有的挑战杯，然后学院的教授要是你愿意加入他们的话，也能在他们的项目里做些非常基础的工作。同时，就我而言，我在西财遇到的教授人真的非常nice，在科研方面给我帮助很大。西财老师人基本都很Nice的，我当时做东西遇到的问题，不仅本学院，什么财税学院、经济数学学院的老师，我都去问过，他们也都很乐意帮我解答问题。学校也有包括科研单项奖、论文发表奖金等等科研类的奖励。 （6）图书馆资源。就西财而言，学校六层楼图书馆，五层左右的财经类书籍，其他的也有，但相比而言要少的多。单就财经类的图书资源来讲，非常全面。貌似曾经听说过我们学校的图书馆是西南地区最丰富的财经类图书馆？  3.如果你希望享受生活？ 成都是个天府之国，我们专业好多外地同学都很喜欢这里，甚至最后留在了这里。吃的超多，玩的超多，周边景点超多，OH~美女也超多！有锦里、宽窄巷子、黄龙溪这类古风景点，也有高大上的IFS和太古里，也有九寨沟、海螺沟这类美丽的自然风景。吃的就不列了，我上个月不小心回了一趟学校，十天长了七斤，每天沉浸在吃吃吃的欢乐中。。。。。   暂时想到这么多，希望对你有用。谢邀咯~   欧多克！！！我必须要补充，我高考前完全没想过，后来发现选学校很重要的一个问题： 男女比例！！！！！  少年，你真的读书了就发现真的很重要啊。。。。。 西财男女比例3:7，一下课到处都是妹子妹子妹子妹子妹子，还有好多美女美女美女美女美女。 重要信息补充完毕╭(╯^╰)╮
苏州大学个和扬州大学哪个好？,我是扬州大学的。口碑确实苏大好些，不然我这年好多同学就不会考取苏大研究生了。不过，还是容不得别人贬低。诸如评论“用来保底”，“性价比高”等等。在你眼里，看不起我们。又可知，在别人眼里，亦看不起你。如果你已录取扬大，加油，路是自己走的。
三本想考研苏州大学，请问会有歧视吗？,我们苏大歧视一切排名比我们高和排名比我们低的学校。
南京信息工程大学好还是苏州科技大学好？,这里安徽，渣二本大二狗，不知道
苏州大学金融数学怎么样？, 2017.7.16新增:  录取结果出来了！欢迎小伙伴们加入17苏大金融数学迎新群。群号码:652245329  ---------------------------以下为原答案---------------------  ——来自2016级刚成为学长的菜鸡  2016年商院分数线    这边是金数的分数线    可以看出，金数分数线和商院分数线是靠的很近的。  所以，建议题主没有上商院的把握的话不要报考金融数学   ---------------------------------------  2017.6.26晚更新  怪我之前没有好好审题，苏大2016年经济学分数线382，金融384，和金数还是有点差距的，要是没有过硬的分数又想向金融方面发展，金融数学也是很不错的选择。  相信你对金融数学领域也有所研究了，因此这边不再赘述。苏大的金融数学是个新兴专业，创立于2013年，因此直到今年2017才有第一届毕业生，因此就业率等官方数据是没有的，也就是说， 报考苏州大学金融数学系是一笔风险投资 。  就我个人而言，苏州大学的金融数学在培养方面和我想象中的没有太大的偏差。金融数学专业隶属于数学科学学院，但是学位证书是商学院的，这点要注意。平时教学以数学为主，商学为辅，附上大一的课表。  第一学期：（周二的酒菜课是选修）   第二学期：（周三的趣味逻辑是选修）   整体而言，教学较为紧凑，本身数院作业就多，还要上商学院的课，可以当作是强度稍弱的双学位课程了。当然，这也是相对的忙一些，整体空闲时间还是挺多的。  一年下来没有怎么认真听讲，不过对数学和金融也有浅显的认知了，仔细盘点下来收获也颇丰。老师授课都很认真负责，在教学质量上无可指摘。  不足之处也有，比如金融数学处于数科院和商院边界，所以在管理上难免有些不到位。另外，根据我的认知，金融数学对程序方面也是有一定要求的，然而学校似乎没有专门的培训，可能大二往后会有专业课吧。好在即使没有也没问题，苏州大学组织的ACM或者MCM培训还是很专业的，对于建模的帮助很大，当然这些资源就需要靠答主自己争取了。  关于苏大的其他知识，若有缘与答主成为校友，也可细谈。  祝大学生活愉快。 
在西安交通大学苏州附属中学就读是一番怎样的体验？,实名赞同以上所有答案
如何看待苏州大学博导朱栋霖教授公开信披露文学院乱象？,养天地正气，法古今完人。 看着校训，脸红不红？ 我经常开玩笑说，文学院里有一群老古董，他们总是不肯转弯。 其实他们一点都不傻，他们要的只是安安心心搞研究、带学生。 一把年纪了，谁愿意再折腾这种事出来。 事情的真相，的确可以交给律师纪委法院之类的去处理，但是能把一位学术上颇有成就的老教授逼到这个份儿上，真是太难看了
江苏考生，想问一下关于人民大学的苏州校区？,抱歉啊，我不是你们江苏的。 法语零基础完全没问题。 金融专业要学的很多，经济学，管理学，会计等… 数学就是文科数学，微积分，线性代数，概率论。 住宿每年2700 伙食，马上就有食堂了，应该还好 四五万的生活费应该够了吧，看你怎么用啊。 法国生活费每个月5、6百欧吧。还是因人而异啦。 要考tcf/tef（法语等级考试 第五年可以自己考研
苏州大学阳澄湖校区的男生怎么找到一个本部或者独墅湖的女朋友？,你好，我是独墅湖女子校区的女生 我们经常讨论怎么去阳澄湖找个男朋友 现在我发现这个问题吧。。。 希望你没事到我们校区来转转 可能这个问题就解决了
如何看待苏州大学天赐庄校区宿舍全是水泥地？,本人住苏大天赐庄校区东五宿舍 我觉得还好，挺不错的。有空调，独卫。虽然是上下铺，虽然是水泥地，虽然只有大澡堂，对比隔壁华东理工，我觉得还可以吧。当然不能跟本校新校区比，知足了。   当然，还有不足就是对面是女生宿舍，夏天在宿舍不拉窗帘不好意思穿内衣晃悠，我还是经常去阳台晃悠，嗯，就这样
我是苏州大学王健法学院的本科生，有几个问题想问。？,苏州公务员的工资高，比上海高，区级单位更高，转正过后应该一年15万吧，江苏整体都很高，苏南苏北都一样。你别听北京，上海的法院检察院吐槽，他们收入跟生活成本相对太低，也别听中西部三四线城市的吐槽，他们是真低。江苏，浙江，深圳的公务员可以大胆去，建议去检察院，工作轻松一些。
苏州大学艺术学院研究生，我是18考研，关于水粉的学习有什么好的建议？, 主要临摹风景 
苏州大学共有多少个校区？各个校区各有何特色？,泻药。 苏大大概有七个校区。   第一个校区就是本部，也被称为天赐庄校区。   大概是苏大最美丽的校区了。 当年东吴大学的牌匾就在那里。 校长办公室，会议中心还在那里。 还有王建法学院、数学学院等学院。         第二个校区跟第一个校区通过一个桥相连，苏州大学东校区。   体育学院，东吴商学院等学院在这里。   第三个校区也就是苏州大学北校区，这个校区似乎已经被卖了？   好像纺织和机械学院还在那个校区。   第四个校区也就是阳澄湖校区  ，前几年苏大把一个铁道学院买了下来，现在是城市学院在那边。    第五个校区就是苏州大学独墅湖校区  ，在独墅湖高教区这边，环境很好，材料与化工学部，医学部，文学院，凤凰传媒学院在这边。       第六个校区算是文正学院  ，在苏州吴中区石湖那边，苏大的独立学院。    苏大的第七个校区算是应用技术学院  ，也是苏大的独立学院，在昆山的周庄。  
苏州大学奖学金不发钱的作为应该怎么评价？,奖学金是为了奖励勤学的童鞋的，为了钱去拿奖学金才是本末倒置才是恶心吧。 应该是我学习有突出成绩，所以我得到奖学金，而不该是为了奖学金，我学习要有突出成绩。 要知道好好学习是学生的本分，也是为自己为家庭负责任。 如果缺钱请申请助学金·······同时大学生基本都已成年，请多参加社会活动，参加合法的各类打工兼职，自己养活自己，谢谢！  所以只要苏大换个奖项名称不叫奖学金，把奖学金取消，换成什么“三好学生”“优秀班干部‘’（笑～），那么人家光明正大合情合理。  补充：我想说的是：努力学习是学生的本分，无关是否有钱回报你，如果是为了金钱的回报而学习，那，可悲可惋。
如何评价苏州大学物理学部13级辅导员张振华老师。？,我来写几点吧， 他自信，他有激情，他善于表达，他喜欢谈心，相信自己能打动心灵。 他是一面镜子，原来人可以知行分离到如此的程度，说和做原来差这么多。 他是社会精致，极致利己主义的缩影，他时时刻刻想到的是自己，嘴上说的是服务。 他是天生的领导者，他讲话自带光环，气场十足，他面对学生，不怒自威，他面对领导，乖巧懂事。 他是权力下的仆从，他相信权力，喜欢权力，崇拜权力，懂得利用权力。 其实懂他的人都能理解，这是一种病， 我挺同情他的  作为他管理的学生，不要生气，不要因此对老师失望，不要放弃努力，不要放大自己心中的丑恶，努力学习，不要在乎一时的奖，钱，名，利，外面的世界海阔天空，这样的人都能混，凭什么我们不能混的更好。 以上。
苏州大学哲学研究生如何？,谢邀 刚刚看错了题，以为大学报考志愿，然后长篇大论一大通，宛若智障……  看见评论又认真读了遍题，吓的刚准备进医院拔牙的我牙床一抖，。。。  生无可恋……匿了……   苏大我不清楚， 并且我也刚大一，对研究生报考并不很熟悉，但是普通来说，考研究生不光要看学校，还要看导师，每个导师招生多少，对不对外校招生等等。此外就我所知，其实现在考研制度并不像高考制度那么完善，特别是有的有面试什么的，会有一些靠关系什么的现象（因为我跟好几个大学老师关系超级好……一起吃喝和谐（坏笑） 他们说的）。毕竟“家长都是为了孩子，关系又那么好，不好拒绝”所以建议题主找本校研究生了解一下真实录取几率等等。  我就知道这么多，希望对你有帮助……原谅我上午的傻逼……逃跑……
苏州大学有菲利普学院吗？,你说的是苏大旁边的西交利物浦
苏州科技大学好吗？以及它的的广播电视学怎么样呢？,我今年也考到了苏科大的广电专业。。同学你好。。有缘啊。。
苏州大学文正学院流传着哪些灵异事件？,传说这东西。。说不定你也可以成为传说啊～(๑• . •๑)
上海大学和苏州大学设计学硕士研究生哪个更好？,最好还是江南。 苏大跟上大区别不大，地理位置上大有优势，对于师资力量也没太大差距，但是从外界口碑 苏大艺术口碑比较好。根据实力考吧。
