请问怎么看待南开大学津南校区浴室的设计理念？,拐    弯    那两个喷头的位置已然告诉我们一切~~~~
南开大学有哪些好老师？,1.  楼上说的高数的徐锬，“ 人脾气非常好，从不点名，全靠自觉，讲课耐心细致，每次下课很多同学提问都耐心解答，有时都把午饭时间耽误了”。 我120个赞同。徐老师笑眯眯的样子，不急不躁的样子，让我知道什么叫“谦谦君子，温润如玉”。谢谢老师，学生不才，高数课真的没有太学习好，但老师的教诲如沐春风，学生不能忘怀。  2. 史广顺老师。老师的辩论修养我有上，其实我很讨厌辩论，因为我生性最怕和别人吵架！史老师上辩论修养内容我已经忘掉了，但是我记得他有说一些我当时用小本子记的观点“你要忠于你的国家，而不必要是那个党”“两个人真正的感情在于细水长流，在于那些平淡的时光”“用最大的善意去猜测别人”等等等等。因为我不是辩论队的，但我知道辩论队战绩不错，和史老师关系也都很好，所以上过史老师辩论队培训的可以出来讲一下。  大家可以和那个讲演讲的艾跃进比较一下！我！要！点！名！艾跃进是我南开最讨厌的老师，没有之一！一个集权统治者，一个滥用师教威严者，一个水平不行却要扯大旗者。 我不骂人，我只陈述事实。 我记得那时上课三个钟，他不许学生喝水，只可以自己喝水，如果学生喝水就要扣分数，因为不尊敬老师。 他说女生穿露肩装是“有伤风化"，说“你穿露肩装，那你内衣带怎么办？有的女生说，可以穿透明的，透明带就不是内衣带吗？” 我大一时是南开演讲团的，艾跃进是指导老师，有时一帮同学会去他家做特训。然后有一次艾跃进问我们，“你最爱的运动是什么？”那时我抖机灵说“睡觉”，然后他就劈头盖脸的一顿大声训斥“你眼里还有没有师道尊严，有没有一点尊敬师长的意识？balabalabala”我真的被吓蒙了（那时心里还是尊敬他的，认认真真的想去学习演讲），快要哭出来，但是忍住了（眼泪怎么可能因为他这种人而流！）。 艾跃进还一直想给文革翻案，他说现在毛泽东都要被重新评价了，文革也会被重新评价。 艾跃进真的是一个大写的神经病！  3. 南开有很可爱的一群辅导员，季芳老师（不知道老师现在还在做辅导员吗？想念您，季老师）。那时经院学生去美国交流的项目，中间有一些曲折，麻烦了很多季老师，季老师都特别耐心的去帮我收集资料，联系美国学校，开学校证明，很亲切，很温和，很耐心，是一位真正为学生着想考虑的老师。   4. 最后要重点说张健老师。这个故事我有说过，想再提一遍，感谢张健老师，向我展示什么是一个老师的风范。 故事如下：  2008年我大二，是个不成器的学生，期末考试都是考前提前两天复习。  那天我在南开二主楼的教室里复习到下午6点，把书放桌上出去吃饭。吃完饭回来7点，发现自习的那间教室有课，老师在上课，而我的书都在教室里——第二天要考试了，我却还只看了一半的书。  我在二主楼的那间教室外徘徊了很久，想看能不能等老师下课时进去拿书。我查了课表，那是马哲老师张健的课，我大一时上过，他是个中间不爱下课，3节课一口气讲完的老师。我在外面纠结又纠结，上完课就9点半了，我就没时间复习了。我犹豫了一下，悄悄的从后门进去，收拾了书包就走了。  晚上我在宿舍水房听说，今天张健老师的课有个学生老师点完名就马上收拾书包走了，气得张健老师粉笔都捏碎了。我越听越不对劲，张健老师第一节课，那不是我么？我不是张健老师课的学生啊。我当时特别不好意思，我想怎么办呢，张健老师肯定觉得特别心寒。  当时BBS还是很流行的，我没有老师的联系方式，想在主页版“南开之声”发帖跟老师道个歉，但是已经过了11点，不能发帖了。我就在马哲学院的界面上发个帖，简单的介绍了一下事情，和老师道了歉。 没想到，张健老师特别快的回复我，不仅只是劝导我，没有指责我，反而反省自己为人师表的责任，对我加以鼓励。  我表达不好，原信附上。  我的发帖和老师的回复。    后来老师又单独给我发了站内信    我毕业后和张健老师断了联系，只回过一次母校，非常匆忙，没有见到张健老师，但这件小事我一直记在心里。其实马哲课真的是特别不受重视的公共课，张老师只是一个普通的讲师，他却绝不以敷衍的态度对待自己的工作，对待任何一个学生，教我反省与担当。我有时想，得做一个不让老师失望的学生啊。  在这里写出来，如果有谁能够看到，向张健老师再次表达我的敬意和问候，非常感谢。  也向所有南开的好老师们表达谢意，谢谢您们向我展示了师者风范，虽然没有机会再回到南开的课堂，但教诲和关怀不敢忘~❤
南开大学从经管类专业转其它专业好转吗（或者转其它文科学院好吗）？或者转某学院成功的机会大？,蟹腰。。 我就是题主说的那种 特别爱分享的 转到经管类学院的 学长学姐 尴尬脸(☆_☆)  不过看在小学弟同文科僧 同数学不好 同爱历史 同为转专业付出这样那样的心思 宝宝再来回答一次好了哼 傲娇脸(￣^￣)ゞ  一秒正经(・ω・)ノ 宝宝是13级文转商老学姐 高中文科生 文科数学年级普遍第一 偶尔第二 然而上了大学就懵逼了 文科数学基础差一点挂掉 转专业考试前一周翘了所有课找大神恶补数学 英语一眼没看就去考试了 最后我猜应该是倒数几名擦边入围吧  看了半天 没猜到题主到底是经济学院还是商学院（估计不像是金融的）  经济学院对数学要求相对较高 但素商学院维持基本的数学要求就好了嘛 大二分完具体专业后 完全可以选择人力资源和市场营销等 专业课几乎不再涉及数学的专业 想想还是蛮舒服哒  字里行间感觉学弟已经被数学彻底折磨哭了 老学姐感同身受的不行 确实数学底子好的人没办法去理解 线性代数概率论与数理统计统计学还有改革以后尼玛场论与无穷级数这些什么鬼什么鬼什么鬼的东西学起来有多恶心 所以发现难以消除的障碍后 转移确实是可行的办法 就是“转到不使用数学的文科专业”  【我并非已经锁定某一文科学院或某一具体专业】  专业选择是为自己转的 除了个别大院的政策挺让人无语的 多数友好有爱的文科学院（文院史院外院马院blabla）都不太会拒绝外来专业的同学 以文院为例 13级转出文院9人 转入9人 在文院的生活学习都很不错 表现出你对目标学院 目标专业真诚的热爱 定一个和未来发展相关的规划 然后尽最大能力去体现 不会出现学院故意不收你的现象 就像一窝蜂转经管学院人 只有真的喜欢目标专业的人 才能投入更大的热情和精力去达到自己的目标 否则不是我说 都是骗父母骗洋鬼子的 (´･_･`)  【我只求能够好好把握这次转专业的机会，成功转去一个对数学要求现对比较低的专业，然后凭借我对文科的一贯热爱，学好这门专业。我不想撞运气啊！哪怕是一点点失误啊！不能让上天决定我的命运啊！不要说我之前为啥还要读经管学院，分够啊！父母家人，老师推荐啊！当时还觉得骄傲啊！没有好好考虑过自己的长项和弱项，迷迷糊糊的来到了某个学院。你眼中美好的东西只有在你拥有后，才发觉值不值。】 很开心学弟自己就有这样的体悟了 很多人到大四 甚至一生都不会想自己的长处短处 更不要说及时的调整方向 所以祝你早点找准自己的目标 好好努力呀o(^▽^)o   最后说一点信息类的东西 转专业最重要的是时间节点 各个学院信息下发时间不同 建议多关注数学院和周政学院的官网 信息较早且全  由于从经管学院转出文科学院的案例较少 多去自己的目标学院和专业走走 混个脸熟的同时紧盯考试内容 一旦得到消息立刻准备    加油~(=ﾟωﾟ)ﾉ
南开大学三农学社相关？,这是我大一想要留任时的写下竞选稿：  流程： 自我介绍（某某学院某班，普通成员） 优缺点（个人与社团） 改变（个人与社团）  一、责任与担当： a.三农陪伴我一年，活动参与了很多，从一开始的军训服装收集，周六嘉陵北里的支教活动，直到汾水道小学联谊的活动。 b.大二留任与否，三农的新老换届，充满了难过与欣喜，学长学姐离任，我们来顶替，三农的发展需要我们。  二、留任之因： a.兴趣：我喜欢三农，农业，农民，农生，三农的文化，活动，成员（尤其同级的某个成员特优秀，很有热情，与他共事的想法很足）特别棒。 b.选择：我大一参与了很多社团，但是我最终放弃了其他的，大二就果断的留下了这一个社团，可能大二就是0个，这就决定了我会将更多的精力放入三农学社。 c.优点： ①做一位有担当的男生，下一届将会把时间更多投入到三农学社，因为我只留任这一个社团，更愿意配合，希望对三农的发展提供更多的一份力。 ②相信部分成员，相信有他们，能够进一步建设三农，愿意服务， d.缺点： ①简单，许多事不能透过现象看本质，许多事理所应当，没有考虑深层次的，许多事一根筋。 ②参与活动没有部分成员那么多，南开书屋，暑期实践没有多大参与。 ③更多的原因是个人能力不足，没有leadership。 ④掌握的能力很局限，目前仅限于支教，创意，点子不足。 ——责任与义务相对，能力与地位相应，因此我竞选了一个小的职位，某某部部长。 e.遗憾：感觉没能有很大的归属感，可能是因为自己没能更多的快速融入三农学社。  三、三农的发展： a.招收下一届的成员：吸纳更多成员。 b.凝聚力和积极性：联欢，给予社团更多家的魅力。 c.责任更加明确，分工要明确，感觉目前部门的惩罚制度不明确，一部分原因是成员不足，一部分原因没有很强势的成员（某某就不错，但是得把经历集中于三农学社） d.传播三农文化，宣传力度需进一步加大。 e.干事与部门之间的关系要加强，不能中途遇冷，干事与干事之间的关系要紧密。
南开大学的王祎是谁？,这～
在南开大学谈恋爱是种怎样的体验？,在南开谈恋爱，就是 一起去吃一食堂的方便面 一起去吃实习餐厅的肉酱面 一起去吃清真食堂的炒鸡肉 一起去吃二食堂的番茄炒蛋 一起去吃三食堂的饺子 一起去吃天快美食城的麻辣香锅和黑米粥 一起去吃金鹏饭馆的金鹏炒肉 一起去吃八道江山的大酱汤 一起去吃喀纳斯的小盘鸡 一起去吃馨香园的京酱肉丝 一起去吃名锅贴饺子的锅贴和饺子 一起去吃醉爱重庆小面的豌杂面 一起去吃蒲姐燃面的燃面 一起去吃老王豆皮的豆皮 一起去吃仟味阿婆的麻辣拌 一起去吃甜啦啦的甜筒冰淇淋 一起去吃太禾谷香的牛肉饭 一起去吃台湾风味小吃的甘梅地瓜 一起去吃惠民水果店的西瓜和樱桃还有芒果 一起去吃炒酸奶的炒酸奶 一起去吃体育场后面的烧烤 一起去吃老陶包子的丑八怪 一起去吃呷哺呷哺的咖喱锅 一起去吃鱼酷的烤鱼 一起去吃鲍师傅的肉松小贝 一起去吃香园炸鸡的鸡翅 一起去吃玛喜达的年糕火锅 一起去吃龟丸制面的乌冬面 一起去吃渝情未了的芝麻酱 一起去吃元和西饼的水果盒还有泡芙 一起去吃99炸鸡的酱油炸鸡 一起去吃7-11的饭团 一起去吃星巴克的纽约芝士蛋糕 一起去喝大茶杯的奶茶 一起去喝梁氏韩料的大麦茶 一起去喝星巴克的馥芮白 一起去喝优漾的酸梅汤 一起去喝美膳广场的绿豆汤 一起去喝三食堂的小米粥 一起去喝一食堂的豆浆  都说爱一个人，就是要和他一起吃很多很多顿饭。  很多很多顿饭我已经吃好了，那我爱的人呢？你打算什么时候回来啊？  你回来之后，我们 一起去二主楼六楼自习 一起去新开湖边吃外卖 一起去612上睡觉 一起去新图玩电脑 一起去90咖啡蹭wifi 一起去Helen's喝Mojito 一起去数码小院取快递 一起去思源堂假装勇敢 一起去主楼小礼堂听讲座 一起去七教逗猫咪 一起去开水房打热水 一起去迦陵学舍看看大师的住处 一起去学府街菜场买菜 一起去琢璞茶坊复习功课 一起去田家炳看演出 一起去学活二楼值班 一起去津南吹大风 一起去滨江道只逛不买 一起去金逸影城看电影 一起去恒隆试个不停 一起去海河边上看大爷钓鱼 一起去天津之眼往下看 好不好？  我更希望，我们能 一起去馨香园请老师同学吃喜酒 一起去附属幼儿园接宝宝放学 一起去老图准备各自的考试 一起去天塔坐地铁上班 一起去荣迁西里看房子 一起去郊区宜家买餐具和抱枕 一起去好收成买纸抽和牛奶 一起去南开小学拜访孩子的老师 一起去附属中学给孩子送作业本 一起去西区公寓吐槽当年怎么没住在这里 一起去中心实验室找成了老师的同学闲聊 一起去行政楼与曾经的导员侃大山 一起去大中路的长椅感叹时光过得真快 一起去荒岛书店偷窥儿子和女友约会 一起去操场慢慢溜达阻碍年轻人跑步 一起去校医院开药老眼昏花给错了钱  如果可以，我希望这辈子都不要离开温柔的南开，和你一起。
南开大学光电所怎么样？,毫无疑问最好直博
南开大学的经济学专业怎么样？, 物超所值，学霸很多，老师水平不错也很敬业。除了你列举的学校之外我觉得可以秒杀了== （当然和武大的数理金融实验班哪个好这不好说）  金融学院今年独立出来了，势头更猛。师资上了一个档次。 
南开大学数学类统计学怎么样？,想学数学的话可以去山大 本科阶段学数学还是不错的，这样以后考研的话可以选择转财经类啊等等需要数学好的专业
南开大学翻译系新生如何在四年后考上北外的高翻学院？,14级英语系 目标同 然而 想保研 没有学分绩 一切都没有什么卵用 一定一定一定要重视成绩 并且大一a类课很多很水的情况下 一定要用A类课把基础成绩打好 然后 有了学分绩或者没有学分绩（比如想考研的）专业素养肯定不能没有啊 至于专业素养的提高 我想我还不够资格回答  祝好运
南开大学有哪些让你们觉得好的地方？,西门附近的上海生煎挺好。虽然老板打死也不说是哪儿人，一定要说是上海附近的，蛮好玩。
南开大学为什么分数线那么高？,千万别报南开！ 一定要报千万别报新校区！ 来之前听起来很棒，来之后发现生活就是一碗毒鸡汤
有谁了解南开大学陈悦教授团队研发的抗胶质瘤新药，ACT001的药理和临床实验的情况？,ACT001就是小白菊内酯，有别于TMZ，它对胶质瘤干细胞有作用，且在脑内聚集，所以单从原理上说，这是一类很有前途的药物。陈教授也发了JACS的文章，也获得了杰青，说明业内对其还是相当认可的。 有幸与陈教授团队一起做些事情，我现在用来工作的处理器，就是陈教授团队资助购买的，他的团队非常高效、学术化。 ACT001不仅对胶质瘤有作用，其实最早是在胰腺癌和肠癌里面试验的。有关的公开的资料可以在陈教授发表在JACS等杂志的文章查到，军事科学院也曾在这方面发表过文章，在plosone。 临床试验是在澳大利亚，网上可以搜到相关信息，已经注册过了，正在进行中，已经有一些结果了。
24岁，想报考南开大学mba脱产班，有必要上辅导班吗？, 谢邀，  不建议你去参加培训班，主要是培训班太耗时间了，当然如果培训班离家近的话可以去考虑一下。  南开大学的MBA是非常不错的，至于是全日制还是非全日制的话要看自己的需求。  首先，全日制一般都是毕业刚满3年的学生，工作经验还尚少的学生，你和他们年龄段差不多，可能更好的交流。而非全日制可能更注重的是人脉资源的交换价值。大多数都是有家庭有工作的人，大家都是抽空去读书，所以大家做事的目标目的性比较强。就看你更想去那个圈子吧。  其次，全日制时间比较充足，生活节奏就像上大学一样，可以趁着这个机会去把该考的证书考一下，非全日制就比较忙碌了，周一到周五上班，周六周日上学，想想就知道，其实时间真的是被排的满满的。证书啥的就别想了。看看你具体想往那个方向发展。  最后，全日制的话就不能去上班了。南开大学全日制两年的学费是8.64万，再加上吃喝交通起码要10万吧，但是没有上班就没有这个经济来源，要是有办法解决这个，就全日制，没有足够的经济来源就非全吧。  特别提示一下，南京大学提前面试已经开始了，可以试着去报一下，加油祝你考上理想院校的研究生。 
南开大学心理学学硕怎么样？, 南开大学是国家教育部直属重点大学，是首批进入国家"211工程"建设的院校之一，是全国首批建立研究生院的22所单位之一，是一所包括人文社会科学、技术科学、经济管理科学、生命科学、医学、农学及艺术学等多学科的综合性大学。   每年学硕实际录取10人左右，分数在330分以上，但是报考的人比较多，所以竞争比较激烈，今年至少录取了两个本校的学生。   参考书[1] 《普通心理学》，彭聃龄主编，北京师范大学出版社2004年版  [2] 《社会心理学》，十三院校合编，南开大学出版社2008年第四版  [3] 《发展心理学》，林崇德，人民教育出版社（第二版），2009年  [4] 《实验心理学》，郭秀艳著，人民教育出版社2004年版  [5] 《现代心理与教育统计学》，张厚粲、徐建平编著，北京师范大学出版社 2009版（第四版）  [6] 《心理测量》，金瑜主编，华东师大出版社 2005年版  但是看这六本书还是不够的还是需要看一些补充书目。  还有其他问题可以在评论区问我。 
说说你在南开大学津南校区的日常生活？,不请自来，首批入驻津南校区，9月要离开学校，结束学习生涯。 首先地理位置比较偏，只有613/快慢612/快慢615去市里(站点在西门)，要是早晨去赶火车，或者在市里实习很不方便，我曾经在滨海实习过，所幸公司有班车，九点上班，我要天天六点起床，坐六点半的首趟公交去赶班车，很不方便。离咸水沽不是很远，可是没有公交，以前是靠滴滴优步，现在有了小黄车。 购物方面，本人IT男，需求不大，大家基本都去市里或者淘宝。 吃饭方面，除了食堂外还有几个餐厅，可以用来聚餐，饭菜还不错，如果实在想改善，也可以骑着小黄车去咸水沽。学校有三个超市，其中一个是711，好多学生都质疑学校怎么把这么贵的超市引进来了。另外学校还有蛋糕店，水果店，纪念品店等。 学校的图书馆很好，设备很现代化，七楼的风景也很不错的。 学校里交行，建行，中行，移动，联通，电信营业点。 一般大家首发快递的话有近邻宝，少数没有加入的快递，拿件得去西北门。 学校的体育设施很全面，游泳馆，各种球场。不过好像没有攀岩那类的设施，吐槽一下，天大就有~ 学校的周围环境很美好，今天还和同学逛了一圈，环境幽美，各种树木，河流，拱桥，小路，就是人有点少，天南大附近暂时没有其他设施。 另外，南开天大之间不是很近，想去串门得坐公交或者骑行车了，步行不太合适。
在南方人眼中，南开大学名气怎么样？,广东考生 已被录取 讲真在报考前 我才知道这个学校的 之前可能就听过名字 还和暨南中南搞混
关于南开大学转专业？是否现实？,我开文学院学生前来作答。。。 题主你知道多少文学院的学生挤破头想转进商院吗……南开文学院确实不错，但学院内各个专业差距还是很大的，体现在学生数量，师资力量，专业排名等方面，也就汉语言文学特别强势，编辑出版学和广播电视学其实不算特别好，而且传播学系（编版和广电）不接收转专业学生！你只能选中文！ 好吧如果你喜欢的话，就转吧，从商学院转文学院难度想必不大。
现在的南开大学在外面的人看来是一所怎样的学校？,南大的工作人员可友善了，又有气质又自信，总是令我恍惚间以为周总理还健在并服从南大的领导。
如何评价南开大学现任校长龚.克？,我跟你们讲要不是邀我来答题的那个白眼狼我才不想趟这浑水。 但是说实话我对他真的不太了解，就说几个个人认为评价学校领导的指标吧，主语可以换成所在部门。 在任期间—— 学校的陈疾是否有改善 学生提交到校长信箱的内容是否有回应。 学校多了什么 学校少了什么  也就说几个个人在学校期间所能举出来的例子 南开还是没澡洗大学 我个人投到校长信箱的内容石沉大海 学校多了个豆腐渣津南校区和公能测评 学校少了很多的名师  当然这并不怪他，他并不是最高领导，稍微有点了解的同学都知道怎么回事，我们也不用放到明面上来讲什么，也就这么回事吧。我在校期间大家叫他男神，我不明白怎么回事，我到现在都不明白，我不知道他做出了什么事情称得上“男神”之称，可能是我孤陋寡闻，毕竟也就是自己那一亩三分地。 但是他并不是什么多糟糕的校长，他只是一个普通校长，在体制下做着普通的事情，在这里转几年创造点业绩，出台个新“素质教育”，建个新校区，就可以高升。这些人不作恶就值得大家称赞了。说实话他不是什么风云人物，不值得拿着他的履历评出个一二三，这没意义。  我这么讲是因为我的人生中经历过一个类似的校长，空降过来，踢走所谓无作为的旧校长，开始大刀阔斧地改革，出新的学习方法，建社团，搞活动。当时我是学生会的，一下子就要求我们大建社团，壮观的百团建立仪式过后，不给活动地点不给资金也不给活动时间，这事儿后来也就不了了之；出新的学习方法，邀请各个学校的老师来观摩学习，上报纸上杂志，对于高一高二可能还是那么回事，但是对于高三极度不实用，我们老师只能偷摸地备两套课，上完展示规定的，再按照有效的老方法教自己的，而我们完全按照新方法的高二高一，那年的成绩就不仅是滑铁卢可以形容的了。其他的活动也搞了一大堆，还搞国际部，就是送有钱的出国上大学的那个部。建体育馆，改善校园环境变成动物园，以前默默无闻的学校曝光率蹭地上去了，成绩其实靠外县挖来的好学生，尖子生那一块有所拔高，其他的也就那么回事。这个校长是一步一步从下面爬上来的，一个高中一个高中的跳，我是12年毕业，他刚来不到1年，我相信过不了几年他就会蹦到更高的地方，到更高的学校发光发热。  在这个过几年就换个校长的体制下，我们很难再看到以前的那些老校长所创造的奇迹，因为对于这些流水的校长来说，每一个大学对他们来说不过就是刷业绩的地方，十几年的顽疾不可能靠几年的任期来连根拔起，非本校出身的背景更会让他们难以对自己所管辖的地方产生感情，他们只是被任命到这个地方，奉命管理这个地方，只是因为一个任命，他们就成了这个地方的代表，而不是在这个学校治学几十年的先生们。  你们不能苛求他去达成什么，毕竟没有那么高的信仰去和什么强大的力量碰撞，为此可以牺牲自己的前途。时间是贯彻制度所必要的成分，但大多数的普通优秀校长都会不停地往上蹦，而我们这个时代又不断地再推发展，推创新，自然就是没有靠谱的计划硬说靠谱也要上，也要显着自己特有头脑，特别有思想。改善了学生生活，让学生有澡洗这种事情多上不了台面，不如我出台了一个新的素质教育计划来的高大上，有助于丰富履历表。  除了普通优秀校长，就是普通平庸校长，会选择纯粹地无作为，撑到任期走人，或者走不了就安于现状，不作恶、不作死也不捣乱，修生养息。再者就是，普通作恶校长，试图从学校牟利，这种是最可怕的，毕竟直接渗透到经济面上，通过长期不走人来扎根然后榨取本该属于学校、老师与学生们的利益，这种是最糟糕的，遇不上已是万幸。  在这种大环境下，谁还会以一个校长是否尽责来进行要求，我只记得自己在校期间所希望的就是别弄幺蛾子了，别搞乱七八糟的了，明明什么都不了解，却好像一副能拯救我们的样子。当然我也记得我们的辅导员曾向班长们提问，为什么大家都不出来参加活动呢，什么活动大家能喜欢？ 当时我们几个异口同声地说，“大家想要的就是没有活动。” 没有这些你自顾自想出来能写在你的履历表里却对我们毫无裨益的东西。 当然也因为公能测评，还是没有完全得到安宁……  当然都扯到这里了，我还是会扯一下自己心中的稀有校长，和史诗校长。 稀有校长，就是在完成他“校长职责”之外，任期能够完成至少1到2件与学生利益息息相关，解决学校需求的事情（如果任期为5年的话）。我特别希望这类的校长能够多一些，说实话不影响他们升职，但每个校长都这样久而久之学校就会发生变化。 史诗校长，那就是真的以教育事业为己任，勇于为先生为学生为学校发声，把学校当作自己的孩子来养，为了这个孩子他敢于去冒险改革，也敢于以牺牲自己，众所周知的就是蔡元培和张伯苓两位先生，现代有没有叫得上名的，我了解不多，真的不知道。 所以我一直说自己不心疼南开，我心疼张伯苓老先生，我真得推荐大家去看看纪录片《先生》，“最可悲是教书匠”。 —————————————————————————— BTW，我们学校最近的校园头条，是the oval（巨大的校园草坪广场）多了两个WIFI覆盖点，原因是去年问学生你们还哪里需要WIFI，当然活动也比较有趣，就是你得拍下来发到INS上，然后很多人提到了the oval，他们就想办法在图书馆方向的路灯上按了2个，并表示以后想办法弄黑科技看看整个儿广场能不能都弄上。你们还觉得哪里缺WIFI你们就说，学校给你们安排。 这事儿应该不可能不过校长和各层部门，他们有没有考虑过人力物力可能产生的财政压力等等呢。 可能还是因为有钱吧。 所以同学们，记得要选财政充足的学校哟，甭管校长怎么样，应该都不会太惨。
