偶是内蒙古工业大学滴电气专业，考研的性价比高吗，现在比较迷茫，呜呜?,利益相关：内蒙古工业电气本科在读～    ⊙︿⊙ 学习好，能考当然好啦，华电，哈工都有咱们考过去的(つд⊂)
政治学理论这个专业考研，我应该考湖南师范大学和内蒙古大学哪个？籍贯内蒙?,看你就业想去哪里吧，意向在内蒙就选择我内大吧，意向在远方就去湖南师范吧
清华大学机械专业本科生，毕业后进内蒙古包一机，一个月就2500吗？,嫌工资低就不去了呗。一些答案还真是可怕，找工作看待遇又不是啥丢人的事。
在南方上大学 想回内蒙就业 报内蒙古大学的研怎么样？,先说结论吧，不要指望在内大读研后就可以在呼市或包头容易找到好工作，考一个好学校才是个好选择。 我是呼市人，在区外上完大学后回到呼市工作，之后又读的内大研究生。可以这么说，我现在的工作单位根本不会在内大招聘，内大的学生找工作基本都要跑到北京去参加宣讲会。留在呼市的内大研究生是比较少的，在国电，蒙电等企业没有竞争力。 我在本科的时候，包头一机，二机，北奔等企业集体去学校招人，我是先签的一机后来又毁约……虽然这样不好，但在区外的机会甚至回到呼包的机会要比内大研究生要多。当然前提是你得考一个大家比较认可的学校。
在内蒙古民族大学中文系就读是一种怎样的体验？,现在民大都撤系建院了，你说的中文系就是现在的文学院，每届学生有三个班，两个汉语言文学，一个对外汉语，其中汉语言文学在内蒙地区一本招生（也有三少民族的预科生），在民大口碑还算可以。
我一山东文科生考内蒙古师范大学怎么样？,我就填的内蒙古师范，我还是江苏的呢
大学生暑期去内蒙古自助游攻略？,暑假还是主推草原吧 呼盟锡盟都不错，个人觉得呼盟有点远了，你要不是从东北出发就不如去锡盟。住在锡林浩特开车不远就是草原。 有件重要的事情，一定要问在内蒙的朋友今年雨水怎么样，草好不好，去年就挺旱，草好多都是黄的。 如果草不好，就去阿尔山吧。温泉超级棒！！ 满洲里也不错，颇有俄罗斯风情。离呼盟还特别近，可以一起去。
来自内蒙古大学的疑惑。 内蒙古大学的历史系到底怎么样？？？？,不知道这个问题是什么时候的了。。偶然看到就回答一下吧 历旅院待了快五年，感觉水平中等。部分方向师资有些脱节，处于新老交替阶段。本科教学感觉还比较扎实，如果题主学的好以后保研什么的，机会还都挺好的。
在内蒙古大学创业学院读书是怎样的一种体验？,额，看你混的好不，混的好了四级不过老师给你过，考试不去老师给你过，全年不在学校都没事。甚至和老师关系混好了能进学校工作。混的不好了，被子不叠都要给你记处分的，天天查你宿舍，稍微有点不整齐就给你记处分。
内蒙古教师招聘考试中专业对口是什么意思？是教师资格证专业对口，还是大学所学专业对口？,大学所学专业对口你具体情况呢？一般来说，教师证也是按照自己的专业申请的。如果有不清楚的可以打电话咨询招聘公告的电话，那是官方的解释
CUFL2017全国青少年足球联赛超级组北区主办方内蒙古科技大学的实力怎么样？,还可以吧
内蒙古文科考生，不知道应该报考本省的大学（比如内蒙古农业大学，内蒙古工业大学之类）还是西北师范大学？, 选择西北师范大学，无论是学校还是地理位置，综合资源，将来的考研方便程度，接受各种培训（英语、法语等等），兰州相比内蒙古都要好一些，丰富一些。     作为过来人，如果不是家庭情况特殊需要你早点工作，我建议你考研究生，即使是就业，也要到能够给你提供机会更多的地方。 
2016年内蒙古理科男生577分适合报考的大学和专业？,希望大家见仁见智，谢谢大家！
山财，浙财，内蒙古大学选哪个？,真没想到有人会邀请我答题哈哈谢谢谢谢。我是觉得还是在沿海好一些吧。。我是内蒙的，内大算是内蒙古最好的的学校了吧，但是我想考到外面的城市见见世面。而且呢，你想学的专业内大好像不是很厉害。。要是学财还凑合吧。不过内大的生物专业特别厉害。
云南大学 中国计量大学 内蒙古大学 天津理工大学 西安邮电大学的数学专业谁更好？在当地认可度怎么样？,我上的是内蒙古大学，所以建议你：不要来。数学系，很扯淡。
有一个未来的学妹，因为自己的失误没有去南京理工的计算机，而来到了内蒙古大学的经管院的经济学专业？,谢邀 高中毕业已经一年了 马上大二 身边复读的同学也出了成绩 所以也有资格回答一下这个问题 记得高三的时候 老爹跟我说 你就算考个三本都去读 反正不要复读（我爹是多么的会鼓励我(╥╯^╰╥)） 复读不是谁都能成功 不是谁都能考得比上一次好 不如上次的也比比皆是 更何况 一年的时光 提高个二三十分 不划算 真的 这是我的建议 身边有复读的朋友 一整年 自己 家人 心态很难调整到好的状态 非常辛苦 所以有人每次问我建议要不要复读 我通常说 不要 只有一种情况例外 就是 重大失误 题主给出的是另外一种可能性 填志愿出现失误 我对内蒙古大学不了解 百度了解到211 没有其他了解 南理工计科院不错 算强 所以尽管我前面讲了很多复读的苦 可是我给出的建议是复读 因为大学 学自己想学的东西实在太重要了 这已经不是高中的应试教育 大学是让你开始真正掌握知识和能力的地方 学自己想学并感兴趣的东西 我觉得是大学不颓废最大的动力吧  但同时 心理素质要过硬 也要做好 再努力一年 不那么满意的心理准备 不过我想 上天不会单独只亏欠你一个人 加油 只是建议 选择 都还是要自己选择 以上
内蒙古财经大学的状况？,额……手机上无意看到的，不知道是什么时候提的问题，如果是现在想报的话，作为去年刚毕业的，还是想帮题主解惑的。 先简单说两句：财院，哦不现在是财大了，和呼和浩特的农大工大比，设施还是挺破的，在全国就更不用提了…… 在全国来看，不知道。一个内蒙古的二本学校，在全国范围肯定不可能有多厉害吧。 财院的就业，这么说吧，内蒙古自治区所有的银行都有财院人。专业选好了还是很好就业的。（当然学习也别太次，要么就只能靠运气了。）当然也不是说全是银行的…… 个人觉得这学校只有三种人：爱学习的，爱赚钱的，爱玩的（周遭网吧爆满，校园坑爹无线网）。 09年我刚去时候学校建设屎一样，现在据说好很多了，比我毕业时候还要好很多。 赶火车不方便，就说这些吧，有意报考内财的朋友可以在评论里问我，我乐于解答。
在内蒙古民族大学就读是怎样一番体验？,在民大已经呆了几年的医学僧  一不小心写成招生宣传了      当初高考超二本线不多，然而又想学医，尴尬的分数去报这个专业，只有民大收留了我，尽管她没那么好，但她最起码给了我一个机会和最基本的学习条件      北方二本学校的硬件普遍比不上南方，但这两年也有明显改善了。图书馆建好没几年，条件还说的过去;新建的实验楼去年已经投入使用，教室宽敞明亮，蒙医药实验大楼也马上竣工，医学院又可以跟着蒙医药捞点好处了。寝室新区男生八人间，女生六人，每层楼有热水，每栋楼有大概两个澡堂，都刷卡计费。宿舍楼下大厅有自助贩卖机，饮料零食什么的，扫码现金皆可      通辽沃尔玛、大润发都有，离学校还特别近，万达马上也要开了，各种吃的也不少，生活方便，但交通比较乱，实在是懒得吐槽      在民大学习，放松与紧张取决于自己的意愿，在我看来占班级同学多数的区内同学对于学习的态度不少   不少都是很随意的，地广人稀，又处在东北衰落的大背景下，竞争意识被压在了随性生活的豁达之下，哈哈，外省的同学相对比较勤奋。自然，班级的学风不会影响真正有目标的人，图书馆全年开放，纵然气温零下接近三十度的冬季，自习室人也不少。老师们和别的大学差不多，良莠不齐，主要还是靠自己      社团还是蛮多的，找到志趣相投的人应该不难，至于是不是坑，每个人感受不一。学生会没有去加，学校官僚主义严重，实在是怕浪费时间去做自己不喜欢的事。各种比赛都有，只要有能力，你也可以出区和清北复的学生一决高下，身边就有这样的人     蒙古族同学不少，纯蒙古族的和汉族的分开上课，交流并不多，因为语言不通。 不少蒙古族的同学传承骑射民族的传统，会在校园里骑动力比较强劲的电动摩托，在人群中飞速穿梭，无视步行的同学，也是民大一特色  随拍       
内蒙古医科大学研招办地址在哪？,在E座5楼吧，找武建军老师，他负责招生。
本人户籍内蒙古 家在山西在上海上大学后转成上海集体户 现今工作一年不能交金想把户口迁至山西，需怎么办？,上海是积分落户吧，不能落户的学校集体户是会被强制迁回去的。
内蒙古大学的好专业？,财经学院的专业不错
内蒙古科技大学 建筑与土木工程（专硕）怎么样？, 复试 严苛吗？ 快复试了 心里没底 
大学毕业旅行，预算3000元（包交通用费），旅行一周，如何开心地游内蒙古？（本人在湖南）?,作为一个内蒙古人，给题主安利一发～ 内蒙古最独特的旅游资源是它的自然风光～ 典型的有呼伦贝尔的草原、阿拉善的戈壁胡杨、阿尔山的温泉和森林。 其中呼伦贝尔和阿尔山都在内蒙古东部地区，如果去的话可以考虑一起都玩一遍。阿拉善的景象有点像新疆，不过胡杨特别好。 就预算来讲我认为3000比较紧张... 建议选择一个地方去就好...
如何看待内蒙古工业大学校园暴力事件？,“好斗”的蒙生？   自我介绍，非内蒙人，13年从工大毕业，现在在异地读研，女朋友是内蒙人（马上要结婚了）。  四年内蒙生活给我了很难忘的回忆，北方哥们的热情，冬季宿舍的暖气，金川校区的臭水湖……数不清的回忆。去年就回了工大两次，就因为太多美好的回忆需要缅怀。  蒙生可能只有在内蒙高校才会出现这样一个词，或者一群人的称呼——蒙生，字面意思蒙古族学生，在某些语境下，也可以理解为好斗的蒙古族学生。正是这个词语，内蒙四年，最让我不快的，可能就是部分蒙生的跋扈。这是个敏感的话题，分量很难拿捏。说多了，感觉又上升到民族矛盾。说少了，又只像是隔壁班的几个调皮同学。但是那部分人，要怎么去评价？不友好，又或者真的是别人口中的爱冲动而已？  我曾听着身边很好的蒙生朋友，温和普通，他很自然的给我讲述他的朋友如何欺负别人，说真的，那嘴角微微上扬，真的流露出骄傲的神情。我还曾收到一个蒙族小姑娘的威胁，还被他的小伙伴约到宿舍去谈谈（没发生什么事情）。作为一个普通的学子，这些只是最最普通的学生经历的生活。我知道这一天迟早会来，就是因为习以为常的骄傲和办事方式。  究其原因，如果仅用蒙古族来概括，这也未免有些太不负责。如果有些内蒙学校生活经验的人而言，其实那部分群体，一般多少有些贫穷，有些不自信。如果能去证明自己，他们选择融入。如果证明自己无望，他们爱用拳头，用武力来证明他们自己很行。但是又不愿意去直视那些情绪。他们选择告诉别人，我们选择拳头，是他们团结，他们尚武。他们享受这来自他人异样的“尊重”，其实更多得到的更多是恐惧。在这个角度下，变成这样，其实只是内心的自尊心作祟而已。其实身边也有很多蒙生朋友，他们朴实，奋斗，坚韧。一个女朋友就带了500块钱来上学，她全靠自己去工作来养活自己。一个哥们儿每晚去KTV打工，为了不耽误上课，他经常深夜从窗台爬进寝室，真的很高很危险。这些让我动容的故事很多很多，但是欺负别人的故事也不少。  说到头来，这份不自信来自哪里？与同学的贫富差距，资源分配不均匀所带来贫富差距（到处都有）；与同学的成绩差距，少数民族政策，部分蒙生是通过少数民族预科入学，成绩相对较低（不怪他们，教育资源不均，能入学的很多同学都很用功才获得的机会）；语言障碍，在蒙区，很多母语及习惯用语都是蒙语，这让他们很难融入；学校的娇惯，这一点也是很重要的一点，以上的问题其实都不主要问题，那个学校没有贫困生，那个学校没有少数民族，但是学校对暴力的纵容成为矛盾的关键，在他们眼里，欺负别人，学校只会稍加指责，但是他们能收获更多的“尊重”，收到的收益远大于付出。在别人眼里，他们欺负我们，最终吃亏的是我们，学校也不会帮我们，那我们要么能躲就躲，要么就息事宁人。（其实被欺负的人不是少数，发声的寥寥无几）所以我痛恶学校的不作为。  在学校的角度，其实很多事情是能做的，校园暴力，难道不该制止？学校有这样的一群人，难道不该去引导？学校同学之间存在这一道鸿沟，难道不该去化解？其实我不觉得这会引导成什么民族冲突，只要阳光，公正和透明，就不会被那些别用用心的人利用。或者这只是几个不作为的教师想用这个最小的成本去解决矛盾而已。你们真的去调研过在非蒙生眼中的那群蒙生吗？你们真的愿意在每个人心中都埋下这个隔阂吗？  这个点迟早会引爆，难道是未来的某一天，一个亦或是一群血气方刚的少年，等到他们用年轻的生命来点燃这个点。或许今天，这个被夺爱的故事可能还会多几分温柔。洋洋洒洒写下这些，不为别的，为我那些年心中不该有的情绪，为我最爱的母校，为我深爱的大内蒙。
内蒙古科技大学包头师范学院的女生宿舍怎么样？床的尺寸？,现在由六人间改成八人间了，反正说改就改，知道那么多有什么用呢，相信我另择明路吧，据说8点以后不让在宿舍待着，现在知道的人多，还有上课期间不让闲逛，还不如高中呢。
湖南师范大学研究生在内蒙古的认可度怎么样？文科，和内蒙古师范大学比呢?,湖师大211呢，比内师大好太多。
内蒙古科技大学的机械设计制造及其自动化化。我是安徽理科考生548分想报这个专业可以吗？,这个学校在包头，西北地区。找不到工作，不如去发达的城市。 机械这专业，这个学校，没关系，你能找到的工作就是风电，或修机器，好几公里连个人都没有，家是本地的来吧。这是包头这边的情况。工资不高，环境差，永远找不到女朋友。
想咨询一下内蒙古大学MBA复试相关的事情，寻找已经通过考试的学姐学长？,不知道复试结果出来了么
在内蒙古工业大学读书是一种怎样的体验？,我很爱我的学校，他的知识也足以教育我成为更优秀的人，只是我却在努力地离开他，
内蒙古师范大学研究？,1有希望，你说你现在去当国家主席也有希望。 2不知道，百度一下不就行了。
内蒙古大学的食宿？,没热水器...环境非常之差.......内蒙人由于不能吃辣，所以任何菜都是一丁点辣都不放的。
今年考上了内蒙古大学历史系的研究生，参加复试麻烦前辈们指点指点？,南区的还是蒙历史的？
有内蒙古师范大学教育学类专业的学长学姐吗，求认识~？,有，本人16级教育学本科生
内蒙古大学考研的资料哪里可以买到?,以前在研究生院可以买到真题，不过2015年开始不再卖了，推荐找你所考的专业的师兄师姐帮忙。
2014年的免费师范 内蒙古地区的录取线怎么查，官网也没有 北京师范，陕西师范，西南大学，华中师范？,然而只能发一张图   只知道北师大和华师大的
题主内蒙古财经大学，本科财政学，想考东北财经大学的研，哪个专业相对容易考？冷门专业也无所谓？,国际商学院的你挑一个吧
17年高考生选择内蒙古的一本大学好还是选择上海的二本大学好？,不知道你家里人怎么看 如果家里人让你去远地方，那去上海吧，发展前景好，也是见世面
内蒙古科技大学要美术生么？美术生进去有啥专业？,有呀 有个设计与艺术学院 里面很多专业都要美术生呢 学院楼是一个很有艺术感的小白楼 对于一个伪文青➕理工女来说很有吸引力 如果要报美术专业的话还是挺好的
内蒙古大学中的英语系怎么样？,内大比较强的学科有生命科学，民族学，这是全国能排的上号的，英语的话不是特别强的学科，但是也不算太差，毕竟是综合性大学，所以各方面还算可以的，英语属于外语系，在南校区，宿舍不错，上床，下面是学习的地方，有独立衣柜。
内蒙古大学有哪些不为人知的自习地点？,原答案 这是什么猪皮问题。 内大怎么就这些人玩知乎，我还都认识…… ----------------------------------------------------------------  额  @喵嗷呜  你今年刚搬到南区，别装熟啦……而且我影响力怎么着不关你事，你跟交院的交朋友就为了蹭人家自习室也不关我事，你在贴吧瞎喷工大的小吧干不下去了这事情我也不知道…… 因为没有喷点…… 题主是我朋友…… 答题的一半是我朋友…… 站在道德的制高点您不冷……因为您那个衣服穿的比较厚…… 举报了，友善度对厌世的人没啥用……
