上海外国语大学自主招生流程？,初审 通过之后在6月笔试及面试
如果想考上海外国语大学该如何努力？,不要偏科，高位平均，有个别科目突出，比如你的英语。 热爱英语很好呀～有目标也是棒棒哒！不过填志愿的时候谨慎考虑将英语作为你的专业。 利益相关：我也想考上外北外，结果来了西外 
关于上海海事大学外国语学院副教授蒋林性侵女学生一事？,我们需要先确立对这件事情正确的价值观，直接一点： 一、JL的身份是人民教师，LF的身份是高校学生。假如教师和学生谈恋爱、做爱、结婚，犯错了么？没有。 二、JL的身份是成年男性，LF的身份是成年女性。假如男女在一起谈恋爱、做爱、结婚，应该被接受么？太应该了。 三、JL的身份是丈夫、父亲，LF的婚姻属性是未婚。假如两人在一起谈情说爱，对么？不对。 以上三点是大众对本件事情应该抱有的态度，有人看的话，我接着写。  ——————————————叫哥哥———————————————  已有的信息包括所谓LF的自白以及所谓JL的自白。 我们继续写几点： 一、JL始终没正面回答是否与LF发生过关系； 二、LF始终没正面拿出JL与其发生关系的直接证据； 三、上海海事大学校方、院方、警方及其他所谓官方始终未对此事作出正面回答。 以上是事件的客观事实的核心所在，只要三有其一，此事就定了基调了，之后只不过是走走程序完善事件行为链条、摸清细节罢了。 所以我认为公众若真想所谓净化高校环境，还高校学子一个干净的校园，只需要关注以下三点： 一、到底做没做？如果做了，JL就错了，然后搞清楚他犯错的程度； 二、LF有没有直接证据？如果有，JL就错了，然后同上； 三、JL是否  主动  追求LF？是否对LF  隐瞒  已婚的事实？以上二者有一，JL错，然后同第一条。  ——————————————等等再继续写———————————————  接下来是我个人的感受，首先阐述我的态度：搞清楚事实，搞清楚动机。 然后和大家做个简单的交流： 一、知乎上所谓JL的自白，通篇下来给我的感受并不是“我没跟她上过床”，而是“那个婊子主动勾引的我，老子根正苗红但禁不住她痴心绝对不小心来了那么一发结果不可收拾”，答主请各位注意不仅仅注意所谓JL回复的内容，更要注意他的语气； 二、LF为什么要自爆？ 无论是否利他，人都是利己动物。 自爆对LF有什么好处？我大胆做一些猜测。 对LF来说，她想要得到的东西无非有三，第一奢望的真爱无法得到的精神过激，第二公平交易未到手的产物，第三交易失败后无望的会心一击。以上三点可共存。当然了，如果LF是精神病不讲逻辑不讲感情，那本文作废。 三、知乎上所谓的JL为什么要自爆？ 原则同上。那么自爆对JL有什么好处？ 对JL来说，截止自爆前，对他的影响主要在于，第一正常的工作和收入，第二与家人正常的沟通交流，第三他人的舆论对其造成的精神压力，而精神状态又分为没做此事的忿忿不平和做了此事的气急败坏。同样的，以上三点可共存。 那么他无非想得到，第一恢复正常的工作和收入，第二恢复家人的信任，第三平息社会舆论从而减少压力。  这么认真严谨负责人的回答为啥没人看，抖机灵果然比较适合当前的知乎？  ——————————————等等再继续写———————————————  接着上面我们继续说。 一、事情的情况无非是， 1、JL主动潜规则LF，事前或事后许诺好处，但LF不断得寸进尺，触及JL道德底线或能力底线（其实如果真是这一种情况的话，JL和LF有何道德底线可言，更多的可能是LF的要求，JL办不到，但LF不相信，导致谈判破裂关系败露），两人互不信任，谈判破裂； 2、JL主动潜规则LF，或许给予其一定好处，但一段时间过后，LF想恢复正常生活，JL不肯放手，甚至有可能手握证据相逼迫，谈判破裂，LF破罐子破摔； 3、LF对JL爱慕许久，主动追求JL，两人地下交往，有一方想结束关系，另外一方不愿意结束关系，甚至以某些物品或行为想要挟，谈判破裂； 4、LF主动追求JL，想从JL身上得到好处，胃口越来越大，JL无法正常满足，谈判破裂； 5、LF主动追求JL，JL不懂如何拒绝，于是在LF看来就像欲拒还迎，但两人未发生关系，最终LF美梦破裂，觉得自己被羞辱了，于是恼羞成怒，破罐子破摔； 6、LF是精神病，JL在其影响下，也感染了精神病； 7、我们都是精神病。  都看到这里了，敢不敢点个赞？  就这一点，我们来分析一下。 1、两人从认识到自爆，JL手中对于LF可用的权力处于增长状态，就“疑罪从无”及事件模棱两可时“往更有利于社会进步的的方向思考”的原则来说，这一点的可能性很大； 2、从所谓JL的自爆行文来看，JL对LF恨之入骨，这一点可能性不大； 3、就JL的家庭状况及工作状况来看，JL给LF的时间越来越少，所以这一点完全有可能； 4、同第一点，有可能； 5、我只问两个问题，可能性大不大各位无论谈过恋爱没谈过恋爱的，自己感受下姿势： ①一个你应该心爱的学生就差1分及格来向你求情和一个你不应该心爱也不心爱的学生来向你投怀送抱，这两种情况，为什么第一种你拒绝得很有姿势，第二种不懂得如何拒绝？ ②明知一个你不应该心爱也不心爱的学生对你爱慕许久恨不得用岛国十八式榨干你们家小二哥，为什么一次又一次地与其私下单独交流，甚至在比较私密的空间（汽车）里“约会”？ 6、一脸懵逼； 7、全屏幕懵逼。  我们在分析两人自爆的动机之前，先看看上面列出的七种情况双方的对错情况： 1、JL割屌吧，没本事就别乱搞，搞大了吧？LF傻逼吧，欲求不满，得寸进尺，一点潜规则的原则都没有，你不配潜规则； 2、JL还有屌吗，有的话继续割。LF敢不敢成熟一点，懂礼义廉耻吗？ 3、你们其实蛮配的，要么在一起别去祸害社会了吧？在一起在一起！ 4、同1； 5、JL的处理方式就像3岁小孩，LF的思想状态也像3岁小孩，看起来你们还是很配，在一起在一起！ 6、在一起在一起！ 7、我们一起狗带，你们好好过下去。在一起在一起！  ——————————————等等再继续写———————————————  然后我们看下LF为什么要自爆？ 前面也说了，第一奢望的真爱无法得到的精神过激，第二公平交易未到手的产物，第三交易失败后无望的会心一击。 一、LF对JL有需求。LF的自爆证明了； 二、LF与JL有私交。居然能联系到JL的妻子，我反正到现在都没有大学里任何老师家属的联系方式； 三、LF觉得自己吃亏了，要报复啊要报复。有可能单纯是精神上的，也有可能包括肉体上的。  然后我们看下JL为什么要自爆？（前提是知乎上JL的回复是本人的真实有效回复，否则就当我在写小说好了） 一、被停职察看了（这个词对吗？），想停止谣言恢复工作； 二、停止谣言传播甚至扭转舆论导向从而减少对家人的生活影响； 三、停止谣言传播甚至扭转舆论导向从而减少对自己的生活影响。  ——————————————等等再继续写———————————————  然后我们看双方目的是否达到？ 一、舆论导向对JL不利，而且无论是否上床（即便没有上床，已婚教师和学生暧昧本身就有问题，而这点目前已经坐实），对JL会一直不利下去，无非只是程度轻重而已。LF目标达成； 二、JL对LF的关注陡然提高，要知道对于一个激动状态下的人来说，正向的关注与负向的关注都是关注。LF目标达成； 三、所谓JL发出自爆文章，逻辑不顺、行文不通、避重就轻，至少让原本不想参与的看客参与进来，说出自己的感想，就比如说我。万一碰上我这么较真的，写出这么一篇李菊福的文章，又被击中一次。JL目标没达成； 四、无论两人是否上床。从所谓JL的自爆文章中对LF的激烈言辞，简直就像有深仇大恨，想把LF打入十八层地狱永世不得翻身的样子，（竟然说到LF的性史混乱且丰富，至少也应给一个女性留最基本的颜面吧……无论两人上没上过床，LF以后只能找个老实人嫁了吧……老实人哭晕在厕所，为什么又是我），其实JL最佳申明只需要公告“我JL从来没跟任何女学生上过床”就行了，所以这也看出JL气量狭小、逻辑混乱、情商欠费、智商捉鸡。  其实我有点废话，说了这么多，就目前的事实，就是想表明下面这些很简单的观点： 若JL坐实有错，无非错大错小； 若LF坐实有错，无非错大错小； 两人错的方向不一样，但JL不配为人师表，LF不配为人妻母； 作为相对弱势一方，LF值得同情； 作为承担社会责任感更重的一方，JL必须深究； 无论此事是否为真，作为教书育人者，如此恶毒的逻辑与言论，JL没法得到宽容； 如果官方将此事秘而不宣、平息了事，或用手段摆平了LF、平息了事，那根真的是烂到没救了。  ——————————————叫哥哥———————————————  就写到这里，有观点的碰撞，我们再聊。
外语类：对外经贸大学和上海外国语大学哪个学日语好？,贸大大一外院狗飘过……
想读外语专业，南京大学还是上海外国语大学？,即将毕业，为心爱的sisu上外奉献知乎首答。答案散漫如其人，请诸君轻拍。就个人经验而言，如果一心要学外语，上外是个很好的选择。  学：  首先上外学习语言的环境很好。会有很多语言能力超强还超勤奋的同学。蹲图文会听到各国语言仿佛八国联军入侵…在大家都很投入的情况下你也会很投入的，除非懒癌晚期。环境挺重要。 我接触到的语言课老师绝大多数都很棒，功底扎实，态度认真。一定多和老师交流，会很有收获。 我是外国语中学出身，教学方式上我觉得进了大学竟然和高中没太大差…实在太亲切（笑cry.jpg）讲课文做pre小组讨论，往后会让学生试着自己备课讲课…管用的啊。还拍过英语微电影哈哈。四年前两年有外教课，一周一次，个人认为可以再多点。 各种语言相关的活动，比赛，社团。寒冬酷暑都去英语角和老师老外聊天。 出国交流机会。有幸出国一学期，很珍贵的经历。谢谢sisu。为了这个一定要好好学习啊。 各种辅修，可学其他语种，可学经济等等，莫说课水，贵在坚持。嗯我因为人懒和出国抛弃了法语…伤心。 去做英语及各种小语种的家教，sisu有家教中心给你家教资源。教别人也是一种学习方式。 就业口碑是不错，但关键靠自己啊。上海实习和兼职机会很多啊。（好吧我没有很好把握机会，一个懒癌的忏悔）我不是小语种的。不过应该有很多工作机会。我身边有未来的老师，翻译，白领，记者，海龟，研究生。我计划出国，前途未卜。  玩： 食堂和宿舍…这也很重要…嗯，食堂在进步，真的。不行去文汇路或隔壁东华…宿舍安了空调，进步。 松江离市区有点远啊…不过分分钟去佘山欢乐谷松江万达啊。挤一挤九号线去逛南京路淮海路徐家汇五角场啊。 即将有酷炫的有轨电车开到校门口。 墙裂推荐男生来…男女比例你懂。 最后，如果大学是所整容院，上外应该就是上海九院。 附赠sisu校园照若干。        唉呀还有更好看的…眼花了懒得找了。 祝题主找到心仪的学校和专业。
考上上海外国语大学的国际政治专业，想问学长学姐几个问题？,每年都会有很多新生进来之前就问如何进外交部如何进高翻⋯⋯等你来了就不会再想了。
上海外国语大学本科生住宿条件，金融会计学的教学水平如何？综合上看是否建议报考？,首先 河南是上外的招生洼地 上外在河南的分数线比很多省份都要低 从这个角度来说 河南人报上外是一个性价比很高的选择 其次 目测题主是一个理工女 关于上外会计金融 网上对其褒贬不一主要围绕两个问题 1. 专业实力强不强（学术能力） 2. 就业好不好 第一个问题 我负责任地告诉你 学术实力跟上财中财贸大相比肯定有差距 不在一个档次 但上外目前在狠抓复合型专业 也在加强师资队伍 上外金院的专业课老师基本上都是复旦交大财大毕业的 这就是同城优势 第二个问题 我更加负责任地告诉你 上外的所有专业就业都很好 金融会计就业尤其好 一般的专业实力加上专四专八再加上上外在外企积累的口碑和人脉以及上海这座国际大都市提供的地理条件 上外经管就业绝对比你想象的还要好很多 鉴于题主是女孩 我不建议去理工科大学 因为你这分数去不了同济北航 其他理工类985从全国投档线来看和上外都差不多（清北华五人顶级985除外） 除非对理工科有很强的兴趣 不建议女孩读理工科 一方面大多数女孩子学不来 另一方面理工科行业在就业时倾向男生 所以对女孩子而言 最好的选择就是经管小语种 而且在大城市读书对女孩子开眼界也是非常好的 以上 欢迎报考上外！
上海外国语大学金融专硕，在校期间怎样做才能进四大会计事务所？,学校好 只能说明你起点高 但是如果你因此非常努力地话 那么一切都是有可能的 我一个破大学都没毕业 但是目标依然是同传 我都是每天三点起床练习英语 
上海外国语大学预科班就读感觉怎么样？,如果准备好出国留学的话，那么高二会考结束就可以读预科，那样能节省一年时间，上海外国语是一个不错的语言学校，学习氛围比较好可以考虑。
上海外国语大学MBA怎么样？,非常不错的，特别是他们国际化的课程安排，再加之语言方面的优势。等到毕业后，既有工商管理知识，又能学个小语种，还能巩固英语知识，另外还有海外交流的经验。总体来说性价比还是超级高的。
今年大三英语专业，三本院校，在校成绩优异，准备考研，想考上海外国语大学。是不是痴人说梦？？？,如果只是觉得自己本科学校是三本，担心学校会有歧视的话，那就完全不必。我个人认为上外的复试还是很公平的，主要还是看自己的实力，我想你去问任何一个上外研究生他们都会这么告诉你。加油吧骚年！
请问上海外国语大学金融专硕怎么样？, 上外MF报录比是多少呀，为什么在官网上查不到？Who knows it？ 
上海外国语大学，中国政法，对外经济贸易大学如何抉择？, 谢邀   法学为什么要纠结外国语和对外经贸，上海地区首选的应该是华东政法大学啊，号称垄断了上海法院和四大律师所的学校，虽然奇葩的不是985和211，但公务员考试通过率在上海地区跟开了挂一样，地处松江大学城，交通的话靠近九号线。上海政法也不错，现在是一带一路的合作院校，就是地方很偏  北京的不是很了解 
如何评价上海外国语大学金融硕士？与上海211相比如何？,2015级上外金专毕业生就业去向，主要分为如下：券商(国泰君安，申万宏源，西部证券)；基金，16届的学长有在国海富兰克林基金intern; 政策性银行如国家开发银行；国有银行若干；外资银行(如恒生，渣打等); 还有一人考取了上海财经大学博士，因为目前毕业统计还未下达，所以统计并不完全。利益相关:17上外金融硕士
如何评价上海外国语大学金融系？,找工作很容易，普遍可以去四大，只要你不嫌辛苦。另外没啥优势，反正我在上外学了四年金融，我只知道我的词汇量和专业知识基本都是靠自己辛苦自学的，难得有几个老师值得尊重，学院的课程真的不敢恭维。
上海外国语大学翻硕考研？, 你好，上外不看你的本科是一本还是985、211，竞争的还是学生个人的实力，据我所知上外高翻的翻译硕士每年考上的同学中二本、三本、成考、跨考也占了很大一部分，你现在大二备考时间充分，而且也可以找到专门做上外考研辅导的机构获得专业备考信息和复习规划，相信考上上外还是非常有希望的。加油！ 
出国读研，本科选上海外国语大学还是华师大？,你觉得华师大不好，我理解，因为华师大的reputation确实比不上超一流大学。但是华师大三分之二的专业都是非师范，不是说你读师范大学就是当老师的，考虑问题不能凭名字贴标签。  华师大的精密光谱实验室在本领域（属于物理学）是全球第一的实验室。河口海岸和脑功能基因组等研究所都是非常屌的研究所每年在国际顶尖杂志上发表很多论文。国内的大学排名受到学校规模影响很大，作为以文理科见长，而工科医科农科商科投入较少或者完全没有投入的情况，综合排名就比较差。国际排名的话，QS，泰晤士，交大，USnews四大国际排名综合起来以后，华师大全国20名，自然指数大中华区（大陆加港澳台）18名。2016年7月刚刚得知消息，最新的自然指数（增量排行）华东师大全球第13，中国第9，较之2012年数据，上升了200多名。所以科研能力很好。         华师大对外汉语专业，历史学，心理学，神经科学，生物学，微观经济学，数学，社会学，物理学，地理学，教育学，学前教育，特殊教育等等专业在全国都是很有名气的。这些强项专业都不是社会上的热门专业，所以学校声望当然不高。不过现在学校也在增加投入经济金融商学院，所以他们的硬实力也在逐年增长。这个情况和UCL相似，ucl强项专业像全球第一的教育学院，全球第二的建筑学院，全球前几名的医学院和全球第二的神经科学加全球前几的考古学等等等等，都不是留学热门专业，所以声望不高。因而ucl也开始大力扩展经济金融商学院了（中国人真的只盯着这三玩意儿）。  国际合作方面，每年和以英美为主的国家的诸多全球一流高校有很多交流项目，也有2加2项目。和美国纽约大学合作建立上海纽约大学，美国纽约大学每年和我们有心理学和神经科学的交流合作项目。和法国高师（法国最好的大学之一）合作培养硕士，和法国里昂商学院共建亚欧商学院etcetera.  而且华师大在学生服务，图书馆服务，住宿服务方面每年都在进步。所以怎么说呢？华师大是一所名字不够高端，声望不够强大，但是实力真的比外在强大很多的大学。如果能投入一笔钱建立更多的工科专业和更强大的金融声望，改名为华东帝国大学，那么这所学校将在5年内成为人人垂涎的学校。
在上海外国语大学做一名单身gay是一种怎样的体验？,-__，- 我是你学长，你想知道啥，单身gay是什么体验？学长我大一下半学期开始就没单身过！                   但是并没有什么X用，目前还是单身
上海外国语大学新闻专业考研怎么考?,具体攻略详见论坛“千研万语”，很多备考资料以及前辈的经验。
中山大学、北京第二外国语学院、上海外国语大学的酒店管理专业哪个比较好？,能上中山大学就不要上酒店管理专业吧。好歹也是211。
