南京理工大学生活怎么样？,不怎么样
江苏理工学院校徽是抄袭自南京大学的校徽吗？,都是国立中央大学拆出来的 
通信考研西南交通大学、南京理工大学、中南大学怎么选？,邀请一个本科生回答是什么意思？ 本科生也是有尊严的。 你以为我不想读研？  
如何评价南京理工大学社传院在国防知识竞赛中作弊但未受处罚？, 以下是个人观点。 图中夏姓管理员的这段话存在明显的逻辑问题，“我们的同学绝对没有问题”和“是国防协会内部的问题”存在明显的矛盾关系。  假设一没有泄题。 那么我们认为同学是自己通过广泛阅读和考前强记忆的来的答案，那么“国防协会内部的问题”显然是不存在的，夏姓管理员何以质疑国防协会内部存在问题。  假设二存在泄题。 既然泄题存在，那么就必然存在泄题方和被泄题方，被泄题方自然是参与考试的人员，不管泄题方是不是国防协会内部的人员，参与考试回答的人员必然逃脱不了关系，“我们的学生绝对没有问题”站不住脚。  我们把“国防协会内部有无问题”和“答卷学生有无问题”进行排列组合，分别为：1.国防协会没问题，学生没问题；2.国防协会没问题，学生有问题；3.国防协会有问题，学生没问题；4.国防协会有问题，学生有问题。 如果我们的变量仅仅是泄题和不泄题的话，那么无论以上哪一种，夏姓管理员强调“国防协会有问题”和“学生没问题”的论点都不怎么站得住脚。  欢迎补充。
重庆大学和南京理工大学哪个好？,两所大学都很好，虽然重庆大学是985，但是南理工有另外一个优势就是它是工信部直属，工信部直属的高校就业是不用愁的，但是如果你考虑读研深造，重庆大学更加有优势，地域选择，南京目前比重庆好，不过重庆发展迅猛，直辖市的地位也更高一些，最终，是你上大学而不是大学上你，平台足够的情况下，怎么学就看你的了。
18考研南京理工大学？,哇嘎，好像找到研友啦
河北理科考生，南京理工 吉林大学哪个更好？, 感性的回答：不要去南理工 十足的傻13学校  理性的回答：南理工也没有大学城的新校区 未来发展堪忧  建议和展望：这个段位 为何不考虑南航 南邮呢？ 
北京理工大学珠海学院和南京审计大学金审学院相比怎么样？,妥妥北理珠
2016年吉林省高考报考求助。东北大学，武汉理工，南京河海，北京化工哪个好？,能去北京去北京。报考不能忽视所在大学的城市。
有关2016届入学的南京理工大学一些问题！?,硬件条件还好，毕竟9层楼的新图书馆今年已经投入使用了，新体育馆也基本完工，游泳馆今年开始建设，预计明年完工。 其他的宿舍方面有空调，四人间，上床下桌，有没有独卫看运气（吐槽一下这一点还不如我们高中，高中虽然是六人间，但是每个六人间都是单独的房间，有淋浴有厕所，人均厕所拥有率是南区的两倍( •̥́ ˍ •̀ू )）。 校园方面的话，背靠紫金山，隔壁中山陵，北门地铁口，网络全覆盖，独立校区好，南区都够呛，快递近不了。 学风嘛，我不知道，我录的@一个设传院的比较好，虽然并没有( •̥́ ˍ •̀ू )
求问，南京理工大学毕业分配好不好，是否有必须分到军工单位的指标？,当然不是
志愿南京理工大学紫金学院？,   前面先加个鸡汤，设备怎么样我不说了，我只能说一个二八定律，百分之二十的人占有了百分之八十的资源你有上进心，资源相当丰富，没有上进心再多也没用，还有学校的实验室很多器材是坏掉了，一时半会也不会换，至少我在这没换过，这都快毕业了。
长春理工大学，南京工业大学，哈理工，扬州大学都是重本么？？, 都算不上啊 
南京理工大学社会工作专业何去何从？,要积极自救。必须坚持抓住一切能转走的机会转走，若还没有转成则必须马上为考研/出国换专业或找工作的必须技能做准备。当然以拿到保研名额为目的把专业课成绩弄好，然后保去其它专业也是一个可行的方法。但是大一刚开学就转走是最容易也损失最小的方式。 基本上就是学不到任何东西，毕业毫无竞争力的专业。不要把大学四年宝贵的精力浪费在这一毫无投入产出比的专业上。 另外提醒，不要听老师或本专业的学生的劝留，不管说的多好听多有情怀。对自己负责。
